* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 10:59:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 49.745, 160.7267
1.015000, 49.990, 159.6810
1.030000, 50.230, 158.6479
1.044000, 50.451, 157.6922
1.060000, 50.700, 156.6071
1.075000, 50.928, 155.5934
1.090000, 51.154, 154.5799
1.106000, 51.389, 153.4943
1.120000, 51.591, 152.5365
1.138000, 51.843, 151.2953
1.150000, 52.007, 150.4644
1.172000, 52.300, 148.9397
1.180000, 52.404, 148.3863
1.206000, 52.733, 146.5977
1.220000, 52.905, 145.6438
1.241000, 53.156, 144.2289
1.250000, 53.262, 143.6293
1.265000, 53.435, 142.6400
1.280000, 53.604, 141.6642
1.315000, 53.987, 139.4438
1.320000, 54.040, 139.1335
1.340000, 54.251, 137.9095
1.360000, 54.457, 136.7140
1.380000, 54.659, 135.5471
1.400000, 54.858, 134.4087
1.430000, 55.150, 132.7534
1.450000, 55.342, 131.6827
1.475000, 55.578, 130.3712
1.500000, 55.807, 129.0677
1.525000, 56.028, 127.7652
1.550000, 56.241, 126.4670
1.575000, 56.447, 125.1771
1.600000, 56.645, 123.8988
1.625000, 56.837, 122.6350
1.650000, 57.023, 121.3880
1.675000, 57.203, 120.1595
1.700000, 57.378, 118.9510
1.725000, 57.548, 117.7634
1.750000, 57.713, 116.5973
1.775000, 57.875, 115.4529
1.800000, 58.033, 114.3299
1.825000, 58.187, 113.2252
1.850000, 58.338, 112.1260
1.875000, 58.483, 111.0178
1.900000, 58.623, 109.8991
1.925000, 58.757, 108.7746
1.950000, 58.887, 107.6490
1.975000, 59.012, 106.5272
2.000000, 59.132, 105.4135
2.030000, 59.271, 104.0934
2.060000, 59.404, 102.7975
2.090000, 59.532, 101.5313
2.120000, 59.655, 100.3001
2.140000, 59.735, 99.5011
2.180000, 59.889, 97.9582
2.200000, 59.963, 97.2109
2.240000, 60.104, 95.7323
2.270000, 60.204, 94.6231
2.300000, 60.297, 93.5155
2.330000, 60.386, 92.4141
2.360000, 60.469, 91.3240
2.400000, 60.574, 89.8969
2.430000, 60.648, 88.8530
2.470000, 60.741, 87.5055
2.500000, 60.807, 86.5345
2.540000, 60.891, 85.3002
2.580000, 60.970, 84.1302
2.620000, 61.042, 82.9972
2.650000, 61.090, 82.1626
2.690000, 61.149, 81.0711
2.720000, 61.189, 80.2709
2.760000, 61.239, 79.2327
2.800000, 61.284, 78.2330
2.850000, 61.337, 77.0478
2.900000, 61.388, 75.9466
2.950000, 61.437, 74.9356
3.000000, 61.480, 74.0009
3.040000, 61.509, 73.2993
3.070000, 61.529, 72.7980
3.110000, 61.555, 72.1617
3.150000, 61.580, 71.5611
3.200000, 61.611, 70.8595
3.250000, 61.646, 70.2129
3.300000, 61.686, 69.6249
3.350000, 61.728, 69.1067
3.400000, 61.772, 68.6591
3.450000, 61.816, 68.2690
3.500000, 61.864, 67.9210
3.550000, 61.916, 67.5996
3.600000, 61.973, 67.2910
3.650000, 62.036, 66.9860
3.700000, 62.107, 66.6937
3.750000, 62.184, 66.4307
3.820000, 62.300, 66.1012
3.870000, 62.389, 65.8737
3.950000, 62.537, 65.4826
4.000000, 62.633, 65.2015
4.060000, 62.751, 64.8228
4.120000, 62.876, 64.4180
4.180000, 63.005, 63.9930
4.250000, 63.158, 63.4639
4.310000, 63.288, 62.9727
4.370000, 63.413, 62.4386
4.440000, 63.554, 61.7531
4.500000, 63.672, 61.1151
4.550000, 63.768, 60.5560
4.620000, 63.898, 59.7454
4.680000, 64.003, 59.0355
4.750000, 64.114, 58.1970
4.820000, 64.213, 57.3342
4.870000, 64.278, 56.6955
4.940000, 64.361, 55.7833
5.000000, 64.423, 55.0042
5.080000, 64.495, 53.9998
5.150000, 64.546, 53.1639
5.220000, 64.585, 52.3486
5.300000, 64.617, 51.4376
5.380000, 64.638, 50.5753
5.450000, 64.650, 49.8863
5.520000, 64.657, 49.2718
5.600000, 64.657, 48.6501
5.700000, 64.646, 47.9798
5.800000, 64.635, 47.4319
5.900000, 64.631, 47.0233
6.000000, 64.632, 46.7645
6.080000, 64.637, 46.6401
6.150000, 64.649, 46.5667
6.220000, 64.669, 46.5131
6.300000, 64.706, 46.4836
6.400000, 64.767, 46.4966
6.500000, 64.843, 46.5064
6.600000, 64.933, 46.4490
6.700000, 65.038, 46.3214
6.800000, 65.157, 46.1305
6.900000, 65.279, 45.8473
7.000000, 65.399, 45.4454
7.100000, 65.519, 44.9293
7.200000, 65.636, 44.3223
7.300000, 65.741, 43.6421
7.400000, 65.832, 42.8859
7.500000, 65.910, 42.0559
7.620000, 65.984, 41.0188
7.750000, 66.038, 39.9001
7.880000, 66.063, 38.7791
8.000000, 66.066, 37.7916
8.120000, 66.052, 36.9020
8.250000, 66.017, 36.0440
8.380000, 65.973, 35.3145
8.500000, 65.929, 34.7877
8.620000, 65.885, 34.3724
8.750000, 65.842, 34.0185
8.850000, 65.819, 33.8156
9.000000, 65.800, 33.6157
9.120000, 65.799, 33.5090
9.250000, 65.815, 33.3919
9.380000, 65.846, 33.2512
9.500000, 65.883, 33.0734
9.620000, 65.927, 32.8286
9.750000, 65.978, 32.4941
9.880000, 66.028, 32.0926
10.000000, 66.068, 31.6609
10.150000, 66.111, 31.0592
10.300000, 66.142, 30.4319
10.440000, 66.157, 29.8373
10.600000, 66.163, 29.1851
10.750000, 66.159, 28.6341
10.900000, 66.148, 28.1476
11.060000, 66.136, 27.7162
11.200000, 66.127, 27.4130
11.380000, 66.125, 27.0993
11.500000, 66.131, 26.9294
11.720000, 66.159, 26.6547
11.800000, 66.175, 26.5536
12.060000, 66.242, 26.1896
12.200000, 66.286, 25.9490
12.410000, 66.355, 25.5233
12.500000, 66.385, 25.3173
12.650000, 66.434, 24.9448
12.800000, 66.479, 24.5460
13.150000, 66.570, 23.5593
13.200000, 66.581, 23.4167
13.400000, 66.621, 22.8506
13.600000, 66.656, 22.2985
13.800000, 66.687, 21.7662
14.000000, 66.714, 21.2548
14.300000, 66.748, 20.5286
14.500000, 66.766, 20.0738
14.750000, 66.784, 19.5447
15.000000, 66.798, 19.0659
15.250000, 66.810, 18.6428
15.500000, 66.822, 18.2729
