* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 10:53:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 47.069, 129.7475
1.015000, 47.764, 129.5867
1.030000, 48.427, 129.3843
1.044000, 49.011, 129.1597
1.060000, 49.633, 128.8624
1.075000, 50.163, 128.5456
1.090000, 50.640, 128.1933
1.106000, 51.092, 127.7815
1.120000, 51.455, 127.3968
1.138000, 51.891, 126.8765
1.150000, 52.162, 126.5168
1.172000, 52.626, 125.8373
1.180000, 52.784, 125.5851
1.206000, 53.263, 124.7530
1.220000, 53.500, 124.2996
1.241000, 53.832, 123.6164
1.250000, 53.966, 123.3233
1.265000, 54.179, 122.8353
1.280000, 54.382, 122.3489
1.315000, 54.819, 121.2244
1.320000, 54.878, 121.0653
1.340000, 55.109, 120.4336
1.360000, 55.331, 119.8099
1.380000, 55.550, 119.1949
1.400000, 55.767, 118.5889
1.430000, 56.096, 117.6973
1.450000, 56.323, 117.1137
1.475000, 56.612, 116.3907
1.500000, 56.894, 115.6608
1.525000, 57.162, 114.9205
1.550000, 57.415, 114.1733
1.575000, 57.655, 113.4227
1.600000, 57.883, 112.6721
1.625000, 58.100, 111.9242
1.650000, 58.308, 111.1813
1.675000, 58.506, 110.4454
1.700000, 58.697, 109.7181
1.725000, 58.882, 109.0008
1.750000, 59.061, 108.2945
1.775000, 59.236, 107.6002
1.800000, 59.408, 106.9183
1.825000, 59.578, 106.2471
1.850000, 59.743, 105.5777
1.875000, 59.901, 104.8992
1.900000, 60.052, 104.2108
1.925000, 60.195, 103.5158
1.950000, 60.332, 102.8177
1.975000, 60.463, 102.1202
2.000000, 60.588, 101.4266
2.030000, 60.732, 100.6035
2.060000, 60.869, 99.7953
2.090000, 61.000, 99.0065
2.120000, 61.126, 98.2412
2.140000, 61.208, 97.7460
2.180000, 61.368, 96.7948
2.200000, 61.445, 96.3370
2.240000, 61.592, 95.4360
2.270000, 61.694, 94.7633
2.300000, 61.790, 94.0939
2.330000, 61.881, 93.4305
2.360000, 61.967, 92.7757
2.400000, 62.074, 91.9212
2.430000, 62.150, 91.2980
2.470000, 62.246, 90.4959
2.500000, 62.316, 89.9198
2.540000, 62.406, 89.1901
2.580000, 62.492, 88.5037
2.620000, 62.573, 87.8482
2.650000, 62.629, 87.3719
2.690000, 62.698, 86.7558
2.720000, 62.747, 86.3077
2.760000, 62.809, 85.7291
2.800000, 62.867, 85.1725
2.850000, 62.938, 84.5087
2.900000, 63.008, 83.8824
2.950000, 63.077, 83.2969
3.000000, 63.144, 82.7536
3.040000, 63.194, 82.3460
3.070000, 63.231, 82.0536
3.110000, 63.279, 81.6782
3.150000, 63.326, 81.3160
3.200000, 63.384, 80.8766
3.250000, 63.444, 80.4464
3.300000, 63.505, 80.0233
3.350000, 63.568, 79.6161
3.400000, 63.631, 79.2298
3.450000, 63.694, 78.8577
3.500000, 63.758, 78.4909
3.550000, 63.821, 78.1203
3.600000, 63.885, 77.7373
3.650000, 63.948, 77.3354
3.700000, 64.011, 76.9162
3.750000, 64.075, 76.4868
3.820000, 64.164, 75.8712
3.870000, 64.227, 75.4187
3.950000, 64.324, 74.6662
4.000000, 64.381, 74.1738
4.060000, 64.445, 73.5557
4.120000, 64.506, 72.9067
4.180000, 64.564, 72.2320
4.250000, 64.626, 71.4220
4.310000, 64.674, 70.7160
4.370000, 64.715, 70.0037
4.440000, 64.755, 69.1580
4.500000, 64.783, 68.4103
4.550000, 64.801, 67.7746
4.620000, 64.820, 66.8789
4.680000, 64.830, 66.1190
4.750000, 64.835, 65.2542
4.820000, 64.831, 64.4070
4.870000, 64.823, 63.8043
4.940000, 64.805, 62.9673
5.000000, 64.784, 62.2655
5.080000, 64.752, 61.3694
5.150000, 64.719, 60.6326
5.220000, 64.681, 59.9350
5.300000, 64.631, 59.1785
5.380000, 64.578, 58.4667
5.450000, 64.533, 57.8846
5.520000, 64.489, 57.3458
5.600000, 64.439, 56.7872
5.700000, 64.378, 56.1622
5.800000, 64.324, 55.5936
5.900000, 64.281, 55.0688
6.000000, 64.249, 54.6005
6.080000, 64.230, 54.2552
6.150000, 64.219, 53.9576
6.220000, 64.214, 53.6537
6.300000, 64.216, 53.3010
6.400000, 64.229, 52.8593
6.500000, 64.252, 52.4006
6.600000, 64.283, 51.9038
6.700000, 64.322, 51.3669
6.800000, 64.368, 50.7961
6.900000, 64.419, 50.1895
7.000000, 64.473, 49.5436
7.100000, 64.530, 48.8597
7.200000, 64.590, 48.1436
7.300000, 64.652, 47.4007
7.400000, 64.715, 46.6331
7.500000, 64.779, 45.8413
7.620000, 64.856, 44.8656
7.750000, 64.940, 43.7831
7.880000, 65.024, 42.6751
8.000000, 65.100, 41.6369
8.120000, 65.174, 40.5874
8.250000, 65.250, 39.4382
8.380000, 65.321, 38.2942
8.500000, 65.380, 37.2514
8.620000, 65.433, 36.2224
8.750000, 65.482, 35.1511
8.850000, 65.514, 34.3712
9.000000, 65.552, 33.2740
9.120000, 65.576, 32.4836
9.250000, 65.599, 31.7376
9.380000, 65.618, 31.1038
9.500000, 65.640, 30.6213
9.620000, 65.667, 30.2443
9.750000, 65.704, 29.9418
9.880000, 65.754, 29.7159
10.000000, 65.815, 29.5624
10.150000, 65.910, 29.4144
10.300000, 66.025, 29.2416
10.440000, 66.149, 29.0341
10.600000, 66.300, 28.7044
10.750000, 66.444, 28.2706
10.900000, 66.584, 27.7287
11.060000, 66.718, 27.0464
11.200000, 66.817, 26.3751
11.380000, 66.917, 25.4867
11.500000, 66.963, 24.9023
11.720000, 67.010, 23.9267
11.800000, 67.015, 23.6271
12.060000, 67.018, 22.8864
12.200000, 67.015, 22.6572
12.410000, 67.015, 22.5040
12.500000, 67.022, 22.4876
12.650000, 67.045, 22.5057
12.800000, 67.082, 22.5259
13.150000, 67.213, 22.3439
13.200000, 67.233, 22.2742
13.400000, 67.311, 21.8681
13.600000, 67.368, 21.2846
13.800000, 67.391, 20.5676
14.000000, 67.375, 19.8203
14.300000, 67.276, 18.8379
14.500000, 67.173, 18.4128
14.750000, 67.031, 18.2231
15.000000, 66.905, 18.4076
15.250000, 66.825, 18.8401
15.500000, 66.803, 19.3114
15.750000, 66.833, 19.6227
16.000000, 66.891, 19.6321
16.250000, 66.949, 19.3186
16.500000, 66.985, 18.7461
16.750000, 66.987, 18.0364
17.000000, 66.954, 17.3251
17.250000, 66.897, 16.7156
17.500000, 66.830, 16.2704
17.750000, 66.770, 15.9909
18.000000, 66.729, 15.8337
18.250000, 66.712, 15.7299
18.500000, 66.720, 15.6088
18.750000, 66.744, 15.4228
19.000000, 66.779, 15.1502
19.250000, 66.817, 14.7958
19.500000, 66.853, 14.3794
19.750000, 66.885, 13.9245
20.000000, 66.911, 13.4530
20.299999, 66.937, 12.8874
20.600000, 66.955, 12.3408
20.900000, 66.966, 11.8303
21.200001, 66.970, 11.3734
21.400000, 66.971, 11.1070
21.799999, 66.970, 10.6764
22.000000, 66.972, 10.5093
22.400000, 66.985, 10.2386
22.700001, 67.005, 10.0482
23.000000, 67.032, 9.8275
23.299999, 67.060, 9.5525
23.600000, 67.084, 9.2203
24.000000, 67.100, 8.7226
24.299999, 67.100, 8.3510
24.700001, 67.086, 7.9167
25.000000, 67.071, 7.6564
25.400000, 67.057, 7.3846
25.799999, 67.055, 7.1493
26.200001, 67.064, 6.8911
26.500000, 67.074, 6.6611
26.900000, 67.088, 6.3059
27.200001, 67.095, 6.0164
27.600000, 67.101, 5.6259
28.000000, 67.103, 5.2540
28.500000, 67.105, 4.8307
29.000000, 67.111, 4.4412
29.500000, 67.122, 4.0547
30.000000, 67.132, 3.6489
30.400000, 67.135, 3.3126
30.700001, 67.134, 3.0628
31.100000, 67.127, 2.7488
31.500000, 67.116, 2.4721
32.000000, 67.100, 2.1878
32.500000, 67.089, 1.9527
33.000000, 67.085, 1.7210
33.500000, 67.085, 1.4499
34.000000, 67.082, 1.1343
34.500000, 67.073, 0.8108
35.000000, 67.061, 0.5192
35.500000, 67.055, 0.2545
36.000000, 67.057, -0.0302
36.500000, 67.062, -0.3717
37.000000, 67.059, -0.7524
37.500000, 67.047, -1.1159
38.200001, 67.027, -1.5304
38.700001, 67.016, -1.7764
39.500000, 67.004, -2.1453
40.000000, 66.998, -2.3650
40.599998, 66.993, -2.6254
41.200001, 66.990, -2.9106
41.799999, 66.983, -3.2243
42.500000, 66.966, -3.5819
43.099998, 66.950, -3.8684
43.700001, 66.935, -4.1592
44.400002, 66.913, -4.4997
45.000000, 66.891, -4.7538
45.500000, 66.876, -4.9362
46.200001, 66.864, -5.2006
46.799999, 66.855, -5.4714
47.500000, 66.837, -5.8019
48.200001, 66.813, -6.0772
48.700001, 66.799, -6.2410
49.400002, 66.787, -6.4824
50.000000, 66.776, -6.7307
50.799999, 66.751, -7.0677
51.500000, 66.727, -7.3122
52.200001, 66.707, -7.5331
53.000000, 66.688, -7.8113
53.799999, 66.665, -8.1114
54.500000, 66.640, -8.3567
55.200001, 66.614, -8.5599
56.000000, 66.592, -8.7645
57.000000, 66.569, -9.0702
58.000000, 66.536, -9.4015
59.000000, 66.500, -9.6714
60.000000, 66.470, -9.9120
60.799999, 66.450, -10.1335
61.500000, 66.430, -10.3516
62.200001, 66.407, -10.5644
63.000000, 66.378, -10.7834
64.000000, 66.342, -11.0132
65.000000, 66.313, -11.1992
66.000000, 66.294, -11.4316
67.000000, 66.267, -11.7198
68.000000, 66.232, -11.9779
69.000000, 66.196, -12.2040
70.000000, 66.158, -12.3917
71.000000, 66.127, -12.5383
72.000000, 66.102, -12.7063
73.000000, 66.077, -12.8976
74.000000, 66.054, -13.1080
75.000000, 66.026, -13.3359
76.199997, 65.989, -13.5799
77.500000, 65.949, -13.8440
78.800003, 65.902, -14.0664
80.000000, 65.863, -14.2366
81.199997, 65.826, -14.4182
82.500000, 65.785, -14.6056
83.800003, 65.745, -14.7797
85.000000, 65.710, -14.9374
86.199997, 65.675, -15.0968
87.500000, 65.638, -15.2671
88.500000, 65.607, -15.4000
90.000000, 65.561, -15.5770
91.199997, 65.526, -15.7192
92.500000, 65.488, -15.8674
93.800003, 65.451, -16.0108
95.000000, 65.417, -16.1365
96.199997, 65.382, -16.2533
97.500000, 65.344, -16.3739
98.800003, 65.306, -16.5018
100.000000, 65.270, -16.6238
101.500000, 65.227, -16.7834
103.000000, 65.184, -16.9531
104.400002, 65.145, -17.0836
106.000000, 65.104, -17.2205
107.500000, 65.065, -17.3444
109.000000, 65.025, -17.4470
110.599998, 64.981, -17.5478
112.000000, 64.942, -17.6423
113.800003, 64.889, -17.7633
115.000000, 64.855, -17.8313
117.199997, 64.794, -17.9518
118.000000, 64.772, -17.9921
120.599998, 64.698, -18.0956
122.000000, 64.658, -18.1207
124.099998, 64.600, -18.1734
125.000000, 64.573, -18.2065
126.500000, 64.527, -18.2284
128.000000, 64.485, -18.2202
131.500000, 64.385, -18.1163
132.000000, 64.372, -18.0937
134.000000, 64.323, -18.0421
136.000000, 64.279, -17.9789
138.000000, 64.249, -17.8573
140.000000, 64.225, -17.7184
143.000000, 64.179, -17.5690
145.000000, 64.153, -17.5026
147.500000, 64.153, -17.4137
150.000000, 64.159, -17.3342
152.500000, 64.166, -16.9694
155.000000, 64.200, -16.9652
157.500000, 64.212, -17.4232
160.000000, 64.198, -17.9613
162.500000, 64.159, -18.4031
165.000000, 64.103, -18.7043
167.500000, 64.041, -18.9195
170.000000, 63.982, -19.0458
172.500000, 63.929, -19.1380
175.000000, 63.880, -19.2053
177.500000, 63.834, -19.2619
180.000000, 63.787, -19.3156
182.500000, 63.740, -19.3806
185.000000, 63.694, -19.4599
187.500000, 63.649, -19.5388
190.000000, 63.606, -19.5914
192.500000, 63.565, -19.6234
195.000000, 63.524, -19.6436
197.500000, 63.483, -19.6501
200.000000, 63.440, -19.6463
203.000000, 63.388, -19.6325
206.000000, 63.337, -19.6146
209.000000, 63.289, -19.5975
212.000000, 63.243, -19.5867
214.000000, 63.213, -19.5846
218.000000, 63.155, -19.5903
220.000000, 63.127, -19.5955
224.000000, 63.073, -19.6013
227.000000, 63.033, -19.5930
230.000000, 62.992, -19.5744
233.000000, 62.951, -19.5495
236.000000, 62.911, -19.5155
240.000000, 62.858, -19.4513
243.000000, 62.819, -19.4136
247.000000, 62.769, -19.3592
250.000000, 62.733, -19.3191
254.000000, 62.683, -19.2794
258.000000, 62.641, -19.2031
262.000000, 62.599, -19.1521
265.000000, 62.564, -19.1144
269.000000, 62.521, -19.0507
272.000000, 62.490, -18.9997
276.000000, 62.449, -18.9416
280.000000, 62.408, -18.8853
285.000000, 62.355, -18.8113
290.000000, 62.301, -18.7385
295.000000, 62.249, -18.6666
300.000000, 62.198, -18.5928
304.000000, 62.158, -18.5350
307.000000, 62.128, -18.4904
311.000000, 62.088, -18.4279
315.000000, 62.047, -18.3588
320.000000, 61.997, -18.2653
325.000000, 61.947, -18.1630
330.000000, 61.897, -18.0599
335.000000, 61.849, -17.9648
340.000000, 61.801, -17.8717
345.000000, 61.756, -17.7765
350.000000, 61.711, -17.6823
355.000000, 61.667, -17.5886
360.000000, 61.624, -17.4903
365.000000, 61.580, -17.3841
370.000000, 61.535, -17.2712
375.000000, 61.492, -17.1467
382.000000, 61.430, -16.9687
387.000000, 61.385, -16.8388
395.000000, 61.318, -16.6358
400.000000, 61.278, -16.5068
406.000000, 61.230, -16.3482
412.000000, 61.182, -16.1946
418.000000, 61.134, -16.0370
425.000000, 61.079, -15.8541
431.000000, 61.032, -15.6795
437.000000, 60.984, -15.5017
444.000000, 60.927, -15.2763
450.000000, 60.880, -15.0716
455.000000, 60.842, -14.9006
462.000000, 60.790, -14.6596
468.000000, 60.746, -14.4512
475.000000, 60.698, -14.2066
482.000000, 60.651, -13.9709
487.000000, 60.618, -13.8135
494.000000, 60.570, -13.6065
500.000000, 60.528, -13.4256
508.000000, 60.472, -13.1684
515.000000, 60.422, -12.9380
522.000000, 60.371, -12.6926
530.000000, 60.314, -12.3916
538.000000, 60.258, -12.0751
545.000000, 60.209, -11.7900
552.000000, 60.162, -11.5129
560.000000, 60.110, -11.1994
570.000000, 60.047, -10.7803
580.000000, 59.984, -10.3553
590.000000, 59.923, -9.9145
600.000000, 59.865, -9.4609
608.000000, 59.821, -9.0907
615.000000, 59.782, -8.7636
622.000000, 59.744, -8.4338
630.000000, 59.703, -8.0551
640.000000, 59.653, -7.5744
650.000000, 59.605, -7.0853
660.000000, 59.557, -6.5922
670.000000, 59.511, -6.0892
680.000000, 59.465, -5.5738
690.000000, 59.421, -5.0496
700.000000, 59.378, -4.5149
710.000000, 59.337, -3.9677
720.000000, 59.296, -3.4154
730.000000, 59.256, -2.8533
740.000000, 59.218, -2.2743
750.000000, 59.182, -1.6845
762.000000, 59.141, -0.9621
775.000000, 59.101, -0.1649
788.000000, 59.067, 0.6441
800.000000, 59.040, 1.4044
812.000000, 59.018, 2.1722
825.000000, 58.998, 3.0115
838.000000, 58.984, 3.8646
850.000000, 58.975, 4.6601
862.000000, 58.971, 5.4635
875.000000, 58.972, 6.3285
885.000000, 58.977, 6.9888
900.000000, 58.993, 7.9839
912.000000, 59.011, 8.7722
925.000000, 59.036, 9.6087
938.000000, 59.067, 10.4368
950.000000, 59.101, 11.1886
962.000000, 59.137, 11.9286
975.000000, 59.181, 12.7112
988.000000, 59.229, 13.4706
1000.000000, 59.277, 14.1498
1015.000000, 59.342, 14.9624
1030.000000, 59.412, 15.7299
1044.000000, 59.483, 16.4037
1060.000000, 59.568, 17.1219
1075.000000, 59.651, 17.7485
1090.000000, 59.733, 18.3333
1106.000000, 59.820, 18.9098
1120.000000, 59.894, 19.3766
1138.000000, 59.987, 19.9275
1150.000000, 60.047, 20.2666
1172.000000, 60.154, 20.8345
1180.000000, 60.192, 21.0253
1206.000000, 60.312, 21.5971
1220.000000, 60.375, 21.8787
1241.000000, 60.467, 22.2742
1250.000000, 60.505, 22.4375
1265.000000, 60.566, 22.7035
1280.000000, 60.623, 22.9679
1315.000000, 60.747, 23.5826
1320.000000, 60.763, 23.6705
1340.000000, 60.825, 24.0286
1360.000000, 60.885, 24.3995
1380.000000, 60.942, 24.7858
1400.000000, 60.999, 25.1789
1430.000000, 61.083, 25.7817
1450.000000, 61.139, 26.1871
1475.000000, 61.213, 26.7020
1500.000000, 61.287, 27.2395
1525.000000, 61.361, 27.8017
1550.000000, 61.434, 28.3781
1575.000000, 61.507, 28.9699
1600.000000, 61.582, 29.5829
1625.000000, 61.660, 30.2087
1650.000000, 61.743, 30.8416
1675.000000, 61.831, 31.4852
1700.000000, 61.926, 32.1328
1725.000000, 62.027, 32.7830
1750.000000, 62.134, 33.4321
1775.000000, 62.246, 34.0772
1800.000000, 62.365, 34.7146
1825.000000, 62.490, 35.3414
1850.000000, 62.621, 35.9531
1875.000000, 62.758, 36.5489
1900.000000, 62.900, 37.1263
1925.000000, 63.047, 37.6818
1950.000000, 63.201, 38.2149
1975.000000, 63.361, 38.7197
2000.000000, 63.528, 39.1925
2030.000000, 63.737, 39.7127
2060.000000, 63.957, 40.1730
2090.000000, 64.186, 40.5706
2120.000000, 64.424, 40.8971
2140.000000, 64.588, 41.0709
2180.000000, 64.926, 41.3052
2200.000000, 65.099, 41.3616
2240.000000, 65.453, 41.3420
2270.000000, 65.725, 41.2001
2300.000000, 66.000, 40.9387
2330.000000, 66.279, 40.5481
2360.000000, 66.560, 40.0176
2400.000000, 66.936, 39.0763
2430.000000, 67.215, 38.1849
2470.000000, 67.577, 36.7385
2500.000000, 67.839, 35.4566
2540.000000, 68.164, 33.4868
2580.000000, 68.456, 31.2320
2620.000000, 68.706, 28.7194
2650.000000, 68.860, 26.6914
2690.000000, 69.017, 23.8399
2720.000000, 69.095, 21.6283
2760.000000, 69.146, 18.6464
2800.000000, 69.136, 15.7023
2850.000000, 69.041, 12.1906
2900.000000, 68.866, 8.9815
2950.000000, 68.630, 6.1643
3000.000000, 68.350, 3.7839
3040.000000, 68.107, 2.1978
3070.000000, 67.919, 1.1853
3110.000000, 67.665, 0.0535
3150.000000, 67.412, -0.8526
3200.000000, 67.101, -1.7003
3250.000000, 66.799, -2.2639
3300.000000, 66.509, -2.5729
3350.000000, 66.233, -2.6513
3400.000000, 65.973, -2.5250
3450.000000, 65.733, -2.2204
3500.000000, 65.516, -1.7615
3550.000000, 65.322, -1.1725
3600.000000, 65.152, -0.4753
3650.000000, 65.006, 0.3050
3700.000000, 64.885, 1.1466
3750.000000, 64.787, 2.0286
3820.000000, 64.691, 3.2956
3870.000000, 64.651, 4.1971
3950.000000, 64.636, 5.5882
4000.000000, 64.656, 6.3967
4060.000000, 64.711, 7.2701
4120.000000, 64.797, 8.0062
4180.000000, 64.913, 8.5694
4250.000000, 65.081, 8.9560
4310.000000, 65.248, 9.0103
4370.000000, 65.429, 8.7671
4440.000000, 65.645, 8.0569
4500.000000, 65.824, 7.0511
4550.000000, 65.958, 5.9226
4620.000000, 66.105, 3.9077
4680.000000, 66.177, 1.8173
4750.000000, 66.178, -0.9433
4820.000000, 66.075, -3.8853
4870.000000, 65.933, -5.9831
4940.000000, 65.640, -8.7487
5000.000000, 65.309, -10.8187
5080.000000, 64.777, -12.9537
5150.000000, 64.253, -14.1159
5220.000000, 63.702, -14.5555
5300.000000, 63.077, -14.1594
5380.000000, 62.498, -12.8518
5450.000000, 62.061, -11.0590
5520.000000, 61.719, -8.8245
5600.000000, 61.469, -6.0378
5700.000000, 61.373, -2.9241
5800.000000, 61.431, -1.0516
5900.000000, 61.478, -0.6738
6000.000000, 61.375, -1.2154
6080.000000, 61.158, -1.6759
6150.000000, 60.892, -1.7633
6220.000000, 60.583, -1.4220
6300.000000, 60.213, -0.4680
6400.000000, 59.770, 1.5012
6500.000000, 59.388, 4.1870
6600.000000, 59.089, 7.4498
6700.000000, 58.901, 11.2082
6800.000000, 58.864, 15.1397
6900.000000, 58.941, 18.7485
7000.000000, 59.092, 22.2795
7100.000000, 59.357, 25.8097
7200.000000, 59.757, 29.0909
7300.000000, 60.298, 31.8833
7400.000000, 60.979, 33.9272
7500.000000, 61.795, 34.8993
7620.000000, 62.924, 34.0480
7750.000000, 64.206, 29.6859
7880.000000, 65.259, 21.0851
8000.000000, 65.686, 10.1121
8120.000000, 65.391, -1.5803
8250.000000, 64.344, -12.1814
8380.000000, 62.870, -18.9832
8500.000000, 61.432, -21.9456
8620.000000, 60.089, -22.5010
8750.000000, 58.815, -21.3062
8850.000000, 57.969, -19.5728
9000.000000, 56.901, -16.1775
9120.000000, 56.202, -13.0697
9250.000000, 55.583, -9.5400
9380.000000, 55.091, -5.9933
9500.000000, 54.738, -2.8183
9620.000000, 54.469, 0.1629
9750.000000, 54.258, 3.0798
9880.000000, 54.113, 5.5991
10000.000000, 54.019, 7.5269
10150.000000, 53.925, 9.3723
10300.000000, 53.820, 10.6447
10440.000000, 53.685, 11.4617
10600.000000, 53.470, 12.2499
10750.000000, 53.219, 13.1551
10900.000000, 52.960, 14.4291
11060.000000, 52.734, 16.1783
11200.000000, 52.619, 17.7951
11380.000000, 52.590, 19.4436
11500.000000, 52.614, 20.0144
11720.000000, 52.643, 19.8872
11800.000000, 52.626, 19.5366
12060.000000, 52.401, 17.8214
12200.000000, 52.163, 17.0306
12410.000000, 51.723, 16.6670
12500.000000, 51.530, 16.8646
12650.000000, 51.237, 17.6218
12800.000000, 51.006, 18.8107
13150.000000, 50.822, 22.4065
13200.000000, 50.843, 22.9298
13400.000000, 51.055, 24.8224
13600.000000, 51.475, 26.0932
13800.000000, 52.098, 26.3346
14000.000000, 52.902, 25.0867
14300.000000, 54.323, 19.4116
14500.000000, 55.270, 12.6541
14750.000000, 56.218, 1.0818
15000.000000, 56.749, -12.5227
15250.000000, 56.968, -26.3871
15500.000000, 57.205, -40.3405
15750.000000, 57.669, -56.4308
16000.000000, 58.111, -77.2321
16250.000000, 57.863, -102.9579
16500.000000, 56.363, -130.0133
16750.000000, 53.671, -153.5382
17000.000000, 50.318, -171.1893
17250.000000, 46.796, 177.0235
17500.000000, 43.452, 171.4187
17750.000000, 41.147, 170.8500
18000.000000, 40.531, 164.5980
18250.000000, 39.925, 148.8293
18500.000000, 38.619, 129.9180
18750.000000, 37.009, 109.3200
19000.000000, 35.236, 85.8682
19250.000000, 33.212, 58.6396
19500.000000, 30.821, 27.1825
19750.000000, 28.097, -8.9116
20000.000000, 25.900, -43.4237
