* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2025 6:38:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SN420 Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 78.448, 107.9915
1.015000, 78.580, 108.2020
1.030000, 78.713, 108.4172
1.044000, 78.837, 108.6224
1.060000, 78.981, 108.8620
1.075000, 79.116, 109.0918
1.090000, 79.253, 109.3265
1.106000, 79.401, 109.5837
1.120000, 79.530, 109.8161
1.138000, 79.694, 110.1251
1.150000, 79.803, 110.3366
1.172000, 80.002, 110.7332
1.180000, 80.073, 110.8797
1.206000, 80.304, 111.3614
1.220000, 80.428, 111.6228
1.241000, 80.612, 112.0152
1.250000, 80.691, 112.1828
1.265000, 80.822, 112.4609
1.280000, 80.953, 112.7362
1.315000, 81.256, 113.3635
1.320000, 81.299, 113.4509
1.340000, 81.472, 113.7937
1.360000, 81.645, 114.1245
1.380000, 81.817, 114.4414
1.400000, 81.991, 114.7430
1.430000, 82.251, 115.1633
1.450000, 82.425, 115.4211
1.475000, 82.645, 115.7233
1.500000, 82.865, 116.0202
1.525000, 83.085, 116.3168
1.550000, 83.306, 116.6095
1.575000, 83.528, 116.8937
1.600000, 83.749, 117.1656
1.625000, 83.970, 117.4213
1.650000, 84.191, 117.6576
1.675000, 84.411, 117.8717
1.700000, 84.630, 118.0609
1.725000, 84.848, 118.2229
1.750000, 85.065, 118.3557
1.775000, 85.280, 118.4577
1.800000, 85.494, 118.5277
1.825000, 85.705, 118.5669
1.850000, 85.915, 118.5849
1.875000, 86.125, 118.5942
1.900000, 86.334, 118.5970
1.925000, 86.542, 118.5910
1.950000, 86.749, 118.5732
1.975000, 86.955, 118.5412
2.000000, 87.160, 118.4926
2.030000, 87.403, 118.4095
2.060000, 87.644, 118.2964
2.090000, 87.882, 118.1504
2.120000, 88.116, 117.9690
2.140000, 88.270, 117.8273
2.180000, 88.573, 117.4927
2.200000, 88.721, 117.3015
2.240000, 89.014, 116.8878
2.270000, 89.230, 116.5586
2.300000, 89.443, 116.2141
2.330000, 89.653, 115.8540
2.360000, 89.859, 115.4776
2.400000, 90.129, 114.9489
2.430000, 90.327, 114.5313
2.470000, 90.586, 113.9447
2.500000, 90.775, 113.4812
2.540000, 91.021, 112.8301
