* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2025 6:41:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SN420 Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.751, -164.9731
1.015000, 80.920, -165.9529
1.030000, 81.088, -166.9238
1.044000, 81.243, -167.8236
1.060000, 81.420, -168.8462
1.075000, 81.584, -169.8012
1.090000, 81.748, -170.7547
1.106000, 81.922, -171.7739
1.120000, 82.073, -172.6712
1.138000, 82.263, -173.8329
1.150000, 82.388, -174.6109
1.172000, 82.614, -176.0405
1.180000, 82.695, -176.5604
1.206000, 82.953, -178.2465
1.220000, 83.090, -179.1499
1.241000, 83.292, 179.5041
1.250000, 83.377, 178.9313
1.265000, 83.518, 177.9829
1.280000, 83.657, 177.0433
1.315000, 83.976, 174.8897
1.320000, 84.021, 174.5869
1.340000, 84.198, 173.3886
1.360000, 84.373, 172.2119
1.380000, 84.546, 171.0577
1.400000, 84.717, 169.9268
1.430000, 84.970, 168.2746
1.450000, 85.137, 167.2025
1.475000, 85.342, 165.8899
1.500000, 85.543, 164.5947
1.525000, 85.741, 163.3114
1.550000, 85.934, 162.0406
1.575000, 86.122, 160.7832
1.600000, 86.307, 159.5401
1.625000, 86.489, 158.3118
1.650000, 86.667, 157.0984
1.675000, 86.841, 155.9001
1.700000, 87.013, 154.7165
1.725000, 87.182, 153.5474
1.750000, 87.348, 152.3920
1.775000, 87.511, 151.2498
1.800000, 87.672, 150.1198
1.825000, 87.831, 148.9997
1.850000, 87.987, 147.8834
1.875000, 88.141, 146.7648
1.900000, 88.291, 145.6440
1.925000, 88.437, 144.5238
1.950000, 88.581, 143.4070
1.975000, 88.722, 142.2963
2.000000, 88.861, 141.1939
2.030000, 89.023, 139.8849
2.060000, 89.183, 138.5940
2.090000, 89.338, 137.3236
2.120000, 89.491, 136.0759
2.140000, 89.591, 135.2575
2.180000, 89.788, 133.6534
2.200000, 89.885, 132.8653
2.240000, 90.074, 131.3002
2.270000, 90.212, 130.1294
2.300000, 90.346, 128.9627
2.330000, 90.477, 127.8030
2.360000, 90.605, 126.6531
2.400000, 90.771, 125.1391
2.430000, 90.893, 124.0212
2.470000, 91.050, 122.5578
2.500000, 91.166, 121.4827
2.540000, 91.317, 120.0812
2.580000, 91.464, 118.7109
2.620000, 91.607, 117.3548
2.650000, 91.710, 116.3430
2.690000, 91.844, 115.0030
2.720000, 91.942, 114.0070
2.760000, 92.069, 112.6945
2.800000, 92.192, 111.4030
2.850000, 92.341, 109.8238
2.900000, 92.485, 108.2888
2.950000, 92.624, 106.7941
3.000000, 92.758, 105.3198
3.040000, 92.861, 104.1505
3.070000, 92.936, 103.2809
3.110000, 93.033, 102.1340
3.150000, 93.127, 101.0045
3.200000, 93.240, 99.6220
3.250000, 93.350, 98.2774
3.300000, 93.456, 96.9723
3.350000, 93.558, 95.6960
3.400000, 93.656, 94.4387
3.450000, 93.749, 93.2007
3.500000, 93.839, 91.9853
3.550000, 93.926, 90.7959
3.600000, 94.009, 89.6360
3.650000, 94.090, 88.5079
3.700000, 94.168, 87.4075
3.750000, 94.243, 86.3274
3.820000, 94.343, 84.8467
3.870000, 94.411, 83.8140
3.950000, 94.514, 82.2112
4.000000, 94.577, 81.2437
4.060000, 94.650, 80.1170
4.120000, 94.719, 79.0213
4.180000, 94.786, 77.9530
4.250000, 94.860, 76.7418
4.310000, 94.921, 75.7347
4.370000, 94.981, 74.7576
4.440000, 95.049, 73.6551
4.500000, 95.105, 72.7388
4.550000, 95.150, 71.9941
4.620000, 95.211, 70.9792
4.680000, 95.263, 70.1344
4.750000, 95.322, 69.1776
4.820000, 95.380, 68.2521
4.870000, 95.421, 67.6093
4.940000, 95.476, 66.7330
5.000000, 95.523, 66.0017
5.080000, 95.585, 65.0525
5.150000, 95.639, 64.2450
5.220000, 95.692, 63.4595
5.300000, 95.752, 62.5875
5.380000, 95.812, 61.7389
5.450000, 95.863, 61.0122
5.520000, 95.914, 60.2990
5.600000, 95.972, 59.5013
5.700000, 96.044, 58.5287
5.800000, 96.114, 57.5782
5.900000, 96.183, 56.6454
6.000000, 96.251, 55.7300
6.080000, 96.304, 55.0098
6.150000, 96.349, 54.3875
6.220000, 96.393, 53.7716
6.300000, 96.443, 53.0748
6.400000, 96.503, 52.2143
6.500000, 96.561, 51.3665
6.600000, 96.616, 50.5315
6.700000, 96.668, 49.7078
6.800000, 96.718, 48.8953
6.900000, 96.764, 48.0963
7.000000, 96.808, 47.3116
7.100000, 96.849, 46.5396
7.200000, 96.888, 45.7814
7.300000, 96.923, 45.0396
7.400000, 96.956, 44.3145
7.500000, 96.985, 43.6050
7.620000, 97.018, 42.7766
7.750000, 97.049, 41.9111
7.880000, 97.077, 41.0772
8.000000, 97.100, 40.3372
8.120000, 97.120, 39.6281
8.250000, 97.140, 38.8935
8.380000, 97.159, 38.1932
8.500000, 97.175, 37.5776
8.620000, 97.191, 36.9908
8.750000, 97.209, 36.3827
8.850000, 97.223, 35.9328
9.000000, 97.246, 35.2858
9.120000, 97.266, 34.7845
9.250000, 97.290, 34.2525
9.380000, 97.316, 33.7299
9.500000, 97.341, 33.2486
9.620000, 97.368, 32.7637
9.750000, 97.397, 32.2339
9.880000, 97.426, 31.6954
10.000000, 97.453, 31.1881
10.150000, 97.484, 30.5423
10.300000, 97.512, 29.8873
10.440000, 97.535, 29.2687
10.600000, 97.555, 28.5638
10.750000, 97.570, 27.9128
10.900000, 97.579, 27.2766
11.060000, 97.584, 26.6263
11.200000, 97.586, 26.0842
11.380000, 97.586, 25.4277
11.500000, 97.586, 25.0171
11.720000, 97.586, 24.3116
11.800000, 97.588, 24.0679
12.060000, 97.596, 23.3087
12.200000, 97.604, 22.9085
12.410000, 97.619, 22.3081
12.500000, 97.626, 22.0468
12.650000, 97.638, 21.6045
12.800000, 97.650, 21.1545
13.150000, 97.670, 20.0840
13.200000, 97.672, 19.9314
13.400000, 97.677, 19.3275
13.600000, 97.678, 18.7429
13.800000, 97.677, 18.1844
14.000000, 97.677, 17.6521
14.300000, 97.679, 16.8929
14.500000, 97.683, 16.3995
14.750000, 97.691, 15.7812
15.000000, 97.700, 15.1517
15.250000, 97.708, 14.5102
15.500000, 97.713, 13.8657
15.750000, 97.716, 13.2278
16.000000, 97.718, 12.6025
16.250000, 97.721, 11.9844
16.500000, 97.725, 11.3615
16.750000, 97.730, 10.7197
17.000000, 97.731, 10.0548
17.250000, 97.724, 9.3787
17.500000, 97.707, 8.7188
17.750000, 97.680, 8.1150
18.000000, 97.646, 7.6011
