* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2025 6:34:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SN420 Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.432, -150.8226
1.015000, 82.601, -152.3510
1.030000, 82.769, -153.8445
1.044000, 82.924, -155.2098
1.060000, 83.098, -156.7397
1.075000, 83.258, -158.1482
1.090000, 83.415, -159.5360
1.106000, 83.580, -161.0034
1.120000, 83.722, -162.2876
1.138000, 83.905, -163.9441
1.150000, 84.027, -165.0501
1.172000, 84.249, -167.0756
1.180000, 84.329, -167.8100
1.206000, 84.590, -170.1827
1.220000, 84.729, -171.4480
1.241000, 84.937, -173.3249
1.250000, 85.025, -174.1204
1.265000, 85.172, -175.4329
1.280000, 85.318, -176.7273
1.315000, 85.653, -179.6693
1.320000, 85.700, 179.9200
1.340000, 85.888, 178.3025
1.360000, 86.074, 176.7271
1.380000, 86.256, 175.1950
1.400000, 86.436, 173.7072
1.430000, 86.699, 171.5598
1.450000, 86.870, 170.1834
1.475000, 87.079, 168.5139
1.500000, 87.284, 166.8735
1.525000, 87.484, 165.2509
1.550000, 87.679, 163.6475
1.575000, 87.871, 162.0658
1.600000, 88.058, 160.5078
1.625000, 88.241, 158.9753
1.650000, 88.421, 157.4692
1.675000, 88.596, 155.9905
1.700000, 88.768, 154.5394
1.725000, 88.937, 153.1161
1.750000, 89.101, 151.7203
1.775000, 89.263, 150.3514
1.800000, 89.421, 149.0084
1.825000, 89.576, 147.6877
1.850000, 89.727, 146.3775
1.875000, 89.874, 145.0644
1.900000, 90.017, 143.7471
1.925000, 90.157, 142.4296
1.950000, 90.292, 141.1161
1.975000, 90.425, 139.8110
2.000000, 90.553, 138.5178
2.030000, 90.703, 136.9867
2.060000, 90.849, 135.4831
2.090000, 90.990, 134.0119
2.120000, 91.128, 132.5770
2.140000, 91.217, 131.6422
2.180000, 91.392, 129.8271
2.200000, 91.476, 128.9431
2.240000, 91.640, 127.1928
