* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2025 6:27:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SN434 Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 81.385, -148.8089
1.015000, 81.535, -149.8049
1.030000, 81.685, -150.7937
1.044000, 81.824, -151.7115
1.060000, 81.982, -152.7563
1.075000, 82.130, -153.7336
1.090000, 82.277, -154.7108
1.106000, 82.433, -155.7571
1.120000, 82.568, -156.6797
1.138000, 82.740, -157.8760
1.150000, 82.853, -158.6785
1.172000, 83.056, -160.1565
1.180000, 83.129, -160.6951
1.206000, 83.364, -162.4460
1.220000, 83.488, -163.3869
1.241000, 83.671, -164.7926
1.250000, 83.748, -165.3922
1.265000, 83.877, -166.3870
1.280000, 84.004, -167.3751
1.315000, 84.294, -169.6494
1.320000, 84.335, -169.9704
1.340000, 84.498, -171.2432
1.360000, 84.658, -172.4976
1.380000, 84.817, -173.7326
1.400000, 84.974, -174.9474
1.430000, 85.207, -176.7307
1.450000, 85.360, -177.8938
1.475000, 85.550, -179.3242
1.500000, 85.736, 179.2578
1.525000, 85.919, 177.8471
1.550000, 86.099, 176.4454
1.575000, 86.276, 175.0544
1.600000, 86.449, 173.6755
1.625000, 86.619, 172.3098
1.650000, 86.787, 170.9576
1.675000, 86.951, 169.6192
1.700000, 87.113, 168.2946
1.725000, 87.272, 166.9831
1.750000, 87.429, 165.6843
1.775000, 87.584, 164.3970
1.800000, 87.736, 163.1199
1.825000, 87.887, 161.8503
1.850000, 88.035, 160.5799
1.875000, 88.180, 159.3012
1.900000, 88.322, 158.0148
1.925000, 88.462, 156.7246
1.950000, 88.599, 155.4347
1.975000, 88.734, 154.1489
2.000000, 88.866, 152.8705
2.030000, 89.022, 151.3501
2.060000, 89.174, 149.8489
2.090000, 89.323, 148.3703
2.120000, 89.469, 146.9173
2.140000, 89.565, 145.9639
