* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:43:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ P50 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.190, 35.7363
1.015000, 40.346, 34.5236
1.030000, 40.500, 33.3343
1.044000, 40.642, 32.2437
1.060000, 40.803, 31.0183
1.075000, 40.952, 29.8876
1.090000, 41.099, 28.7714
1.106000, 41.253, 27.5900
1.120000, 41.387, 26.5554
1.138000, 41.557, 25.2202
1.150000, 41.669, 24.3280
1.172000, 41.873, 22.6919
1.180000, 41.946, 22.0979
1.206000, 42.182, 20.1751
1.220000, 42.307, 19.1471
1.241000, 42.493, 17.6187
1.250000, 42.572, 16.9696
1.265000, 42.702, 15.8967
1.280000, 42.831, 14.8364
1.315000, 43.127, 12.4177
1.320000, 43.169, 12.0791
1.340000, 43.334, 10.7438
1.360000, 43.497, 9.4402
1.380000, 43.658, 8.1702
1.400000, 43.817, 6.9355
1.430000, 44.050, 5.1521
1.450000, 44.203, 4.0095
1.475000, 44.391, 2.6256
1.500000, 44.575, 1.2680
1.525000, 44.755, -0.0733
1.550000, 44.931, -1.3977
1.575000, 45.103, -2.7032
1.600000, 45.272, -3.9882
1.625000, 45.437, -5.2511
1.650000, 45.599, -6.4907
1.675000, 45.757, -7.7056
1.700000, 45.913, -8.8951
1.725000, 46.065, -10.0583
1.750000, 46.215, -11.1945
1.775000, 46.362, -12.3032
1.800000, 46.507, -13.3843
1.825000, 46.650, -14.4397
1.850000, 46.789, -15.4782
1.875000, 46.925, -16.5111
1.900000, 47.058, -17.5402
1.925000, 47.187, -18.5631
1.950000, 47.314, -19.5771
1.975000, 47.437, -20.5793
2.000000, 47.558, -21.5668
2.030000, 47.700, -22.7286
2.060000, 47.839, -23.8611
2.090000, 47.974, -24.9598
2.120000, 48.108, -26.0208
2.140000, 48.196, -26.7053
2.180000, 48.369, -28.0162
2.200000, 48.454, -28.6440
2.240000, 48.621, -29.8625
2.270000, 48.741, -30.7535
2.300000, 48.859, -31.6260
2.330000, 48.973, -32.4790
2.360000, 49.085, -33.3109
2.400000, 49.231, -34.3849
2.430000, 49.340, -35.1617
2.470000, 49.482, -36.1558
2.500000, 49.589, -36.8677
2.540000, 49.731, -37.7688
2.580000, 49.873, -38.6138
2.620000, 50.014, -39.4082
2.650000, 50.117, -39.9754
2.690000, 50.253, -40.6977
2.720000, 50.354, -41.2166
2.760000, 50.489, -41.8814
2.800000, 50.624, -42.5183
2.850000, 50.794, -43.2796
2.900000, 50.968, -44.0061
2.950000, 51.145, -44.6939
3.000000, 51.326, -45.3303
3.040000, 51.471, -45.8048
3.070000, 51.581, -46.1452
3.110000, 51.729, -46.5845
3.150000, 51.879, -47.0135
3.200000, 52.068, -47.5453
3.250000, 52.259, -48.0821
3.300000, 52.454, -48.6271
3.350000, 52.653, -49.1640
3.400000, 52.856, -49.6824
3.450000, 53.061, -50.1913
3.500000, 53.268, -50.7036
3.550000, 53.476, -51.2314
3.600000, 53.683, -51.7854
3.650000, 53.889, -52.3729
3.700000, 54.095, -52.9885
3.750000, 54.301, -53.6194
3.820000, 54.591, -54.5226
3.870000, 54.796, -55.1849
3.950000, 55.119, -56.2825
4.000000, 55.316, -56.9970
4.060000, 55.545, -57.8869
4.120000, 55.771, -58.8085
4.180000, 55.991, -59.7533
4.250000, 56.241, -60.8741
4.310000, 56.449, -61.8438
4.370000, 56.648, -62.8189
4.440000, 56.871, -63.9709
4.500000, 57.053, -64.9785
4.550000, 57.200, -65.8272
4.620000, 57.397, -67.0150
4.680000, 57.558, -68.0210
4.750000, 57.738, -69.1709
4.820000, 57.907, -70.3049
4.870000, 58.021, -71.1137
4.940000, 58.174, -72.2388
5.000000, 58.298, -73.1862
5.080000, 58.455, -74.4085
5.150000, 58.585, -75.4340
5.220000, 58.707, -76.4298
5.300000, 58.838, -77.5383
5.380000, 58.961, -78.6076
5.450000, 59.065, -79.5028
5.520000, 59.165, -80.3569
5.600000, 59.275, -81.2892
5.700000, 59.404, -82.3978
5.800000, 59.529, -83.4463
5.900000, 59.651, -84.4342
6.000000, 59.769, -85.3638
6.080000, 59.862, -86.0714
6.150000, 59.942, -86.6687
6.220000, 60.022, -87.2483
6.300000, 60.111, -87.8893
6.400000, 60.222, -88.6587
6.500000, 60.332, -89.3972
6.600000, 60.440, -90.1096
6.700000, 60.546, -90.7979
6.800000, 60.651, -91.4621
6.900000, 60.754, -92.1036
7.000000, 60.857, -92.7225
7.100000, 60.959, -93.3189
7.200000, 61.061, -93.8970
7.300000, 61.164, -94.4616
7.400000, 61.268, -95.0120
7.500000, 61.374, -95.5492
7.620000, 61.503, -96.1938
7.750000, 61.648, -96.9087
