* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:40:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ P50 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 35.412, 12.9483
1.015000, 35.672, 12.3587
1.030000, 35.929, 11.7686
1.044000, 36.167, 11.2163
1.060000, 36.437, 10.5821
1.075000, 36.689, 9.9838
1.090000, 36.940, 9.3817
1.106000, 37.206, 8.7386
1.120000, 37.435, 8.1825
1.138000, 37.725, 7.4811
1.150000, 37.916, 7.0220
1.172000, 38.258, 6.1970
1.180000, 38.381, 5.9020
1.206000, 38.772, 4.9598
1.220000, 38.978, 4.4622
1.241000, 39.283, 3.7271
1.250000, 39.412, 3.4158
1.265000, 39.624, 2.9016
1.280000, 39.834, 2.3927
1.315000, 40.313, 1.2223
1.320000, 40.380, 1.0568
1.340000, 40.647, 0.3982
1.360000, 40.911, -0.2557
1.380000, 41.171, -0.9060
1.400000, 41.429, -1.5536
1.430000, 41.810, -2.5224
1.450000, 42.062, -3.1671
1.475000, 42.373, -3.9685
1.500000, 42.679, -4.7539
1.525000, 42.977, -5.5201
1.550000, 43.270, -6.2696
1.575000, 43.556, -7.0057
1.600000, 43.837, -7.7315
1.625000, 44.113, -8.4496
1.650000, 44.383, -9.1627
1.675000, 44.649, -9.8733
1.700000, 44.910, -10.5836
1.725000, 45.167, -11.2956
1.750000, 45.420, -12.0114
1.775000, 45.670, -12.7326
1.800000, 45.917, -13.4609
1.825000, 46.161, -14.1968
1.850000, 46.401, -14.9376
1.875000, 46.637, -15.6779
1.900000, 46.868, -16.4153
1.925000, 47.095, -17.1490
1.950000, 47.318, -17.8785
1.975000, 47.537, -18.6037
2.000000, 47.752, -19.3246
2.030000, 48.005, -20.1841
2.060000, 48.253, -21.0381
2.090000, 48.496, -21.8872
2.120000, 48.736, -22.7323
2.140000, 48.893, -23.2941
2.180000, 49.203, -24.4151
2.200000, 49.355, -24.9753
2.240000, 49.654, -26.0961
2.270000, 49.872, -26.9361
2.300000, 50.085, -27.7737
2.330000, 50.294, -28.6074
2.360000, 50.498, -29.4360
2.400000, 50.764, -30.5314
2.430000, 50.960, -31.3452
2.470000, 51.214, -32.4192
2.500000, 51.401, -33.2165
2.540000, 51.646, -34.2691
2.580000, 51.884, -35.3137
2.620000, 52.117, -36.3574
2.650000, 52.286, -37.1400
2.690000, 52.506, -38.1801
2.720000, 52.668, -38.9556
2.760000, 52.877, -39.9806
