* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:13:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Epic Audio Enceph L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 46.385, 77.1537
1.015000, 46.457, 76.9955
1.030000, 46.528, 76.8498
1.044000, 46.593, 76.7255
1.060000, 46.666, 76.5978
1.075000, 46.735, 76.4925
1.090000, 46.803, 76.4011
1.106000, 46.875, 76.3164
1.120000, 46.936, 76.2482
1.138000, 47.010, 76.1650
1.150000, 47.057, 76.1124
1.172000, 47.137, 76.0225
1.180000, 47.165, 75.9922
1.206000, 47.251, 75.9034
1.220000, 47.293, 75.8624
1.241000, 47.354, 75.8109
1.250000, 47.379, 75.7928
1.265000, 47.420, 75.7683
1.280000, 47.458, 75.7513
1.315000, 47.543, 75.7434
1.320000, 47.555, 75.7461
1.340000, 47.600, 75.7677
1.360000, 47.645, 75.8069
1.380000, 47.689, 75.8649
1.400000, 47.732, 75.9426
1.430000, 47.798, 76.0987
1.450000, 47.843, 76.2303
1.475000, 47.899, 76.4249
1.500000, 47.952, 76.6479
1.525000, 48.001, 76.8963
1.550000, 48.046, 77.1695
1.575000, 48.088, 77.4669
1.600000, 48.129, 77.7880
1.625000, 48.167, 78.1325
1.650000, 48.206, 78.4997
1.675000, 48.245, 78.8890
1.700000, 48.285, 79.2995
1.725000, 48.327, 79.7306
1.750000, 48.372, 80.1812
1.775000, 48.420, 80.6503
1.800000, 48.473, 81.1368
1.825000, 48.531, 81.6407
1.850000, 48.592, 82.1660
1.875000, 48.657, 82.7174
1.900000, 48.723, 83.2940
1.925000, 48.791, 83.8919
1.950000, 48.862, 84.5069
