* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:12:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Epic Audio Enceph R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.046, 106.0489
1.015000, 53.100, 105.8063
1.030000, 53.154, 105.5908
1.044000, 53.206, 105.4148
1.060000, 53.267, 105.2445
1.075000, 53.326, 105.1156
1.090000, 53.387, 105.0173
1.106000, 53.454, 104.9477
1.120000, 53.512, 104.9180
1.138000, 53.588, 104.9208
1.150000, 53.638, 104.9464
1.172000, 53.730, 105.0374
1.180000, 53.763, 105.0834
1.206000, 53.873, 105.2744
1.220000, 53.933, 105.4003
1.241000, 54.023, 105.6143
1.250000, 54.062, 105.7139
1.265000, 54.128, 105.8885
1.280000, 54.195, 106.0720
1.315000, 54.356, 106.5223
1.320000, 54.380, 106.5880
1.340000, 54.476, 106.8508
1.360000, 54.575, 107.1102
1.380000, 54.677, 107.3613
1.400000, 54.782, 107.5995
1.430000, 54.948, 107.9229
1.450000, 55.063, 108.1114
1.475000, 55.215, 108.3253
1.500000, 55.373, 108.5493
1.525000, 55.540, 108.7940
1.550000, 55.713, 109.0511
1.575000, 55.892, 109.3109
1.600000, 56.076, 109.5644
1.625000, 56.264, 109.8030
1.650000, 56.455, 110.0193
1.675000, 56.649, 110.2063
1.700000, 56.844, 110.3578
1.725000, 57.039, 110.4683
1.750000, 57.234, 110.5330
1.775000, 57.428, 110.5475
1.800000, 57.620, 110.5084
1.825000, 57.810, 110.4159
1.850000, 57.999, 110.2838
1.875000, 58.189, 110.1315
1.900000, 58.382, 109.9646
1.925000, 58.577, 109.7816
1.950000, 58.773, 109.5806
1.975000, 58.969, 109.3595
2.000000, 59.164, 109.1163
2.030000, 59.398, 108.7928
2.060000, 59.628, 108.4320
2.090000, 59.854, 108.0308
2.120000, 60.076, 107.5865
2.140000, 60.220, 107.2648
2.180000, 60.498, 106.5570
2.200000, 60.632, 106.1701
2.240000, 60.894, 105.3371
2.270000, 61.085, 104.6693
2.300000, 61.272, 103.9717
2.330000, 61.455, 103.2499
2.360000, 61.632, 102.5082
2.400000, 61.862, 101.4948
2.430000, 62.028, 100.7199
