* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:36:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears KE4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.013, -157.8061
1.015000, 42.260, -159.0605
1.030000, 42.504, -160.2841
1.044000, 42.727, -161.4011
1.060000, 42.976, -162.6517
1.075000, 43.203, -163.8021
1.090000, 43.423, -164.9346
1.106000, 43.652, -166.1268
1.120000, 43.848, -167.1598
1.138000, 44.097, -168.4740
1.150000, 44.262, -169.3408
1.172000, 44.559, -170.9077
1.180000, 44.666, -171.4698
1.206000, 45.009, -173.2669
1.220000, 45.191, -174.2146
1.241000, 45.460, -175.6087
1.250000, 45.574, -176.1958
1.265000, 45.762, -177.1603
1.280000, 45.948, -178.1071
1.315000, 46.375, 179.7533
1.320000, 46.435, 179.4556
1.340000, 46.673, 178.2847
1.360000, 46.908, 177.1453
1.380000, 47.139, 176.0369
1.400000, 47.367, 174.9589
1.430000, 47.702, 173.3975
1.450000, 47.922, 172.3921
1.475000, 48.191, 171.1711
1.500000, 48.455, 169.9810
1.525000, 48.712, 168.8175
1.550000, 48.962, 167.6791
1.575000, 49.207, 166.5648
1.600000, 49.446, 165.4734
1.625000, 49.680, 164.4037
1.650000, 49.909, 163.3544
1.675000, 50.134, 162.3241
1.700000, 50.354, 161.3116
1.725000, 50.570, 160.3154
1.750000, 50.783, 159.3342
1.775000, 50.993, 158.3668
1.800000, 51.199, 157.4115
1.825000, 51.403, 156.4666
1.850000, 51.604, 155.5289
1.875000, 51.801, 154.5958
1.900000, 51.993, 153.6678
1.925000, 52.181, 152.7466
1.950000, 52.364, 151.8336
1.975000, 52.544, 150.9304
2.000000, 52.721, 150.0378
2.030000, 52.928, 148.9822
2.060000, 53.131, 147.9449
2.090000, 53.330, 146.9265
2.120000, 53.526, 145.9279
2.140000, 53.654, 145.2733
2.180000, 53.907, 143.9905
2.200000, 54.032, 143.3608
2.240000, 54.275, 142.1149
2.270000, 54.453, 141.1888
2.300000, 54.626, 140.2708
2.330000, 54.796, 139.3620
2.360000, 54.962, 138.4640
2.400000, 55.177, 137.2854
