* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:33:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears KE4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.930, -167.9288
1.015000, 46.185, -169.1128
1.030000, 46.436, -170.2713
1.044000, 46.666, -171.3326
1.060000, 46.922, -172.5251
1.075000, 47.156, -173.6266
1.090000, 47.383, -174.7155
1.106000, 47.619, -175.8667
1.120000, 47.821, -176.8680
1.138000, 48.076, -178.1466
1.150000, 48.243, -178.9924
1.172000, 48.545, 179.4740
1.180000, 48.653, 178.9225
1.206000, 48.998, 177.1552
1.220000, 49.180, 176.2208
1.241000, 49.448, 174.8436
1.250000, 49.562, 174.2627
1.265000, 49.749, 173.3072
1.280000, 49.933, 172.3680
1.315000, 50.354, 170.2407
1.320000, 50.413, 169.9442
1.340000, 50.647, 168.7767
1.360000, 50.878, 167.6385
1.380000, 51.105, 166.5293
1.400000, 51.328, 165.4485
1.430000, 51.658, 163.8790
1.450000, 51.874, 162.8655
1.475000, 52.140, 161.6307
1.500000, 52.399, 160.4218
1.525000, 52.651, 159.2344
1.550000, 52.897, 158.0680
1.575000, 53.136, 156.9221
1.600000, 53.369, 155.7964
1.625000, 53.597, 154.6902
1.650000, 53.820, 153.6025
1.675000, 54.037, 152.5325
1.700000, 54.251, 151.4791
1.725000, 54.460, 150.4411
1.750000, 54.665, 149.4173
1.775000, 54.868, 148.4066
1.800000, 55.067, 147.4073
1.825000, 55.263, 146.4176
1.850000, 55.456, 145.4329
1.875000, 55.645, 144.4493
1.900000, 55.829, 143.4674
1.925000, 56.009, 142.4894
1.950000, 56.184, 141.5175
1.975000, 56.356, 140.5537
2.000000, 56.523, 139.5995
2.030000, 56.720, 138.4691
2.060000, 56.912, 137.3567
2.090000, 57.100, 136.2635
2.120000, 57.284, 135.1910
2.140000, 57.405, 134.4877
2.180000, 57.642, 133.1090
2.200000, 57.758, 132.4317
2.240000, 57.986, 131.0875
2.270000, 58.151, 130.0839
2.300000, 58.312, 129.0855
2.330000, 58.468, 128.0947
2.360000, 58.621, 127.1135
2.400000, 58.818, 125.8235
2.430000, 58.963, 124.8721
2.470000, 59.150, 123.6273
2.500000, 59.288, 122.7132
2.540000, 59.467, 121.5214
2.580000, 59.643, 120.3557
2.620000, 59.812, 119.2026
2.650000, 59.935, 118.3429
2.690000, 60.094, 117.2054
2.720000, 60.210, 116.3607
2.760000, 60.361, 115.2483
2.800000, 60.507, 114.1545
2.850000, 60.684, 112.8180
2.900000, 60.855, 111.5191
2.950000, 61.022, 110.2546
3.000000, 61.181, 109.0081
3.040000, 61.304, 108.0203
3.070000, 61.394, 107.2861
3.110000, 61.510, 106.3184
3.150000, 61.623, 105.3659
3.200000, 61.759, 104.2005
3.250000, 61.892, 103.0673
3.300000, 62.021, 101.9675
3.350000, 62.145, 100.8926
3.400000, 62.265, 99.8346
3.450000, 62.380, 98.7938
3.500000, 62.491, 97.7724
3.550000, 62.598, 96.7729
3.600000, 62.703, 95.7978
3.650000, 62.804, 94.8485
