* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 6:18:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Crin Singolo L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.025, 11.2847
1.015000, 53.121, 11.0803
1.030000, 53.215, 10.8609
1.044000, 53.303, 10.6422
1.060000, 53.402, 10.3751
1.075000, 53.494, 10.1077
1.090000, 53.584, 9.8233
1.106000, 53.680, 9.5022
1.120000, 53.763, 9.2083
1.138000, 53.870, 8.8151
1.150000, 53.941, 8.5443
1.172000, 54.072, 8.0313
1.180000, 54.119, 7.8398
1.206000, 54.272, 7.2009
1.220000, 54.354, 6.8472
1.241000, 54.476, 6.3055
1.250000, 54.528, 6.0694
1.265000, 54.614, 5.6712
1.280000, 54.700, 5.2675
1.315000, 54.897, 4.3061
1.320000, 54.925, 4.1667
1.340000, 55.036, 3.6046
1.360000, 55.145, 3.0354
1.380000, 55.253, 2.4597
1.400000, 55.358, 1.8778
1.430000, 55.513, 0.9938
1.450000, 55.614, 0.3970
1.475000, 55.737, -0.3600
1.500000, 55.857, -1.1348
1.525000, 55.976, -1.9282
1.550000, 56.092, -2.7373
1.575000, 56.206, -3.5593
1.600000, 56.318, -4.3916
1.625000, 56.427, -5.2320
1.650000, 56.534, -6.0787
1.675000, 56.638, -6.9300
1.700000, 56.739, -7.7847
1.725000, 56.837, -8.6418
1.750000, 56.933, -9.5006
1.775000, 57.025, -10.3607
1.800000, 57.114, -11.2220
1.825000, 57.200, -12.0869
1.850000, 57.283, -12.9644
1.875000, 57.363, -13.8650
1.900000, 57.440, -14.7888
1.925000, 57.514, -15.7310
1.950000, 57.586, -16.6869
1.975000, 57.654, -17.6516
2.000000, 57.720, -18.6207
2.030000, 57.795, -19.7833
2.060000, 57.865, -20.9393
2.090000, 57.932, -22.0824
2.120000, 57.994, -23.2067
2.140000, 58.032, -23.9432
2.180000, 58.104, -25.3813
2.200000, 58.137, -26.0864
2.240000, 58.196, -27.5029
2.270000, 58.235, -28.5849
2.300000, 58.269, -29.6803
2.330000, 58.300, -30.7821
2.360000, 58.325, -31.8834
2.400000, 58.353, -33.3380
2.430000, 58.369, -34.4093
2.470000, 58.385, -35.7971
2.500000, 58.392, -36.7981
2.540000, 58.395, -38.0679
2.580000, 58.391, -39.2688
2.620000, 58.378, -40.4390
2.650000, 58.362, -41.3079
2.690000, 58.335, -42.4508
2.720000, 58.309, -43.2908
2.760000, 58.270, -44.3779
2.800000, 58.227, -45.4152
2.850000, 58.168, -46.6184
2.900000, 58.107, -47.6892
2.950000, 58.043, -48.6088
3.000000, 57.967, -49.3965
3.040000, 57.898, -49.9439
3.070000, 57.844, -50.3078
3.110000, 57.772, -50.7311
3.150000, 57.701, -51.0829
3.200000, 57.621, -51.4202
3.250000, 57.556, -51.6396
3.300000, 57.510, -51.7280
3.350000, 57.477, -51.6508
3.400000, 57.453, -51.4001
3.450000, 57.438, -51.0097
3.500000, 57.439, -50.5245
3.550000, 57.460, -49.9924
3.600000, 57.505, -49.4610
3.650000, 57.579, -48.9632
3.700000, 57.685, -48.4739
3.750000, 57.822, -47.9454
3.820000, 58.057, -47.1885
3.870000, 58.249, -46.7069
3.950000, 58.583, -46.1732
4.000000, 58.801, -46.0444
4.060000, 59.073, -46.0983
4.120000, 59.365, -46.3073
4.180000, 59.675, -46.6448
4.250000, 60.047, -47.2144
4.310000, 60.361, -47.8699
4.370000, 60.661, -48.6944
4.440000, 60.993, -49.8769
4.500000, 61.268, -51.0549
4.550000, 61.492, -52.1234
4.620000, 61.792, -53.7114
4.680000, 62.033, -55.1317
4.750000, 62.291, -56.8467
4.820000, 62.524, -58.6624
4.870000, 62.676, -60.0370
4.940000, 62.870, -62.0302
5.000000, 63.018, -63.7537
5.080000, 63.189, -66.0069
5.150000, 63.313, -67.9271
5.220000, 63.413, -69.8656
5.300000, 63.499, -72.1117
5.380000, 63.557, -74.3084
5.450000, 63.587, -76.1167
5.520000, 63.599, -77.7946
5.600000, 63.587, -79.6125
5.700000, 63.538, -81.7552
5.800000, 63.467, -83.6550
5.900000, 63.382, -85.2016
6.000000, 63.277, -86.4028
6.080000, 63.187, -87.1477
6.150000, 63.116, -87.6494
6.220000, 63.061, -88.0036
6.300000, 63.015, -88.1990
6.400000, 62.980, -88.1424
6.500000, 62.982, -87.8928
6.600000, 63.037, -87.5952
6.700000, 63.151, -87.2464
6.800000, 63.316, -86.8791
6.900000, 63.515, -86.6572
7.000000, 63.741, -86.6894
7.100000, 63.998, -86.9428
7.200000, 64.273, -87.4001
7.300000, 64.542, -88.0896
7.400000, 64.797, -89.0316
7.500000, 65.042, -90.1889
7.620000, 65.310, -91.7541
7.750000, 65.553, -93.6001
7.880000, 65.747, -95.6112
8.000000, 65.885, -97.4807
8.120000, 65.983, -99.2617
8.250000, 66.043, -101.1177
8.380000, 66.069, -102.8060
8.500000, 66.071, -104.1238
8.620000, 66.053, -105.2254
8.750000, 66.030, -106.1763
8.850000, 66.021, -106.7141
9.000000, 66.022, -107.2220
9.120000, 66.048, -107.4655
9.250000, 66.112, -107.6256
9.380000, 66.214, -107.7120
9.500000, 66.334, -107.8383
9.620000, 66.479, -108.0710
