* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 6:14:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Crin Singolo R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 44.081, 3.4715
1.015000, 44.194, 3.0982
1.030000, 44.306, 2.7219
1.044000, 44.409, 2.3679
1.060000, 44.526, 1.9598
1.075000, 44.634, 1.5737
1.090000, 44.740, 1.1836
1.106000, 44.852, 0.7614
1.120000, 44.949, 0.3843
1.138000, 45.072, -0.1116
1.150000, 45.154, -0.4484
1.172000, 45.300, -1.0761
1.180000, 45.353, -1.3072
1.206000, 45.523, -2.0654
1.220000, 45.613, -2.4769
1.241000, 45.746, -3.0962
1.250000, 45.803, -3.3618
1.265000, 45.896, -3.8040
1.280000, 45.988, -4.2449
1.315000, 46.200, -5.2638
1.320000, 46.230, -5.4079
1.340000, 46.348, -5.9793
1.360000, 46.465, -6.5417
1.380000, 46.580, -7.0937
1.400000, 46.694, -7.6340
1.430000, 46.862, -8.4197
1.450000, 46.972, -8.9258
1.475000, 47.108, -9.5417
1.500000, 47.240, -10.1505
1.525000, 47.370, -10.7570
1.550000, 47.496, -11.3603
1.575000, 47.620, -11.9589
1.600000, 47.741, -12.5511
1.625000, 47.859, -13.1354
1.650000, 47.976, -13.7103
1.675000, 48.091, -14.2743
1.700000, 48.204, -14.8260
1.725000, 48.315, -15.3640
1.750000, 48.426, -15.8871
1.775000, 48.535, -16.3940
1.800000, 48.644, -16.8835
1.825000, 48.752, -17.3554
1.850000, 48.858, -17.8128
1.875000, 48.963, -18.2609
1.900000, 49.065, -18.7010
1.925000, 49.165, -19.1331
1.950000, 49.263, -19.5565
1.975000, 49.361, -19.9707
2.000000, 49.457, -20.3750
2.030000, 49.571, -20.8462
2.060000, 49.685, -21.3010
2.090000, 49.798, -21.7381
2.120000, 49.913, -22.1563
2.140000, 49.989, -22.4239
2.180000, 50.145, -22.9304
2.200000, 50.223, -23.1683
2.240000, 50.381, -23.6108
2.270000, 50.499, -23.9155
2.300000, 50.616, -24.2007
2.330000, 50.734, -24.4700
2.360000, 50.851, -24.7268
2.400000, 51.010, -25.0554
2.430000, 51.130, -25.2952
2.470000, 51.293, -25.6113
2.500000, 51.417, -25.8486
2.540000, 51.586, -26.1683
2.580000, 51.760, -26.4850
2.620000, 51.939, -26.7786
2.650000, 52.075, -26.9820
2.690000, 52.260, -27.2403
2.720000, 52.400, -27.4315
2.760000, 52.589, -27.6932
2.800000, 52.781, -27.9731
2.850000, 53.022, -28.3645
2.900000, 53.265, -28.8170
2.950000, 53.511, -29.3276
3.000000, 53.760, -29.8599
3.040000, 53.964, -30.2943
3.070000, 54.117, -30.6287
3.110000, 54.323, -31.0918
3.150000, 54.528, -31.5808
3.200000, 54.783, -32.2382
3.250000, 55.032, -32.9574
3.300000, 55.277, -33.7444
3.350000, 55.518, -34.5884
3.400000, 55.757, -35.4730
3.450000, 55.993, -36.3906
3.500000, 56.225, -37.3379
3.550000, 56.451, -38.3134
3.600000, 56.668, -39.3177
3.650000, 56.876, -40.3546
3.700000, 57.075, -41.4348
3.750000, 57.267, -42.5629
3.820000, 57.523, -44.1980
3.870000, 57.696, -45.3833
3.950000, 57.953, -47.2724
4.000000, 58.101, -48.4360
4.060000, 58.265, -49.8295
4.120000, 58.414, -51.2563
4.180000, 58.549, -52.7082
4.250000, 58.689, -54.3883
4.310000, 58.796, -55.7771
4.370000, 58.889, -57.0921
4.440000, 58.980, -58.5483
4.500000, 59.042, -59.7726
4.550000, 59.084, -60.7736
4.620000, 59.129, -62.1130
4.680000, 59.159, -63.1688
4.750000, 59.186, -64.2547
4.820000, 59.202, -65.1852
4.870000, 59.205, -65.7741
4.940000, 59.200, -66.4970
5.000000, 59.195, -67.0148
5.080000, 59.197, -67.5386
5.150000, 59.212, -67.8172
5.220000, 59.233, -67.9133
5.300000, 59.266, -67.8322
5.380000, 59.318, -67.6145
5.450000, 59.391, -67.3643
5.520000, 59.495, -67.0699
5.600000, 59.650, -66.6410
5.700000, 59.890, -66.0469
5.800000, 60.172, -65.5946
5.900000, 60.496, -65.4114
6.000000, 60.866, -65.4265
6.080000, 61.184, -65.5970
6.150000, 61.468, -65.9076
6.220000, 61.748, -66.3945
6.300000, 62.065, -67.1531
6.400000, 62.462, -68.3376
6.500000, 62.845, -69.7391
6.600000, 63.201, -71.3491
6.700000, 63.526, -73.1806
6.800000, 63.824, -75.1786
6.900000, 64.091, -77.2500
7.000000, 64.321, -79.3680
7.100000, 64.516, -81.5727
7.200000, 64.677, -83.8098
7.300000, 64.806, -85.9844
7.400000, 64.903, -88.0865
7.500000, 64.967, -90.1531
7.620000, 65.008, -92.5106
7.750000, 65.016, -94.8004
7.880000, 64.986, -96.8441
8.000000, 64.938, -98.4936
8.120000, 64.882, -99.8546
8.250000, 64.813, -101.0075
8.380000, 64.751, -101.8774
8.500000, 64.714, -102.4389
8.620000, 64.696, -102.7760
8.750000, 64.705, -102.9884
8.850000, 64.737, -103.0946
9.000000, 64.825, -103.1750
9.120000, 64.922, -103.2513
9.250000, 65.050, -103.4130
9.380000, 65.200, -103.6566
9.500000, 65.348, -103.9734
9.620000, 65.500, -104.3926
9.750000, 65.667, -104.9484
9.880000, 65.832, -105.5916
10.000000, 65.979, -106.2552
10.150000, 66.156, -107.1664
10.300000, 66.326, -108.1450
10.440000, 66.477, -109.1114
10.600000, 66.640, -110.2761
10.750000, 66.785, -111.4241
10.900000, 66.919, -112.6238
11.060000, 67.047, -113.9584
11.200000, 67.146, -115.1686
11.380000, 67.249, -116.7448
11.500000, 67.301, -117.7987
11.720000, 67.361, -119.6640
11.800000, 67.371, -120.2996
12.060000, 67.371, -122.1468
12.200000, 67.358, -122.9463
12.410000, 67.337, -123.8748
12.500000, 67.334, -124.1735
12.650000, 67.343, -124.5507
12.800000, 67.375, -124.8376
13.150000, 67.564, -125.4738
13.200000, 67.602, -125.6013
13.400000, 67.776, -126.2699
13.600000, 67.961, -127.2477
13.800000, 68.135, -128.5503
14.000000, 68.273, -130.0939
14.300000, 68.383, -132.6216
14.500000, 68.387, -134.2244
14.750000, 68.330, -135.8838
15.000000, 68.240, -136.9898
15.250000, 68.171, -137.4930
15.500000, 68.171, -137.5731
15.750000, 68.261, -137.5334
16.000000, 68.429, -137.7222
16.250000, 68.632, -138.3466
16.500000, 68.821, -139.4200
16.750000, 68.955, -140.7994
17.000000, 69.019, -142.2346
17.250000, 69.020, -143.4894
17.500000, 68.983, -144.3792
17.750000, 68.950, -144.8555
18.000000, 68.954, -145.0215
18.250000, 69.015, -145.0887
18.500000, 69.125, -145.3029
18.750000, 69.257, -145.8179
19.000000, 69.375, -146.6669
19.250000, 69.448, -147.7483
19.500000, 69.464, -148.8876
19.750000, 69.426, -149.9029
20.000000, 69.352, -150.6445
20.299999, 69.259, -151.1020
20.600000, 69.203, -151.1860
20.900000, 69.210, -151.1500
21.200001, 69.272, -151.2707
21.400000, 69.328, -151.5221
21.799999, 69.431, -152.4410
22.000000, 69.465, -153.0491
22.400000, 69.491, -154.3682
22.700001, 69.485, -155.3380
23.000000, 69.468, -156.2559
23.299999, 69.446, -157.1311
23.600000, 69.418, -157.9693
24.000000, 69.371, -158.9879
24.299999, 69.332, -159.6273
24.700001, 69.295, -160.2922
25.000000, 69.292, -160.7069
25.400000, 69.319, -161.2905
