* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:27:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MOONDROP Classic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 85.570, -7.2582
1.015000, 85.776, -8.1731
1.030000, 85.979, -9.0774
1.044000, 86.166, -9.9137
1.060000, 86.379, -10.8623
1.075000, 86.576, -11.7469
1.090000, 86.772, -12.6291
1.106000, 86.978, -13.5715
1.120000, 87.156, -14.4009
1.138000, 87.379, -15.4739
1.150000, 87.525, -16.1917
1.172000, 87.787, -17.5084
1.180000, 87.880, -17.9864
1.206000, 88.177, -19.5323
1.220000, 88.332, -20.3578
1.241000, 88.561, -21.5837
1.250000, 88.657, -22.1038
1.265000, 88.815, -22.9629
1.280000, 88.970, -23.8114
1.315000, 89.323, -25.7454
1.320000, 89.373, -26.0161
1.340000, 89.568, -27.0843
1.360000, 89.760, -28.1283
1.380000, 89.948, -29.1475
1.400000, 90.134, -30.1416
1.430000, 90.407, -31.5849
1.450000, 90.586, -32.5160
1.475000, 90.807, -33.6518
1.500000, 91.022, -34.7729
1.525000, 91.230, -35.8859
1.550000, 91.432, -36.9895
1.575000, 91.628, -38.0817
1.600000, 91.818, -39.1610
1.625000, 92.003, -40.2257
1.650000, 92.183, -41.2747
1.675000, 92.358, -42.3072
1.700000, 92.529, -43.3223
1.725000, 92.696, -44.3195
1.750000, 92.860, -45.2985
1.775000, 93.020, -46.2589
1.800000, 93.178, -47.2011
1.825000, 93.333, -48.1266
1.850000, 93.484, -49.0433
1.875000, 93.632, -49.9603
1.900000, 93.774, -50.8786
1.925000, 93.913, -51.7958
1.950000, 94.047, -52.7090
1.975000, 94.178, -53.6155
2.000000, 94.305, -54.5128
2.030000, 94.454, -55.5741
