* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:19:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MOONDROP Classic R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 86.897, -8.5420
1.015000, 87.108, -9.4384
1.030000, 87.316, -10.3254
1.044000, 87.509, -11.1467
1.060000, 87.727, -12.0793
1.075000, 87.929, -12.9501
1.090000, 88.130, -13.8196
1.106000, 88.342, -14.7490
1.120000, 88.525, -15.5663
1.138000, 88.755, -16.6224
1.150000, 88.905, -17.3281
1.172000, 89.173, -18.6210
1.180000, 89.269, -19.0899
1.206000, 89.574, -20.6055
1.220000, 89.734, -21.4142
1.241000, 89.969, -22.6148
1.250000, 90.068, -23.1241
1.265000, 90.230, -23.9652
1.280000, 90.390, -24.7960
1.315000, 90.753, -26.6905
1.320000, 90.804, -26.9559
1.340000, 91.005, -28.0035
1.360000, 91.202, -29.0285
1.380000, 91.396, -30.0304
1.400000, 91.588, -31.0092
1.430000, 91.870, -32.4337
1.450000, 92.055, -33.3552
1.475000, 92.283, -34.4814
1.500000, 92.505, -35.5933
1.525000, 92.721, -36.6964
1.550000, 92.930, -37.7895
1.575000, 93.133, -38.8711
1.600000, 93.331, -39.9399
1.625000, 93.523, -40.9949
1.650000, 93.710, -42.0351
1.675000, 93.892, -43.0601
1.700000, 94.071, -44.0695
1.725000, 94.245, -45.0629
1.750000, 94.416, -46.0405
1.775000, 94.584, -47.0022
1.800000, 94.749, -47.9486
1.825000, 94.911, -48.8814
1.850000, 95.070, -49.8075
1.875000, 95.224, -50.7349
1.900000, 95.375, -51.6640
1.925000, 95.521, -52.5924
1.950000, 95.662, -53.5174
1.975000, 95.801, -54.4363
2.000000, 95.935, -55.3469
2.030000, 96.092, -56.4255
2.060000, 96.245, -57.4855
2.090000, 96.394, -58.5241
2.120000, 96.539, -59.5385
2.140000, 96.635, -60.2002
2.180000, 96.821, -61.4872
2.200000, 96.912, -62.1145
2.240000, 97.090, -63.3533
2.270000, 97.217, -64.2763
2.300000, 97.341, -65.1932
2.330000, 97.461, -66.1018
2.360000, 97.577, -66.9997
2.400000, 97.727, -68.1765
2.430000, 97.835, -69.0410
2.470000, 97.977, -70.1655
2.500000, 98.080, -70.9854
2.540000, 98.215, -72.0444
2.580000, 98.346, -73.0676
2.620000, 98.472, -74.0685
2.650000, 98.564, -74.8087
2.690000, 98.681, -75.7813
2.720000, 98.767, -76.4991
2.760000, 98.877, -77.4387
2.800000, 98.984, -78.3565
2.850000, 99.114, -79.4696
2.900000, 99.241, -80.5411
2.950000, 99.365, -81.5714
3.000000, 99.484, -82.5709
3.040000, 99.576, -83.3521
3.070000, 99.643, -83.9274
3.110000, 99.730, -84.6799
3.150000, 99.816, -85.4153
3.200000, 99.920, -86.3095
3.250000, 100.022, -87.1742
3.300000, 100.123, -88.0087
3.350000, 100.222, -88.8149
3.400000, 100.318, -89.5962
3.450000, 100.412, -90.3551
3.500000, 100.504, -91.0935
3.550000, 100.594, -91.8130
3.600000, 100.683, -92.5150
3.650000, 100.771, -93.2003
3.700000, 100.859, -93.8693
3.750000, 100.944, -94.5218
3.820000, 101.062, -95.4097
3.870000, 101.145, -96.0274
3.950000, 101.275, -96.9905
4.000000, 101.356, -97.5784
4.060000, 101.451, -98.2704
4.120000, 101.544, -98.9473
4.180000, 101.637, -99.6099
4.250000, 101.742, -100.3666
4.310000, 101.831, -101.0026
4.370000, 101.919, -101.6285
4.440000, 102.019, -102.3471
4.500000, 102.103, -102.9535
4.550000, 102.172, -103.4520
4.620000, 102.267, -104.1393
4.680000, 102.347, -104.7183
4.750000, 102.438, -105.3821
