* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:28:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Monitor L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 84.209, -6.2077
1.015000, 84.376, -7.1123
1.030000, 84.542, -8.0136
1.044000, 84.695, -8.8532
1.060000, 84.869, -9.8125
1.075000, 85.030, -10.7132
1.090000, 85.192, -11.6173
1.106000, 85.362, -12.5893
1.120000, 85.510, -13.4499
1.138000, 85.696, -14.5702
1.150000, 85.819, -15.3238
1.172000, 86.039, -16.7145
1.180000, 86.118, -17.2220
1.206000, 86.370, -18.8723
1.220000, 86.503, -19.7591
1.241000, 86.700, -21.0830
1.250000, 86.783, -21.6472
1.265000, 86.919, -22.5821
1.280000, 87.054, -23.5092
1.315000, 87.362, -25.6366
1.320000, 87.405, -25.9359
1.340000, 87.576, -27.1207
1.360000, 87.745, -28.2844
1.380000, 87.911, -29.4262
1.400000, 88.075, -30.5452
1.430000, 88.316, -32.1802
1.450000, 88.474, -33.2417
1.475000, 88.670, -34.5440
1.500000, 88.860, -35.8374
1.525000, 89.046, -37.1282
1.550000, 89.227, -38.4142
1.575000, 89.404, -39.6922
1.600000, 89.577, -40.9596
1.625000, 89.746, -42.2141
1.650000, 89.910, -43.4538
1.675000, 90.071, -44.6770
1.700000, 90.229, -45.8827
1.725000, 90.383, -47.0698
1.750000, 90.534, -48.2378
1.775000, 90.682, -49.3861
1.800000, 90.828, -50.5150
1.825000, 90.971, -51.6267
1.850000, 91.111, -52.7313
1.875000, 91.247, -53.8403
1.900000, 91.379, -54.9549
1.925000, 91.508, -56.0715
1.950000, 91.634, -57.1862
1.975000, 91.756, -58.2950
2.000000, 91.875, -59.3946
2.030000, 92.014, -60.6970
2.060000, 92.149, -61.9757
2.090000, 92.281, -63.2261
2.120000, 92.409, -64.4436
2.140000, 92.493, -65.2351
2.180000, 92.657, -66.7668
2.200000, 92.737, -67.5095
2.240000, 92.892, -68.9733
2.270000, 93.004, -70.0633
2.300000, 93.111, -71.1459
2.330000, 93.215, -72.2176
2.360000, 93.315, -73.2750
2.400000, 93.444, -74.6567
2.430000, 93.538, -75.6671
2.470000, 93.660, -76.9734
2.500000, 93.749, -77.9180
2.540000, 93.866, -79.1254
2.580000, 93.981, -80.2757
2.620000, 94.090, -81.3864
2.650000, 94.169, -82.2000
2.690000, 94.271, -83.2599
2.720000, 94.345, -84.0357
2.760000, 94.441, -85.0433
2.800000, 94.535, -86.0183
2.850000, 94.652, -87.1873
2.900000, 94.769, -88.2961
2.950000, 94.886, -89.3401
3.000000, 95.002, -90.3221
3.040000, 95.092, -91.0692
3.070000, 95.160, -91.6100
3.110000, 95.250, -92.3086
3.150000, 95.339, -92.9850
3.200000, 95.453, -93.8044
3.250000, 95.569, -94.5995
3.300000, 95.689, -95.3706
3.350000, 95.811, -96.1057
3.400000, 95.936, -96.8005
3.450000, 96.063, -97.4658
3.500000, 96.192, -98.1152
3.550000, 96.322, -98.7621
3.600000, 96.454, -99.4184
3.650000, 96.587, -100.0922
3.700000, 96.721, -100.7779
3.750000, 96.859, -101.4625
3.820000, 97.055, -102.4196
3.870000, 97.195, -103.1110
3.950000, 97.417, -104.2506
4.000000, 97.551, -104.9945
4.060000, 97.708, -105.9261
4.120000, 97.864, -106.8947
4.180000, 98.017, -107.8905
4.250000, 98.189, -109.0760
4.310000, 98.328, -110.1067
4.370000, 98.458, -111.1505
4.440000, 98.596, -112.4007
4.500000, 98.706, -113.5137
4.550000, 98.791, -114.4609
4.620000, 98.899, -115.7917
4.680000, 98.979, -116.9148
4.750000, 99.057, -118.1884
4.820000, 99.117, -119.4463
4.870000, 99.150, -120.3532
4.940000, 99.182, -121.6185
5.000000, 99.196, -122.6698
5.080000, 99.198, -123.9759
5.150000, 99.181, -125.0099
5.220000, 99.146, -125.9730
5.300000, 99.085, -126.9960
5.380000, 99.008, -127.8940
5.450000, 98.931, -128.5331
5.520000, 98.846, -129.0081
