* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:20:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Monitor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 85.523, -18.4627
1.015000, 85.743, -19.3085
1.030000, 85.959, -20.1473
1.044000, 86.160, -20.9256
1.060000, 86.387, -21.8118
1.075000, 86.599, -22.6415
1.090000, 86.809, -23.4723
1.106000, 87.031, -24.3628
1.120000, 87.222, -25.1476
1.138000, 87.462, -26.1633
1.150000, 87.618, -26.8428
1.172000, 87.897, -28.0891
1.180000, 87.996, -28.5415
1.206000, 88.311, -30.0045
1.220000, 88.475, -30.7857
1.241000, 88.716, -31.9458
1.250000, 88.817, -32.4381
1.265000, 88.983, -33.2513
1.280000, 89.145, -34.0547
1.315000, 89.514, -35.8877
1.320000, 89.566, -36.1446
1.340000, 89.769, -37.1588
1.360000, 89.968, -38.1517
1.380000, 90.164, -39.1230
1.400000, 90.356, -40.0724
1.430000, 90.640, -41.4559
1.450000, 90.827, -42.3522
1.475000, 91.056, -43.4499
1.500000, 91.279, -44.5379
1.525000, 91.494, -45.6214
1.550000, 91.703, -46.6986
1.575000, 91.905, -47.7672
1.600000, 92.100, -48.8252
1.625000, 92.289, -49.8710
1.650000, 92.473, -50.9032
1.675000, 92.652, -51.9208
1.700000, 92.826, -52.9229
1.725000, 92.996, -53.9089
1.750000, 93.162, -54.8786
1.775000, 93.324, -55.8317
1.800000, 93.483, -56.7684
1.825000, 93.640, -57.6908
1.850000, 93.793, -58.6070
1.875000, 93.941, -59.5268
1.900000, 94.084, -60.4509
1.925000, 94.223, -61.3766
1.950000, 94.357, -62.3005
1.975000, 94.487, -63.2195
2.000000, 94.613, -64.1310
2.030000, 94.759, -65.2109
2.060000, 94.901, -66.2720
2.090000, 95.038, -67.3103
2.120000, 95.172, -68.3225
