* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:19:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: POP Style R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 90.100, 8.0204
1.015000, 90.320, 7.1458
1.030000, 90.538, 6.2784
1.044000, 90.740, 5.4735
1.060000, 90.968, 4.5574
1.075000, 91.181, 3.7004
1.090000, 91.392, 2.8434
1.106000, 91.615, 1.9289
1.120000, 91.807, 1.1294
1.138000, 92.050, 0.1052
1.150000, 92.209, -0.5743
1.172000, 92.496, -1.8108
1.180000, 92.598, -2.2570
1.206000, 92.926, -3.6925
1.220000, 93.099, -4.4554
1.241000, 93.354, -5.5854
1.250000, 93.462, -6.0641
1.265000, 93.640, -6.8545
1.280000, 93.816, -7.6352
1.315000, 94.216, -9.4187
1.320000, 94.273, -9.6691
1.340000, 94.496, -10.6600
1.360000, 94.716, -11.6337
1.380000, 94.933, -12.5906
1.400000, 95.148, -13.5313
1.430000, 95.465, -14.9132
1.450000, 95.673, -15.8161
1.475000, 95.931, -16.9265
1.500000, 96.183, -18.0195
1.525000, 96.429, -19.0966
1.550000, 96.670, -20.1580
1.575000, 96.905, -21.2043
1.600000, 97.135, -22.2363
1.625000, 97.361, -23.2546
1.650000, 97.581, -24.2605
1.675000, 97.798, -25.2549
1.700000, 98.010, -26.2392
1.725000, 98.219, -27.2146
1.750000, 98.424, -28.1823
1.775000, 98.627, -29.1439
1.800000, 98.826, -30.1009
1.825000, 99.023, -31.0549
1.850000, 99.216, -32.0091
1.875000, 99.405, -32.9652
1.900000, 99.590, -33.9217
1.925000, 99.772, -34.8764
1.950000, 99.949, -35.8272
1.975000, 100.123, -36.7722
2.000000, 100.293, -37.7099
2.030000, 100.494, -38.8238
2.060000, 100.689, -39.9238
2.090000, 100.881, -41.0086
2.120000, 101.069, -42.0775
2.140000, 101.192, -42.7811
2.180000, 101.434, -44.1673
2.200000, 101.552, -44.8520
2.240000, 101.785, -46.2165
2.270000, 101.953, -47.2393
2.300000, 102.118, -48.2596
2.330000, 102.278, -49.2747
2.360000, 102.435, -50.2821
2.400000, 102.638, -51.6098
2.430000, 102.786, -52.5915
2.470000, 102.979, -53.8789
2.500000, 103.120, -54.8267
2.540000, 103.305, -56.0660
2.580000, 103.484, -57.2827
2.620000, 103.658, -58.4913
2.650000, 103.784, -59.3955
2.690000, 103.947, -60.5951
2.720000, 104.066, -61.4879
2.760000, 104.220, -62.6657
2.800000, 104.369, -63.8255
2.850000, 104.550, -65.2444
2.900000, 104.725, -66.6244
2.950000, 104.895, -67.9694
3.000000, 105.057, -69.2984
3.040000, 105.182, -70.3541
3.070000, 105.273, -71.1399
3.110000, 105.390, -72.1769
3.150000, 105.504, -73.1986
3.200000, 105.643, -74.4496
3.250000, 105.777, -75.6665
3.300000, 105.907, -76.8476
3.350000, 106.032, -78.0027
3.400000, 106.153, -79.1410
3.450000, 106.268, -80.2622
3.500000, 106.379, -81.3636
3.550000, 106.487, -82.4422
3.600000, 106.592, -83.4953
3.650000, 106.695, -84.5209
3.700000, 106.795, -85.5220
3.750000, 106.891, -86.5046
3.820000, 107.021, -87.8523
3.870000, 107.110, -88.7942
3.950000, 107.249, -90.2626
4.000000, 107.333, -91.1547
4.060000, 107.432, -92.1996
4.120000, 107.529, -93.2208
4.180000, 107.622, -94.2209
4.250000, 107.728, -95.3625
4.310000, 107.816, -96.3199
4.370000, 107.902, -97.2583
4.440000, 108.001, -98.3309
4.500000, 108.083, -99.2331
4.550000, 108.150, -99.9734
4.620000, 108.242, -100.9928
4.680000, 108.318, -101.8506
4.750000, 108.405, -102.8334
4.820000, 108.490, -103.7989
4.870000, 108.549, -104.4794
4.940000, 108.629, -105.4189
5.000000, 108.696, -106.2110
5.080000, 108.782, -107.2466
5.150000, 108.855, -108.1338
5.220000, 108.925, -109.0063
5.300000, 109.002, -109.9863
5.380000, 109.077, -110.9456
5.450000, 109.140, -111.7655
5.520000, 109.201, -112.5667
5.600000, 109.268, -113.4622
5.700000, 109.348, -114.5535
5.800000, 109.426, -115.6115
5.900000, 109.501, -116.6341
6.000000, 109.574, -117.6230
6.080000, 109.631, -118.3929
6.150000, 109.680, -119.0528
6.220000, 109.729, -119.7008
6.300000, 109.784, -120.4261
6.400000, 109.853, -121.3112
6.500000, 109.921, -122.1782
6.600000, 109.988, -123.0332
6.700000, 110.055, -123.8773
6.800000, 110.121, -124.7106
6.900000, 110.186, -125.5371
7.000000, 110.248, -126.3609
7.100000, 110.310, -127.1828
7.200000, 110.368, -128.0004
7.300000, 110.424, -128.8114
7.400000, 110.476, -129.6175
7.500000, 110.525, -130.4191
7.620000, 110.579, -131.3660
7.750000, 110.630, -132.3639
7.880000, 110.675, -133.3352
8.000000, 110.711, -134.1992
8.120000, 110.743, -135.0224
8.250000, 110.774, -135.8699
8.380000, 110.802, -136.6710
8.500000, 110.827, -137.3653
8.620000, 110.853, -138.0185
8.750000, 110.881, -138.6904
8.850000, 110.906, -139.1858
9.000000, 110.945, -139.8969
9.120000, 110.980, -140.4533
9.250000, 111.021, -141.0553
9.380000, 111.065, -141.6585
9.500000, 111.107, -142.2264
9.620000, 111.148, -142.8119
9.750000, 111.193, -143.4643
9.880000, 111.234, -144.1343
10.000000, 111.269, -144.7695
10.150000, 111.307, -145.5791
10.300000, 111.336, -146.3899
10.440000, 111.356, -147.1431
10.600000, 111.370, -147.9817
10.750000, 111.375, -148.7312
10.900000, 111.374, -149.4405
11.060000, 111.369, -150.1398
11.200000, 111.361, -150.7014
11.380000, 111.352, -151.3594
11.500000, 111.347, -151.7593
11.720000, 111.343, -152.4316
11.800000, 111.344, -152.6619
12.060000, 111.356, -153.3794
12.200000, 111.368, -153.7622
12.410000, 111.390, -154.3442
12.500000, 111.401, -154.6003
12.650000, 111.419, -155.0375
12.800000, 111.438, -155.4864
13.150000, 111.480, -156.5719
13.200000, 111.485, -156.7295
13.400000, 111.505, -157.3630
13.600000, 111.523, -157.9968
13.800000, 111.540, -158.6278
14.000000, 111.555, -159.2556
14.300000, 111.576, -160.1921
14.500000, 111.588, -160.8137
14.750000, 111.601, -161.5845
15.000000, 111.610, -162.3421
15.250000, 111.616, -163.0768
15.500000, 111.619, -163.7808
15.750000, 111.622, -164.4513
16.000000, 111.627, -165.0915
16.250000, 111.633, -165.7112
16.500000, 111.642, -166.3206
16.750000, 111.652, -166.9283
17.000000, 111.660, -167.5362
17.250000, 111.666, -168.1395
17.500000, 111.669, -168.7286
17.750000, 111.668, -169.2920
18.000000, 111.666, -169.8223
18.250000, 111.664, -170.3174
18.500000, 111.663, -170.7824
18.750000, 111.665, -171.2274
19.000000, 111.670, -171.6637
19.250000, 111.676, -172.1018
19.500000, 111.684, -172.5468
