* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:26:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Standard L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 88.665, 0.5315
1.015000, 88.862, -0.1824
1.030000, 89.057, -0.8951
1.044000, 89.239, -1.5603
1.060000, 89.444, -2.3217
1.075000, 89.636, -3.0380
1.090000, 89.826, -3.7575
1.106000, 90.028, -4.5291
1.120000, 90.203, -5.2064
1.138000, 90.423, -6.0778
1.150000, 90.568, -6.6582
1.172000, 90.830, -7.7189
1.180000, 90.923, -8.1031
1.206000, 91.223, -9.3442
1.220000, 91.381, -10.0068
1.241000, 91.615, -10.9920
1.250000, 91.714, -11.4108
1.265000, 91.877, -12.1037
1.280000, 92.038, -12.7902
1.315000, 92.406, -14.3657
1.320000, 92.458, -14.5876
1.340000, 92.664, -15.4675
1.360000, 92.867, -16.3346
1.380000, 93.067, -17.1890
1.400000, 93.265, -18.0307
1.430000, 93.558, -19.2703
1.450000, 93.751, -20.0819
1.475000, 93.989, -21.0812
1.500000, 94.223, -22.0662
1.525000, 94.452, -23.0381
1.550000, 94.676, -23.9976
1.575000, 94.895, -24.9451
1.600000, 95.110, -25.8814
1.625000, 95.321, -26.8072
1.650000, 95.528, -27.7234
1.675000, 95.731, -28.6309
1.700000, 95.931, -29.5307
1.725000, 96.127, -30.4238
1.750000, 96.321, -31.3113
1.775000, 96.512, -32.1943
1.800000, 96.700, -33.0739
1.825000, 96.886, -33.9515
1.850000, 97.069, -34.8288
1.875000, 97.249, -35.7069
1.900000, 97.425, -36.5845
1.925000, 97.598, -37.4601
1.950000, 97.767, -38.3321
1.975000, 97.934, -39.1993
2.000000, 98.097, -40.0605
2.030000, 98.290, -41.0850
2.060000, 98.478, -42.0985
2.090000, 98.663, -43.1003
2.120000, 98.845, -44.0898
2.140000, 98.965, -44.7425
2.180000, 99.200, -46.0320
2.200000, 99.315, -46.6700
2.240000, 99.542, -47.9410
2.270000, 99.708, -48.8922
2.300000, 99.870, -49.8402
2.330000, 100.028, -50.7832
2.360000, 100.183, -51.7198
2.400000, 100.385, -52.9561
2.430000, 100.533, -53.8725
2.470000, 100.726, -55.0783
2.500000, 100.868, -55.9698
2.540000, 101.053, -57.1411
2.580000, 101.234, -58.2964
2.620000, 101.410, -59.4457
2.650000, 101.539, -60.3055
2.690000, 101.706, -61.4469
2.720000, 101.829, -62.2975
2.760000, 101.988, -63.4219
2.800000, 102.143, -64.5329
2.850000, 102.331, -65.8995
2.900000, 102.514, -67.2390
2.950000, 102.691, -68.5554
3.000000, 102.863, -69.8634
3.040000, 102.995, -70.9061
3.070000, 103.091, -71.6842
3.110000, 103.217, -72.7141
3.150000, 103.339, -73.7327
3.200000, 103.487, -74.9863
3.250000, 103.630, -76.2139
3.300000, 103.769, -77.4153
3.350000, 103.904, -78.6006
3.400000, 104.033, -79.7777
3.450000, 104.157, -80.9445
3.500000, 104.276, -82.0968
3.550000, 104.391, -83.2306
3.600000, 104.502, -84.3422
3.650000, 104.610, -85.4296
3.700000, 104.714, -86.4981
3.750000, 104.814, -87.5555
3.820000, 104.948, -89.0181
3.870000, 105.038, -90.0458
3.950000, 105.177, -91.6513
4.000000, 105.260, -92.6261
4.060000, 105.356, -93.7682
4.120000, 105.448, -94.8893
4.180000, 105.535, -95.9922
4.250000, 105.631, -97.2523
4.310000, 105.710, -98.3058
4.370000, 105.787, -99.3315
4.440000, 105.872, -100.4949
4.500000, 105.942, -101.4696
4.550000, 105.998, -102.2672
4.620000, 106.073, -103.3602
4.680000, 106.135, -104.2736
4.750000, 106.205, -105.3101
4.820000, 106.273, -106.3163
4.870000, 106.320, -107.0188
4.940000, 106.383, -107.9812
5.000000, 106.435, -108.7871
5.080000, 106.503, -109.8343
5.150000, 106.561, -110.7252
5.220000, 106.617, -111.5934
5.300000, 106.680, -112.5600
5.380000, 106.741, -113.5019
5.450000, 106.793, -114.3075
5.520000, 106.844, -115.0967
5.600000, 106.901, -115.9787
5.700000, 106.971, -117.0535
5.800000, 107.039, -118.1011
5.900000, 107.105, -119.1248
6.000000, 107.170, -120.1258
6.080000, 107.220, -120.9108
6.150000, 107.262, -121.5869
6.220000, 107.304, -122.2533
6.300000, 107.350, -123.0042
6.400000, 107.406, -123.9271
6.500000, 107.460, -124.8317
6.600000, 107.511, -125.7171
6.700000, 107.561, -126.5848
6.800000, 107.608, -127.4354
6.900000, 107.653, -128.2672
7.000000, 107.696, -129.0795
7.100000, 107.737, -129.8734
7.200000, 107.776, -130.6494
7.300000, 107.814, -131.4067
7.400000, 107.851, -132.1454
7.500000, 107.886, -132.8663
7.620000, 107.927, -133.7096
7.750000, 107.970, -134.5975
7.880000, 108.012, -135.4597
8.000000, 108.049, -136.2354
8.120000, 108.086, -136.9938
8.250000, 108.124, -137.7966
8.380000, 108.162, -138.5816
8.500000, 108.195, -139.2920
8.620000, 108.227, -139.9891
8.750000, 108.261, -140.7291
8.850000, 108.286, -141.2878
9.000000, 108.321, -142.1091
9.120000, 108.349, -142.7510
9.250000, 108.377, -143.4307
9.380000, 108.404, -144.0947
9.500000, 108.428, -144.6942
9.620000, 108.452, -145.2809
9.750000, 108.476, -145.9033
9.880000, 108.501, -146.5142
10.000000, 108.523, -147.0691
10.150000, 108.550, -147.7520
10.300000, 108.577, -148.4267
10.440000, 108.600, -149.0505
10.600000, 108.625, -149.7562
10.750000, 108.646, -150.4115
10.900000, 108.665, -151.0584
11.060000, 108.681, -151.7339
11.200000, 108.693, -152.3110
11.380000, 108.704, -153.0247
11.500000, 108.710, -153.4798
11.720000, 108.717, -154.2677
11.800000, 108.720, -154.5378
12.060000, 108.731, -155.3614
12.200000, 108.739, -155.7767
12.410000, 108.757, -156.3773
12.500000, 108.767, -156.6331
12.650000, 108.785, -157.0621
12.800000, 108.806, -157.5035
13.150000, 108.858, -158.6173
13.200000, 108.865, -158.7870
13.400000, 108.888, -159.4906
13.600000, 108.902, -160.2174
13.800000, 108.905, -160.9473
14.000000, 108.896, -161.6470
14.300000, 108.865, -162.5838
14.500000, 108.838, -163.1004
14.750000, 108.807, -163.6172
15.000000, 108.789, -164.0123
15.250000, 108.790, -164.3428
15.500000, 108.813, -164.6824
15.750000, 108.852, -165.0943
16.000000, 108.898, -165.6209
16.250000, 108.940, -166.2625
16.500000, 108.969, -166.9887
16.750000, 108.981, -167.7462
17.000000, 108.976, -168.4755
17.250000, 108.958, -169.1319
17.500000, 108.936, -169.6909
17.750000, 108.917, -170.1582
18.000000, 108.906, -170.5622
18.250000, 108.907, -170.9421
18.500000, 108.916, -171.3357
18.750000, 108.929, -171.7648
19.000000, 108.942, -172.2339
19.250000, 108.951, -172.7296
19.500000, 108.954, -173.2302
19.750000, 108.952, -173.7151
20.000000, 108.947, -174.1706
20.299999, 108.941, -174.6765
20.600000, 108.937, -175.1505
20.900000, 108.937, -175.6125
21.200001, 108.937, -176.0760
21.400000, 108.937, -176.3860
21.799999, 108.934, -176.9949
22.000000, 108.931, -177.2864
22.400000, 108.926, -177.8363
22.700001, 108.926, -178.2296
23.000000, 108.929, -178.6261
23.299999, 108.934, -179.0426
23.600000, 108.938, -179.4856
24.000000, 108.936, 179.8985
24.299999, 108.926, 179.4442
24.700001, 108.906, 178.8879
25.000000, 108.890, 178.5198
25.400000, 108.873, 178.0802
25.799999, 108.865, 177.6566
26.200001, 108.862, 177.2048
26.500000, 108.860, 176.8374
26.900000, 108.852, 176.3239
27.200001, 108.841, 175.9411
27.600000, 108.822, 175.4604
28.000000, 108.802, 175.0236
28.500000, 108.783, 174.5166
29.000000, 108.771, 174.0069
29.500000, 108.760, 173.4713
30.000000, 108.745, 172.9255
30.400000, 108.731, 172.4985
30.700001, 108.720, 172.1871
31.100000, 108.705, 171.7816
31.500000, 108.690, 171.3849
32.000000, 108.670, 170.9042
32.500000, 108.650, 170.4457
33.000000, 108.633, 170.0003
33.500000, 108.617, 169.5465
34.000000, 108.598, 169.0783
34.500000, 108.574, 168.6183
35.000000, 108.546, 168.1946
35.500000, 108.520, 167.8083
36.000000, 108.498, 167.4340
36.500000, 108.479, 167.0477
37.000000, 108.459, 166.6441
37.500000, 108.437, 166.2267
38.200001, 108.402, 165.6245
38.700001, 108.371, 165.2011
39.500000, 108.314, 164.6060
40.000000, 108.283, 164.2863
40.599998, 108.254, 163.8994
41.200001, 108.226, 163.4785
41.799999, 108.193, 163.0600
42.500000, 108.155, 162.6189
43.099998, 108.127, 162.2492
43.700001, 108.099, 161.8600
44.400002, 108.061, 161.4183
45.000000, 108.030, 161.0745
45.500000, 108.007, 160.7921
46.200001, 107.976, 160.3664
46.799999, 107.945, 159.9835
47.500000, 107.904, 159.5515
48.200001, 107.862, 159.1446
48.700001, 107.832, 158.8618
49.400002, 107.791, 158.4644
50.000000, 107.755, 158.1163
50.799999, 107.704, 157.6563
51.500000, 107.656, 157.2784
52.200001, 107.611, 156.9171
53.000000, 107.559, 156.5075
53.799999, 107.509, 156.1052
54.500000, 107.468, 155.7410
55.200001, 107.426, 155.3396
56.000000, 107.369, 154.8701
57.000000, 107.293, 154.3582
58.000000, 107.230, 153.8708
59.000000, 107.170, 153.3221
60.000000, 107.104, 152.7740
60.799999, 107.052, 152.3549
61.500000, 107.007, 151.9951
62.200001, 106.962, 151.6465
63.000000, 106.909, 151.2692
64.000000, 106.843, 150.8321
65.000000, 106.778, 150.4229
66.000000, 106.712, 150.0298
67.000000, 106.647, 149.6372
68.000000, 106.578, 149.2189
69.000000, 106.500, 148.8317
70.000000, 106.427, 148.5009
71.000000, 106.360, 148.1492
72.000000, 106.294, 147.7787
73.000000, 106.228, 147.4132
74.000000, 106.162, 147.0352
75.000000, 106.090, 146.6731
76.199997, 106.001, 146.2982
77.500000, 105.906, 145.9343
78.800003, 105.813, 145.5742
80.000000, 105.727, 145.2477
81.199997, 105.645, 144.9138
82.500000, 105.557, 144.5365
83.800003, 105.469, 144.1675
85.000000, 105.386, 143.8548
86.199997, 105.302, 143.5906
87.500000, 105.212, 143.3514
88.500000, 105.143, 143.1778
90.000000, 105.037, 142.9168
91.199997, 104.950, 142.7142
92.500000, 104.857, 142.4939
93.800003, 104.765, 142.2877
95.000000, 104.685, 142.1118
96.199997, 104.608, 141.9484
97.500000, 104.526, 141.7884
98.800003, 104.446, 141.6401
100.000000, 104.370, 141.5142
101.500000, 104.274, 141.3750
103.000000, 104.176, 141.2468
104.400002, 104.086, 141.1443
106.000000, 103.985, 141.0497
107.500000, 103.894, 140.9808
109.000000, 103.807, 140.9183
110.599998, 103.714, 140.8777
112.000000, 103.634, 140.8728
113.800003, 103.535, 140.8718
115.000000, 103.469, 140.8692
117.199997, 103.351, 140.8681
118.000000, 103.310, 140.8611
120.599998, 103.174, 140.8684
122.000000, 103.103, 140.9043
124.099998, 103.002, 140.9991
125.000000, 102.961, 141.0404
126.500000, 102.894, 141.1025
128.000000, 102.828, 141.1665
131.500000, 102.681, 141.3561
132.000000, 102.660, 141.3840
134.000000, 102.577, 141.4981
136.000000, 102.494, 141.6228
138.000000, 102.414, 141.7499
140.000000, 102.339, 141.8931
143.000000, 102.238, 142.1070
145.000000, 102.174, 142.2466
147.500000, 102.097, 142.4326
150.000000, 102.023, 142.6451
152.500000, 101.953, 142.8783
155.000000, 101.886, 143.1051
157.500000, 101.823, 143.3635
160.000000, 101.767, 143.6299
162.500000, 101.712, 143.8807
165.000000, 101.658, 144.1131
167.500000, 101.610, 144.3208
170.000000, 101.567, 144.5140
172.500000, 101.527, 144.7328
175.000000, 101.490, 144.9645
177.500000, 101.459, 145.1804
180.000000, 101.431, 145.3783
182.500000, 101.405, 145.5661
185.000000, 101.379, 145.7495
187.500000, 101.352, 145.9370
190.000000, 101.331, 146.1310
192.500000, 101.318, 146.2874
195.000000, 101.308, 146.4114
197.500000, 101.300, 146.5342
200.000000, 101.291, 146.6739
203.000000, 101.278, 146.8560
206.000000, 101.266, 146.9963
209.000000, 101.258, 147.0886
212.000000, 101.255, 147.1711
214.000000, 101.253, 147.2260
218.000000, 101.251, 147.3311
220.000000, 101.250, 147.3754
224.000000, 101.251, 147.4333
227.000000, 101.256, 147.4326
230.000000, 101.260, 147.4142
233.000000, 101.258, 147.4158
236.000000, 101.254, 147.4038
240.000000, 101.251, 147.3379
243.000000, 101.247, 147.3117
247.000000, 101.239, 147.3730
250.000000, 101.239, 147.4847
254.000000, 101.262, 147.6685
258.000000, 101.315, 147.7433
262.000000, 101.372, 147.5402
265.000000, 101.398, 147.2739
269.000000, 101.413, 146.9684
272.000000, 101.420, 146.8223
276.000000, 101.436, 146.6784
280.000000, 101.459, 146.4769
285.000000, 101.482, 146.0868
290.000000, 101.484, 145.6738
295.000000, 101.466, 145.2841
300.000000, 101.448, 144.9734
304.000000, 101.442, 144.8491
307.000000, 101.441, 144.8072
311.000000, 101.444, 144.7843
315.000000, 101.454, 144.7893
320.000000, 101.475, 144.8941
325.000000, 101.490, 145.0919
330.000000, 101.500, 145.3463
335.000000, 101.507, 145.5958
340.000000, 101.513, 145.8040
345.000000, 101.517, 146.0375
350.000000, 101.519, 146.2993
355.000000, 101.519, 146.5150
360.000000, 101.528, 146.6924
365.000000, 101.539, 146.9267
370.000000, 101.546, 147.1669
375.000000, 101.553, 147.4264
382.000000, 101.556, 147.8544
387.000000, 101.557, 148.1597
395.000000, 101.566, 148.6035
400.000000, 101.569, 148.8081
406.000000, 101.583, 149.0302
412.000000, 101.596, 149.3689
418.000000, 101.595, 149.7428
425.000000, 101.591, 150.1297
431.000000, 101.595, 150.4286
437.000000, 101.599, 150.7650
444.000000, 101.599, 151.1852
450.000000, 101.602, 151.5715
455.000000, 101.604, 151.8715
462.000000, 101.608, 152.2958
468.000000, 101.610, 152.7110
475.000000, 101.611, 153.1969
482.000000, 101.614, 153.6888
487.000000, 101.617, 154.0458
494.000000, 101.622, 154.5158
500.000000, 101.626, 154.8992
