* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:17:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Standard R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 89.413, 2.5005
1.015000, 89.654, 1.5783
1.030000, 89.891, 0.6665
1.044000, 90.110, -0.1771
1.060000, 90.357, -1.1348
1.075000, 90.586, -2.0284
1.090000, 90.812, -2.9201
1.106000, 91.049, -3.8701
1.120000, 91.253, -4.6994
1.138000, 91.510, -5.7607
1.150000, 91.679, -6.4639
1.172000, 91.981, -7.7418
1.180000, 92.089, -8.2024
1.206000, 92.433, -9.6820
1.220000, 92.613, -10.4668
1.241000, 92.880, -11.6274
1.250000, 92.992, -12.1185
1.265000, 93.177, -12.9282
1.280000, 93.359, -13.7269
1.315000, 93.774, -15.5473
1.320000, 93.832, -15.8024
1.340000, 94.062, -16.8107
1.360000, 94.289, -17.7997
1.380000, 94.513, -18.7699
1.400000, 94.734, -19.7219
1.430000, 95.060, -21.1175
1.450000, 95.275, -22.0276
1.475000, 95.539, -23.1450
1.500000, 95.798, -24.2443
1.525000, 96.051, -25.3271
1.550000, 96.297, -26.3938
1.575000, 96.537, -27.4450
1.600000, 96.771, -28.4812
1.625000, 96.999, -29.5034
1.650000, 97.223, -30.5124
1.675000, 97.442, -31.5094
1.700000, 97.656, -32.4957
1.725000, 97.867, -33.4723
1.750000, 98.074, -34.4408
1.775000, 98.278, -35.4023
1.800000, 98.479, -36.3585
1.825000, 98.677, -37.3113
1.850000, 98.871, -38.2637
1.875000, 99.062, -39.2181
1.900000, 99.248, -40.1730
1.925000, 99.430, -41.1262
1.950000, 99.607, -42.0756
1.975000, 99.781, -43.0193
2.000000, 99.951, -43.9558
2.030000, 100.151, -45.0683
2.060000, 100.346, -46.1670
2.090000, 100.537, -47.2506
2.120000, 100.723, -48.3183
2.140000, 100.846, -49.0211
2.180000, 101.086, -50.4059
2.200000, 101.204, -51.0899
2.240000, 101.435, -52.4535
2.270000, 101.602, -53.4762
2.300000, 101.765, -54.4968
2.330000, 101.924, -55.5127
2.360000, 102.078, -56.5213
2.400000, 102.279, -57.8513
2.430000, 102.425, -58.8353
2.470000, 102.615, -60.1264
2.500000, 102.753, -61.0776
2.540000, 102.934, -62.3220
2.580000, 103.110, -63.5449
2.620000, 103.280, -64.7612
2.650000, 103.404, -65.6720
2.690000, 103.563, -66.8818
2.720000, 103.679, -67.7830
2.760000, 103.829, -68.9727
2.800000, 103.974, -70.1453
2.850000, 104.149, -71.5812
2.900000, 104.318, -72.9792
2.950000, 104.481, -74.3436
3.000000, 104.637, -75.6948
3.040000, 104.756, -76.7703
3.070000, 104.842, -77.5718
3.110000, 104.954, -78.6306
3.150000, 105.062, -79.6747
3.200000, 105.192, -80.9539
3.250000, 105.317, -82.1984
3.300000, 105.439, -83.4066
3.350000, 105.555, -84.5899
3.400000, 105.665, -85.7583
3.450000, 105.771, -86.9111
3.500000, 105.871, -88.0444
3.550000, 105.968, -89.1542
3.600000, 106.062, -90.2366
3.650000, 106.153, -91.2889
3.700000, 106.241, -92.3148
3.750000, 106.325, -93.3218
3.820000, 106.437, -94.7029
3.870000, 106.513, -95.6675
3.950000, 106.630, -97.1680
4.000000, 106.701, -98.0763
4.060000, 106.784, -99.1363
4.120000, 106.864, -100.1682
4.180000, 106.941, -101.1759
4.250000, 107.028, -102.3230
4.310000, 107.100, -103.2829
4.370000, 107.171, -104.2216
4.440000, 107.253, -105.2905
4.500000, 107.321, -106.1850
4.550000, 107.377, -106.9168
4.620000, 107.453, -107.9231
4.680000, 107.517, -108.7708
4.750000, 107.590, -109.7450
4.820000, 107.663, -110.7037
4.870000, 107.713, -111.3791
4.940000, 107.783, -112.3124
5.000000, 107.842, -113.1024
5.080000, 107.918, -114.1437
5.150000, 107.982, -115.0458
5.220000, 108.045, -115.9409
