* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:27:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultra Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 85.296, 6.8186
1.015000, 85.529, 6.1752
1.030000, 85.760, 5.5294
1.044000, 85.974, 4.9236
1.060000, 86.217, 4.2264
1.075000, 86.443, 3.5671
1.090000, 86.668, 2.9017
1.106000, 86.907, 2.1878
1.120000, 87.114, 1.5655
1.138000, 87.375, 0.7733
1.150000, 87.546, 0.2506
1.172000, 87.856, -0.6963
1.180000, 87.967, -1.0370
1.206000, 88.321, -2.1309
1.220000, 88.509, -2.7118
1.241000, 88.786, -3.5728
1.250000, 88.903, -3.9381
1.265000, 89.096, -4.5424
1.280000, 89.287, -5.1412
1.315000, 89.725, -6.5185
1.320000, 89.786, -6.7131
1.340000, 90.030, -7.4872
1.360000, 90.271, -8.2544
1.380000, 90.509, -9.0156
1.400000, 90.744, -9.7717
1.430000, 91.093, -10.8981
1.450000, 91.322, -11.6450
1.475000, 91.605, -12.5723
1.500000, 91.884, -13.4857
1.525000, 92.156, -14.3828
1.550000, 92.423, -15.2652
1.575000, 92.684, -16.1348
1.600000, 92.941, -16.9936
1.625000, 93.192, -17.8437
1.650000, 93.439, -18.6870
1.675000, 93.682, -19.5255
1.700000, 93.920, -20.3610
1.725000, 94.155, -21.1955
1.750000, 94.386, -22.0307
1.775000, 94.614, -22.8684
1.800000, 94.839, -23.7101
1.825000, 95.061, -24.5572
1.850000, 95.279, -25.4090
1.875000, 95.494, -26.2628
1.900000, 95.704, -27.1161
1.925000, 95.910, -27.9673
1.950000, 96.113, -28.8151
1.975000, 96.311, -29.6584
2.000000, 96.506, -30.4966
2.030000, 96.736, -31.4949
2.060000, 96.961, -32.4847
2.090000, 97.181, -33.4658
2.120000, 97.398, -34.4387
2.140000, 97.540, -35.0829
2.180000, 97.819, -36.3624
2.200000, 97.957, -36.9992
2.240000, 98.226, -38.2730
2.270000, 98.422, -39.2293
2.300000, 98.614, -40.1841
2.330000, 98.801, -41.1351
2.360000, 98.984, -42.0802
2.400000, 99.222, -43.3286
2.430000, 99.397, -44.2544
2.470000, 99.624, -45.4732
2.500000, 99.791, -46.3747
2.540000, 100.009, -47.5603
2.580000, 100.221, -48.7319
2.620000, 100.427, -49.9010
2.650000, 100.577, -50.7776
2.690000, 100.772, -51.9429
2.720000, 100.914, -52.8116
2.760000, 101.099, -53.9594
2.800000, 101.279, -55.0917
2.850000, 101.497, -56.4809
2.900000, 101.708, -57.8371
2.950000, 101.913, -59.1649
3.000000, 102.110, -60.4823
3.040000, 102.262, -61.5318
3.070000, 102.373, -62.3143
3.110000, 102.517, -63.3482
3.150000, 102.657, -64.3684
3.200000, 102.827, -65.6192
3.250000, 102.992, -66.8380
3.300000, 103.153, -68.0236
3.350000, 103.308, -69.1870
3.400000, 103.457, -70.3371
3.450000, 103.601, -71.4725
3.500000, 103.740, -72.5897
3.550000, 103.874, -73.6846
3.600000, 104.005, -74.7536
3.650000, 104.134, -75.7946
3.700000, 104.259, -76.8112
3.750000, 104.380, -77.8103
3.820000, 104.543, -79.1826
3.870000, 104.656, -80.1427
3.950000, 104.831, -81.6398
4.000000, 104.938, -82.5491
4.060000, 105.064, -83.6138
4.120000, 105.187, -84.6541
4.180000, 105.307, -85.6733
4.250000, 105.442, -86.8376
4.310000, 105.556, -87.8156
4.370000, 105.668, -88.7757
4.440000, 105.797, -89.8742
4.500000, 105.905, -90.7985
4.550000, 105.994, -91.5576
4.620000, 106.116, -92.6057
4.680000, 106.218, -93.4920
4.750000, 106.336, -94.5140
4.820000, 106.451, -95.5243
4.870000, 106.532, -96.2392
4.940000, 106.643, -97.2309
5.000000, 106.737, -98.0730
5.080000, 106.858, -99.1856
5.150000, 106.961, -100.1513
5.220000, 107.062, -101.1120
5.300000, 107.173, -102.2035
5.380000, 107.281, -103.2855
5.450000, 107.372, -104.2229
5.520000, 107.460, -105.1523
5.600000, 107.557, -106.2088
5.700000, 107.672, -107.5194
5.800000, 107.781, -108.8103
5.900000, 107.883, -110.0775
6.000000, 107.979, -111.3282
6.080000, 108.051, -112.3157
6.150000, 108.112, -113.1662
6.220000, 108.169, -114.0019
6.300000, 108.232, -114.9406
6.400000, 108.305, -116.0937
6.500000, 108.374, -117.2211
6.600000, 108.439, -118.3179
6.700000, 108.500, -119.3853
6.800000, 108.557, -120.4268
6.900000, 108.612, -121.4420
