* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2025 9:19:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultra Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 88.523, 10.0642
1.015000, 88.738, 9.2523
1.030000, 88.951, 8.4446
1.044000, 89.149, 7.6931
1.060000, 89.373, 6.8354
1.075000, 89.582, 6.0310
1.090000, 89.790, 5.2250
1.106000, 90.010, 4.3635
1.120000, 90.200, 3.6106
1.138000, 90.441, 2.6467
1.150000, 90.599, 2.0077
1.172000, 90.884, 0.8451
1.180000, 90.986, 0.4256
1.206000, 91.312, -0.9242
1.220000, 91.485, -1.6419
1.241000, 91.740, -2.7056
1.250000, 91.847, -3.1566
1.265000, 92.025, -3.9017
1.280000, 92.201, -4.6384
1.315000, 92.602, -6.3247
1.320000, 92.659, -6.5618
1.340000, 92.883, -7.5014
1.360000, 93.104, -8.4265
1.380000, 93.323, -9.3376
1.400000, 93.538, -10.2353
1.430000, 93.858, -11.5579
1.450000, 94.068, -12.4247
1.475000, 94.328, -13.4925
1.500000, 94.583, -14.5431
1.525000, 94.832, -15.5769
1.550000, 95.076, -16.5948
1.575000, 95.315, -17.5978
1.600000, 95.550, -18.5871
1.625000, 95.780, -19.5638
1.650000, 96.005, -20.5295
1.675000, 96.227, -21.4853
1.700000, 96.444, -22.4329
1.725000, 96.658, -23.3736
1.750000, 96.869, -24.3090
1.775000, 97.077, -25.2406
1.800000, 97.282, -26.1698
1.825000, 97.485, -27.0982
1.850000, 97.684, -28.0275
1.875000, 97.880, -28.9578
1.900000, 98.072, -29.8874
1.925000, 98.260, -30.8144
1.950000, 98.444, -31.7370
1.975000, 98.625, -32.6538
2.000000, 98.802, -33.5638
2.030000, 99.011, -34.6453
2.060000, 99.216, -35.7144
2.090000, 99.417, -36.7704
2.120000, 99.614, -37.8130
2.140000, 99.744, -38.5006
2.180000, 99.999, -39.8589
2.200000, 100.124, -40.5313
2.240000, 100.369, -41.8715
2.270000, 100.548, -42.8752
2.300000, 100.723, -43.8756
2.330000, 100.894, -44.8706
2.360000, 101.061, -45.8581
2.400000, 101.279, -47.1604
2.430000, 101.438, -48.1244
2.470000, 101.646, -49.3909
2.500000, 101.799, -50.3256
2.540000, 101.998, -51.5513
2.580000, 102.193, -52.7582
2.620000, 102.382, -53.9581
2.650000, 102.520, -54.8555
2.690000, 102.699, -56.0461
2.720000, 102.830, -56.9325
2.760000, 103.001, -58.1027
2.800000, 103.166, -59.2567
2.850000, 103.368, -60.6722
2.900000, 103.564, -62.0542
2.950000, 103.754, -63.4068
3.000000, 103.938, -64.7462
3.040000, 104.080, -65.8112
3.070000, 104.183, -66.6046
3.110000, 104.318, -67.6528
3.150000, 104.450, -68.6875
3.200000, 104.610, -69.9578
3.250000, 104.765, -71.1983
3.300000, 104.917, -72.4083
3.350000, 105.064, -73.5968
3.400000, 105.206, -74.7718
3.450000, 105.343, -75.9325
3.500000, 105.476, -77.0762
3.550000, 105.605, -78.2000
3.600000, 105.731, -79.3012
3.650000, 105.854, -80.3786
3.700000, 105.975, -81.4354
3.750000, 106.091, -82.4777
3.820000, 106.249, -83.9145
3.870000, 106.358, -84.9233
3.950000, 106.527, -86.5032
4.000000, 106.630, -87.4674
4.060000, 106.751, -88.6021
4.120000, 106.869, -89.7176
4.180000, 106.983, -90.8162
4.250000, 107.112, -92.0763
4.310000, 107.219, -93.1372
4.370000, 107.325, -94.1800
4.440000, 107.444, -95.3759
4.500000, 107.544, -96.3866
4.550000, 107.625, -97.2194
4.620000, 107.736, -98.3699
4.680000, 107.828, -99.3410
4.750000, 107.933, -100.4563
4.820000, 108.034, -101.5552
4.870000, 108.105, -102.3321
4.940000, 108.201, -103.4083
5.000000, 108.281, -104.3188
5.080000, 108.384, -105.5136
5.150000, 108.471, -106.5413
5.220000, 108.555, -107.5561
5.300000, 108.648, -108.7016
5.380000, 108.737, -109.8290
5.450000, 108.812, -110.7982
5.520000, 108.884, -111.7511
5.600000, 108.964, -112.8239
5.700000, 109.059, -114.1421
5.800000, 109.149, -115.4314
5.900000, 109.235, -116.6895
6.000000, 109.318, -117.9205
6.080000, 109.381, -118.8874
6.150000, 109.434, -119.7203
6.220000, 109.486, -120.5406
6.300000, 109.544, -121.4634
6.400000, 109.614, -122.5972
6.500000, 109.680, -123.7110
6.600000, 109.745, -124.8065
6.700000, 109.807, -125.8850
6.800000, 109.867, -126.9480
6.900000, 109.924, -127.9969
7.000000, 109.979, -129.0334
7.100000, 110.031, -130.0590
7.200000, 110.081, -131.0735
7.300000, 110.128, -132.0759
7.400000, 110.172, -133.0674
7.500000, 110.213, -134.0492
7.620000, 110.258, -135.2113
7.750000, 110.302, -136.4474
7.880000, 110.341, -137.6623
8.000000, 110.373, -138.7618
8.120000, 110.401, -139.8368
8.250000, 110.427, -140.9759
8.380000, 110.449, -142.0873
8.500000, 110.467, -143.0871
8.620000, 110.482, -144.0634
8.750000, 110.496, -145.0959
8.850000, 110.506, -145.8729
9.000000, 110.518, -147.0116
9.120000, 110.526, -147.9016
9.250000, 110.533, -148.8464
9.380000, 110.538, -149.7719
9.500000, 110.541, -150.6095
9.620000, 110.542, -151.4319
9.750000, 110.542, -152.3055
9.880000, 110.540, -153.1595
10.000000, 110.536, -153.9300
10.150000, 110.529, -154.8687
10.300000, 110.521, -155.7776
10.440000, 110.511, -156.5985
10.600000, 110.500, -157.5053
10.750000, 110.488, -158.3251
10.900000, 110.478, -159.1182
11.060000, 110.467, -159.9397
11.200000, 110.459, -160.6400
11.380000, 110.450, -161.5228
11.500000, 110.444, -162.1034
11.720000, 110.435, -163.1562
11.800000, 110.432, -163.5371
12.060000, 110.419, -164.7666
12.200000, 110.411, -165.4222
