* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:42:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.676, -38.2867
1.015000, 63.861, -39.0214
1.030000, 64.044, -39.7551
1.044000, 64.212, -40.4403
1.060000, 64.402, -41.2252
1.075000, 64.577, -41.9645
1.090000, 64.751, -42.7088
1.106000, 64.933, -43.5107
1.120000, 65.089, -44.2214
1.138000, 65.287, -45.1465
1.150000, 65.416, -45.7687
1.172000, 65.647, -46.9164
1.180000, 65.730, -47.3350
1.206000, 65.992, -48.6962
1.220000, 66.130, -49.4274
1.241000, 66.333, -50.5188
1.250000, 66.419, -50.9840
1.265000, 66.559, -51.7549
1.280000, 66.697, -52.5195
1.315000, 67.010, -54.2755
1.320000, 67.054, -54.5228
1.340000, 67.226, -55.5023
1.360000, 67.396, -56.4658
1.380000, 67.562, -57.4126
1.400000, 67.724, -58.3424
1.430000, 67.963, -59.7050
1.450000, 68.119, -60.5927
1.475000, 68.310, -61.6864
1.500000, 68.496, -62.7798
1.525000, 68.674, -63.8784
1.550000, 68.847, -64.9791
1.575000, 69.014, -66.0781
1.600000, 69.176, -67.1720
1.625000, 69.332, -68.2579
1.650000, 69.483, -69.3333
1.675000, 69.630, -70.3960
1.700000, 69.772, -71.4441
1.725000, 69.910, -72.4761
1.750000, 70.044, -73.4907
1.775000, 70.174, -74.4869
1.800000, 70.301, -75.4643
1.825000, 70.425, -76.4248
1.850000, 70.546, -77.3791
1.875000, 70.661, -78.3404
1.900000, 70.773, -79.3105
1.925000, 70.879, -80.2861
1.950000, 70.981, -81.2632
1.975000, 71.079, -82.2381
2.000000, 71.174, -83.2071
2.030000, 71.282, -84.3572
2.060000, 71.386, -85.4880
2.090000, 71.485, -86.5942
2.120000, 71.581, -87.6707
2.140000, 71.642, -88.3695
2.180000, 71.761, -89.7181
2.200000, 71.818, -90.3700
2.240000, 71.927, -91.6545
2.270000, 72.002, -92.6130
2.300000, 72.072, -93.5669
2.330000, 72.138, -94.5131
2.360000, 72.200, -95.4482
2.400000, 72.277, -96.6715
2.430000, 72.331, -97.5665
2.470000, 72.399, -98.7225
2.500000, 72.448, -99.5567
2.540000, 72.511, -100.6187
2.580000, 72.570, -101.6243
2.620000, 72.624, -102.5903
2.650000, 72.661, -103.2957
2.690000, 72.705, -104.2118
2.720000, 72.736, -104.8804
2.760000, 72.774, -105.7462
2.800000, 72.810, -106.5809
2.850000, 72.853, -107.5767
2.900000, 72.897, -108.5143
2.950000, 72.941, -109.3880
3.000000, 72.983, -110.1979
3.040000, 73.015, -110.8050
3.070000, 73.039, -111.2397
3.110000, 73.069, -111.7953
3.150000, 73.100, -112.3274
3.200000, 73.141, -112.9653
3.250000, 73.185, -113.5786
3.300000, 73.233, -114.1682
3.350000, 73.286, -114.7211
3.400000, 73.341, -115.2312
3.450000, 73.399, -115.7090
3.500000, 73.460, -116.1683
3.550000, 73.524, -116.6230
3.600000, 73.590, -117.0859
3.650000, 73.659, -117.5660
3.700000, 73.732, -118.0583
3.750000, 73.810, -118.5493
3.820000, 73.923, -119.2357
3.870000, 74.007, -119.7343
3.950000, 74.141, -120.5674
4.000000, 74.223, -121.1210
4.060000, 74.321, -121.8240
4.120000, 74.420, -122.5626
4.180000, 74.518, -123.3290
4.250000, 74.631, -124.2524
4.310000, 74.724, -125.0659
4.370000, 74.810, -125.8996
4.440000, 74.903, -126.9074
4.500000, 74.977, -127.8090
4.550000, 75.035, -128.5805
4.620000, 75.110, -129.6744
4.680000, 75.167, -130.6098
4.750000, 75.223, -131.6863
4.820000, 75.269, -132.7595
4.870000, 75.296, -133.5349
4.940000, 75.325, -134.6235
5.000000, 75.342, -135.5422
5.080000, 75.356, -136.7181
5.150000, 75.359, -137.6886
5.220000, 75.352, -138.6204
5.300000, 75.334, -139.6456
5.380000, 75.307, -140.6102
5.450000, 75.281, -141.3849
5.520000, 75.252, -142.0825
5.600000, 75.213, -142.7897
5.700000, 75.160, -143.5544
5.800000, 75.111, -144.1952
5.900000, 75.072, -144.7045
6.000000, 75.043, -145.0660
6.080000, 75.028, -145.2734
6.150000, 75.023, -145.4229
6.220000, 75.029, -145.5578
6.300000, 75.049, -145.6863
6.400000, 75.093, -145.8033
6.500000, 75.154, -145.9301
6.600000, 75.231, -146.1313
6.700000, 75.326, -146.4096
6.800000, 75.434, -146.7568
6.900000, 75.548, -147.2027
7.000000, 75.662, -147.7745
7.100000, 75.777, -148.4675
7.200000, 75.888, -149.2577
7.300000, 75.989, -150.1281
7.400000, 76.077, -151.0841
7.500000, 76.151, -152.1230
7.620000, 76.219, -153.4169
7.750000, 76.263, -154.8187
7.880000, 76.276, -156.2319
8.000000, 76.262, -157.4812
8.120000, 76.226, -158.6115
8.250000, 76.163, -159.7088
8.380000, 76.084, -160.6372
8.500000, 76.006, -161.2953
8.620000, 75.922, -161.7648
8.750000, 75.841, -162.0874
8.850000, 75.791, -162.2062
9.000000, 75.741, -162.1855
9.120000, 75.727, -162.0813
9.250000, 75.744, -161.9424
9.380000, 75.794, -161.8013
9.500000, 75.862, -161.7499
9.620000, 75.947, -161.8220
9.750000, 76.057, -162.0383
9.880000, 76.169, -162.4212
10.000000, 76.268, -162.9379
10.150000, 76.382, -163.7694
10.300000, 76.472, -164.7528
10.440000, 76.527, -165.7902
10.600000, 76.556, -167.0277
10.750000, 76.546, -168.1715
10.900000, 76.502, -169.2617
11.060000, 76.423, -170.2701
11.200000, 76.330, -170.9953
11.380000, 76.193, -171.6557
11.500000, 76.095, -171.8987
11.720000, 75.922, -171.9373
11.800000, 75.867, -171.8206
12.060000, 75.738, -171.0261
12.200000, 75.714, -170.4061
12.410000, 75.747, -169.3596
12.500000, 75.789, -168.9243
12.650000, 75.896, -168.2638
12.800000, 76.044, -167.7735
13.150000, 76.505, -167.6504
13.200000, 76.578, -167.7766
13.400000, 76.869, -168.6623
13.600000, 77.134, -170.1418
13.800000, 77.346, -172.1655
14.000000, 77.477, -174.5951
14.300000, 77.480, -178.6797
14.500000, 77.333, 178.6095
14.750000, 76.976, 175.6905
15.000000, 76.449, 173.8022
15.250000, 75.825, 173.5714
15.500000, 75.255, 175.3482
15.750000, 74.925, 178.8766
16.000000, 74.986, -177.0521
16.250000, 75.389, -174.0298
16.500000, 75.969, -172.9392
16.750000, 76.528, -173.8089
17.000000, 76.945, -176.0826
17.250000, 77.164, -179.1140
17.500000, 77.177, 177.7174
17.750000, 77.013, 174.9666
18.000000, 76.729, 173.0334
18.250000, 76.405, 172.1647
18.500000, 76.136, 172.2983
18.750000, 75.994, 173.0573
