* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:40:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.962, -43.9566
1.015000, 66.064, -44.6266
1.030000, 66.165, -45.2942
1.044000, 66.259, -45.9154
1.060000, 66.365, -46.6235
1.075000, 66.464, -47.2860
1.090000, 66.561, -47.9479
1.106000, 66.665, -48.6537
1.120000, 66.755, -49.2718
1.138000, 66.871, -50.0669
1.150000, 66.949, -50.5968
1.172000, 67.090, -51.5672
1.180000, 67.142, -51.9195
1.206000, 67.308, -53.0615
1.220000, 67.398, -53.6741
1.241000, 67.532, -54.5894
1.250000, 67.589, -54.9802
1.265000, 67.684, -55.6294
1.280000, 67.778, -56.2758
1.315000, 67.997, -57.7727
1.320000, 68.028, -57.9852
1.340000, 68.151, -58.8317
1.360000, 68.273, -59.6727
1.380000, 68.394, -60.5082
1.400000, 68.514, -61.3383
1.430000, 68.690, -62.5740
1.450000, 68.806, -63.3919
1.475000, 68.948, -64.4099
1.500000, 69.089, -65.4274
1.525000, 69.228, -66.4449
1.550000, 69.365, -67.4609
1.575000, 69.501, -68.4739
1.600000, 69.635, -69.4824
1.625000, 69.767, -70.4854
1.650000, 69.897, -71.4821
1.675000, 70.025, -72.4718
1.700000, 70.152, -73.4542
1.725000, 70.276, -74.4290
1.750000, 70.398, -75.3961
1.775000, 70.518, -76.3558
1.800000, 70.636, -77.3084
1.825000, 70.752, -78.2555
1.850000, 70.865, -79.2024
1.875000, 70.977, -80.1551
1.900000, 71.086, -81.1134
1.925000, 71.193, -82.0749
1.950000, 71.298, -83.0371
1.975000, 71.401, -83.9974
2.000000, 71.503, -84.9536
2.030000, 71.621, -86.0927
2.060000, 71.737, -87.2198
2.090000, 71.850, -88.3319
2.120000, 71.960, -89.4265
2.140000, 72.032, -90.1455
2.180000, 72.173, -91.5566
2.200000, 72.241, -92.2508
2.240000, 72.374, -93.6337
2.270000, 72.470, -94.6731
2.300000, 72.563, -95.7125
2.330000, 72.653, -96.7487
2.360000, 72.740, -97.7785
2.400000, 72.852, -99.1358
2.430000, 72.934, -100.1383
2.470000, 73.038, -101.4487
2.500000, 73.114, -102.4085
