* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:29:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Softears Twilight L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.143, 0.3357
1.015000, 40.284, -0.9047
1.030000, 40.422, -2.1192
1.044000, 40.549, -3.2312
1.060000, 40.692, -4.4793
1.075000, 40.824, -5.6300
1.090000, 40.954, -6.7663
1.106000, 41.089, -7.9761
1.120000, 41.205, -9.0517
1.138000, 41.351, -10.4675
1.150000, 41.446, -11.4298
1.172000, 41.615, -13.2241
1.180000, 41.675, -13.8841
1.206000, 41.865, -16.0464
1.220000, 41.964, -17.2163
1.241000, 42.107, -18.9699
1.250000, 42.168, -19.7189
1.265000, 42.266, -20.9608
1.280000, 42.361, -22.1920
1.315000, 42.574, -25.0054
1.320000, 42.603, -25.3990
1.340000, 42.718, -26.9486
1.360000, 42.828, -28.4543
1.380000, 42.934, -29.9111
1.400000, 43.036, -31.3143
1.430000, 43.182, -33.3103
1.450000, 43.274, -34.5656
1.475000, 43.384, -36.0695
1.500000, 43.487, -37.5602
1.525000, 43.584, -39.0633
1.550000, 43.673, -40.5753
1.575000, 43.756, -42.0884
1.600000, 43.832, -43.5949
1.625000, 43.902, -45.0867
1.650000, 43.965, -46.5559
1.675000, 44.022, -47.9945
1.700000, 44.072, -49.3943
1.725000, 44.117, -50.7475
1.750000, 44.154, -52.0463
1.775000, 44.186, -53.2828
1.800000, 44.212, -54.4501
1.825000, 44.231, -55.5475
1.850000, 44.243, -56.5988
1.875000, 44.248, -57.6406
1.900000, 44.245, -58.6833
1.925000, 44.234, -59.7238
1.950000, 44.216, -60.7563
1.975000, 44.192, -61.7740
2.000000, 44.163, -62.7693
2.030000, 44.120, -63.9223
2.060000, 44.071, -65.0149
2.090000, 44.016, -66.0296
2.120000, 43.956, -66.9472
2.140000, 43.914, -67.4952
2.180000, 43.825, -68.4126
2.200000, 43.776, -68.7778
2.240000, 43.660, -69.3536
2.270000, 43.554, -69.6725
2.300000, 43.435, -69.8973
2.330000, 43.308, -70.0249
2.360000, 43.178, -70.0507
2.400000, 43.006, -69.9175
2.430000, 42.885, -69.6845
2.470000, 42.743, -69.1863
2.500000, 42.657, -68.6666
2.540000, 42.578, -67.7722
2.580000, 42.541, -66.6236
2.620000, 42.531, -65.1697
2.650000, 42.538, -63.8827
2.690000, 42.567, -61.9510
2.720000, 42.604, -60.3813
2.760000, 42.678, -58.1956
2.800000, 42.782, -55.9874
2.850000, 42.958, -53.3377
2.900000, 43.192, -50.9602
2.950000, 43.494, -48.9007
3.000000, 43.880, -47.0196
3.040000, 44.243, -45.6344
3.070000, 44.539, -44.6928
3.110000, 44.956, -43.5973
3.150000, 45.388, -42.7085
3.200000, 45.931, -41.9143
3.250000, 46.455, -41.4864
3.300000, 46.948, -41.4116
3.350000, 47.424, -41.6096
3.400000, 47.896, -41.9979
3.450000, 48.365, -42.5417
3.500000, 48.824, -43.2213
3.550000, 49.268, -44.0236
3.600000, 49.692, -44.9409
3.650000, 50.090, -45.9734
3.700000, 50.463, -47.1295
3.750000, 50.814, -48.4032
3.820000, 51.272, -50.3205
3.870000, 51.577, -51.7388
3.950000, 52.029, -54.0232
4.000000, 52.290, -55.4403
4.060000, 52.581, -57.1532
4.120000, 52.846, -58.9333
4.180000, 53.085, -60.7655
4.250000, 53.336, -62.9026
4.310000, 53.529, -64.6805
4.370000, 53.704, -66.3758
4.440000, 53.886, -68.2766
4.500000, 54.019, -69.9006
4.550000, 54.114, -71.2484
4.620000, 54.229, -73.0866
4.680000, 54.314, -74.5758
4.750000, 54.398, -76.1709
4.820000, 54.466, -77.6268
4.870000, 54.502, -78.6109
4.940000, 54.539, -79.9142
5.000000, 54.562, -80.9479
5.080000, 54.589, -82.1741
5.150000, 54.612, -83.0788
5.220000, 54.630, -83.8275
5.300000, 54.646, -84.5208
5.380000, 54.664, -85.0723
5.450000, 54.692, -85.4577
5.520000, 54.734, -85.7505
5.600000, 54.797, -85.9480
5.700000, 54.895, -86.0388
5.800000, 55.020, -86.0830
5.900000, 55.175, -86.1654
6.000000, 55.364, -86.2514
6.080000, 55.533, -86.3469
6.150000, 55.687, -86.4923
6.220000, 55.845, -86.7219
6.300000, 56.030, -87.0852
6.400000, 56.270, -87.6579
6.500000, 56.510, -88.3504
6.600000, 56.736, -89.1690
6.700000, 56.947, -90.1237
6.800000, 57.146, -91.1819
6.900000, 57.326, -92.2853
7.000000, 57.485, -93.4093
7.100000, 57.621, -94.5713
7.200000, 57.738, -95.7385
7.300000, 57.837, -96.8505
7.400000, 57.918, -97.8896
7.500000, 57.982, -98.8718
7.620000, 58.044, -99.9459
7.750000, 58.102, -100.9256
7.880000, 58.150, -101.7198
8.000000, 58.197, -102.3164
8.120000, 58.255, -102.7862
8.250000, 58.331, -103.1582
8.380000, 58.424, -103.4642
8.500000, 58.530, -103.7358
8.620000, 58.653, -104.0029
8.750000, 58.801, -104.3483
8.850000, 58.923, -104.6879
9.000000, 59.115, -105.3114
9.120000, 59.269, -105.9162
9.250000, 59.429, -106.6932
9.380000, 59.579, -107.5798
9.500000, 59.704, -108.4620
9.620000, 59.813, -109.3954
9.750000, 59.912, -110.4488
9.880000, 59.991, -111.4933
10.000000, 60.045, -112.4289
10.150000, 60.090, -113.5450
10.300000, 60.116, -114.5433
10.440000, 60.125, -115.3521
10.600000, 60.127, -116.1228
10.750000, 60.127, -116.6792
10.900000, 60.130, -117.0919
11.060000, 60.147, -117.4056
11.200000, 60.174, -117.5890
11.380000, 60.229, -117.7684
11.500000, 60.280, -117.8773
11.720000, 60.393, -118.1101
11.800000, 60.440, -118.2217
12.060000, 60.602, -118.6971
12.200000, 60.690, -119.0308
12.410000, 60.817, -119.6150
12.500000, 60.868, -119.8863
12.650000, 60.947, -120.3589
12.800000, 61.020, -120.8402
13.150000, 61.171, -121.9330
13.200000, 61.192, -122.0825
13.400000, 61.272, -122.6631
13.600000, 61.353, -123.2291
13.800000, 61.435, -123.7966
14.000000, 61.519, -124.3888
14.300000, 61.640, -125.3464
14.500000, 61.712, -126.0310
14.750000, 61.787, -126.9066
15.000000, 61.844, -127.7598
15.250000, 61.886, -128.5358
15.500000, 61.922, -129.2063
15.750000, 61.962, -129.7763
16.000000, 62.014, -130.2864
16.250000, 62.080, -130.8036
16.500000, 62.154, -131.3847
16.750000, 62.229, -132.0644
17.000000, 62.292, -132.8300
17.250000, 62.334, -133.6326
17.500000, 62.354, -134.4006
17.750000, 62.356, -135.0602
18.000000, 62.350, -135.5664
18.250000, 62.349, -135.9097
18.500000, 62.364, -136.1268
18.750000, 62.401, -136.2846
19.000000, 62.461, -136.4583
19.250000, 62.538, -136.7129
19.500000, 62.622, -137.0809
19.750000, 62.705, -137.5679
20.000000, 62.780, -138.1575
20.299999, 62.852, -138.9625
20.600000, 62.902, -139.8275
20.900000, 62.927, -140.7048
21.200001, 62.926, -141.5415
