* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:26:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Softears Twilight R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 30.736, -167.0415
1.015000, 30.516, -166.5015
1.030000, 30.310, -165.9269
1.044000, 30.133, -165.3566
1.060000, 29.951, -164.6604
1.075000, 29.800, -163.9528
1.090000, 29.672, -163.1264
1.106000, 29.555, -161.8080
1.120000, 29.462, -160.1808
1.138000, 29.348, -157.6763
1.150000, 29.276, -155.7633
1.172000, 29.154, -151.6678
1.180000, 29.112, -149.9622
1.206000, 28.993, -143.4785
1.220000, 28.938, -139.3210
1.241000, 28.873, -132.1385
1.250000, 28.850, -128.7180
1.265000, 28.822, -122.6106
1.280000, 28.806, -116.1107
1.315000, 28.819, -100.5336
1.320000, 28.827, -98.3852
1.340000, 28.876, -90.2813
1.360000, 28.954, -83.1687
1.380000, 29.062, -77.1634
1.400000, 29.203, -72.2306
1.430000, 29.479, -66.5876
1.450000, 29.710, -63.7914
1.475000, 30.065, -61.1067
1.500000, 30.512, -59.0164
1.525000, 31.051, -57.3529
1.550000, 31.669, -56.0398
1.575000, 32.352, -55.0206
1.600000, 33.085, -54.2499
1.625000, 33.855, -53.6906
1.650000, 34.647, -53.3132
1.675000, 35.446, -53.0941
1.700000, 36.239, -53.0143
1.725000, 37.012, -53.0592
1.750000, 37.750, -53.2169
1.775000, 38.439, -53.4784
1.800000, 39.068, -53.8367
1.825000, 39.626, -54.2850
1.850000, 40.122, -54.8124
1.875000, 40.576, -55.4017
1.900000, 40.998, -56.0376
1.925000, 41.389, -56.7082
1.950000, 41.754, -57.4041
1.975000, 42.096, -58.1177
2.000000, 42.416, -58.8432
2.030000, 42.775, -59.7236
2.060000, 43.113, -60.6096
2.090000, 43.433, -61.4978
2.120000, 43.741, -62.3866
2.140000, 43.941, -62.9791
2.180000, 44.335, -64.1679
2.200000, 44.529, -64.7711
2.240000, 44.901, -66.0310
2.270000, 45.159, -67.0278
2.300000, 45.400, -68.0551
2.330000, 45.626, -69.0984
2.360000, 45.836, -70.1449
2.400000, 46.096, -71.5262
2.430000, 46.277, -72.5397
2.470000, 46.503, -73.8465
2.500000, 46.661, -74.7851
2.540000, 46.861, -75.9751
2.580000, 47.046, -77.1171
2.620000, 47.213, -78.2769
2.650000, 47.325, -79.1701
2.690000, 47.458, -80.3760
2.720000, 47.546, -81.2776
2.760000, 47.648, -82.4553
2.800000, 47.737, -83.5822
2.850000, 47.828, -84.8823
2.900000, 47.903, -86.0230
2.950000, 47.959, -87.0032
3.000000, 47.990, -87.9034
3.040000, 47.995, -88.5871
3.070000, 47.990, -89.0721
3.110000, 47.975, -89.6689
3.150000, 47.951, -90.1930
3.200000, 47.914, -90.7168
3.250000, 47.877, -91.0593
3.300000, 47.839, -91.1894
3.350000, 47.792, -91.1096
3.400000, 47.728, -90.8411
3.450000, 47.657, -90.3957
3.500000, 47.589, -89.7826
3.550000, 47.535, -89.0137
3.600000, 47.506, -88.1042
3.650000, 47.510, -87.0653
3.700000, 47.549, -85.8757
3.750000, 47.614, -84.5114
3.820000, 47.744, -82.3878
3.870000, 47.864, -80.8139
3.950000, 48.106, -78.3958
4.000000, 48.288, -77.0410
4.060000, 48.545, -75.5948
4.120000, 48.851, -74.2739
4.180000, 49.197, -73.0864
4.250000, 49.630, -71.9393
4.310000, 50.006, -71.2101
4.370000, 50.372, -70.7416
4.440000, 50.784, -70.5086
4.500000, 51.137, -70.5218
4.550000, 51.431, -70.6536
4.620000, 51.833, -70.9933
4.680000, 52.163, -71.4079
4.750000, 52.521, -72.0216
4.820000, 52.849, -72.7858
4.870000, 53.068, -73.4227
4.940000, 53.355, -74.4024
5.000000, 53.583, -75.2832
5.080000, 53.862, -76.4613
5.150000, 54.082, -77.4817
5.220000, 54.276, -78.5297
5.300000, 54.471, -79.7601
