* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2025 6:48:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; SN: 69
* Measurement: Subtonic Storm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 72.005, 10.1090
1.015000, 72.092, 10.4495
1.030000, 72.181, 10.7547
1.044000, 72.267, 11.0056
1.060000, 72.367, 11.2496
1.075000, 72.462, 11.4353
1.090000, 72.560, 11.5789
1.106000, 72.668, 11.6945
1.120000, 72.767, 11.7808
1.138000, 72.900, 11.8818
1.150000, 72.994, 11.9427
1.172000, 73.172, 12.0368
1.180000, 73.239, 12.0645
1.206000, 73.464, 12.1263
1.220000, 73.590, 12.1395
1.241000, 73.782, 12.1300
1.250000, 73.866, 12.1144
1.265000, 74.008, 12.0721
1.280000, 74.151, 12.0086
1.315000, 74.488, 11.7726
1.320000, 74.536, 11.7284
1.340000, 74.730, 11.5242
1.360000, 74.922, 11.2749
1.380000, 75.113, 10.9790
1.400000, 75.301, 10.6347
1.430000, 75.576, 10.0246
1.450000, 75.753, 9.5539
1.475000, 75.969, 8.9002
1.500000, 76.181, 8.1971
1.525000, 76.393, 7.4588
1.550000, 76.605, 6.6895
1.575000, 76.816, 5.8911
1.600000, 77.025, 5.0653
1.625000, 77.233, 4.2128
1.650000, 77.438, 3.3341
1.675000, 77.641, 2.4290
1.700000, 77.842, 1.4969
1.725000, 78.039, 0.5367
1.750000, 78.232, -0.4532
1.775000, 78.421, -1.4748
1.800000, 78.606, -2.5305
1.825000, 78.786, -3.6236
1.850000, 78.962, -4.7585
1.875000, 79.134, -5.9355
1.900000, 79.303, -7.1482
1.925000, 79.467, -8.3889
1.950000, 79.629, -9.6504
1.975000, 79.787, -10.9269
2.000000, 79.941, -12.2133
2.030000, 80.123, -13.7645
2.060000, 80.299, -15.3190
2.090000, 80.472, -16.8733
2.120000, 80.640, -18.4256
2.140000, 80.750, -19.4590
2.180000, 80.964, -21.5262
2.200000, 81.068, -22.5662
2.240000, 81.270, -24.6916
2.270000, 81.416, -26.3321
2.300000, 81.558, -28.0022
2.330000, 81.695, -29.6907
