* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2025 7:01:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; SN: 69
* Measurement: Subtonic Storm Propeller L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 79.079, -56.9803
1.015000, 79.038, -57.7184
1.030000, 78.997, -58.4356
1.044000, 78.960, -59.0838
1.060000, 78.917, -59.7966
1.075000, 78.877, -60.4352
1.090000, 78.838, -61.0425
1.106000, 78.796, -61.6553
1.120000, 78.759, -62.1651
1.138000, 78.710, -62.7884
1.150000, 78.676, -63.1853
1.172000, 78.614, -63.8771
1.180000, 78.591, -64.1178
1.206000, 78.516, -64.8634
1.220000, 78.475, -65.2433
1.241000, 78.414, -65.7875
1.250000, 78.388, -66.0119
1.265000, 78.344, -66.3751
1.280000, 78.302, -66.7256
1.315000, 78.205, -67.5002
1.320000, 78.192, -67.6064
1.340000, 78.139, -68.0216
1.360000, 78.089, -68.4229
1.380000, 78.042, -68.8126
1.400000, 77.998, -69.1925
1.430000, 77.938, -69.7485
1.450000, 77.903, -70.1115
1.475000, 77.865, -70.5498
1.500000, 77.830, -70.9476
1.525000, 77.797, -71.2961
1.550000, 77.767, -71.5988
1.575000, 77.741, -71.8610
1.600000, 77.717, -72.0883
1.625000, 77.698, -72.2860
1.650000, 77.683, -72.4601
1.675000, 77.673, -72.6161
1.700000, 77.668, -72.7600
1.725000, 77.669, -72.8976
1.750000, 77.675, -73.0347
1.775000, 77.688, -73.1771
1.800000, 77.708, -73.3299
1.825000, 77.735, -73.4944
1.850000, 77.770, -73.6564
1.875000, 77.814, -73.7952
1.900000, 77.865, -73.9080
1.925000, 77.923, -74.0004
1.950000, 77.987, -74.0792
1.975000, 78.058, -74.1515
2.000000, 78.133, -74.2238
2.030000, 78.229, -74.3199
2.060000, 78.331, -74.4365
2.090000, 78.437, -74.5839
2.120000, 78.545, -74.7719
2.140000, 78.619, -74.9244
2.180000, 78.768, -75.3039
2.200000, 78.843, -75.5303
2.240000, 79.000, -76.0300
2.270000, 79.125, -76.4302
2.300000, 79.256, -76.8495
2.330000, 79.390, -77.2884
2.360000, 79.528, -77.7478
2.400000, 79.715, -78.3940
2.430000, 79.855, -78.9056
2.470000, 80.040, -79.6264
2.500000, 80.176, -80.1983
2.540000, 80.351, -81.0063
2.580000, 80.520, -81.8721
2.620000, 80.685, -82.7980
2.650000, 80.808, -83.5262
2.690000, 80.971, -84.5311
2.720000, 81.091, -85.3032
2.760000, 81.248, -86.3481
2.800000, 81.401, -87.4017
2.850000, 81.584, -88.7191
2.900000, 81.756, -90.0276
2.950000, 81.917, -91.3367
3.000000, 82.068, -92.6825
3.040000, 82.182, -93.7874
3.070000, 82.264, -94.6254
3.110000, 82.368, -95.7456
3.150000, 82.467, -96.8585
3.200000, 82.583, -98.2228
3.250000, 82.691, -99.5405
3.300000, 82.791, -100.8055
3.350000, 82.881, -102.0461
3.400000, 82.962, -103.2852
3.450000, 83.034, -104.5149
3.500000, 83.098, -105.7194
3.550000, 83.157, -106.8817
3.600000, 83.212, -107.9853
3.650000, 83.262, -109.0176
3.700000, 83.309, -109.9832
3.750000, 83.349, -110.9008
3.820000, 83.395, -112.1162
3.870000, 83.424, -112.9330
3.950000, 83.469, -114.1402
4.000000, 83.499, -114.8246
4.060000, 83.538, -115.5657
4.120000, 83.576, -116.2182
4.180000, 83.614, -116.7943
4.250000, 83.661, -117.3916
4.310000, 83.707, -117.8574
4.370000, 83.759, -118.2925
4.440000, 83.830, -118.7547
4.500000, 83.899, -119.0963
4.550000, 83.960, -119.3494
4.620000, 84.053, -119.6802
4.680000, 84.137, -119.9648
4.750000, 84.241, -120.3214
4.820000, 84.352, -120.7009
4.870000, 84.436, -120.9753
4.940000, 84.559, -121.3665
5.000000, 84.667, -121.7177
5.080000, 84.810, -122.2253
5.150000, 84.933, -122.7172
5.220000, 85.054, -123.2520
5.300000, 85.193, -123.9029
5.380000, 85.327, -124.5822
5.450000, 85.437, -125.1918
5.520000, 85.540, -125.8166
5.600000, 85.650, -126.5594
5.700000, 85.776, -127.5145
5.800000, 85.888, -128.4560
5.900000, 85.987, -129.3565
6.000000, 86.070, -130.2325
6.080000, 86.128, -130.9113
6.150000, 86.175, -131.4760
6.220000, 86.218, -132.0037
6.300000, 86.263, -132.5613
6.400000, 86.312, -133.2006
6.500000, 86.358, -133.7820
6.600000, 86.405, -134.3045
6.700000, 86.454, -134.7630
6.800000, 86.504, -135.1678
6.900000, 86.557, -135.5436
7.000000, 86.615, -135.9046
7.100000, 86.678, -136.2465
7.200000, 86.745, -136.5803
7.300000, 86.815, -136.9279
7.400000, 86.887, -137.2984
7.500000, 86.962, -137.6877
7.620000, 87.051, -138.1833
7.750000, 87.145, -138.7658
7.880000, 87.236, -139.3948
8.000000, 87.315, -140.0050
8.120000, 87.389, -140.6368
8.250000, 87.461, -141.3456
8.380000, 87.528, -142.0688
8.500000, 87.585, -142.7407
8.620000, 87.636, -143.4178
8.750000, 87.688, -144.1562
8.850000, 87.725, -144.7264
9.000000, 87.777, -145.5867
9.120000, 87.814, -146.2816
9.250000, 87.851, -147.0436
9.380000, 87.884, -147.8142
9.500000, 87.909, -148.5281
9.620000, 87.929, -149.2439
9.750000, 87.945, -150.0168
9.880000, 87.954, -150.7707
10.000000, 87.956, -151.4427
10.150000, 87.952, -152.2428
10.300000, 87.944, -152.9730
10.440000, 87.933, -153.5831
10.600000, 87.924, -154.1954
10.750000, 87.922, -154.6809
10.900000, 87.930, -155.0973
11.060000, 87.955, -155.4979
11.200000, 87.993, -155.8267
11.380000, 88.062, -156.2839
11.500000, 88.121, -156.6320
11.720000, 88.246, -157.4054
11.800000, 88.294, -157.7439
12.060000, 88.451, -159.0474
12.200000, 88.526, -159.8709
12.410000, 88.617, -161.2188
12.500000, 88.645, -161.8158
12.650000, 88.678, -162.8209
12.800000, 88.693, -163.7955
13.150000, 88.666, -165.7664
13.200000, 88.658, -165.9981
13.400000, 88.621, -166.7785
13.600000, 88.590, -167.3337
13.800000, 88.577, -167.6900
14.000000, 88.594, -167.9347
14.300000, 88.675, -168.2792
14.500000, 88.758, -168.6256
14.750000, 88.871, -169.2672
15.000000, 88.971, -170.1330
15.250000, 89.036, -171.1255
15.500000, 89.059, -172.0903
15.750000, 89.050, -172.8874
16.000000, 89.030, -173.4189
16.250000, 89.030, -173.7050
16.500000, 89.072, -173.8678
16.750000, 89.164, -174.1109
17.000000, 89.292, -174.6392
17.250000, 89.426, -175.5634
17.500000, 89.531, -176.8869
17.750000, 89.576, -178.4841
18.000000, 89.543, 179.8421
18.250000, 89.433, 178.3227
18.500000, 89.264, 177.1803
18.750000, 89.070, 176.5564
19.000000, 88.894, 176.4854
19.250000, 88.779, 176.8384
19.500000, 88.749, 177.3659
19.750000, 88.801, 177.7894
20.000000, 88.911, 177.8874
20.299999, 89.067, 177.4674
20.600000, 89.201, 176.5464
20.900000, 89.284, 175.3460
21.200001, 89.313, 174.1072
21.400000, 89.312, 173.3486
21.799999, 89.288, 172.0836
22.000000, 89.277, 171.5681
22.400000, 89.273, 170.6727
22.700001, 89.283, 170.0434
23.000000, 89.298, 169.4148
23.299999, 89.315, 168.7846
23.600000, 89.334, 168.1529
24.000000, 89.362, 167.2814
24.299999, 89.382, 166.5743
24.700001, 89.393, 165.5465
25.000000, 89.379, 164.7554
25.400000, 89.329, 163.8007
25.799999, 89.262, 163.0820
26.200001, 89.212, 162.5877
26.500000, 89.202, 162.2469
26.900000, 89.221, 161.6174
27.200001, 89.240, 160.9202
27.600000, 89.233, 159.7179
28.000000, 89.166, 158.4153
28.500000, 89.008, 157.0890
29.000000, 88.842, 156.3842
29.500000, 88.753, 156.1122
30.000000, 88.760, 155.7853
30.400000, 88.805, 155.2549
30.700001, 88.845, 154.6834
31.100000, 88.888, 153.7493
31.500000, 88.912, 152.7085
32.000000, 88.913, 151.3915
32.500000, 88.886, 150.1824
33.000000, 88.841, 149.1686
33.500000, 88.793, 148.3542
34.000000, 88.749, 147.6806
34.500000, 88.704, 147.1130
35.000000, 88.658, 146.6734
35.500000, 88.625, 146.3421
36.000000, 88.617, 145.9754
36.500000, 88.618, 145.3984
37.000000, 88.595, 144.5972
37.500000, 88.530, 143.7574
38.200001, 88.411, 142.8513
38.700001, 88.356, 142.3086
39.500000, 88.314, 141.0548
40.000000, 88.265, 140.0238
40.599998, 88.173, 138.8912
41.200001, 88.095, 138.0395
41.799999, 88.067, 137.2277
42.500000, 88.052, 136.0543
43.099998, 88.013, 135.0588
43.700001, 87.972, 134.2695
44.400002, 87.950, 133.4300
45.000000, 87.923, 132.6491
45.500000, 87.880, 132.0766
46.200001, 87.825, 131.5255
46.799999, 87.814, 131.0342
47.500000, 87.799, 130.0813
48.200001, 87.712, 128.9713
48.700001, 87.616, 128.4049
49.400002, 87.513, 128.0194
50.000000, 87.496, 127.7048
50.799999, 87.521, 126.6707
51.500000, 87.487, 125.3307
52.200001, 87.386, 124.1349
53.000000, 87.252, 123.2351
53.799999, 87.142, 122.7468
54.500000, 87.093, 122.5271
55.200001, 87.096, 122.1819
56.000000, 87.106, 121.3850
57.000000, 87.061, 120.2355
58.000000, 87.013, 119.1076
59.000000, 86.936, 117.7682
60.000000, 86.814, 116.6321
60.799999, 86.728, 115.9356
61.500000, 86.669, 115.3487
62.200001, 86.616, 114.7294
63.000000, 86.553, 114.0010
64.000000, 86.470, 113.0975
65.000000, 86.376, 112.2431
66.000000, 86.287, 111.5330
67.000000, 86.229, 110.8275
68.000000, 86.176, 109.9237
69.000000, 86.097, 108.9954
70.000000, 86.014, 108.2256
