* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2025 6:56:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; SN: 69
* Measurement: Subtonic Storm Propeller R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 75.754, -36.5378
1.015000, 75.782, -37.1113
1.030000, 75.811, -37.6788
1.044000, 75.837, -38.2025
1.060000, 75.867, -38.7933
1.075000, 75.895, -39.3391
1.090000, 75.924, -39.8768
1.106000, 75.954, -40.4422
1.120000, 75.981, -40.9323
1.138000, 76.016, -41.5578
1.150000, 76.039, -41.9722
1.172000, 76.082, -42.7268
1.180000, 76.098, -42.9996
1.206000, 76.149, -43.8807
1.220000, 76.177, -44.3518
1.241000, 76.219, -45.0542
1.250000, 76.237, -45.3537
1.265000, 76.268, -45.8509
1.280000, 76.298, -46.3458
1.315000, 76.370, -47.4914
1.320000, 76.380, -47.6540
1.340000, 76.422, -48.3021
1.360000, 76.464, -48.9462
1.380000, 76.506, -49.5864
1.400000, 76.548, -50.2227
1.430000, 76.612, -51.1696
1.450000, 76.654, -51.7959
1.475000, 76.708, -52.5731
1.500000, 76.762, -53.3441
1.525000, 76.816, -54.1092
1.550000, 76.870, -54.8683
1.575000, 76.925, -55.6213
1.600000, 76.980, -56.3681
1.625000, 77.036, -57.1087
1.650000, 77.092, -57.8429
1.675000, 77.148, -58.5706
1.700000, 77.205, -59.2918
1.725000, 77.263, -60.0062
1.750000, 77.321, -60.7138
1.775000, 77.379, -61.4144
1.800000, 77.438, -62.1078
1.825000, 77.497, -62.7939
1.850000, 77.557, -63.4721
1.875000, 77.618, -64.1423
1.900000, 77.679, -64.8048
1.925000, 77.740, -65.4599
1.950000, 77.802, -66.1083
1.975000, 77.865, -66.7502
2.000000, 77.927, -67.3863
2.030000, 78.004, -68.1423
2.060000, 78.080, -68.8910
2.090000, 78.158, -69.6329
2.120000, 78.236, -70.3686
2.140000, 78.289, -70.8558
2.180000, 78.395, -71.8226
2.200000, 78.449, -72.3018
2.240000, 78.558, -73.2483
2.270000, 78.640, -73.9466
2.300000, 78.724, -74.6359
2.330000, 78.808, -75.3173
2.360000, 78.893, -75.9919
2.400000, 79.008, -76.8830
2.430000, 79.094, -77.5465
2.470000, 79.209, -78.4268
2.500000, 79.296, -79.0852
2.540000, 79.412, -79.9623
2.580000, 79.528, -80.8385
2.620000, 79.645, -81.7099
2.650000, 79.734, -82.3589
2.690000, 79.853, -83.2183
2.720000, 79.943, -83.8588
2.760000, 80.062, -84.7080
2.800000, 80.181, -85.5527
2.850000, 80.328, -86.6044
2.900000, 80.473, -87.6539
2.950000, 80.615, -88.7053
3.000000, 80.756, -89.7616
3.040000, 80.869, -90.6079
3.070000, 80.952, -91.2418
3.110000, 81.063, -92.0837
3.150000, 81.171, -92.9199
3.200000, 81.304, -93.9542
3.250000, 81.433, -94.9741
3.300000, 81.556, -95.9811
3.350000, 81.676, -96.9863
3.400000, 81.792, -97.9949
3.450000, 81.905, -98.9997
3.500000, 82.013, -99.9914
3.550000, 82.118, -100.9613
3.600000, 82.217, -101.9015
3.650000, 82.313, -102.8080
3.700000, 82.403, -103.6895
3.750000, 82.487, -104.5592
3.820000, 82.598, -105.7532
3.870000, 82.673, -106.5776
3.950000, 82.785, -107.8216
4.000000, 82.851, -108.5398
4.060000, 82.927, -109.3399
4.120000, 82.997, -110.0885
4.180000, 83.061, -110.7907
4.250000, 83.133, -111.5446
4.310000, 83.194, -112.1268
4.370000, 83.257, -112.6423
4.440000, 83.332, -113.1531
4.500000, 83.396, -113.5169
4.550000, 83.449, -113.7744
4.620000, 83.527, -114.0761
4.680000, 83.599, -114.2892
4.750000, 83.692, -114.4914
4.820000, 83.796, -114.6333
4.870000, 83.875, -114.6929
4.940000, 83.994, -114.7352
5.000000, 84.102, -114.7556
5.080000, 84.258, -114.7944
5.150000, 84.406, -114.8515
5.220000, 84.567, -114.9108
5.300000, 84.762, -114.9846
5.380000, 84.968, -115.1024
5.450000, 85.152, -115.2717
5.520000, 85.340, -115.5128
5.600000, 85.561, -115.8553
5.700000, 85.844, -116.3753
5.800000, 86.125, -117.0199
5.900000, 86.398, -117.8085
6.000000, 86.664, -118.7268
6.080000, 86.871, -119.5365
6.150000, 87.044, -120.2916
6.220000, 87.209, -121.0886
6.300000, 87.387, -122.0565
6.400000, 87.595, -123.3451
6.500000, 87.785, -124.6843
6.600000, 87.955, -126.0455
6.700000, 88.104, -127.4425
6.800000, 88.233, -128.8704
6.900000, 88.343, -130.2855
7.000000, 88.433, -131.6662
7.100000, 88.502, -133.0323
7.200000, 88.554, -134.3687
7.300000, 88.588, -135.6357
7.400000, 88.607, -136.8233
7.500000, 88.609, -137.9443
7.620000, 88.595, -139.1771
7.750000, 88.566, -140.3289
7.880000, 88.522, -141.2924
8.000000, 88.477, -142.0192
8.120000, 88.437, -142.5753
8.250000, 88.398, -142.9857
8.380000, 88.375, -143.2519
8.500000, 88.376, -143.3984
8.620000, 88.397, -143.4597
8.750000, 88.445, -143.5198
8.850000, 88.502, -143.6072
9.000000, 88.615, -143.8154
9.120000, 88.721, -144.1115
9.250000, 88.845, -144.6172
9.380000, 88.974, -145.3025
9.500000, 89.084, -146.0888
9.620000, 89.178, -147.0334
9.750000, 89.261, -148.2044
9.880000, 89.314, -149.4539
10.000000, 89.330, -150.6566
10.150000, 89.308, -152.1757
10.300000, 89.238, -153.5605
10.440000, 89.129, -154.6851
10.600000, 88.971, -155.6670
10.750000, 88.801, -156.1718
10.900000, 88.630, -156.2665
11.060000, 88.486, -155.9090
11.200000, 88.405, -155.2365
11.380000, 88.396, -154.1514
11.500000, 88.461, -153.4037
11.720000, 88.702, -152.3706
11.800000, 88.821, -152.2053
12.060000, 89.273, -152.5588
12.200000, 89.513, -153.3734
12.410000, 89.828, -155.2749
12.500000, 89.933, -156.2841
12.650000, 90.063, -158.1785
12.800000, 90.130, -160.1963
13.150000, 90.039, -164.8244
13.200000, 90.000, -165.4144
13.400000, 89.795, -167.4839
13.600000, 89.538, -168.9692
13.800000, 89.270, -169.7669
14.000000, 89.041, -169.9619
14.300000, 88.839, -169.5099
14.500000, 88.816, -169.1481
14.750000, 88.872, -169.0560
15.000000, 88.962, -169.5486
15.250000, 89.014, -170.5346
15.500000, 88.994, -171.6972
15.750000, 88.902, -172.7016
16.000000, 88.774, -173.2521
16.250000, 88.668, -173.2702
16.500000, 88.637, -172.8952
16.750000, 88.711, -172.4616
17.000000, 88.875, -172.3408
17.250000, 89.087, -172.7468
17.500000, 89.295, -173.7130
17.750000, 89.462, -175.0947
18.000000, 89.572, -176.6873
18.250000, 89.627, -178.2909
18.500000, 89.645, -179.7649
18.750000, 89.649, 178.9395
19.000000, 89.654, 177.8027
19.250000, 89.666, 176.7534
19.500000, 89.685, 175.7310
19.750000, 89.701, 174.7096
20.000000, 89.706, 173.7091
20.299999, 89.697, 172.6035
20.600000, 89.680, 171.6633
20.900000, 89.670, 170.8855
21.200001, 89.680, 170.1827
21.400000, 89.696, 169.6945
21.799999, 89.726, 168.5735
22.000000, 89.726, 167.9480
22.400000, 89.673, 166.7244
22.700001, 89.590, 166.0127
23.000000, 89.489, 165.6081
23.299999, 89.401, 165.5221
23.600000, 89.350, 165.6492
24.000000, 89.353, 165.8305
24.299999, 89.395, 165.7614
24.700001, 89.457, 165.2632
25.000000, 89.483, 164.6326
25.400000, 89.470, 163.6318
25.799999, 89.408, 162.6614
26.200001, 89.322, 161.8650
26.500000, 89.258, 161.3933
26.900000, 89.191, 160.8640
27.200001, 89.159, 160.4719
27.600000, 89.135, 159.8672
28.000000, 89.121, 159.1287
28.500000, 89.099, 158.0530
29.000000, 89.064, 156.9074
29.500000, 89.015, 155.7876
30.000000, 88.953, 154.7912
30.400000, 88.901, 154.1603
30.700001, 88.871, 153.8010
31.100000, 88.858, 153.4148
31.500000, 88.882, 152.9820
32.000000, 88.940, 152.1158
32.500000, 88.962, 150.8584
33.000000, 88.902, 149.5668
33.500000, 88.788, 148.6987
34.000000, 88.702, 148.3351
34.500000, 88.696, 148.0574
35.000000, 88.739, 147.3834
35.500000, 88.751, 146.2781
36.000000, 88.693, 145.1257
36.500000, 88.598, 144.3203
37.000000, 88.530, 143.9087
37.500000, 88.527, 143.5875
38.200001, 88.587, 142.7040
38.700001, 88.612, 141.7254
39.500000, 88.567, 140.0873
40.000000, 88.502, 139.2829
40.599998, 88.421, 138.6014
41.200001, 88.358, 138.1187
41.799999, 88.317, 137.6803
42.500000, 88.285, 137.0808
43.099998, 88.258, 136.4541
43.700001, 88.224, 135.7389
44.400002, 88.174, 134.8292
45.000000, 88.122, 134.0199
45.500000, 88.074, 133.3503
46.200001, 88.007, 132.4473
46.799999, 87.956, 131.7010
47.500000, 87.905, 130.8334
48.200001, 87.860, 129.9509
48.700001, 87.828, 129.3127
49.400002, 87.779, 128.4253
50.000000, 87.730, 127.7012
50.799999, 87.658, 126.8364
51.500000, 87.600, 126.1543
52.200001, 87.547, 125.4800
53.000000, 87.487, 124.6809
53.799999, 87.424, 123.8571
54.500000, 87.368, 123.1193
55.200001, 87.312, 122.3599
56.000000, 87.242, 121.4857
57.000000, 87.155, 120.4799
58.000000, 87.089, 119.5118
59.000000, 87.024, 118.4442
60.000000, 86.944, 117.4642
60.799999, 86.889, 116.7679
61.500000, 86.847, 116.1332
62.200001, 86.799, 115.4766
63.000000, 86.736, 114.7738
64.000000, 86.663, 113.9807
65.000000, 86.598, 113.1649
66.000000, 86.528, 112.3408
67.000000, 86.459, 111.5325
68.000000, 86.390, 110.7226
69.000000, 86.324, 109.9373
70.000000, 86.260, 109.1250
71.000000, 86.189, 108.3227
72.000000, 86.119, 107.5838
73.000000, 86.052, 106.8292
74.000000, 85.978, 106.0645
75.000000, 85.900, 105.3474
76.199997, 85.813, 104.5169
77.500000, 85.723, 103.5911
78.800003, 85.633, 102.6404
80.000000, 85.548, 101.8034
81.199997, 85.469, 100.9955
82.500000, 85.385, 100.1099
83.800003, 85.297, 99.2512
85.000000, 85.217, 98.5026
86.199997, 85.142, 97.7851
87.500000, 85.065, 96.9847
88.500000, 85.003, 96.3799
90.000000, 84.913, 95.5117
91.199997, 84.844, 94.8186
92.500000, 84.768, 94.0370
93.800003, 84.686, 93.2959
95.000000, 84.618, 92.6287
96.199997, 84.547, 91.9498
97.500000, 84.471, 91.2617
98.800003, 84.399, 90.5681
100.000000, 84.328, 89.9335
101.500000, 84.237, 89.1775
103.000000, 84.153, 88.4537
104.400002, 84.080, 87.7425
106.000000, 83.998, 86.9065
107.500000, 83.918, 86.1580
109.000000, 83.843, 85.4415
110.599998, 83.759, 84.6996
112.000000, 83.689, 84.1034
113.800003, 83.600, 83.2925
115.000000, 83.540, 82.7727
117.199997, 83.440, 81.8549
118.000000, 83.405, 81.4950
120.599998, 83.286, 80.4319
122.000000, 83.226, 79.8615
124.099998, 83.134, 79.0234
125.000000, 83.094, 78.6718
126.500000, 83.028, 78.1139
128.000000, 82.967, 77.5922
131.500000, 82.829, 76.3196
132.000000, 82.809, 76.1494
134.000000, 82.734, 75.4362
136.000000, 82.652, 74.7397
138.000000, 82.576, 74.1564
140.000000, 82.512, 73.5504
143.000000, 82.402, 72.6181
145.000000, 82.331, 72.0910
147.500000, 82.273, 71.3933
150.000000, 82.233, 70.5440
152.500000, 82.162, 69.8052
155.000000, 82.094, 69.1834
157.500000, 82.017, 68.4273
160.000000, 81.956, 67.6343
162.500000, 81.905, 66.8721
165.000000, 81.844, 66.3593
167.500000, 81.785, 65.8921
170.000000, 81.727, 65.1797
172.500000, 81.676, 64.3472
175.000000, 81.622, 63.6727
177.500000, 81.565, 63.1948
180.000000, 81.502, 62.6981
182.500000, 81.450, 62.1380
185.000000, 81.409, 61.5733
187.500000, 81.373, 60.9826
190.000000, 81.340, 60.3749
192.500000, 81.318, 59.7089
195.000000, 81.292, 59.3048
197.500000, 81.266, 58.9784
200.000000, 81.212, 58.5032
203.000000, 81.156, 57.9562
206.000000, 81.150, 57.4026
209.000000, 81.120, 56.6898
212.000000, 81.053, 56.2090
214.000000, 81.028, 55.9610
218.000000, 81.005, 55.3292
220.000000, 80.990, 55.0215
224.000000, 80.963, 54.4402
227.000000, 80.945, 53.9498
230.000000, 80.926, 53.4006
233.000000, 80.910, 52.8130
236.000000, 80.907, 52.2292
240.000000, 80.908, 51.6216
243.000000, 80.886, 51.2421
247.000000, 80.848, 50.6379
250.000000, 80.839, 50.1320
254.000000, 80.837, 49.5256
258.000000, 80.831, 48.9450
262.000000, 80.822, 48.3623
265.000000, 80.818, 47.9434
269.000000, 80.816, 47.3914
272.000000, 80.814, 46.9844
276.000000, 80.812, 46.4315
280.000000, 80.810, 45.8771
285.000000, 80.812, 45.1963
290.000000, 80.818, 44.5283
295.000000, 80.824, 43.8624
300.000000, 80.834, 43.1787
304.000000, 80.843, 42.6332
307.000000, 80.849, 42.2300
311.000000, 80.858, 41.7115
315.000000, 80.867, 41.2076
320.000000, 80.882, 40.5768
325.000000, 80.893, 39.9500
330.000000, 80.905, 39.3354
335.000000, 80.917, 38.7193
340.000000, 80.930, 38.1098
345.000000, 80.943, 37.4942
350.000000, 80.955, 36.8819
355.000000, 80.970, 36.2902
360.000000, 80.985, 35.6970
365.000000, 80.998, 35.0942
370.000000, 81.011, 34.4892
375.000000, 81.027, 33.8872
382.000000, 81.046, 33.0978
387.000000, 81.059, 32.5298
395.000000, 81.081, 31.6251
400.000000, 81.094, 31.0711
406.000000, 81.108, 30.4000
412.000000, 81.122, 29.7395
418.000000, 81.136, 29.1026
425.000000, 81.151, 28.3664
431.000000, 81.164, 27.7317
437.000000, 81.175, 27.1002
444.000000, 81.189, 26.3870
450.000000, 81.202, 25.7786
455.000000, 81.210, 25.2740
462.000000, 81.219, 24.5443
468.000000, 81.226, 23.9484
475.000000, 81.234, 23.2738
482.000000, 81.240, 22.6138
487.000000, 81.244, 22.1401
494.000000, 81.248, 21.4854
500.000000, 81.251, 20.9364
508.000000, 81.255, 20.2222
515.000000, 81.257, 19.6017
522.000000, 81.256, 18.9872
530.000000, 81.257, 18.3011
538.000000, 81.258, 17.6462
545.000000, 81.256, 17.0942
552.000000, 81.253, 16.5545
560.000000, 81.246, 15.9493
570.000000, 81.240, 15.2233
580.000000, 81.234, 14.5100
590.000000, 81.223, 13.8201
600.000000, 81.214, 13.1614
608.000000, 81.205, 12.6508
615.000000, 81.198, 12.2126
622.000000, 81.191, 11.7778
630.000000, 81.179, 11.2996
640.000000, 81.164, 10.7367
650.000000, 81.150, 10.2039
660.000000, 81.134, 9.6991
670.000000, 81.117, 9.2108
680.000000, 81.102, 8.7330
690.000000, 81.090, 8.2904
700.000000, 81.078, 7.8698
710.000000, 81.064, 7.4742
720.000000, 81.051, 7.1108
730.000000, 81.039, 6.7827
740.000000, 81.027, 6.4693
750.000000, 81.015, 6.1497
762.000000, 81.005, 5.8018
775.000000, 80.998, 5.4576
788.000000, 80.996, 5.1769
800.000000, 80.992, 4.9429
812.000000, 80.989, 4.7256
825.000000, 80.992, 4.5135
838.000000, 80.999, 4.3132
850.000000, 81.008, 4.1512
862.000000, 81.022, 4.0156
875.000000, 81.043, 3.8757
885.000000, 81.062, 3.7794
900.000000, 81.099, 3.6390
912.000000, 81.130, 3.5320
925.000000, 81.166, 3.4557
938.000000, 81.208, 3.3682
950.000000, 81.252, 3.2546
962.000000, 81.298, 3.1358
975.000000, 81.353, 3.0099
988.000000, 81.410, 2.8932
1000.000000, 81.466, 2.7715
1015.000000, 81.542, 2.5825
1030.000000, 81.623, 2.3702
1044.000000, 81.701, 2.1471
1060.000000, 81.791, 1.8721
1075.000000, 81.875, 1.5945
1090.000000, 81.960, 1.2801
1106.000000, 82.053, 0.9058
1120.000000, 82.135, 0.5482
1138.000000, 82.237, 0.0613
1150.000000, 82.304, -0.2711
1172.000000, 82.424, -0.9177
1180.000000, 82.466, -1.1655
1206.000000, 82.601, -1.9801
1220.000000, 82.670, -2.4343
1241.000000, 82.767, -3.1174
1250.000000, 82.807, -3.4039
1265.000000, 82.875, -3.8827
1280.000000, 82.941, -4.3751
1315.000000, 83.085, -5.5100
1320.000000, 83.104, -5.6661
1340.000000, 83.181, -6.2842
1360.000000, 83.257, -6.9001
1380.000000, 83.331, -7.5073
1400.000000, 83.405, -8.0929
1430.000000, 83.515, -8.9500
1450.000000, 83.589, -9.5114
1475.000000, 83.682, -10.1821
1500.000000, 83.777, -10.8538
1525.000000, 83.875, -11.5274
