* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2025 6:39:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; SN: 69
* Measurement: Subtonic Storm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.995, -16.6080
1.015000, 83.069, -17.3001
1.030000, 83.142, -17.9933
1.044000, 83.209, -18.6414
1.060000, 83.283, -19.3839
1.075000, 83.352, -20.0822
1.090000, 83.418, -20.7837
1.106000, 83.488, -21.5404
1.120000, 83.548, -22.2164
1.138000, 83.623, -23.1078
1.150000, 83.672, -23.7151
1.172000, 83.759, -24.8517
1.180000, 83.790, -25.2715
1.206000, 83.889, -26.6555
1.220000, 83.941, -27.4109
1.241000, 84.017, -28.5533
1.250000, 84.048, -29.0455
1.265000, 84.100, -29.8679
1.280000, 84.150, -30.6917
1.315000, 84.264, -32.6116
1.320000, 84.279, -32.8849
1.340000, 84.340, -33.9738
1.360000, 84.400, -35.0537
1.380000, 84.457, -36.1222
1.400000, 84.511, -37.1769
1.430000, 84.590, -38.7288
1.450000, 84.640, -39.7416
1.475000, 84.699, -40.9923
1.500000, 84.755, -42.2550
1.525000, 84.808, -43.5406
1.550000, 84.857, -44.8458
1.575000, 84.903, -46.1650
1.600000, 84.945, -47.4928
1.625000, 84.984, -48.8238
1.650000, 85.020, -50.1526
1.675000, 85.053, -51.4741
1.700000, 85.083, -52.7832
1.725000, 85.110, -54.0748
1.750000, 85.134, -55.3444
1.775000, 85.155, -56.5871
1.800000, 85.173, -57.7992
1.825000, 85.188, -58.9803
1.850000, 85.201, -60.1444
1.875000, 85.210, -61.3127
1.900000, 85.216, -62.4911
1.925000, 85.219, -63.6777
1.950000, 85.218, -64.8691
1.975000, 85.215, -66.0617
2.000000, 85.209, -67.2515
2.030000, 85.198, -68.6692
2.060000, 85.183, -70.0685
2.090000, 85.165, -71.4408
2.120000, 85.143, -72.7772
2.140000, 85.127, -73.6435
2.180000, 85.092, -75.3067
2.200000, 85.072, -76.1034
2.240000, 85.027, -77.6548
2.270000, 84.987, -78.7984
2.300000, 84.944, -79.9277
2.330000, 84.896, -81.0413
2.360000, 84.846, -82.1370
2.400000, 84.775, -83.5643
2.430000, 84.719, -84.6045
2.470000, 84.643, -85.9413
2.500000, 84.586, -86.8989
2.540000, 84.509, -88.1036
2.580000, 84.431, -89.2162
2.620000, 84.349, -90.2400
2.650000, 84.284, -90.9559
2.690000, 84.194, -91.8476
2.720000, 84.125, -92.4731
2.760000, 84.034, -93.2540
2.800000, 83.945, -93.9786
2.850000, 83.841, -94.8110
2.900000, 83.749, -95.5657
2.950000, 83.669, -96.2273
3.000000, 83.597, -96.7536
3.040000, 83.544, -97.0760
3.070000, 83.507, -97.2699
3.110000, 83.463, -97.4785
3.150000, 83.426, -97.6463
3.200000, 83.392, -97.8266
3.250000, 83.373, -98.0061
3.300000, 83.373, -98.2013
3.350000, 83.392, -98.3741
3.400000, 83.429, -98.4946
3.450000, 83.481, -98.5831
3.500000, 83.546, -98.6716
3.550000, 83.620, -98.7926
3.600000, 83.701, -98.9770
3.650000, 83.786, -99.2478
3.700000, 83.879, -99.6006
3.750000, 83.982, -100.0088
3.820000, 84.142, -100.6551
3.870000, 84.261, -101.1705
3.950000, 84.451, -102.0952
4.000000, 84.563, -102.7419
4.060000, 84.690, -103.5995
4.120000, 84.813, -104.5508
4.180000, 84.933, -105.5764
4.250000, 85.066, -106.8305
4.310000, 85.170, -107.9268
4.370000, 85.263, -109.0260
4.440000, 85.357, -110.3270
4.500000, 85.425, -111.4861
4.550000, 85.475, -112.4757
4.620000, 85.533, -113.8643
4.680000, 85.573, -115.0264
4.750000, 85.609, -116.3185
4.820000, 85.633, -117.5530
4.870000, 85.641, -118.4187
4.940000, 85.642, -119.6050
5.000000, 85.636, -120.5821
5.080000, 85.623, -121.7966
5.150000, 85.608, -122.7558
5.220000, 85.587, -123.6241
5.300000, 85.556, -124.5226
5.380000, 85.525, -125.3297
5.450000, 85.501, -125.9626
5.520000, 85.483, -126.5210
5.600000, 85.469, -127.0562
5.700000, 85.458, -127.5960
5.800000, 85.460, -128.0524
5.900000, 85.481, -128.4652
6.000000, 85.521, -128.8153
6.080000, 85.564, -129.0638
6.150000, 85.607, -129.2825
6.220000, 85.656, -129.5189
6.300000, 85.718, -129.8112
6.400000, 85.805, -130.1964
6.500000, 85.898, -130.6053
6.600000, 85.993, -131.0474
6.700000, 86.087, -131.5273
6.800000, 86.183, -132.0351
6.900000, 86.278, -132.5541
7.000000, 86.371, -133.0741
7.100000, 86.461, -133.5968
7.200000, 86.550, -134.1206
7.300000, 86.641, -134.6388
7.400000, 86.733, -135.1451
7.500000, 86.826, -135.6424
7.620000, 86.940, -136.2453
7.750000, 87.069, -136.9214
7.880000, 87.204, -137.6202
8.000000, 87.330, -138.3057
8.120000, 87.455, -139.0512
8.250000, 87.590, -139.9230
8.380000, 87.718, -140.8531
8.500000, 87.826, -141.7677
8.620000, 87.925, -142.7316
8.750000, 88.017, -143.7951
8.850000, 88.076, -144.6133
9.000000, 88.145, -145.8391
9.120000, 88.186, -146.7807
9.250000, 88.216, -147.7317
9.380000, 88.234, -148.6124
