* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 1:00:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 32.342, 135.7310
1.015000, 32.590, 132.9681
1.030000, 32.838, 130.2669
1.044000, 33.069, 127.7853
1.060000, 33.330, 124.9770
1.075000, 33.573, 122.3530
1.090000, 33.812, 119.7180
1.106000, 34.067, 116.8666
1.120000, 34.292, 114.3164
1.138000, 34.589, 110.9758
1.150000, 34.791, 108.7291
1.172000, 35.169, 104.6155
1.180000, 35.308, 103.1319
1.206000, 35.769, 98.3971
1.220000, 36.020, 95.9200
1.241000, 36.401, 92.3203
1.250000, 36.565, 90.8233
1.265000, 36.839, 88.3920
1.280000, 37.114, 86.0408
1.315000, 37.754, 80.8583
1.320000, 37.845, 80.1510
1.340000, 38.207, 77.3981
1.360000, 38.565, 74.7578
1.380000, 38.918, 72.2166
1.400000, 39.265, 69.7600
1.430000, 39.769, 66.2012
1.450000, 40.093, 63.8895
1.475000, 40.486, 61.0332
1.500000, 40.869, 58.1815
1.525000, 41.246, 55.3423
1.550000, 41.615, 52.5376
1.575000, 41.979, 49.7850
1.600000, 42.335, 47.0962
1.625000, 42.686, 44.4779
1.650000, 43.030, 41.9327
1.675000, 43.368, 39.4598
1.700000, 43.701, 37.0553
1.725000, 44.027, 34.7138
1.750000, 44.347, 32.4279
1.775000, 44.662, 30.1893
1.800000, 44.971, 27.9882
1.825000, 45.274, 25.8107
1.850000, 45.571, 23.6321
1.875000, 45.861, 21.4349
1.900000, 46.145, 19.2275
1.925000, 46.423, 17.0260
1.950000, 46.694, 14.8446
1.975000, 46.960, 12.6947
2.000000, 47.219, 10.5849
2.030000, 47.524, 8.1148
2.060000, 47.821, 5.7181
2.090000, 48.111, 3.3975
2.120000, 48.394, 1.1526
2.140000, 48.579, -0.3036
2.180000, 48.941, -3.1293
2.200000, 49.118, -4.5114
2.240000, 49.462, -7.2709
2.270000, 49.711, -9.3516
2.300000, 49.952, -11.4293
2.330000, 50.187, -13.4899
2.360000, 50.414, -15.5206
2.400000, 50.708, -18.1641
2.430000, 50.921, -20.0879
2.470000, 51.195, -22.5631
2.500000, 51.395, -24.3469
2.540000, 51.654, -26.6274
2.580000, 51.903, -28.8228
2.620000, 52.142, -30.9986
2.650000, 52.313, -32.6302
2.690000, 52.532, -34.7924
2.720000, 52.690, -36.3929
2.760000, 52.893, -38.4825
2.800000, 53.087, -40.5049
2.850000, 53.318, -42.9136
2.900000, 53.539, -45.1677
