* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 1:02:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.689, 0.0540
1.015000, 42.727, 0.3078
1.030000, 42.768, 0.5562
1.044000, 42.809, 0.7822
1.060000, 42.860, 1.0322
1.075000, 42.910, 1.2575
1.090000, 42.964, 1.4737
1.106000, 43.026, 1.6986
1.120000, 43.084, 1.8991
1.138000, 43.163, 2.1663
1.150000, 43.219, 2.3493
1.172000, 43.327, 2.6904
1.180000, 43.368, 2.8151
1.206000, 43.508, 3.2180
1.220000, 43.587, 3.4306
1.241000, 43.709, 3.7396
1.250000, 43.763, 3.8672
1.265000, 43.855, 4.0723
1.280000, 43.948, 4.2663
1.315000, 44.174, 4.6674
1.320000, 44.207, 4.7181
1.340000, 44.339, 4.9022
1.360000, 44.473, 5.0545
1.380000, 44.609, 5.1724
1.400000, 44.745, 5.2537
1.430000, 44.950, 5.3022
1.450000, 45.087, 5.2840
1.475000, 45.257, 5.2123
1.500000, 45.432, 5.1116
1.525000, 45.612, 4.9926
1.550000, 45.797, 4.8538
1.575000, 45.986, 4.6922
1.600000, 46.177, 4.5053
1.625000, 46.371, 4.2905
1.650000, 46.566, 4.0457
1.675000, 46.762, 3.7688
1.700000, 46.957, 3.4579
1.725000, 47.151, 3.1114
1.750000, 47.343, 2.7276
1.775000, 47.532, 2.3050
1.800000, 47.717, 1.8421
1.825000, 47.898, 1.3387
1.850000, 48.076, 0.7990
1.875000, 48.253, 0.2308
1.900000, 48.428, -0.3606
1.925000, 48.603, -0.9721
1.950000, 48.777, -1.6011
1.975000, 48.949, -2.2455
2.000000, 49.119, -2.9034
2.030000, 49.320, -3.7090
2.060000, 49.519, -4.5302
2.090000, 49.713, -5.3659
2.120000, 49.904, -6.2155
2.140000, 50.029, -6.7896
2.180000, 50.271, -7.9575
2.200000, 50.389, -8.5539
2.240000, 50.619, -9.7828
2.270000, 50.787, -10.7360
2.300000, 50.951, -11.7094
2.330000, 51.112, -12.6959
2.360000, 51.268, -13.6894
2.400000, 51.470, -15.0155
2.430000, 51.617, -16.0051
2.470000, 51.808, -17.3104
2.500000, 51.946, -18.2748
2.540000, 52.125, -19.5382
2.580000, 52.296, -20.7865
2.620000, 52.460, -22.0502
2.650000, 52.578, -23.0122
2.690000, 52.728, -24.3040
2.720000, 52.837, -25.2719
2.760000, 52.976, -26.5493
2.800000, 53.110, -27.7998
2.850000, 53.271, -29.3056
2.900000, 53.425, -30.7291
2.950000, 53.572, -32.0721
3.000000, 53.708, -33.3777
3.040000, 53.811, -34.4061
3.070000, 53.884, -35.1647
3.110000, 53.978, -36.1527
3.150000, 54.069, -37.1061
3.200000, 54.182, -38.2357
3.250000, 54.296, -39.2801
3.300000, 54.412, -40.2262
3.350000, 54.525, -41.0795
3.400000, 54.635, -41.8569
3.450000, 54.744, -42.5706
3.500000, 54.854, -43.2291
3.550000, 54.969, -43.8389
3.600000, 55.094, -44.4045
3.650000, 55.230, -44.9242
3.700000, 55.377, -45.3788
3.750000, 55.532, -45.7528
3.820000, 55.764, -46.1818
3.870000, 55.939, -46.4651
3.950000, 56.239, -46.9622
4.000000, 56.440, -47.3345
4.060000, 56.697, -47.8313
4.120000, 56.973, -48.3232
4.180000, 57.265, -48.8199
4.250000, 57.619, -49.4712
4.310000, 57.928, -50.1461
4.370000, 58.237, -50.9644
4.440000, 58.599, -52.0845
4.500000, 58.916, -53.1299
4.550000, 59.183, -54.0505
4.620000, 59.554, -55.4274
4.680000, 59.865, -56.7063
4.750000, 60.214, -58.3362
4.820000, 60.547, -60.1210
4.870000, 60.779, -61.4734
4.940000, 61.093, -63.4417
5.000000, 61.350, -65.1763
5.080000, 61.669, -67.5412
5.150000, 61.924, -69.6787
5.220000, 62.158, -71.9222
5.300000, 62.401, -74.5855
5.380000, 62.616, -77.2710
5.450000, 62.778, -79.5886
5.520000, 62.916, -81.8874
5.600000, 63.043, -84.5753
5.700000, 63.159, -87.9938
5.800000, 63.224, -91.3043
