* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:51:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.326, -9.7880
1.015000, 57.536, -10.4124
1.030000, 57.745, -11.0378
1.044000, 57.938, -11.6233
1.060000, 58.158, -12.2957
1.075000, 58.361, -12.9303
1.090000, 58.564, -13.5697
1.106000, 58.778, -14.2566
1.120000, 58.963, -14.8592
1.138000, 59.196, -15.6331
1.150000, 59.349, -16.1477
1.172000, 59.625, -17.0867
1.180000, 59.724, -17.4264
1.206000, 60.040, -18.5227
1.220000, 60.206, -19.1074
1.241000, 60.452, -19.9766
1.250000, 60.556, -20.3460
1.265000, 60.728, -20.9573
1.280000, 60.897, -21.5630
1.315000, 61.283, -22.9546
1.320000, 61.338, -23.1508
1.340000, 61.553, -23.9296
1.360000, 61.766, -24.6984
1.380000, 61.975, -25.4574
1.400000, 62.182, -26.2071
1.430000, 62.488, -27.3148
1.450000, 62.690, -28.0428
1.475000, 62.939, -28.9419
1.500000, 63.183, -29.8297
1.525000, 63.421, -30.7067
1.550000, 63.654, -31.5731
1.575000, 63.881, -32.4295
1.600000, 64.104, -33.2764
1.625000, 64.322, -34.1145
1.650000, 64.536, -34.9447
1.675000, 64.746, -35.7675
1.700000, 64.953, -36.5841
1.725000, 65.156, -37.3951
1.750000, 65.355, -38.2015
1.775000, 65.552, -39.0043
1.800000, 65.746, -39.8045
1.825000, 65.938, -40.6031
1.850000, 66.126, -41.4020
1.875000, 66.311, -42.2018
1.900000, 66.492, -43.0017
1.925000, 66.670, -43.7998
1.950000, 66.843, -44.5949
1.975000, 67.014, -45.3857
2.000000, 67.181, -46.1712
2.030000, 67.377, -47.1054
2.060000, 67.570, -48.0295
2.090000, 67.759, -48.9426
2.120000, 67.945, -49.8440
2.140000, 68.067, -50.4383
2.180000, 68.307, -51.6112
2.200000, 68.425, -52.1910
2.240000, 68.656, -53.3449
2.270000, 68.825, -54.2076
2.300000, 68.990, -55.0669
2.330000, 69.152, -55.9212
2.360000, 69.309, -56.7691
2.400000, 69.515, -57.8878
2.430000, 69.666, -58.7165
2.470000, 69.863, -59.8061
2.500000, 70.008, -60.6109
2.540000, 70.197, -61.6671
2.580000, 70.383, -62.7068
2.620000, 70.564, -63.7377
2.650000, 70.696, -64.5069
2.690000, 70.869, -65.5260
2.720000, 70.995, -66.2845
2.760000, 71.159, -67.2864
2.800000, 71.320, -68.2761
2.850000, 71.515, -69.4941
2.900000, 71.707, -70.6892
2.950000, 71.893, -71.8635
3.000000, 72.075, -73.0261
3.040000, 72.215, -73.9496
3.070000, 72.319, -74.6377
3.110000, 72.454, -75.5483
3.150000, 72.586, -76.4499
3.200000, 72.747, -77.5625
3.250000, 72.904, -78.6577
3.300000, 73.058, -79.7358
3.350000, 73.207, -80.8018
3.400000, 73.353, -81.8596
3.450000, 73.494, -82.9089
3.500000, 73.632, -83.9483
3.550000, 73.766, -84.9767
3.600000, 73.896, -85.9931
3.650000, 74.023, -86.9979
3.700000, 74.147, -87.9945
3.750000, 74.267, -88.9871
3.820000, 74.430, -90.3689
3.870000, 74.541, -91.3473
3.950000, 74.713, -92.8918
4.000000, 74.816, -93.8422
4.060000, 74.934, -94.9710
4.120000, 75.048, -96.0954
4.180000, 75.157, -97.2150
4.250000, 75.278, -98.5079
4.310000, 75.376, -99.5980
4.370000, 75.469, -100.6676
4.440000, 75.571, -101.8954
4.500000, 75.653, -102.9406
4.550000, 75.717, -103.8055
4.620000, 75.801, -104.9984
4.680000, 75.868, -105.9963
4.750000, 75.941, -107.1248
4.820000, 76.007, -108.2212
4.870000, 76.050, -108.9916
4.940000, 76.105, -110.0499
5.000000, 76.147, -110.9314
5.080000, 76.199, -112.0579
5.150000, 76.240, -112.9927
5.220000, 76.276, -113.8870
5.300000, 76.311, -114.8651
5.380000, 76.342, -115.7918
5.450000, 76.368, -116.5545
5.520000, 76.393, -117.2679
5.600000, 76.420, -118.0244
5.700000, 76.451, -118.8921
5.800000, 76.485, -119.6845
5.900000, 76.525, -120.4038
6.000000, 76.569, -121.0427
6.080000, 76.608, -121.5086
6.150000, 76.646, -121.8976
6.220000, 76.689, -122.2767
6.300000, 76.744, -122.6937
6.400000, 76.821, -123.1877
6.500000, 76.906, -123.6786
6.600000, 76.998, -124.1963
6.700000, 77.098, -124.7400
6.800000, 77.205, -125.3071
6.900000, 77.315, -125.9159
7.000000, 77.427, -126.5809
7.100000, 77.541, -127.2980
7.200000, 77.655, -128.0618
7.300000, 77.766, -128.8734
7.400000, 77.873, -129.7364
7.500000, 77.975, -130.6476
7.620000, 78.091, -131.7871
7.750000, 78.205, -133.0659
7.880000, 78.306, -134.3929
8.000000, 78.388, -135.6375
8.120000, 78.459, -136.8833
8.250000, 78.523, -138.2386
8.380000, 78.574, -139.5783
8.500000, 78.612, -140.7848
8.620000, 78.640, -141.9657
8.750000, 78.662, -143.2034
8.850000, 78.674, -144.1175
9.000000, 78.685, -145.4299
9.120000, 78.689, -146.4264
9.250000, 78.692, -147.4466
9.380000, 78.693, -148.4086
9.500000, 78.695, -149.2509
9.620000, 78.699, -150.0502
9.750000, 78.706, -150.8725
9.880000, 78.718, -151.6643
10.000000, 78.733, -152.3737
10.150000, 78.759, -153.2405
10.300000, 78.792, -154.1094
10.440000, 78.829, -154.9300
10.600000, 78.876, -155.8930
10.750000, 78.923, -156.8341
10.900000, 78.970, -157.8112
11.060000, 79.017, -158.8945
11.200000, 79.055, -159.8752
11.380000, 79.095, -161.1604
11.500000, 79.116, -162.0267
11.720000, 79.141, -163.6059
11.800000, 79.146, -164.1687
12.060000, 79.150, -165.9371
12.200000, 79.147, -166.8347
12.410000, 79.138, -168.1074
12.500000, 79.135, -168.6265
12.650000, 79.131, -169.4595
12.800000, 79.129, -170.2650
13.150000, 79.140, -172.0988
13.200000, 79.142, -172.3623
13.400000, 79.153, -173.4315
13.600000, 79.162, -174.5286
13.800000, 79.163, -175.6510
14.000000, 79.152, -176.7729
14.300000, 79.112, -178.3913
14.500000, 79.071, -179.3732
14.750000, 79.012, 179.5549
15.000000, 78.957, 178.6711
15.250000, 78.920, 177.9468
15.500000, 78.910, 177.3033
15.750000, 78.929, 176.6462
16.000000, 78.972, 175.8809
16.250000, 79.025, 174.9525
16.500000, 79.075, 173.8538
16.750000, 79.108, 172.6199
17.000000, 79.118, 171.3201
17.250000, 79.105, 170.0264
17.500000, 79.072, 168.8026
17.750000, 79.030, 167.6851
18.000000, 78.987, 166.6758
18.250000, 78.951, 165.7498
18.500000, 78.925, 164.8633
18.750000, 78.907, 163.9758
19.000000, 78.893, 163.0614
19.250000, 78.878, 162.1182
19.500000, 78.856, 161.1675
19.750000, 78.826, 160.2405
20.000000, 78.789, 159.3700
20.299999, 78.745, 158.4244
20.600000, 78.707, 157.5807
20.900000, 78.684, 156.7985
21.200001, 78.674, 156.0215
21.400000, 78.673, 155.4839
21.799999, 78.672, 154.3424
22.000000, 78.669, 153.7459
22.400000, 78.653, 152.5405
22.700001, 78.634, 151.6500
23.000000, 78.612, 150.7735
23.299999, 78.588, 149.8981
23.600000, 78.558, 149.0131
24.000000, 78.502, 147.8345
24.299999, 78.447, 146.9915
24.700001, 78.363, 145.9860
25.000000, 78.301, 145.3287
25.400000, 78.237, 144.5087
25.799999, 78.195, 143.6124
26.200001, 78.153, 142.5362
26.500000, 78.108, 141.6302
26.900000, 78.016, 140.4127
27.200001, 77.930, 139.5860
27.600000, 77.814, 138.6638
28.000000, 77.722, 137.8829
28.500000, 77.650, 136.8589
29.000000, 77.596, 135.5922
29.500000, 77.519, 134.1667
30.000000, 77.417, 132.8006
30.400000, 77.333, 131.8234
30.700001, 77.275, 131.1472
31.100000, 77.206, 130.2916
31.500000, 77.145, 129.4710
32.000000, 77.083, 128.4756
32.500000, 77.038, 127.4379
33.000000, 76.997, 126.2480
33.500000, 76.926, 124.9305
34.000000, 76.807, 123.7153
34.500000, 76.664, 122.8527
35.000000, 76.550, 122.3408
35.500000, 76.496, 121.8836
36.000000, 76.478, 121.1663
36.500000, 76.447, 120.1324
37.000000, 76.373, 118.9742
37.500000, 76.259, 117.9387
38.200001, 76.090, 116.8887
38.700001, 75.996, 116.3030
39.500000, 75.887, 115.2216
40.000000, 75.807, 114.4215
40.599998, 75.685, 113.5665
41.200001, 75.571, 112.9589
41.799999, 75.500, 112.3717
42.500000, 75.432, 111.3475
43.099998, 75.331, 110.3289
43.700001, 75.201, 109.4841
44.400002, 75.068, 108.6824
45.000000, 74.970, 107.9241
45.500000, 74.880, 107.2455
46.200001, 74.750, 106.3608
46.799999, 74.656, 105.5961
47.500000, 74.548, 104.5289
48.200001, 74.410, 103.4107
48.700001, 74.301, 102.7125
49.400002, 74.160, 101.8540
50.000000, 74.051, 101.1258
50.799999, 73.904, 100.1585
51.500000, 73.779, 99.3979
52.200001, 73.674, 98.6720
53.000000, 73.571, 97.6929
53.799999, 73.444, 96.5627
54.500000, 73.305, 95.7106
55.200001, 73.179, 95.0786
56.000000, 73.069, 94.3525
57.000000, 72.922, 93.3040
58.000000, 72.763, 92.4788
59.000000, 72.636, 91.6870
60.000000, 72.503, 90.6703
60.799999, 72.366, 89.7855
61.500000, 72.224, 89.0732
62.200001, 72.074, 88.4773
63.000000, 71.911, 87.9109
64.000000, 71.736, 87.3421
65.000000, 71.626, 86.7007
66.000000, 71.527, 85.6985
67.000000, 71.401, 84.7836
68.000000, 71.290, 84.0207
69.000000, 71.176, 83.3534
70.000000, 71.078, 82.7469
71.000000, 70.958, 81.9222
72.000000, 70.782, 81.1433
73.000000, 70.582, 80.5696
74.000000, 70.400, 80.1646
75.000000, 70.252, 79.5885
76.199997, 70.071, 78.7683
77.500000, 69.912, 77.9412
78.800003, 69.788, 77.1639
80.000000, 69.691, 76.3089
81.199997, 69.554, 75.5244
82.500000, 69.375, 74.9641
83.800003, 69.226, 74.5668
85.000000, 69.062, 73.8084
86.199997, 68.874, 73.4415
87.500000, 68.768, 72.9680
88.500000, 68.695, 72.2274
90.000000, 68.529, 71.1177
91.199997, 68.390, 70.6924
92.500000, 68.276, 70.2834
93.800003, 68.149, 69.8058
95.000000, 68.026, 69.3511
96.199997, 67.895, 68.8651
97.500000, 67.761, 68.3318
98.800003, 67.633, 67.7302
100.000000, 67.517, 67.2036
101.500000, 67.380, 66.6029
103.000000, 67.260, 66.0674
104.400002, 67.149, 65.4386
106.000000, 67.003, 64.7809
107.500000, 66.878, 64.2794
109.000000, 66.769, 63.7825
110.599998, 66.654, 63.2202
112.000000, 66.539, 62.7726
113.800003, 66.377, 62.3762
115.000000, 66.270, 62.1440
117.199997, 66.069, 61.7062
118.000000, 66.007, 61.5494
120.599998, 65.840, 60.7919
122.000000, 65.755, 60.3812
124.099998, 65.615, 59.8018
125.000000, 65.545, 59.6194
126.500000, 65.423, 59.2690
128.000000, 65.301, 58.9650
131.500000, 65.094, 57.9541
132.000000, 65.062, 57.8227
134.000000, 64.938, 57.6597
136.000000, 64.856, 57.4557
