* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:50:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 66.272, -14.1604
1.015000, 66.373, -14.7814
1.030000, 66.473, -15.4057
1.044000, 66.566, -15.9918
1.060000, 66.671, -16.6659
1.075000, 66.768, -17.3026
1.090000, 66.864, -17.9447
1.106000, 66.965, -18.6376
1.120000, 67.053, -19.2531
1.138000, 67.165, -20.0577
1.150000, 67.239, -20.6015
1.172000, 67.373, -21.6110
1.180000, 67.421, -21.9814
1.206000, 67.576, -23.1949
1.220000, 67.659, -23.8528
1.241000, 67.782, -24.8429
1.250000, 67.834, -25.2678
1.265000, 67.920, -25.9762
1.280000, 68.006, -26.6839
1.315000, 68.203, -28.3277
1.320000, 68.231, -28.5613
1.340000, 68.342, -29.4914
1.360000, 68.451, -30.4137
1.380000, 68.560, -31.3269
1.400000, 68.667, -32.2298
1.430000, 68.827, -33.5626
1.450000, 68.932, -34.4359
1.475000, 69.062, -35.5138
1.500000, 69.190, -36.5867
1.525000, 69.315, -37.6590
1.550000, 69.439, -38.7299
1.575000, 69.561, -39.7980
1.600000, 69.681, -40.8622
1.625000, 69.799, -41.9211
1.650000, 69.916, -42.9737
1.675000, 70.031, -44.0193
1.700000, 70.145, -45.0568
1.725000, 70.258, -46.0856
1.750000, 70.369, -47.1052
1.775000, 70.480, -48.1148
1.800000, 70.590, -49.1144
1.825000, 70.698, -50.1044
1.850000, 70.806, -51.0889
1.875000, 70.912, -52.0729
1.900000, 71.017, -53.0569
1.925000, 71.120, -54.0398
1.950000, 71.223, -55.0200
1.975000, 71.323, -55.9959
2.000000, 71.423, -56.9661
2.030000, 71.541, -58.1211
2.060000, 71.658, -59.2638
2.090000, 71.774, -60.3921
2.120000, 71.889, -61.5043
2.140000, 71.965, -62.2359
2.180000, 72.117, -63.6741
2.200000, 72.192, -64.3812
2.240000, 72.341, -65.7794
2.270000, 72.451, -66.8180
2.300000, 72.560, -67.8481
2.330000, 72.668, -68.8692
2.360000, 72.775, -69.8809
2.400000, 72.916, -71.2140
2.430000, 73.021, -72.2014
2.470000, 73.160, -73.5006
2.500000, 73.263, -74.4615
2.540000, 73.399, -75.7241
2.580000, 73.535, -76.9669
2.620000, 73.669, -78.1942
2.650000, 73.769, -79.1057
2.690000, 73.901, -80.3091
2.720000, 73.999, -81.2028
2.760000, 74.129, -82.3826
2.800000, 74.257, -83.5490
2.850000, 74.414, -84.9887
2.900000, 74.569, -86.4094
2.950000, 74.721, -87.8150
3.000000, 74.870, -89.2126
3.040000, 74.988, -90.3249
3.070000, 75.076, -91.1543
3.110000, 75.191, -92.2520
3.150000, 75.304, -93.3390
3.200000, 75.442, -94.6803
3.250000, 75.575, -96.0006
3.300000, 75.704, -97.3022
3.350000, 75.829, -98.5965
3.400000, 75.951, -99.8893
3.450000, 76.068, -101.1749
3.500000, 76.182, -102.4462
3.550000, 76.290, -103.6961
3.600000, 76.394, -104.9189
3.650000, 76.493, -106.1125
3.700000, 76.586, -107.2868
3.750000, 76.675, -108.4551
3.820000, 76.790, -110.0761
3.870000, 76.866, -111.2115
3.950000, 76.980, -112.9641
4.000000, 77.045, -114.0077
4.060000, 77.117, -115.2093
4.120000, 77.181, -116.3755
4.180000, 77.238, -117.5105
4.250000, 77.298, -118.7836
4.310000, 77.345, -119.8180
4.370000, 77.389, -120.7887
4.440000, 77.437, -121.8375
4.500000, 77.473, -122.6752
4.550000, 77.500, -123.3348
4.620000, 77.536, -124.2021
4.680000, 77.567, -124.8936
4.750000, 77.607, -125.6371
4.820000, 77.650, -126.3036
4.870000, 77.682, -126.7313
4.940000, 77.728, -127.2756
5.000000, 77.770, -127.7071
5.080000, 77.834, -128.2555
5.150000, 77.898, -128.7171
5.220000, 77.970, -129.1458
5.300000, 78.060, -129.6010
5.380000, 78.157, -130.0543
5.450000, 78.246, -130.4794
5.520000, 78.339, -130.9430
5.600000, 78.453, -131.5046
5.700000, 78.602, -132.2496
5.800000, 78.750, -133.0688
5.900000, 78.891, -133.9911
6.000000, 79.027, -135.0150
6.080000, 79.131, -135.8878
6.150000, 79.215, -136.6787
6.220000, 79.291, -137.4920
6.300000, 79.366, -138.4595
6.400000, 79.444, -139.7257
6.500000, 79.506, -141.0072
6.600000, 79.548, -142.2580
6.700000, 79.569, -143.4891
6.800000, 79.571, -144.7032
6.900000, 79.558, -145.8532
7.000000, 79.531, -146.9024
7.100000, 79.490, -147.8601
7.200000, 79.439, -148.7302
7.300000, 79.386, -149.4959
7.400000, 79.333, -150.1395
7.500000, 79.279, -150.6663
7.620000, 79.222, -151.1857
7.750000, 79.181, -151.6421
7.880000, 79.160, -151.9864
8.000000, 79.161, -152.2772
8.120000, 79.181, -152.6071
8.250000, 79.226, -153.0083
8.380000, 79.285, -153.5004
8.500000, 79.347, -154.0797
8.620000, 79.414, -154.7720
8.750000, 79.484, -155.6318
8.850000, 79.531, -156.3713
9.000000, 79.590, -157.5985
9.120000, 79.626, -158.6338
9.250000, 79.649, -159.7789
9.380000, 79.657, -160.9422
9.500000, 79.656, -161.9941
9.620000, 79.646, -163.0005
9.750000, 79.629, -164.0439
9.880000, 79.612, -165.0319
10.000000, 79.598, -165.8863
10.150000, 79.587, -166.8953
10.300000, 79.588, -167.8788
10.440000, 79.602, -168.7863
10.600000, 79.629, -169.8550
10.750000, 79.663, -170.9265
10.900000, 79.702, -172.0682
11.060000, 79.738, -173.3769
11.200000, 79.763, -174.5957
11.380000, 79.776, -176.2114
11.500000, 79.770, -177.3048
11.720000, 79.728, -179.2583
11.800000, 79.702, -179.9268
12.060000, 79.585, 178.1207
12.200000, 79.509, 177.2678
12.410000, 79.391, 176.2745
12.500000, 79.344, 175.9575
12.650000, 79.276, 175.5699
12.800000, 79.225, 175.3177
13.150000, 79.202, 175.0333
13.200000, 79.209, 174.9969
13.400000, 79.263, 174.8024
13.600000, 79.341, 174.4620
13.800000, 79.429, 173.9292
14.000000, 79.510, 173.2159
14.300000, 79.592, 171.9027
14.500000, 79.609, 170.9754
14.750000, 79.589, 169.9043
15.000000, 79.535, 169.0513
15.250000, 79.469, 168.5008
15.500000, 79.418, 168.2361
15.750000, 79.405, 168.1584
16.000000, 79.442, 168.0960
16.250000, 79.522, 167.8601
16.500000, 79.628, 167.3184
16.750000, 79.732, 166.4111
17.000000, 79.809, 165.1796
17.250000, 79.840, 163.7286
17.500000, 79.817, 162.1998
17.750000, 79.744, 160.7434
18.000000, 79.636, 159.4716
18.250000, 79.512, 158.4490
18.500000, 79.395, 157.6661
18.750000, 79.302, 157.0481
19.000000, 79.240, 156.4859
19.250000, 79.206, 155.8647
19.500000, 79.187, 155.1192
19.750000, 79.167, 154.2373
20.000000, 79.136, 153.2599
20.299999, 79.075, 152.0640
20.600000, 78.993, 150.9606
20.900000, 78.904, 150.0305
21.200001, 78.826, 149.2816
21.400000, 78.788, 148.8547
21.799999, 78.749, 148.0526
22.000000, 78.748, 147.6197
22.400000, 78.769, 146.5786
22.700001, 78.789, 145.5966
23.000000, 78.794, 144.4416
23.299999, 78.770, 143.1654
23.600000, 78.703, 141.8777
