* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 17, 2025 5:58:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Bunny L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 74.215, -4.6387
1.015000, 74.467, -5.0087
1.030000, 74.716, -5.3902
1.044000, 74.947, -5.7570
1.060000, 75.208, -6.1897
1.075000, 75.451, -6.6086
1.090000, 75.691, -7.0401
1.106000, 75.945, -7.5091
1.120000, 76.165, -7.9178
1.138000, 76.443, -8.4351
1.150000, 76.626, -8.7748
1.172000, 76.956, -9.3883
1.180000, 77.075, -9.6088
1.206000, 77.454, -10.3179
1.220000, 77.655, -10.6959
1.241000, 77.951, -11.2593
1.250000, 78.077, -11.4999
1.265000, 78.284, -11.9002
1.280000, 78.489, -12.3002
1.315000, 78.958, -13.2352
1.320000, 79.024, -13.3693
1.340000, 79.286, -13.9076
1.360000, 79.544, -14.4500
1.380000, 79.799, -14.9975
1.400000, 80.051, -15.5512
1.430000, 80.423, -16.3951
1.450000, 80.668, -16.9676
1.475000, 80.970, -17.6902
1.500000, 81.266, -18.4079
1.525000, 81.556, -19.1155
1.550000, 81.840, -19.8144
1.575000, 82.118, -20.5067
1.600000, 82.390, -21.1944
1.625000, 82.657, -21.8797
1.650000, 82.918, -22.5645
1.675000, 83.175, -23.2507
1.700000, 83.427, -23.9401
1.725000, 83.675, -24.6345
1.750000, 83.919, -25.3356
1.775000, 84.159, -26.0450
1.800000, 84.396, -26.7641
1.825000, 84.629, -27.4941
1.850000, 84.858, -28.2334
1.875000, 85.082, -28.9784
1.900000, 85.302, -29.7262
1.925000, 85.517, -30.4749
1.950000, 85.727, -31.2230
1.975000, 85.933, -31.9695
2.000000, 86.136, -32.7135
2.030000, 86.373, -33.6022
2.060000, 86.605, -34.4858
2.090000, 86.832, -35.3643
2.120000, 87.055, -36.2377
2.140000, 87.201, -36.8174
2.180000, 87.487, -37.9721
2.200000, 87.627, -38.5487
2.240000, 87.901, -39.7074
2.270000, 88.100, -40.5820
2.300000, 88.294, -41.4584
2.330000, 88.483, -42.3335
2.360000, 88.667, -43.2049
2.400000, 88.906, -44.3571
2.430000, 89.080, -45.2118
2.470000, 89.306, -46.3360
2.500000, 89.471, -47.1664
2.540000, 89.687, -48.2560
2.580000, 89.896, -49.3312
2.620000, 90.098, -50.4061
2.650000, 90.245, -51.2140
2.690000, 90.434, -52.2896
2.720000, 90.571, -53.0917
2.760000, 90.749, -54.1508
2.800000, 90.921, -55.1935
2.850000, 91.129, -56.4673
2.900000, 91.330, -57.7024
2.950000, 91.525, -58.9027
3.000000, 91.710, -60.0890
3.040000, 91.853, -61.0321
3.070000, 91.956, -61.7339
3.110000, 92.089, -62.6591
3.150000, 92.219, -63.5688
3.200000, 92.375, -64.6785
3.250000, 92.528, -65.7517
3.300000, 92.676, -66.7861
3.350000, 92.818, -67.7914
3.400000, 92.955, -68.7773
3.450000, 93.087, -69.7440
3.500000, 93.214, -70.6891
3.550000, 93.337, -71.6099
3.600000, 93.458, -72.5037
3.650000, 93.577, -73.3682
3.700000, 93.694, -74.2047
3.750000, 93.808, -75.0175
3.820000, 93.963, -76.1214
3.870000, 94.070, -76.8879
3.950000, 94.240, -78.0798
4.000000, 94.345, -78.8041
