* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 17, 2025 5:56:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Bunny R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 79.060, 7.3945
1.015000, 79.309, 6.4327
1.030000, 79.554, 5.4863
1.044000, 79.779, 4.6146
1.060000, 80.032, 3.6298
1.075000, 80.265, 2.7151
1.090000, 80.494, 1.8066
1.106000, 80.733, 0.8431
1.120000, 80.939, 0.0054
1.138000, 81.197, -1.0624
1.150000, 81.367, -1.7677
1.172000, 81.671, -3.0460
1.180000, 81.779, -3.5057
1.206000, 82.126, -4.9798
1.220000, 82.308, -5.7606
1.241000, 82.576, -6.9138
1.250000, 82.689, -7.4015
1.265000, 82.875, -8.2053
1.280000, 83.058, -8.9980
1.315000, 83.476, -10.8043
1.320000, 83.535, -11.0575
1.340000, 83.767, -12.0581
1.360000, 83.995, -13.0397
1.380000, 84.220, -14.0030
1.400000, 84.442, -14.9484
1.430000, 84.770, -16.3347
1.450000, 84.986, -17.2388
1.475000, 85.252, -18.3498
1.500000, 85.512, -19.4449
1.525000, 85.765, -20.5255
1.550000, 86.012, -21.5909
1.575000, 86.252, -22.6401
1.600000, 86.487, -23.6728
1.625000, 86.716, -24.6888
1.650000, 86.939, -25.6882
1.675000, 87.159, -26.6715
1.700000, 87.373, -27.6392
1.725000, 87.584, -28.5921
1.750000, 87.791, -29.5309
1.775000, 87.995, -30.4567
1.800000, 88.196, -31.3707
1.825000, 88.395, -32.2746
1.850000, 88.590, -33.1724
1.875000, 88.781, -34.0674
1.900000, 88.967, -34.9595
1.925000, 89.149, -35.8471
1.950000, 89.327, -36.7285
1.975000, 89.501, -37.6024
2.000000, 89.672, -38.4675
2.030000, 89.872, -39.4927
2.060000, 90.067, -40.5026
2.090000, 90.259, -41.4960
2.120000, 90.446, -42.4722
2.140000, 90.569, -43.1132
2.180000, 90.812, -44.3721
2.200000, 90.931, -44.9916
2.240000, 91.163, -46.2215
2.270000, 91.332, -47.1397
2.300000, 91.497, -48.0531
2.330000, 91.658, -48.9596
2.360000, 91.814, -49.8574
2.400000, 92.018, -51.0383
2.430000, 92.166, -51.9098
2.470000, 92.360, -53.0509
2.500000, 92.502, -53.8897
2.540000, 92.688, -54.9844
2.580000, 92.870, -56.0560
2.620000, 93.046, -57.1157
2.650000, 93.174, -57.9055
2.690000, 93.340, -58.9499
2.720000, 93.461, -59.7254
2.760000, 93.619, -60.7463
2.800000, 93.772, -61.7502
2.850000, 93.959, -62.9775
2.900000, 94.140, -64.1708
2.950000, 94.316, -65.3329
3.000000, 94.486, -66.4769
3.040000, 94.618, -67.3823
3.070000, 94.714, -68.0547
3.110000, 94.839, -68.9407
3.150000, 94.961, -69.8130
3.200000, 95.110, -70.8811
3.250000, 95.255, -71.9214
3.300000, 95.397, -72.9330
3.350000, 95.535, -73.9220
3.400000, 95.668, -74.8943
3.450000, 95.798, -75.8504
3.500000, 95.923, -76.7894
3.550000, 96.046, -77.7103
3.600000, 96.166, -78.6118
3.650000, 96.284, -79.4934
3.700000, 96.400, -80.3568
3.750000, 96.513, -81.2053
3.820000, 96.666, -82.3704
3.870000, 96.773, -83.1866
3.950000, 96.939, -84.4646
4.000000, 97.041, -85.2457
4.060000, 97.161, -86.1657
4.120000, 97.279, -87.0689
4.180000, 97.394, -87.9570
4.250000, 97.525, -88.9757
4.310000, 97.635, -89.8352
4.370000, 97.742, -90.6830
4.440000, 97.866, -91.6588
4.500000, 97.969, -92.4846
4.550000, 98.054, -93.1657
4.620000, 98.170, -94.1090
4.680000, 98.268, -94.9084
4.750000, 98.379, -95.8311
4.820000, 98.487, -96.7450
4.870000, 98.563, -97.3932
4.940000, 98.667, -98.2939
5.000000, 98.753, -99.0591
5.080000, 98.866, -100.0684
5.150000, 98.961, -100.9420
5.220000, 99.053, -101.8096
5.300000, 99.155, -102.7938
5.380000, 99.253, -103.7674
5.450000, 99.336, -104.6084
5.520000, 99.416, -105.4394
5.600000, 99.504, -106.3803
5.700000, 99.609, -107.5432
5.800000, 99.709, -108.6847
5.900000, 99.803, -109.8016
6.000000, 99.892, -110.8993
6.080000, 99.959, -111.7631
6.150000, 100.016, -112.5061
6.220000, 100.070, -113.2356
6.300000, 100.130, -114.0542
6.400000, 100.201, -115.0576
6.500000, 100.268, -116.0372
6.600000, 100.332, -116.9899
6.700000, 100.393, -117.9168
6.800000, 100.450, -118.8203
6.900000, 100.506, -119.7002
7.000000, 100.560, -120.5560
7.100000, 100.611, -121.3887
7.200000, 100.661, -122.2005
7.300000, 100.710, -122.9929
7.400000, 100.758, -123.7666
7.500000, 100.804, -124.5222
7.620000, 100.859, -125.4092
7.750000, 100.918, -126.3497
7.880000, 100.975, -127.2701
8.000000, 101.027, -128.1057
8.120000, 101.077, -128.9314
8.250000, 101.131, -129.8157
8.380000, 101.183, -130.6906
8.500000, 101.228, -131.4920
8.620000, 101.272, -132.2878
8.750000, 101.316, -133.1415
8.850000, 101.348, -133.7917
9.000000, 101.392, -134.7569
9.120000, 101.424, -135.5158
9.250000, 101.456, -136.3222
9.380000, 101.484, -137.1118
9.500000, 101.507, -137.8221
9.620000, 101.528, -138.5121
9.750000, 101.548, -139.2375
9.880000, 101.567, -139.9386
10.000000, 101.583, -140.5632
10.150000, 101.603, -141.3158
10.300000, 101.622, -142.0405
10.440000, 101.640, -142.6934
10.600000, 101.662, -143.4180
10.750000, 101.683, -144.0816
10.900000, 101.705, -144.7330
11.060000, 101.728, -145.4202
11.200000, 101.749, -146.0166
11.380000, 101.775, -146.7780
11.500000, 101.791, -147.2828
11.720000, 101.819, -148.1991
11.800000, 101.828, -148.5283
12.060000, 101.854, -149.5799
12.200000, 101.867, -150.1308
12.410000, 101.883, -150.9351
12.500000, 101.890, -151.2711
12.650000, 101.900, -151.8197
12.800000, 101.911, -152.3550
13.150000, 101.934, -153.5598
13.200000, 101.937, -153.7278
13.400000, 101.950, -154.3914
13.600000, 101.963, -155.0434
13.800000, 101.975, -155.6853
14.000000, 101.985, -156.3167
14.300000, 101.998, -157.2418
14.500000, 102.004, -157.8417
14.750000, 102.009, -158.5702
15.000000, 102.011, -159.2730
15.250000, 102.011, -159.9479
15.500000, 102.007, -160.5921
15.750000, 102.001, -161.2018
16.000000, 101.994, -161.7733
16.250000, 101.985, -162.3047
16.500000, 101.977, -162.7975
16.750000, 101.971, -163.2568
17.000000, 101.967, -163.6913
17.250000, 101.965, -164.1098
17.500000, 101.966, -164.5197
17.750000, 101.969, -164.9253
18.000000, 101.973, -165.3287
18.250000, 101.979, -165.7325
18.500000, 101.987, -166.1424
18.750000, 101.997, -166.5690
19.000000, 102.009, -167.0252
19.250000, 102.021, -167.5230
19.500000, 102.028, -168.0653
19.750000, 102.028, -168.6429
20.000000, 102.018, -169.2328
20.299999, 101.990, -169.9095
20.600000, 101.949, -170.4985
20.900000, 101.907, -170.9655
21.200001, 101.873, -171.3193
21.400000, 101.861, -171.5187
21.799999, 101.863, -171.9326
22.000000, 101.874, -172.1898
22.400000, 101.899, -172.8529
22.700001, 101.907, -173.4536
23.000000, 101.899, -174.0758
23.299999, 101.876, -174.6495
23.600000, 101.845, -175.1266
24.000000, 101.810, -175.6052
24.299999, 101.797, -175.8914
24.700001, 101.798, -176.2710
25.000000, 101.805, -176.5972
25.400000, 101.813, -177.0909
25.799999, 101.810, -177.6028
26.200001, 101.797, -178.0746
26.500000, 101.786, -178.3861
26.900000, 101.771, -178.7506
