* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:11:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Oxygen L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.730, 8.4166
1.015000, 42.947, 7.8818
1.030000, 43.162, 7.3426
1.044000, 43.360, 6.8344
1.060000, 43.586, 6.2472
1.075000, 43.796, 5.6896
1.090000, 44.005, 5.1250
1.106000, 44.226, 4.5171
1.120000, 44.417, 3.9854
1.138000, 44.660, 3.3060
1.150000, 44.819, 2.8562
1.172000, 45.108, 2.0384
1.180000, 45.212, 1.7434
1.206000, 45.544, 0.7928
1.220000, 45.720, 0.2862
1.241000, 45.981, -0.4667
1.250000, 46.091, -0.7869
1.265000, 46.273, -1.3174
1.280000, 46.454, -1.8441
1.315000, 46.868, -3.0588
1.320000, 46.926, -3.2309
1.340000, 47.157, -3.9156
1.360000, 47.386, -4.5952
1.380000, 47.612, -5.2702
1.400000, 47.835, -5.9412
1.430000, 48.165, -6.9416
1.450000, 48.383, -7.6050
1.475000, 48.652, -8.4290
1.500000, 48.916, -9.2422
1.525000, 49.175, -10.0425
1.550000, 49.429, -10.8312
1.575000, 49.678, -11.6097
1.600000, 49.923, -12.3794
1.625000, 50.163, -13.1420
1.650000, 50.400, -13.8987
1.675000, 50.632, -14.6512
1.700000, 50.860, -15.4007
1.725000, 51.085, -16.1488
1.750000, 51.307, -16.8966
1.775000, 51.526, -17.6456
1.800000, 51.742, -18.3970
1.825000, 51.954, -19.1518
1.850000, 52.164, -19.9099
1.875000, 52.370, -20.6696
1.900000, 52.572, -21.4291
1.925000, 52.770, -22.1868
1.950000, 52.965, -22.9414
1.975000, 53.156, -23.6919
2.000000, 53.344, -24.4376
2.030000, 53.565, -25.3252
2.060000, 53.782, -26.2041
2.090000, 53.995, -27.0741
2.120000, 54.204, -27.9349
2.140000, 54.341, -28.5037
2.180000, 54.612, -29.6302
