* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2025 12:06:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Oxygen R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.707, 1.0093
1.015000, 42.950, 0.6424
1.030000, 43.191, 0.2648
1.044000, 43.414, -0.0978
1.060000, 43.666, -0.5248
1.075000, 43.900, -0.9377
1.090000, 44.132, -1.3624
1.106000, 44.377, -1.8236
1.120000, 44.589, -2.2257
1.138000, 44.858, -2.7350
1.150000, 45.035, -3.0697
1.172000, 45.356, -3.6747
1.180000, 45.471, -3.8922
1.206000, 45.840, -4.5922
1.220000, 46.036, -4.9654
1.241000, 46.326, -5.5219
1.250000, 46.449, -5.7595
1.265000, 46.652, -6.1548
1.280000, 46.853, -6.5497
1.315000, 47.314, -7.4723
1.320000, 47.379, -7.6046
1.340000, 47.637, -8.1352
1.360000, 47.891, -8.6694
1.380000, 48.143, -9.2081
1.400000, 48.391, -9.7522
1.430000, 48.759, -10.5804
1.450000, 49.001, -11.1412
1.475000, 49.299, -11.8479
1.500000, 49.592, -12.5482
1.525000, 49.879, -13.2372
1.550000, 50.160, -13.9167
1.575000, 50.436, -14.5891
1.600000, 50.707, -15.2566
1.625000, 50.973, -15.9215
1.650000, 51.235, -16.5859
1.675000, 51.492, -17.2517
1.700000, 51.744, -17.9209
1.725000, 51.993, -18.5952
1.750000, 52.237, -19.2762
1.775000, 52.478, -19.9657
1.800000, 52.716, -20.6650
1.825000, 52.950, -21.3749
1.850000, 53.181, -22.0932
1.875000, 53.407, -22.8156
1.900000, 53.628, -23.5393
1.925000, 53.846, -24.2629
1.950000, 54.059, -24.9851
1.975000, 54.268, -25.7054
2.000000, 54.473, -26.4231
2.030000, 54.715, -27.2806
2.060000, 54.951, -28.1338
2.090000, 55.183, -28.9828
2.120000, 55.411, -29.8281
2.140000, 55.560, -30.3898
2.180000, 55.853, -31.5103
2.200000, 55.997, -32.0704
2.240000, 56.278, -33.1949
2.270000, 56.483, -34.0420
2.300000, 56.683, -34.8895
2.330000, 56.879, -35.7352
2.360000, 57.070, -36.5770
2.400000, 57.317, -37.6905
2.430000, 57.499, -38.5171
2.470000, 57.735, -39.6063
2.500000, 57.908, -40.4126
2.540000, 58.133, -41.4733
2.580000, 58.353, -42.5226
2.620000, 58.566, -43.5716
2.650000, 58.720, -44.3595
2.690000, 58.921, -45.4078
2.720000, 59.067, -46.1897
2.760000, 59.257, -47.2226
2.800000, 59.441, -48.2409
2.850000, 59.664, -49.4878
2.900000, 59.880, -50.7016
2.950000, 60.089, -51.8864
3.000000, 60.290, -53.0603
3.040000, 60.444, -53.9946
3.070000, 60.557, -54.6906
3.110000, 60.703, -55.6090
3.150000, 60.845, -56.5134
3.200000, 61.017, -57.6190
3.250000, 61.184, -58.6917
3.300000, 61.346, -59.7301
3.350000, 61.503, -60.7441
3.400000, 61.654, -61.7427
3.450000, 61.799, -62.7249
3.500000, 61.939, -63.6874
3.550000, 62.076, -64.6269
3.600000, 62.209, -65.5399
3.650000, 62.339, -66.4242
3.700000, 62.467, -67.2824
3.750000, 62.591, -68.1203
3.820000, 62.759, -69.2630
3.870000, 62.875, -70.0577
3.950000, 63.056, -71.2907
4.000000, 63.168, -72.0364
4.060000, 63.300, -72.9056
4.120000, 63.430, -73.7488
4.180000, 63.557, -74.5693
4.250000, 63.702, -75.5023
4.310000, 63.825, -76.2842
4.370000, 63.947, -77.0521
4.440000, 64.088, -77.9302
4.500000, 64.208, -78.6666
4.550000, 64.306, -79.2700
4.620000, 64.443, -80.1026
4.680000, 64.558, -80.8078
4.750000, 64.691, -81.6240
4.820000, 64.822, -82.4338
