* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.327
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 6:26:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.347, -29.8872
1.015000, 40.467, -30.2707
1.030000, 40.586, -30.6511
1.044000, 40.696, -31.0038
1.060000, 40.819, -31.4041
1.075000, 40.933, -31.7771
1.090000, 41.046, -32.1484
1.106000, 41.163, -32.5435
1.120000, 41.265, -32.8899
1.138000, 41.395, -33.3366
1.150000, 41.481, -33.6348
1.172000, 41.637, -34.1815
1.180000, 41.694, -34.3800
1.206000, 41.875, -35.0229
1.220000, 41.971, -35.3672
1.241000, 42.114, -35.8801
1.250000, 42.174, -36.0985
1.265000, 42.274, -36.4604
1.280000, 42.373, -36.8192
1.315000, 42.599, -37.6436
1.320000, 42.631, -37.7598
1.340000, 42.757, -38.2201
1.360000, 42.880, -38.6734
1.380000, 43.001, -39.1192
1.400000, 43.120, -39.5572
1.430000, 43.293, -40.1992
1.450000, 43.405, -40.6174
1.475000, 43.542, -41.1327
1.500000, 43.674, -41.6491
1.525000, 43.803, -42.1693
1.550000, 43.928, -42.6909
1.575000, 44.050, -43.2111
1.600000, 44.168, -43.7273
1.625000, 44.282, -44.2370
1.650000, 44.393, -44.7381
1.675000, 44.500, -45.2283
1.700000, 44.604, -45.7057
1.725000, 44.704, -46.1686
1.750000, 44.802, -46.6151
1.775000, 44.896, -47.0436
1.800000, 44.986, -47.4530
1.825000, 45.074, -47.8436
1.850000, 45.157, -48.2226
1.875000, 45.237, -48.5999
1.900000, 45.313, -48.9770
1.925000, 45.385, -49.3515
1.950000, 45.453, -49.7208
1.975000, 45.518, -50.0821
2.000000, 45.579, -50.4326
2.030000, 45.650, -50.8352
2.060000, 45.716, -51.2139
2.090000, 45.779, -51.5642
2.120000, 45.839, -51.8816
2.140000, 45.878, -52.0729
2.180000, 45.952, -52.4019
2.200000, 45.987, -52.5404
2.240000, 46.051, -52.7806
2.270000, 46.093, -52.9362
2.300000, 46.131, -53.0705
2.330000, 46.165, -53.1818
2.360000, 46.196, -53.2677
2.400000, 46.234, -53.3392
2.430000, 46.262, -53.3575
2.470000, 46.299, -53.3308
2.500000, 46.329, -53.2695
2.540000, 46.371, -53.1287
2.580000, 46.417, -52.9172
2.620000, 46.461, -52.6347
2.650000, 46.492, -52.3795
2.690000, 46.533, -51.9871
2.720000, 46.565, -51.6577
2.760000, 46.609, -51.1784
2.800000, 46.659, -50.6605
2.850000, 46.730, -49.9723
2.900000, 46.817, -49.2532
2.950000, 46.921, -48.5026
3.000000, 47.040, -47.6912
3.040000, 47.144, -47.0020
3.070000, 47.227, -46.4725
3.110000, 47.344, -45.7641
3.150000, 47.468, -45.0687
3.200000, 47.632, -44.2430
3.250000, 47.804, -43.4922
3.300000, 47.985, -42.8291
3.350000, 48.180, -42.2255
3.400000, 48.388, -41.6598
3.450000, 48.607, -41.1451
3.500000, 48.832, -40.6997
3.550000, 49.059, -40.3401
3.600000, 49.283, -40.0800
3.650000, 49.502, -39.9275
3.700000, 49.717, -39.8753
3.750000, 49.932, -39.9042
3.820000, 50.232, -40.0610
3.870000, 50.442, -40.2488
3.950000, 50.764, -40.6699
4.000000, 50.952, -41.0054
4.060000, 51.163, -41.4871
4.120000, 51.361, -42.0614
4.180000, 51.547, -42.7107
4.250000, 51.748, -43.5275
4.310000, 51.905, -44.2504
4.370000, 52.047, -44.9772
4.440000, 52.192, -45.8429
4.500000, 52.300, -46.6262
4.550000, 52.379, -47.3007
4.620000, 52.473, -48.2465
4.680000, 52.541, -49.0294
4.750000, 52.605, -49.8818
4.820000, 52.652, -50.6802
4.870000, 52.674, -51.2357
4.940000, 52.691, -51.9864
5.000000, 52.696, -52.5867
5.080000, 52.694, -53.2838
5.150000, 52.686, -53.7509
5.220000, 52.669, -54.1136
5.300000, 52.639, -54.4852
5.380000, 52.606, -54.7985
5.450000, 52.582, -54.9898
5.520000, 52.566, -55.0751
5.600000, 52.554, -55.0393
5.700000, 52.548, -54.8487
5.800000, 52.562, -54.5814
5.900000, 52.606, -54.2921
6.000000, 52.678, -53.9587
6.080000, 52.754, -53.6883
6.150000, 52.830, -53.4890
6.220000, 52.915, -53.3500
6.300000, 53.024, -53.2638
6.400000, 53.177, -53.2454
6.500000, 53.341, -53.3372
6.600000, 53.507, -53.5608
6.700000, 53.672, -53.9204
6.800000, 53.839, -54.3913
6.900000, 54.002, -54.9410
7.000000, 54.159, -55.5526
7.100000, 54.308, -56.2285
7.200000, 54.452, -56.9491
7.300000, 54.594, -57.6821
7.400000, 54.733, -58.4115
7.500000, 54.871, -59.1430
7.620000, 55.038, -60.0276
7.750000, 55.231, -60.9827
7.880000, 55.434, -61.9314
8.000000, 55.633, -62.8458
8.120000, 55.846, -63.8248
8.250000, 56.091, -64.9499
8.380000, 56.345, -66.1830
8.500000, 56.584, -67.4490
8.620000, 56.826, -68.8227
8.750000, 57.082, -70.4241
8.850000, 57.270, -71.7425
9.000000, 57.538, -73.8444
9.120000, 57.734, -75.5809
9.250000, 57.923, -77.4985
9.380000, 58.087, -79.4410
9.500000, 58.216, -81.1915
9.620000, 58.322, -82.8761
9.750000, 58.414, -84.6237
9.880000, 58.486, -86.2314
10.000000, 58.537, -87.5642
10.150000, 58.585, -89.0305
10.300000, 58.626, -90.2419
10.440000, 58.663, -91.1347
10.600000, 58.715, -91.9162
10.750000, 58.781, -92.4414
10.900000, 58.866, -92.8079
11.060000, 58.980, -93.1068
11.200000, 59.099, -93.3181
11.380000, 59.270, -93.5899
11.500000, 59.392, -93.7953
11.720000, 59.622, -94.2251
11.800000, 59.704, -94.4008
12.060000, 59.961, -95.0049
12.200000, 60.089, -95.3200
12.410000, 60.269, -95.7466
12.500000, 60.344, -95.9002
12.650000, 60.467, -96.1149
12.800000, 60.591, -96.2847
13.150000, 60.902, -96.5678
13.200000, 60.950, -96.6095
13.400000, 61.150, -96.8102
13.600000, 61.360, -97.1186
13.800000, 61.574, -97.5778
14.000000, 61.781, -98.2108
14.300000, 62.063, -99.4757
14.500000, 62.219, -100.4920
14.750000, 62.372, -101.8810
15.000000, 62.475, -103.3207
15.250000, 62.530, -104.7171
15.500000, 62.544, -105.9905
15.750000, 62.527, -107.0764
16.000000, 62.491, -107.9247
16.250000, 62.451, -108.5130
16.500000, 62.425, -108.8499
16.750000, 62.429, -108.9829
17.000000, 62.477, -109.0072
17.250000, 62.574, -109.0466
17.500000, 62.719, -109.2353
17.750000, 62.897, -109.6866
18.000000, 63.090, -110.4580
18.250000, 63.276, -111.5497
18.500000, 63.435, -112.9004
18.750000, 63.554, -114.4052
19.000000, 63.628, -115.9414
19.250000, 63.660, -117.3754
19.500000, 63.660, -118.6026
19.750000, 63.644, -119.5552
20.000000, 63.631, -120.2162
20.299999, 63.643, -120.6874
20.600000, 63.700, -120.9506
20.900000, 63.803, -121.1797
21.200001, 63.937, -121.5057
21.400000, 64.032, -121.8028
21.799999, 64.215, -122.5522
22.000000, 64.298, -122.9651
22.400000, 64.444, -123.7704
22.700001, 64.547, -124.3228
23.000000, 64.650, -124.8487
23.299999, 64.757, -125.3947
23.600000, 64.861, -126.0047
24.000000, 64.982, -126.9390
24.299999, 65.050, -127.6955
24.700001, 65.108, -128.6817
25.000000, 65.132, -129.3477
25.400000, 65.153, -130.1112
25.799999, 65.175, -130.7743
26.200001, 65.199, -131.4001
26.500000, 65.216, -131.8554
26.900000, 65.235, -132.4125
27.200001, 65.253, -132.7690
27.600000, 65.294, -133.1764
28.000000, 65.364, -133.5970
28.500000, 65.481, -134.3178
29.000000, 65.593, -135.2897
29.500000, 65.677, -136.3056
30.000000, 65.754, -137.1543
30.400000, 65.837, -137.7374
30.700001, 65.918, -138.2043
31.100000, 66.041, -138.9718
31.500000, 66.158, -139.9484
32.000000, 66.266, -141.3730
32.500000, 66.315, -142.8058
33.000000, 66.317, -144.0174
33.500000, 66.303, -144.8717
34.000000, 66.315, -145.4169
34.500000, 66.379, -145.9378
35.000000, 66.472, -146.7838
35.500000, 66.527, -148.0011
36.000000, 66.496, -149.2045
36.500000, 66.412, -149.8923
37.000000, 66.370, -149.9700
37.500000, 66.431, -149.9167
38.200001, 66.608, -150.5743
38.700001, 66.697, -151.5069
39.500000, 66.755, -152.8812
40.000000, 66.795, -153.5508
40.599998, 66.855, -154.4014
41.200001, 66.894, -155.3295
41.799999, 66.906, -156.1699
42.500000, 66.911, -156.9760
43.099998, 66.913, -157.5635
43.700001, 66.916, -158.0632
44.400002, 66.935, -158.6140
45.000000, 66.955, -159.1420
45.500000, 66.970, -159.5973
46.200001, 67.002, -160.2261
46.799999, 67.048, -160.8628
47.500000, 67.103, -161.8194
48.200001, 67.138, -162.9053
48.700001, 67.153, -163.7081
49.400002, 67.152, -164.8108
50.000000, 67.129, -165.5880
50.799999, 67.115, -166.2628
51.500000, 67.147, -166.8133
52.200001, 67.176, -167.5255
53.000000, 67.181, -168.2811
53.799999, 67.194, -168.9562
54.500000, 67.198, -169.6712
55.200001, 67.171, -170.3559
56.000000, 67.145, -170.9674
57.000000, 67.140, -171.9246
58.000000, 67.088, -172.9606
59.000000, 67.056, -173.6536
60.000000, 67.072, -174.4034
60.799999, 67.094, -175.0789
61.500000, 67.119, -175.7581
62.200001, 67.125, -176.5107
63.000000, 67.104, -177.2175
64.000000, 67.105, -177.8658
65.000000, 67.115, -178.7643
66.000000, 67.077, -179.5928
67.000000, 67.058, 179.7651
68.000000, 67.046, 178.9712
69.000000, 67.015, 178.1170
70.000000, 66.966, 177.2440
71.000000, 66.896, 176.4772
72.000000, 66.834, 175.8826
73.000000, 66.806, 175.3204
74.000000, 66.801, 174.5239
75.000000, 66.767, 173.5722
76.199997, 66.710, 172.8035
77.500000, 66.714, 172.0684
78.800003, 66.702, 170.9463
80.000000, 66.623, 169.9222
81.199997, 66.513, 169.2334
82.500000, 66.433, 168.7540
83.800003, 66.411, 168.0536
85.000000, 66.377, 167.0413
86.199997, 66.297, 166.1567
87.500000, 66.213, 165.4904
88.500000, 66.154, 165.0715
90.000000, 66.096, 164.5311
91.199997, 66.070, 163.8565
92.500000, 66.015, 162.9874
93.800003, 65.941, 162.1725
95.000000, 65.835, 161.5266
96.199997, 65.713, 161.2598
97.500000, 65.616, 161.0238
98.800003, 65.509, 160.3854
100.000000, 65.378, 159.8358
101.500000, 65.290, 159.2874
103.000000, 65.254, 158.3798
104.400002, 65.240, 157.7374
106.000000, 65.244, 156.8311
107.500000, 65.135, 155.9598
109.000000, 64.972, 155.5676
110.599998, 64.756, 154.7835
112.000000, 64.473, 154.2138
113.800003, 64.142, 154.7109
115.000000, 64.095, 155.7483
117.199997, 64.451, 156.0433
118.000000, 64.574, 154.9571
120.599998, 64.217, 151.6729
122.000000, 63.976, 151.8260
124.099998, 63.691, 151.6984
125.000000, 63.653, 151.7454
126.500000, 63.643, 151.4271
128.000000, 63.618, 151.4076
131.500000, 63.492, 153.2489
132.000000, 63.468, 153.4690
134.000000, 63.361, 154.0107
136.000000, 63.282, 153.3981
138.000000, 63.047, 152.1506
140.000000, 62.776, 151.9572
143.000000, 62.599, 149.7025
145.000000, 62.454, 148.4846
147.500000, 62.377, 148.7838
150.000000, 62.130, 148.4535
152.500000, 61.606, 147.5972
155.000000, 61.345, 148.9354
157.500000, 61.536, 150.5977
160.000000, 61.528, 151.3320
162.500000, 61.364, 150.8832
165.000000, 61.335, 149.6584
167.500000, 61.196, 149.3440
170.000000, 60.938, 150.8791
172.500000, 60.660, 151.9534
175.000000, 60.402, 152.4388
177.500000, 60.175, 154.7924
180.000000, 60.065, 156.5532
182.500000, 59.944, 157.3671
185.000000, 60.050, 157.5786
187.500000, 60.204, 157.3074
190.000000, 60.210, 158.6296
192.500000, 60.086, 160.3892
195.000000, 59.848, 161.3662
197.500000, 59.457, 160.5485
200.000000, 58.993, 160.7229
203.000000, 58.820, 162.5372
206.000000, 58.908, 163.2589
209.000000, 58.921, 163.1029
212.000000, 58.817, 163.9385
214.000000, 58.745, 165.7157
218.000000, 58.908, 167.4915
220.000000, 58.982, 166.1605
224.000000, 58.959, 165.8724
227.000000, 58.839, 169.4623
230.000000, 58.881, 172.2281
233.000000, 59.051, 172.4423
236.000000, 59.376, 172.4756
240.000000, 59.524, 170.2974
243.000000, 59.220, 170.3589
247.000000, 58.846, 175.7813
250.000000, 58.666, 176.8467
254.000000, 58.621, 173.8680
258.000000, 58.682, 172.9811
262.000000, 58.557, 174.2074
265.000000, 58.549, 174.9565
269.000000, 58.758, 175.4536
272.000000, 58.873, 175.4919
276.000000, 58.919, 175.9900
280.000000, 58.940, 176.8780
285.000000, 58.844, 178.0128
290.000000, 58.738, 179.3902
295.000000, 58.686, 179.3300
300.000000, 58.820, 178.8880
304.000000, 58.918, 178.3731
307.000000, 58.972, 178.5286
311.000000, 59.020, 179.3651
315.000000, 58.980, 179.9463
320.000000, 58.965, 179.9141
325.000000, 59.109, 178.4914
330.000000, 59.175, 177.6211
335.000000, 59.084, -179.7383
340.000000, 59.078, -177.8765
345.000000, 58.963, -177.0548
350.000000, 58.821, -175.8749
355.000000, 58.824, -176.9922
360.000000, 58.903, -178.2185
365.000000, 59.048, -178.8432
370.000000, 58.987, -179.1336
375.000000, 58.826, -177.9971
382.000000, 58.762, -174.5561
387.000000, 58.651, -173.2862
395.000000, 58.618, -173.7314
400.000000, 58.727, -174.5561
406.000000, 58.748, -174.3812
412.000000, 58.675, -174.4142
418.000000, 58.685, -173.6014
425.000000, 58.671, -172.5578
431.000000, 58.722, -172.4880
437.000000, 58.802, -172.8821
444.000000, 58.798, -172.9872
450.000000, 58.731, -173.1372
455.000000, 58.669, -172.3147
462.000000, 58.644, -170.3349
468.000000, 58.698, -169.2079
475.000000, 58.621, -169.0557
482.000000, 58.610, -169.1339
487.000000, 58.587, -169.1726
494.000000, 58.497, -168.8075
500.000000, 58.480, -168.3222
508.000000, 58.522, -167.5677
515.000000, 58.543, -166.6220
522.000000, 58.584, -165.8664
530.000000, 58.618, -165.5227
538.000000, 58.563, -164.6096
545.000000, 58.530, -163.8725
552.000000, 58.532, -163.2704
560.000000, 58.507, -162.3194
570.000000, 58.442, -161.5677
580.000000, 58.517, -161.2116
590.000000, 58.536, -160.4140
600.000000, 58.582, -158.9687
608.000000, 58.632, -158.0118
615.000000, 58.658, -157.5152
622.000000, 58.669, -157.1690
630.000000, 58.693, -156.8208
640.000000, 58.733, -156.0936
650.000000, 58.812, -155.4023
660.000000, 58.895, -154.7212
670.000000, 58.937, -153.9077
680.000000, 59.005, -153.5278
690.000000, 59.102, -153.0271
700.000000, 59.167, -152.1208
710.000000, 59.224, -151.4841
720.000000, 59.305, -151.0617
730.000000, 59.370, -150.8303
740.000000, 59.416, -150.4148
750.000000, 59.456, -150.1407
762.000000, 59.514, -149.7595
775.000000, 59.566, -149.3303
788.000000, 59.596, -148.8705
800.000000, 59.635, -148.4178
812.000000, 59.679, -147.9248
825.000000, 59.732, -147.3649
838.000000, 59.774, -146.7751
850.000000, 59.795, -146.2442
862.000000, 59.822, -145.6255
875.000000, 59.863, -144.9025
885.000000, 59.894, -144.3560
900.000000, 59.939, -143.5676
912.000000, 59.985, -142.9892
925.000000, 60.055, -142.3201
938.000000, 60.123, -141.5984
950.000000, 60.183, -140.9335
962.000000, 60.249, -140.2771
975.000000, 60.326, -139.5331
988.000000, 60.402, -138.8121
1000.000000, 60.478, -138.1815
1015.000000, 60.582, -137.5141
1030.000000, 60.691, -136.8692
1044.000000, 60.794, -136.2712
1060.000000, 60.913, -135.6123
1075.000000, 61.033, -135.0408
1090.000000, 61.153, -134.5441
1106.000000, 61.276, -134.0845
1120.000000, 61.383, -133.6842
1138.000000, 61.522, -133.2201
1150.000000, 61.612, -132.9496
1172.000000, 61.773, -132.5263
1180.000000, 61.830, -132.3832
1206.000000, 62.009, -131.9490
1220.000000, 62.103, -131.7435
1241.000000, 62.235, -131.4795
1250.000000, 62.290, -131.3732
1265.000000, 62.379, -131.1951
1280.000000, 62.463, -131.0146
1315.000000, 62.647, -130.6208
1320.000000, 62.673, -130.5644
1340.000000, 62.771, -130.3278
1360.000000, 62.866, -130.0825
1380.000000, 62.959, -129.8420
1400.000000, 63.050, -129.5887
1430.000000, 63.185, -129.1720
1450.000000, 63.275, -128.8993
1475.000000, 63.386, -128.5554
1500.000000, 63.496, -128.2024
1525.000000, 63.606, -127.8513
1550.000000, 63.718, -127.4975
1575.000000, 63.831, -127.1347
1600.000000, 63.944, -126.7706
1625.000000, 64.058, -126.4109
1650.000000, 64.175, -126.0570
1675.000000, 64.294, -125.7073
1700.000000, 64.413, -125.3664
1725.000000, 64.535, -125.0370
1750.000000, 64.660, -124.7247
1775.000000, 64.785, -124.4238
1800.000000, 64.911, -124.1344
1825.000000, 65.039, -123.8652
1850.000000, 65.169, -123.6139
1875.000000, 65.301, -123.3802
1900.000000, 65.435, -123.1659
1925.000000, 65.570, -122.9766
1950.000000, 65.707, -122.8119
1975.000000, 65.845, -122.6722
2000.000000, 65.983, -122.5562
2030.000000, 66.150, -122.4521
2060.000000, 66.317, -122.3876
2090.000000, 66.484, -122.3614
2120.000000, 66.651, -122.3776
2140.000000, 66.761, -122.4133
2180.000000, 66.981, -122.5386
2200.000000, 67.091, -122.6295
2240.000000, 67.308, -122.8756
2270.000000, 67.468, -123.1122
2300.000000, 67.625, -123.3911
2330.000000, 67.778, -123.7116
2360.000000, 67.928, -124.0758
2400.000000, 68.122, -124.6295
2430.000000, 68.262, -125.0910
2470.000000, 68.440, -125.7646
2500.000000, 68.567, -126.3108
2540.000000, 68.726, -127.0837
2580.000000, 68.874, -127.9018
2620.000000, 69.009, -128.7603
2650.000000, 69.103, -129.4278
2690.000000, 69.217, -130.3416
2720.000000, 69.294, -131.0395
2760.000000, 69.385, -131.9809
2800.000000, 69.463, -132.9283
2850.000000, 69.542, -134.1039
2900.000000, 69.601, -135.2574
2950.000000, 69.642, -136.3755
3000.000000, 69.666, -137.4397
3040.000000, 69.674, -138.2403
3070.000000, 69.675, -138.8062
3110.000000, 69.671, -139.5068
3150.000000, 69.662, -140.1486
3200.000000, 69.647, -140.8746
3250.000000, 69.630, -141.5338
3300.000000, 69.614, -142.1604
3350.000000, 69.593, -142.7622
3400.000000, 69.565, -143.3248
3450.000000, 69.531, -143.8273
3500.000000, 69.494, -144.2546
3550.000000, 69.457, -144.6083
3600.000000, 69.423, -144.9010
3650.000000, 69.394, -145.1487
3700.000000, 69.368, -145.3626
3750.000000, 69.346, -145.5520
3820.000000, 69.320, -145.7811
3870.000000, 69.306, -145.9184
3950.000000, 69.290, -146.0868
4000.000000, 69.286, -146.1613
4060.000000, 69.292, -146.2367
4120.000000, 69.311, -146.3244
4180.000000, 69.341, -146.4562
4250.000000, 69.386, -146.6970
4310.000000, 69.431, -146.9908
4370.000000, 69.477, -147.3687
4440.000000, 69.529, -147.9145
4500.000000, 69.569, -148.4683
4550.000000, 69.599, -148.9878
4620.000000, 69.635, -149.8005
4680.000000, 69.658, -150.5781
4750.000000, 69.673, -151.5837
4820.000000, 69.673, -152.6912
4870.000000, 69.658, -153.5338
4940.000000, 69.616, -154.7637
5000.000000, 69.558, -155.8403
5080.000000, 69.447, -157.2568
5150.000000, 69.322, -158.4352
5220.000000, 69.173, -159.5292
5300.000000, 68.978, -160.6498
5380.000000, 68.761, -161.6003
5450.000000, 68.559, -162.2746
5520.000000, 68.351, -162.8042
5600.000000, 68.111, -163.2428
5700.000000, 67.811, -163.5518
5800.000000, 67.516, -163.6171
5900.000000, 67.233, -163.4619
6000.000000, 66.965, -163.0981
6080.000000, 66.765, -162.6616
6150.000000, 66.602, -162.1815
6220.000000, 66.453, -161.6212
6300.000000, 66.302, -160.8916
6400.000000, 66.147, -159.8693
6500.000000, 66.035, -158.7748
