* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.470
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 6:23:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 51.858, 6.9246
1.015000, 51.963, 5.8618
1.030000, 52.066, 4.8082
1.044000, 52.162, 3.8318
1.060000, 52.270, 2.7226
1.075000, 52.371, 1.6875
1.090000, 52.472, 0.6537
1.106000, 52.579, -0.4575
1.120000, 52.670, -1.4509
1.138000, 52.785, -2.7637
1.150000, 52.859, -3.6593
1.172000, 52.991, -5.3371
1.180000, 53.037, -5.9569
1.206000, 53.185, -7.9988
1.220000, 53.261, -9.1114
1.241000, 53.372, -10.7903
1.250000, 53.419, -11.5117
1.265000, 53.495, -12.7143
1.280000, 53.569, -13.9147
1.315000, 53.734, -16.6927
1.320000, 53.757, -17.0856
1.340000, 53.847, -18.6442
1.360000, 53.934, -20.1780
1.380000, 54.019, -21.6829
1.400000, 54.101, -23.1548
1.430000, 54.221, -25.2940
1.450000, 54.298, -26.6720
1.475000, 54.392, -28.3557
1.500000, 54.482, -30.0429
1.525000, 54.567, -31.7528
1.550000, 54.648, -33.4816
1.575000, 54.725, -35.2224
1.600000, 54.798, -36.9685
1.625000, 54.866, -38.7137
1.650000, 54.931, -40.4516
1.675000, 54.991, -42.1767
1.700000, 55.048, -43.8834
1.725000, 55.101, -45.5669
1.750000, 55.151, -47.2226
1.775000, 55.197, -48.8465
1.800000, 55.239, -50.4356
1.825000, 55.278, -51.9928
1.850000, 55.314, -53.5413
1.875000, 55.347, -55.1127
1.900000, 55.375, -56.7143
1.925000, 55.400, -58.3415
1.950000, 55.422, -59.9875
1.975000, 55.439, -61.6453
2.000000, 55.453, -63.3074
2.030000, 55.465, -65.2967
2.060000, 55.472, -67.2678
2.090000, 55.473, -69.2070
2.120000, 55.469, -71.1006
2.140000, 55.463, -72.3313
2.180000, 55.445, -74.7035
2.200000, 55.432, -75.8491
2.240000, 55.399, -78.1206
2.270000, 55.368, -79.8396
2.300000, 55.333, -81.5736
2.330000, 55.292, -83.3167
2.360000, 55.245, -85.0614
2.400000, 55.174, -87.3742
2.430000, 55.115, -89.0854
2.470000, 55.026, -91.3134
2.500000, 54.952, -92.9278
2.540000, 54.844, -94.9818
2.580000, 54.725, -96.9233
2.620000, 54.595, -98.8077
2.650000, 54.491, -100.2058
2.690000, 54.344, -102.0526
2.720000, 54.226, -103.4218
2.760000, 54.059, -105.2177
2.800000, 53.882, -106.9659
2.850000, 53.644, -109.0528
2.900000, 53.387, -110.9844
2.950000, 53.111, -112.7219
3.000000, 52.811, -114.2839
3.040000, 52.554, -115.4244
3.070000, 52.354, -116.2179
3.110000, 52.079, -117.1916
3.150000, 51.795, -118.0639
3.200000, 51.432, -118.9975
3.250000, 51.064, -119.7317
3.300000, 50.691, -120.2222
3.350000, 50.295, -120.3917
3.400000, 49.872, -120.1891
3.450000, 49.434, -119.6117
3.500000, 49.003, -118.6719
3.550000, 48.596, -117.3939
3.600000, 48.236, -115.8171
3.650000, 47.937, -113.9804
3.700000, 47.702, -111.8430
3.750000, 47.514, -109.3204
3.820000, 47.324, -105.2281
3.870000, 47.241, -102.0701
3.950000, 47.203, -97.0026
4.000000, 47.243, -94.0282
4.060000, 47.368, -90.7686
4.120000, 47.591, -87.8282
4.180000, 47.893, -85.2169
4.250000, 48.304, -82.6089
4.310000, 48.668, -80.7389
4.370000, 49.013, -79.1803
4.440000, 49.384, -77.7356
4.500000, 49.693, -76.8011
4.550000, 49.949, -76.1970
4.620000, 50.301, -75.5414
4.680000, 50.590, -75.0922
4.750000, 50.906, -74.6374
4.820000, 51.196, -74.2519
4.870000, 51.389, -74.0330
4.940000, 51.643, -73.7918
5.000000, 51.851, -73.6228
5.080000, 52.122, -73.4150
5.150000, 52.356, -73.2253
5.220000, 52.585, -73.0256
5.300000, 52.839, -72.8072
5.380000, 53.089, -72.6279
5.450000, 53.308, -72.5220
5.520000, 53.529, -72.4652
5.600000, 53.786, -72.4399
5.700000, 54.107, -72.4827
5.800000, 54.421, -72.6645
5.900000, 54.723, -73.0246
6.000000, 55.017, -73.5402
6.080000, 55.243, -74.0432
6.150000, 55.428, -74.5429
6.220000, 55.599, -75.1003
6.300000, 55.778, -75.8186
6.400000, 55.977, -76.8240
6.500000, 56.148, -77.8790
6.600000, 56.284, -78.9267
