* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 29, 25 6:28:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: aether L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.314 -79.5496
1.015000 66.704 -79.8382
1.030000 67.089 -80.1417
1.044000 67.443 -80.4386
1.060000 67.842 -80.7941
1.075000 68.211 -81.1427
1.090000 68.576 -81.5036
1.106000 68.959 -81.8879
1.120000 69.290 -82.2007
1.138000 69.708 -82.5597
1.150000 69.981 -82.7743
1.172000 70.472 -83.1267
1.180000 70.647 -83.2447
1.206000 71.204 -83.5955
1.220000 71.495 -83.7682
1.241000 71.921 -84.0125
1.250000 72.100 -84.1133
1.265000 72.392 -84.2778
1.280000 72.677 -84.4398
1.315000 73.314 -84.8172
1.320000 73.401 -84.8719
1.340000 73.744 -85.0942
1.360000 74.073 -85.3247
1.380000 74.388 -85.5547
1.400000 74.689 -85.7924
1.430000 75.114 -86.1740
1.450000 75.379 -86.4452
1.475000 75.686 -86.7888
1.500000 75.959 -87.1014
1.525000 76.198 -87.3727
1.550000 76.407 -87.6117
1.575000 76.589 -87.8231
1.600000 76.748 -88.0113
1.625000 76.889 -88.1929
1.650000 77.014 -88.3740
1.675000 77.128 -88.5601
1.700000 77.235 -88.7556
1.725000 77.338 -88.9645
1.750000 77.442 -89.1897
1.775000 77.551 -89.4384
1.800000 77.667 -89.7161
1.825000 77.794 -90.0131
1.850000 77.928 -90.3167
1.875000 78.063 -90.6096
1.900000 78.195 -90.8875
1.925000 78.325 -91.1521
1.950000 78.453 -91.4060
1.975000 78.579 -91.6556
2.000000 78.703 -91.9070
2.030000 78.849 -92.2043
2.060000 78.992 -92.5012
2.090000 79.133 -92.8012
2.120000 79.273 -93.1078
2.140000 79.364 -93.3174
2.180000 79.545 -93.7590
2.200000 79.634 -93.9930
2.240000 79.810 -94.4586
2.270000 79.939 -94.7977
2.300000 80.065 -95.1271
2.330000 80.189 -95.4479
2.360000 80.311 -95.7616
2.400000 80.470 -96.1927
2.430000 80.588 -96.5147
2.470000 80.741 -96.9415
2.500000 80.855 -97.2620
2.540000 81.003 -97.6929
2.580000 81.149 -98.1411
2.620000 81.292 -98.6135
2.650000 81.397 -98.9631
2.690000 81.534 -99.4216
2.720000 81.635 -99.7592
2.760000 81.766 -100.1996
2.800000 81.895 -100.6593
2.850000 82.052 -101.2263
2.900000 82.204 -101.7828
2.950000 82.352 -102.3333
3.000000 82.495 -102.9071
3.040000 82.606 -103.3713
3.070000 82.687 -103.7150
3.110000 82.792 -104.1655
3.150000 82.896 -104.6059
3.200000 83.021 -105.1638
3.250000 83.144 -105.7145
3.300000 83.263 -106.2493
3.350000 83.379 -106.7748
3.400000 83.491 -107.3193
3.450000 83.599 -107.8646
3.500000 83.705 -108.3960
3.550000 83.807 -108.9092
3.600000 83.907 -109.4293
3.650000 84.005 -109.9408
3.700000 84.100 -110.4377
3.750000 84.192 -110.9268
3.820000 84.317 -111.6348
3.870000 84.403 -112.1337
3.950000 84.537 -112.8971
4.000000 84.618 -113.3739
4.060000 84.714 -113.9371
4.120000 84.807 -114.4855
4.180000 84.897 -115.0288
4.250000 84.998 -115.6790
4.310000 85.084 -116.2135
4.370000 85.167 -116.7302
4.440000 85.262 -117.3460
4.500000 85.341 -117.8611
4.550000 85.405 -118.2804
4.620000 85.493 -118.8823
4.680000 85.567 -119.3879
4.750000 85.651 -119.9553
4.820000 85.734 -120.5323
4.870000 85.791 -120.9415
4.940000 85.870 -121.5009
5.000000 85.937 -121.9843
5.080000 86.023 -122.6224
5.150000 86.097 -123.1608
5.220000 86.168 -123.7096
5.300000 86.248 -124.3309
5.380000 86.325 -124.9375
5.450000 86.391 -125.4770
5.520000 86.455 -125.9974
5.600000 86.526 -126.5921
5.700000 86.611 -127.3393
5.800000 86.692 -128.0650
5.900000 86.771 -128.7811
6.000000 86.845 -129.4803
6.080000 86.903 -130.0411
6.150000 86.951 -130.5109
6.220000 86.999 -130.9825
6.300000 87.052 -131.5050
6.400000 87.115 -132.1418
6.500000 87.177 -132.7707
6.600000 87.238 -133.3733
6.700000 87.297 -133.9635
6.800000 87.356 -134.5335
6.900000 87.414 -135.0965
7.000000 87.472 -135.6406
7.100000 87.531 -136.1788
7.200000 87.589 -136.7028
7.300000 87.648 -137.2264
7.400000 87.706 -137.7410
7.500000 87.765 -138.2578
7.620000 87.834 -138.8731
7.750000 87.909 -139.5400
7.880000 87.982 -140.2212
8.000000 88.047 -140.8430
8.120000 88.110 -141.4667
8.250000 88.174 -142.1444
8.380000 88.234 -142.8136
8.500000 88.287 -143.4293
8.620000 88.337 -144.0374
8.750000 88.387 -144.6828
8.850000 88.422 -145.1690
9.000000 88.471 -145.8731
9.120000 88.507 -146.4178
9.250000 88.544 -146.9815
9.380000 88.579 -147.5163
9.500000 88.610 -147.9954
9.620000 88.641 -148.4506
9.750000 88.672 -148.9234
9.880000 88.699 -149.3792
10.000000 88.718 -149.7764
10.150000 88.736 -150.2961
10.300000 88.750 -150.7863
10.440000 88.759 -151.2196
10.600000 88.768 -151.6908
10.750000 88.776 -152.1134
10.900000 88.783 -152.5193
11.060000 88.792 -152.9669
11.200000 88.801 -153.3908
11.380000 88.810 -153.9183
11.500000 88.815 -154.2593
11.720000 88.821 -154.8613
11.800000 88.822 -155.0725
12.060000 88.823 -155.7552
12.200000 88.823 -156.1490
12.410000 88.824 -156.7153
12.500000 88.826 -156.9491
12.650000 88.834 -157.3271
12.800000 88.844 -157.6915
13.150000 88.868 -158.5468
13.200000 88.871 -158.6743
13.400000 88.883 -159.1729
13.600000 88.894 -159.6549
13.800000 88.903 -160.1219
14.000000 88.911 -160.5789
14.300000 88.919 -161.3084
14.500000 88.921 -161.7756
14.750000 88.922 -162.3298
15.000000 88.919 -162.8497
15.250000 88.918 -163.3896
15.500000 88.917 -163.8941
15.750000 88.917 -164.3662
16.000000 88.922 -164.8168
16.250000 88.931 -165.2981
16.500000 88.944 -165.7772
16.750000 88.957 -166.2574
17.000000 88.968 -166.7404
17.250000 88.977 -167.2484
17.500000 88.982 -167.7426
17.750000 88.985 -168.2095
18.000000 88.987 -168.6474
18.250000 88.989 -169.0828
18.500000 88.993 -169.4958
18.750000 88.999 -169.8932
19.000000 89.007 -170.2863
19.250000 89.014 -170.7060
19.500000 89.019 -171.1301
19.750000 89.020 -171.5522
20.000000 89.016 -171.9612
20.299999 89.006 -172.4484
20.600000 88.992 -172.8816
20.900000 88.978 -173.2581
21.200001 88.968 -173.6112
21.400000 88.964 -173.8418
21.799999 88.960 -174.3084
22.000000 88.959 -174.5550
22.400000 88.952 -175.0961
22.700001 88.941 -175.5019
23.000000 88.926 -175.8852
23.299999 88.909 -176.2495
23.600000 88.895 -176.5833
24.000000 88.885 -177.0171
24.299999 88.882 -177.3856
24.700001 88.879 -177.9379
25.000000 88.869 -178.3819
25.400000 88.842 -178.9699
25.799999 88.804 -179.4589
26.200001 88.770 -179.8286
26.500000 88.756 179.9459
26.900000 88.753 179.6537
27.200001 88.761 179.3880
27.600000 88.772 178.9485
28.000000 88.773 178.4498
28.500000 88.753 177.8398
29.000000 88.723 177.3615
29.500000 88.699 176.9905
30.000000 88.686 176.6475
30.400000 88.679 176.3412
30.700001 88.671 176.0989
31.100000 88.656 175.7732
31.500000 88.637 175.4537
32.000000 88.611 175.0847
32.500000 88.584 174.7166
33.000000 88.556 174.3457
33.500000 88.524 173.9716
34.000000 88.489 173.6138
34.500000 88.455 173.2681
35.000000 88.423 172.9421
35.500000 88.396 172.6203
36.000000 88.375 172.2871
36.500000 88.357 171.9128
37.000000 88.336 171.5045
37.500000 88.308 171.0936
38.200001 88.258 170.6015
38.700001 88.225 170.3203
39.500000 88.182 169.9305
40.000000 88.159 169.6903
40.599998 88.132 169.3886
41.200001 88.103 169.0784
41.799999 88.067 168.7796
42.500000 88.024 168.4722
43.099998 87.993 168.2115
43.700001 87.963 167.9008
44.400002 87.915 167.5222
45.000000 87.870 167.2798
45.500000 87.843 167.1149
46.200001 87.821 166.8149
46.799999 87.798 166.4695
47.500000 87.758 166.0933
48.200001 87.725 165.7894
48.700001 87.708 165.5489
49.400002 87.679 165.1417
50.000000 87.642 164.7935
50.799999 87.584 164.4214
51.500000 87.537 164.1625
52.200001 87.494 163.9337
53.000000 87.450 163.6785
53.799999 87.412 163.3920
54.500000 87.379 163.1221
55.200001 87.345 162.8495
56.000000 87.307 162.5363
57.000000 87.259 162.1627
58.000000 87.214 161.8009
59.000000 87.163 161.4332
60.000000 87.108 161.1154
60.799999 87.064 160.8688
61.500000 87.024 160.6479
62.200001 86.981 160.4417
63.000000 86.935 160.2263
64.000000 86.881 159.9277
65.000000 86.827 159.6135
66.000000 86.772 159.3004
67.000000 86.719 159.0093
68.000000 86.666 158.7049
69.000000 86.605 158.4164
70.000000 86.540 158.2281
71.000000 86.484 158.0801
72.000000 86.432 157.8970
73.000000 86.376 157.7130
74.000000 86.322 157.5084
75.000000 86.263 157.2850
76.199997 86.190 157.0433
77.500000 86.117 156.7928
78.800003 86.042 156.5228
80.000000 85.971 156.3091
81.199997 85.902 156.1347
82.500000 85.831 155.9532
83.800003 85.761 155.7859
85.000000 85.696 155.6333
86.199997 85.633 155.4808
87.500000 85.565 155.3200
88.500000 85.512 155.1967
90.000000 85.432 155.0194
91.199997 85.367 154.8708
92.500000 85.289 154.7280
93.800003 85.210 154.6060
95.000000 85.134 154.5021
96.199997 85.058 154.4027
97.500000 84.972 154.3159
98.800003 84.888 154.2508
100.000000 84.800 154.1714
101.500000 84.683 154.2723
103.000000 84.575 154.3496
104.400002 84.440 154.4462
106.000000 84.285 155.0856
107.500000 84.206 155.9094
109.000000 84.166 156.6659
110.599998 84.144 157.6064
112.000000 84.175 158.5294
113.800003 84.286 159.2843
115.000000 84.373 159.3325
117.199997 84.476 158.6451
118.000000 84.491 158.3149
120.599998 84.481 157.2926
122.000000 84.440 156.9209
124.099998 84.370 156.6373
125.000000 84.343 156.5274
126.500000 84.297 156.3275
128.000000 84.251 156.1406
131.500000 84.155 155.8487
132.000000 84.142 155.8240
134.000000 84.086 155.7410
136.000000 84.024 155.6596
138.000000 83.963 155.5789
140.000000 83.904 155.4613
143.000000 83.812 155.3259
145.000000 83.751 155.2833
147.500000 83.673 155.2661
150.000000 83.594 155.2555
152.500000 83.518 155.2815
155.000000 83.449 155.2917
157.500000 83.377 155.3428
160.000000 83.300 155.4056
162.500000 83.211 155.4881
165.000000 83.119 155.6539
167.500000 83.029 155.8465
170.000000 82.941 156.0267
172.500000 82.859 156.1281
175.000000 82.786 156.2167
177.500000 82.716 156.3436
180.000000 82.645 156.5206
182.500000 82.570 156.7086
185.000000 82.495 156.9067
187.500000 82.421 157.1101
190.000000 82.348 157.3224
192.500000 82.279 157.5649
195.000000 82.214 157.8034
197.500000 82.152 158.0622
200.000000 82.095 158.3190
203.000000 82.032 158.6521
206.000000 81.974 158.9773
209.000000 81.915 159.3199
212.000000 81.864 159.7700
214.000000 81.837 160.1114
218.000000 81.810 160.8726
220.000000 81.815 161.2114
224.000000 81.853 161.6620
227.000000 81.884 161.7548
230.000000 81.897 161.6882
233.000000 81.888 161.5729
236.000000 81.860 161.4743
240.000000 81.809 161.4134
243.000000 81.764 161.4329
247.000000 81.701 161.5257
250.000000 81.653 161.6084
254.000000 81.587 161.7738
258.000000 81.526 161.9860
262.000000 81.467 162.2158
265.000000 81.422 162.3911
269.000000 81.362 162.6437
272.000000 81.318 162.8466
276.000000 81.262 163.1203
280.000000 81.208 163.3924
285.000000 81.145 163.7526
290.000000 81.086 164.0845
295.000000 81.029 164.4220
300.000000 80.975 164.7714
304.000000 80.932 165.0680
307.000000 80.899 165.3034
311.000000 80.857 165.6060
315.000000 80.815 165.8950
320.000000 80.764 166.2681
