* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 29, 25 6:27:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: aether R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.036 -59.4924
1.015000 70.203 -60.3980
1.030000 70.369 -61.2807
1.044000 70.523 -62.0842
1.060000 70.697 -62.9793
1.075000 70.858 -63.7964
1.090000 71.017 -64.5926
1.106000 71.185 -65.4162
1.120000 71.335 -66.1106
1.138000 71.533 -66.9654
1.150000 71.668 -67.5127
1.172000 71.920 -68.4741
1.180000 72.013 -68.8119
1.206000 72.318 -69.8656
1.220000 72.483 -70.4072
1.241000 72.732 -71.1884
1.250000 72.838 -71.5126
1.265000 73.014 -72.0395
1.280000 73.188 -72.5508
1.315000 73.586 -73.6877
1.320000 73.641 -73.8442
1.340000 73.858 -74.4565
1.360000 74.067 -75.0483
1.380000 74.266 -75.6103
1.400000 74.453 -76.1501
1.430000 74.711 -76.9281
1.450000 74.864 -77.4259
1.475000 75.033 -78.0167
1.500000 75.176 -78.5525
1.525000 75.295 -79.0306
1.550000 75.394 -79.4604
1.575000 75.475 -79.8464
1.600000 75.542 -80.1930
1.625000 75.597 -80.5168
1.650000 75.643 -80.8245
1.675000 75.685 -81.1219
1.700000 75.724 -81.4137
1.725000 75.763 -81.7043
1.750000 75.807 -81.9973
1.775000 75.858 -82.2997
1.800000 75.918 -82.6176
1.825000 75.991 -82.9410
1.850000 76.073 -83.2563
1.875000 76.160 -83.5461
1.900000 76.251 -83.8086
1.925000 76.343 -84.0485
1.950000 76.438 -84.2709
1.975000 76.535 -84.4845
2.000000 76.633 -84.6974
2.030000 76.753 -84.9474
2.060000 76.874 -85.1977
2.090000 76.996 -85.4536
2.120000 77.119 -85.7198
2.140000 77.201 -85.9048
2.180000 77.364 -86.3024
2.200000 77.446 -86.5147
2.240000 77.610 -86.9243
2.270000 77.735 -87.2073
2.300000 77.861 -87.4729
2.330000 77.988 -87.7263
2.360000 78.116 -87.9730
2.400000 78.287 -88.3212
2.430000 78.415 -88.5893
2.470000 78.586 -88.9594
2.500000 78.713 -89.2510
2.540000 78.881 -89.6629
2.580000 79.048 -90.1076
2.620000 79.214 -90.5738
2.650000 79.339 -90.9134
2.690000 79.505 -91.3557
2.720000 79.629 -91.6822
2.760000 79.793 -92.1140
2.800000 79.956 -92.5768
2.850000 80.156 -93.1712
2.900000 80.352 -93.7872
2.950000 80.543 -94.4269
3.000000 80.730 -95.1006
3.040000 80.878 -95.6466
3.070000 80.987 -96.0533
3.110000 81.130 -96.5913
3.150000 81.271 -97.1251
3.200000 81.443 -97.8116
3.250000 81.610 -98.5083
3.300000 81.773 -99.2096
3.350000 81.931 -99.9193
3.400000 82.084 -100.6587
3.450000 82.233 -101.4049
3.500000 82.378 -102.1406
3.550000 82.518 -102.8605
3.600000 82.654 -103.5899
3.650000 82.784 -104.3151
3.700000 82.910 -105.0354
3.750000 83.031 -105.7602
3.820000 83.193 -106.8094
3.870000 83.303 -107.5514
3.950000 83.470 -108.6891
4.000000 83.569 -109.3864
4.060000 83.683 -110.2061
4.120000 83.790 -111.0150
4.180000 83.890 -111.8210
4.250000 84.001 -112.7661
4.310000 84.090 -113.5315
4.370000 84.175 -114.2512
4.440000 84.269 -115.0734
4.500000 84.344 -115.7527
4.550000 84.403 -116.3004
4.620000 84.481 -117.0615
4.680000 84.545 -117.6768
4.750000 84.618 -118.3327
4.820000 84.688 -118.9568
4.870000 84.736 -119.3799
4.940000 84.801 -119.9351
5.000000 84.856 -120.3935
5.080000 84.929 -120.9662
5.150000 84.994 -121.4133
5.220000 85.060 -121.8356
5.300000 85.136 -122.2772
5.380000 85.213 -122.6820
5.450000 85.283 -123.0368
5.520000 85.356 -123.3653
5.600000 85.443 -123.7212
5.700000 85.555 -124.1510
5.800000 85.671 -124.5725
5.900000 85.791 -125.0182
6.000000 85.915 -125.4650
6.080000 86.016 -125.8393
6.150000 86.105 -126.1674
6.220000 86.193 -126.5241
6.300000 86.292 -126.9473
6.400000 86.417 -127.4975
6.500000 86.538 -128.0773
6.600000 86.655 -128.6712
6.700000 86.767 -129.2973
6.800000 86.873 -129.9384
6.900000 86.974 -130.5911
7.000000 87.069 -131.2369
7.100000 87.157 -131.8942
7.200000 87.239 -132.5452
7.300000 87.315 -133.1859
7.400000 87.387 -133.8027
7.500000 87.453 -134.4123
7.620000 87.527 -135.1184
7.750000 87.602 -135.8440
7.880000 87.673 -136.5460
8.000000 87.736 -137.1611
8.120000 87.797 -137.7546
8.250000 87.861 -138.3742
8.380000 87.924 -138.9746
8.500000 87.982 -139.5265
8.620000 88.038 -140.0706
8.750000 88.097 -140.6549
8.850000 88.140 -141.1056
9.000000 88.199 -141.7737
9.120000 88.244 -142.3018
9.250000 88.288 -142.8604
9.380000 88.328 -143.4009
9.500000 88.362 -143.8869
9.620000 88.394 -144.3467
9.750000 88.424 -144.8214
9.880000 88.450 -145.2709
10.000000 88.469 -145.6519
10.150000 88.486 -146.1413
10.300000 88.503 -146.5970
10.440000 88.519 -146.9964
10.600000 88.538 -147.4420
10.750000 88.560 -147.8650
10.900000 88.584 -148.2988
11.060000 88.611 -148.8177
11.200000 88.634 -149.3393
11.380000 88.659 -150.0306
11.500000 88.670 -150.5020
11.720000 88.676 -151.3584
11.800000 88.674 -151.6591
12.060000 88.654 -152.5963
12.200000 88.636 -153.0820
12.410000 88.611 -153.7174
12.500000 88.603 -153.9529
12.650000 88.596 -154.2985
12.800000 88.597 -154.5987
13.150000 88.628 -155.2473
13.200000 88.636 -155.3484
13.400000 88.674 -155.7672
13.600000 88.717 -156.2314
13.800000 88.761 -156.7558
14.000000 88.798 -157.3369
14.300000 88.836 -158.3345
14.500000 88.844 -158.9885
14.750000 88.837 -159.7281
15.000000 88.818 -160.3394
15.250000 88.799 -160.8574
15.500000 88.789 -161.2479
15.750000 88.795 -161.5573
16.000000 88.821 -161.8551
16.250000 88.862 -162.2435
16.500000 88.910 -162.7159
16.750000 88.953 -163.2765
17.000000 88.984 -163.9008
17.250000 88.998 -164.5735
17.500000 88.995 -165.2145
17.750000 88.978 -165.7765
18.000000 88.955 -166.2399
18.250000 88.934 -166.6289
18.500000 88.919 -166.9390
18.750000 88.915 -167.2030
19.000000 88.921 -167.4612
19.250000 88.934 -167.7715
19.500000 88.949 -168.1273
19.750000 88.961 -168.5271
20.000000 88.966 -168.9531
20.299999 88.962 -169.4908
20.600000 88.946 -169.9771
20.900000 88.927 -170.3813
21.200001 88.911 -170.7227
21.400000 88.906 -170.9257
21.799999 88.911 -171.3161
22.000000 88.920 -171.5306
22.400000 88.941 -172.0537
22.700001 88.952 -172.4960
23.000000 88.956 -172.9490
23.299999 88.953 -173.3934
23.600000 88.947 -173.7920
24.000000 88.946 -174.2581
24.299999 88.952 -174.6089
24.700001 88.967 -175.1131
25.000000 88.977 -175.5344
25.400000 88.980 -176.1475
25.799999 88.965 -176.7337
26.200001 88.939 -177.2382
26.500000 88.918 -177.5511
26.900000 88.896 -177.8927
27.200001 88.885 -178.1293
27.600000 88.875 -178.4530
28.000000 88.864 -178.7929
28.500000 88.843 -179.2262
29.000000 88.815 -179.6012
29.500000 88.792 -179.9239
30.000000 88.777 179.7661
30.400000 88.770 179.4771
30.700001 88.764 179.2333
31.100000 88.752 178.8805
31.500000 88.732 178.5173
32.000000 88.703 178.1108
32.500000 88.678 177.7449
33.000000 88.663 177.3708
33.500000 88.650 176.9232
34.000000 88.625 176.4291
34.500000 88.586 175.9711
35.000000 88.544 175.6321
35.500000 88.515 175.3832
36.000000 88.504 175.1368
36.500000 88.501 174.8156
37.000000 88.497 174.4277
37.500000 88.486 174.0087
38.200001 88.462 173.4196
38.700001 88.438 173.0088
39.500000 88.388 172.4431
40.000000 88.358 172.1671
40.599998 88.332 171.8596
41.200001 88.310 171.5260
41.799999 88.283 171.1820
42.500000 88.247 170.8298
43.099998 88.224 170.5520
43.700001 88.204 170.2339
44.400002 88.173 169.8112
45.000000 88.137 169.4677
45.500000 88.106 169.2017
46.200001 88.064 168.8287
46.799999 88.024 168.4996
47.500000 87.972 168.1474
48.200001 87.922 167.8463
48.700001 87.890 167.6408
49.400002 87.847 167.3486
50.000000 87.810 167.1075
50.799999 87.763 166.8165
51.500000 87.722 166.5754
52.200001 87.675 166.3668
53.000000 87.620 166.2632
53.799999 87.589 166.2458
54.500000 87.580 166.1144
55.200001 87.558 165.8857
56.000000 87.524 165.6913
57.000000 87.509 165.3948
58.000000 87.476 164.9019
59.000000 87.434 164.5787
60.000000 87.423 164.2366
60.799999 87.411 163.8613
61.500000 87.393 163.5137
62.200001 87.364 163.1642
63.000000 87.311 162.8721
64.000000 87.253 162.7020
65.000000 87.209 162.4738
66.000000 87.148 162.1895
67.000000 87.079 161.8828
68.000000 86.990 161.7121
69.000000 86.949 161.7545
70.000000 86.950 161.4214
71.000000 86.913 160.8958
72.000000 86.865 160.5339
73.000000 86.820 160.2212
74.000000 86.773 160.0037
75.000000 86.738 159.8102
76.199997 86.682 159.4959
77.500000 86.605 159.3288
78.800003 86.553 159.1877
80.000000 86.503 158.8926
81.199997 86.438 158.6067
82.500000 86.367 158.3784
83.800003 86.311 158.1915
85.000000 86.265 157.9554
86.199997 86.214 157.7094
87.500000 86.159 157.4953
88.500000 86.116 157.3525
90.000000 86.051 157.1906
91.199997 85.998 157.0818
92.500000 85.938 156.9782
93.800003 85.878 156.8621
95.000000 85.824 156.7456
96.199997 85.773 156.6066
97.500000 85.719 156.4402
98.800003 85.665 156.2906
100.000000 85.615 156.1799
101.500000 85.555 156.0881
103.000000 85.495 156.0068
104.400002 85.440 155.9149
106.000000 85.376 155.7769
107.500000 85.314 155.6472
109.000000 85.255 155.5311
110.599998 85.190 155.4336
112.000000 85.134 155.3852
113.800003 85.066 155.3352
115.000000 85.020 155.2976
117.199997 84.937 155.1696
118.000000 84.904 155.1153
120.599998 84.808 155.0505
122.000000 84.764 154.9507
124.099998 84.687 154.8724
125.000000 84.657 154.8949
126.500000 84.616 154.9545
128.000000 84.589 154.9343
131.500000 84.469 154.5382
132.000000 84.447 154.5568
134.000000 84.387 154.7390
136.000000 84.345 154.8287
138.000000 84.285 154.8094
140.000000 84.209 154.7684
143.000000 84.102 154.7704
145.000000 84.042 154.8398
147.500000 83.968 154.9992
150.000000 83.890 155.1614
152.500000 83.817 155.2479
155.000000 83.750 155.3467
157.500000 83.695 155.5349
160.000000 83.644 155.6750
162.500000 83.577 155.8015
165.000000 83.508 155.9457
167.500000 83.443 156.0290
170.000000 83.378 156.0804
172.500000 83.314 156.1530
175.000000 83.248 156.2262
177.500000 83.173 156.2802
180.000000 83.099 156.3548
182.500000 83.032 156.4465
185.000000 82.972 156.5510
187.500000 82.916 156.6465
190.000000 82.860 156.7307
192.500000 82.801 156.8065
195.000000 82.735 156.9044
197.500000 82.668 157.0499
200.000000 82.602 157.2328
203.000000 82.525 157.4770
206.000000 82.456 157.6591
209.000000 82.397 157.8269
212.000000 82.344 158.0443
214.000000 82.305 158.1833
218.000000 82.233 158.4569
220.000000 82.200 158.5689
224.000000 82.121 158.8422
227.000000 82.065 159.0920
230.000000 82.016 159.3088
233.000000 81.968 159.5492
236.000000 81.920 159.8177
240.000000 81.861 160.1782
243.000000 81.815 160.4445
247.000000 81.753 160.8541
250.000000 81.709 161.2108
254.000000 81.661 161.7318
258.000000 81.635 162.2136
262.000000 81.624 162.5616
265.000000 81.613 162.7782
269.000000 81.587 163.0287
272.000000 81.564 163.1673
276.000000 81.532 163.3344
280.000000 81.496 163.5201
285.000000 81.450 163.7319
290.000000 81.397 163.9647
295.000000 81.337 164.2516
300.000000 81.278 164.5444
304.000000 81.231 164.7768
307.000000 81.198 164.9720
311.000000 81.156 165.2473
315.000000 81.115 165.5210
320.000000 81.065 165.8765
