* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 5, 25 10:40:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: am16 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.351 -81.8229
1.015000 61.698 -80.2150
1.030000 62.042 -78.7782
1.044000 62.358 -77.5840
1.060000 62.712 -76.3828
1.075000 63.035 -75.4051
1.090000 63.348 -74.5574
1.106000 63.676 -73.7628
1.120000 63.967 -73.1154
1.138000 64.353 -72.3221
1.150000 64.618 -71.8175
1.172000 65.114 -70.9491
1.180000 65.298 -70.6534
1.206000 65.904 -69.7657
1.220000 66.235 -69.3352
1.241000 66.733 -68.7529
1.250000 66.947 -68.5267
1.265000 67.302 -68.1807
1.280000 67.655 -67.8732
1.315000 68.463 -67.3026
1.320000 68.576 -67.2376
1.340000 69.020 -67.0176
1.360000 69.449 -66.8610
1.380000 69.860 -66.7552
1.400000 70.250 -66.7048
1.430000 70.789 -66.7367
1.450000 71.114 -66.8246
1.475000 71.478 -66.9831
1.500000 71.799 -67.1367
1.525000 72.082 -67.2665
1.550000 72.331 -67.3819
1.575000 72.550 -67.4889
1.600000 72.743 -67.5928
1.625000 72.916 -67.7109
1.650000 73.070 -67.8497
1.675000 73.212 -68.0148
1.700000 73.345 -68.2108
1.725000 73.474 -68.4416
1.750000 73.602 -68.7102
1.775000 73.733 -69.0235
1.800000 73.873 -69.3870
1.825000 74.022 -69.7897
1.850000 74.179 -70.2143
1.875000 74.334 -70.6366
1.900000 74.486 -71.0491
1.925000 74.634 -71.4522
1.950000 74.779 -71.8478
1.975000 74.921 -72.2420
2.000000 75.059 -72.6406
2.030000 75.221 -73.1183
2.060000 75.379 -73.5998
2.090000 75.535 -74.0892
2.120000 75.687 -74.5909
2.140000 75.787 -74.9340
2.180000 75.984 -75.6526
2.200000 76.080 -76.0308
2.240000 76.270 -76.7964
2.270000 76.408 -77.3680
2.300000 76.543 -77.9330
2.330000 76.675 -78.4902
2.360000 76.803 -79.0392
2.400000 76.970 -79.7801
2.430000 77.092 -80.3306
2.470000 77.251 -81.0563
2.500000 77.367 -81.5968
2.540000 77.518 -82.3166
2.580000 77.666 -83.0537
2.620000 77.809 -83.8239
2.650000 77.914 -84.4021
2.690000 78.049 -85.1677
2.720000 78.148 -85.7340
2.760000 78.275 -86.4732
2.800000 78.399 -87.2214
2.850000 78.547 -88.1304
2.900000 78.690 -89.0058
2.950000 78.826 -89.8589
3.000000 78.956 -90.7381
3.040000 79.054 -91.4501
3.070000 79.126 -91.9785
3.110000 79.217 -92.6698
3.150000 79.306 -93.3405
3.200000 79.411 -94.1654
3.250000 79.513 -94.9547
3.300000 79.610 -95.6993
3.350000 79.702 -96.4205
3.400000 79.789 -97.1569
3.450000 79.871 -97.8867
3.500000 79.948 -98.5882
3.550000 80.023 -99.2502
3.600000 80.094 -99.8912
3.650000 80.163 -100.4917
3.700000 80.230 -101.0503
3.750000 80.292 -101.5843
3.820000 80.375 -102.3309
3.870000 80.431 -102.8370
3.950000 80.518 -103.5676
4.000000 80.572 -103.9908
4.060000 80.637 -104.4530
4.120000 80.700 -104.8651
4.180000 80.762 -105.2435
4.250000 80.834 -105.6713
4.310000 80.896 -105.9924
4.370000 80.961 -106.2748
4.440000 81.040 -106.5844
4.500000 81.110 -106.8044
4.550000 81.169 -106.9599
4.620000 81.255 -107.1769
4.680000 81.331 -107.3484
4.750000 81.425 -107.5278
4.820000 81.523 -107.7096
4.870000 81.597 -107.8252
4.940000 81.703 -107.9657
5.000000 81.797 -108.0952
5.080000 81.926 -108.2864
5.150000 82.042 -108.4623
5.220000 82.161 -108.6611
5.300000 82.301 -108.8937
5.380000 82.444 -109.1384
5.450000 82.568 -109.3959
5.520000 82.692 -109.6705
5.600000 82.835 -110.0171
5.700000 83.012 -110.4949
5.800000 83.186 -111.0035
5.900000 83.354 -111.5635
6.000000 83.516 -112.1612
6.080000 83.641 -112.6712
6.150000 83.747 -113.1147
6.220000 83.849 -113.5762
6.300000 83.961 -114.1096
6.400000 84.093 -114.7911
6.500000 84.217 -115.4835
6.600000 84.334 -116.1564
6.700000 84.443 -116.8277
6.800000 84.544 -117.4883
6.900000 84.639 -118.1360
7.000000 84.730 -118.7501
7.100000 84.815 -119.3492
7.200000 84.895 -119.9225
7.300000 84.972 -120.4742
7.400000 85.046 -120.9923
7.500000 85.117 -121.4924
7.620000 85.200 -122.0607
7.750000 85.287 -122.6397
7.880000 85.373 -123.1962
8.000000 85.452 -123.6784
8.120000 85.529 -124.1426
8.250000 85.612 -124.6252
8.380000 85.694 -125.0881
8.500000 85.770 -125.5098
8.620000 85.846 -125.9206
8.750000 85.928 -126.3579
8.850000 85.990 -126.6930
9.000000 86.081 -127.1840
9.120000 86.154 -127.5757
9.250000 86.233 -127.9961
9.380000 86.311 -128.4101
9.500000 86.382 -128.7993
9.620000 86.453 -129.1871
9.750000 86.528 -129.6107
9.880000 86.598 -130.0398
10.000000 86.655 -130.4323
10.150000 86.718 -130.9694
10.300000 86.774 -131.4964
10.440000 86.820 -131.9792
10.600000 86.867 -132.5172
10.750000 86.907 -133.0062
10.900000 86.944 -133.4787
11.060000 86.983 -133.9905
11.200000 87.016 -134.4630
11.380000 87.056 -135.0402
11.500000 87.082 -135.4052
11.720000 87.126 -136.0369
11.800000 87.142 -136.2552
12.060000 87.195 -136.9557
12.200000 87.225 -137.3622
12.410000 87.276 -137.9583
12.500000 87.300 -138.2114
12.650000 87.345 -138.6315
12.800000 87.392 -139.0501
13.150000 87.499 -140.0744
13.200000 87.514 -140.2289
13.400000 87.569 -140.8374
13.600000 87.618 -141.4217
13.800000 87.663 -141.9731
14.000000 87.705 -142.4888
14.300000 87.768 -143.2550
14.500000 87.810 -143.7197
14.750000 87.867 -144.2626
15.000000 87.929 -144.7879
15.250000 87.997 -145.3782
15.500000 88.065 -145.9929
15.750000 88.130 -146.6332
16.000000 88.189 -147.2923
16.250000 88.241 -147.9904
16.500000 88.286 -148.6637
16.750000 88.322 -149.2886
17.000000 88.354 -149.8565
17.250000 88.385 -150.3962
17.500000 88.419 -150.8893
17.750000 88.456 -151.3513
18.000000 88.498 -151.8054
18.250000 88.542 -152.2936
18.500000 88.585 -152.7962
18.750000 88.626 -153.3071
19.000000 88.663 -153.8177
19.250000 88.695 -154.3384
19.500000 88.723 -154.8363
19.750000 88.750 -155.3055
20.000000 88.776 -155.7473
20.299999 88.809 -156.2818
20.600000 88.845 -156.8004
20.900000 88.882 -157.3158
21.200001 88.918 -157.8531
21.400000 88.941 -158.2187
21.799999 88.984 -158.9429
22.000000 89.004 -159.2989
22.400000 89.040 -160.0158
22.700001 89.067 -160.5367
23.000000 89.092 -161.0476
23.299999 89.116 -161.5670
23.600000 89.138 -162.0792
24.000000 89.165 -162.7445
24.299999 89.184 -163.2424
24.700001 89.207 -163.8782
25.000000 89.225 -164.3347
25.400000 89.250 -164.9427
25.799999 89.275 -165.5433
26.200001 89.300 -166.1567
26.500000 89.316 -166.6246
26.900000 89.335 -167.2375
27.200001 89.348 -167.6894
27.600000 89.363 -168.2759
28.000000 89.378 -168.8459
28.500000 89.397 -169.5669
29.000000 89.412 -170.2835
29.500000 89.422 -170.9909
30.000000 89.429 -171.6585
30.400000 89.435 -172.1739
30.700001 89.441 -172.5504
31.100000 89.449 -173.0510
31.500000 89.457 -173.5624
32.000000 89.466 -174.1953
32.500000 89.473 -174.8260
33.000000 89.478 -175.4401
33.500000 89.482 -176.0469
34.000000 89.484 -176.6409
34.500000 89.486 -177.2310
35.000000 89.488 -177.8106
35.500000 89.489 -178.3936
36.000000 89.488 -178.9785
36.500000 89.484 -179.5636
37.000000 89.477 179.8729
37.500000 89.470 179.3336
38.200001 89.461 178.6063
38.700001 89.458 178.0809
39.500000 89.450 177.2198
40.000000 89.441 176.6810
40.599998 89.427 176.0494
41.200001 89.412 175.4469
41.799999 89.398 174.8605
42.500000 89.381 174.1760
43.099998 89.365 173.6031
43.700001 89.348 173.0556
44.400002 89.333 172.4239
45.000000 89.320 171.8629
45.500000 89.307 171.3829
46.200001 89.284 170.7319
46.799999 89.264 170.1991
47.500000 89.243 169.5742
48.200001 89.219 168.9398
48.700001 89.198 168.4994
49.400002 89.169 167.9165
50.000000 89.145 167.4380
50.799999 89.115 166.8034
51.500000 89.088 166.2499
52.200001 89.058 165.7077
53.000000 89.023 165.1012
53.799999 88.987 164.4943
54.500000 88.952 163.9714
55.200001 88.916 163.4734
56.000000 88.879 162.9081
57.000000 88.833 162.1572
58.000000 88.779 161.4392
59.000000 88.730 160.7646
60.000000 88.685 160.0985
60.799999 88.652 159.5670
61.500000 88.624 159.0784
62.200001 88.591 158.5829
63.000000 88.547 158.0546
64.000000 88.491 157.4330
65.000000 88.433 156.8554
66.000000 88.377 156.3203
67.000000 88.329 155.7560
68.000000 88.274 155.1194
69.000000 88.208 154.5109
70.000000 88.143 153.9550
71.000000 88.084 153.3950
72.000000 88.025 152.8274
73.000000 87.966 152.2957
74.000000 87.911 151.7845
75.000000 87.857 151.2661
76.199997 87.786 150.6459
77.500000 87.700 150.0169
78.800003 87.609 149.4354
80.000000 87.529 148.9146
81.199997 87.453 148.3541
82.500000 87.367 147.7098
83.800003 87.278 147.1241
85.000000 87.200 146.6545
86.199997 87.128 146.2011
87.500000 87.044 145.6811
88.500000 86.969 145.2993
90.000000 86.858 144.8268
91.199997 86.780 144.4202
92.500000 86.694 143.9156
93.800003 86.604 143.4451
95.000000 86.524 143.0382
96.199997 86.441 142.6549
97.500000 86.352 142.2824
98.800003 86.265 141.9068
100.000000 86.182 141.4879
101.500000 86.065 141.0292
103.000000 85.959 140.6402
104.400002 85.863 140.2266
106.000000 85.745 139.8028
107.500000 85.637 139.4645
109.000000 85.534 139.0936
110.599998 85.420 138.6894
112.000000 85.321 138.3639
113.800003 85.199 137.9899
115.000000 85.117 137.7726
117.199997 84.967 137.4154
118.000000 84.911 137.2877
120.599998 84.723 136.8669
122.000000 84.618 136.6450
124.099998 84.468 136.3532
125.000000 84.408 136.2317
126.500000 84.307 136.0280
128.000000 84.206 135.8577
131.500000 83.975 135.5283
132.000000 83.943 135.4832
134.000000 83.810 135.3060
136.000000 83.676 135.1696
138.000000 83.545 135.0635
140.000000 83.416 134.9428
143.000000 83.220 134.7954
145.000000 83.090 134.7271
147.500000 82.923 134.6707
150.000000 82.755 134.6564
152.500000 82.591 134.6961
155.000000 82.434 134.8559
157.500000 82.288 135.0767
160.000000 82.148 135.2341
162.500000 82.011 135.4275
165.000000 81.890 135.5826
167.500000 81.748 135.5671
170.000000 81.582 135.6476
172.500000 81.426 135.8413
175.000000 81.277 136.0597
177.500000 81.121 136.2863
180.000000 80.964 136.5278
182.500000 80.812 136.7946
185.000000 80.663 137.1198
187.500000 80.520 137.4622
190.000000 80.382 137.7636
192.500000 80.246 138.0876
195.000000 80.114 138.4502
197.500000 79.983 138.8701
200.000000 79.857 139.3127
203.000000 79.714 139.8766
206.000000 79.580 140.4208
209.000000 79.452 140.9574
212.000000 79.332 141.5325
214.000000 79.255 141.9296
218.000000 79.105 142.7736
220.000000 79.033 143.1973
224.000000 78.895 144.0645
227.000000 78.795 144.7274
230.000000 78.700 145.3916
233.000000 78.612 146.0573
236.000000 78.529 146.7274
240.000000 78.423 147.6300
243.000000 78.349 148.3018
247.000000 78.259 149.1887
250.000000 78.194 149.8365
254.000000 78.105 150.6931
258.000000 78.021 151.5602
262.000000 77.943 152.4383
265.000000 77.888 153.0956
269.000000 77.819 153.9798
272.000000 77.773 154.6466
276.000000 77.718 155.5078
280.000000 77.669 156.3281
285.000000 77.616 157.3505
290.000000 77.562 158.3913
295.000000 77.513 159.3958
300.000000 77.471 160.3813
304.000000 77.442 161.1416
307.000000 77.426 161.7042
311.000000 77.409 162.4308
315.000000 77.396 163.1354
