* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 5, 25 10:35:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: am16 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.713 -91.9303
1.015000 67.002 -91.5921
1.030000 67.286 -91.2888
1.044000 67.546 -91.0369
1.060000 67.837 -90.7849
1.075000 68.103 -90.5827
1.090000 68.361 -90.4111
1.106000 68.630 -90.2526
1.120000 68.863 -90.1198
1.138000 69.163 -89.9481
1.150000 69.363 -89.8334
1.172000 69.727 -89.6264
1.180000 69.859 -89.5538
1.206000 70.283 -89.3255
1.220000 70.509 -89.2089
1.241000 70.842 -89.0446
1.250000 70.983 -88.9785
1.265000 71.215 -88.8745
1.280000 71.443 -88.7788
1.315000 71.956 -88.5907
1.320000 72.026 -88.5681
1.340000 72.303 -88.4887
1.360000 72.569 -88.4278
1.380000 72.822 -88.3752
1.400000 73.062 -88.3378
1.430000 73.394 -88.3182
1.450000 73.596 -88.3288
1.475000 73.823 -88.3586
1.500000 74.019 -88.3826
1.525000 74.186 -88.3927
1.550000 74.326 -88.3933
1.575000 74.444 -88.3841
1.600000 74.542 -88.3658
1.625000 74.624 -88.3512
1.650000 74.694 -88.3439
1.675000 74.755 -88.3466
1.700000 74.811 -88.3620
1.725000 74.864 -88.3921
1.750000 74.920 -88.4388
1.775000 74.981 -88.5078
1.800000 75.050 -88.6040
1.825000 75.131 -88.7180
1.850000 75.219 -88.8417
1.875000 75.310 -88.9633
1.900000 75.400 -89.0796
1.925000 75.490 -89.1910
1.950000 75.579 -89.2987
1.975000 75.667 -89.4075
2.000000 75.755 -89.5224
2.030000 75.860 -89.6599
2.060000 75.963 -89.7991
2.090000 76.066 -89.9420
2.120000 76.168 -90.0904
2.140000 76.235 -90.1932
2.180000 76.369 -90.4166
2.200000 76.435 -90.5396
2.240000 76.566 -90.7852
2.270000 76.662 -90.9638
2.300000 76.758 -91.1370
2.330000 76.853 -91.3050
2.360000 76.947 -91.4688
2.400000 77.071 -91.7029
2.430000 77.163 -91.8782
2.470000 77.285 -92.1094
2.500000 77.375 -92.2820
2.540000 77.494 -92.5125
2.580000 77.611 -92.7561
2.620000 77.727 -93.0218
2.650000 77.813 -93.2164
2.690000 77.927 -93.4693
2.720000 78.011 -93.6538
2.760000 78.122 -93.8916
2.800000 78.231 -94.1503
2.850000 78.365 -94.4677
2.900000 78.497 -94.7748
2.950000 78.627 -95.0735
3.000000 78.753 -95.3904
3.040000 78.852 -95.6469
3.070000 78.925 -95.8346
3.110000 79.022 -96.0778
3.150000 79.117 -96.3125
3.200000 79.234 -96.6164
3.250000 79.350 -96.9173
3.300000 79.464 -97.2047
3.350000 79.576 -97.4805
3.400000 79.687 -97.7708
3.450000 79.795 -98.0605
3.500000 79.902 -98.3380
3.550000 80.008 -98.6017
3.600000 80.113 -98.8785
3.650000 80.217 -99.1533
3.700000 80.319 -99.4160
3.750000 80.421 -99.6690
3.820000 80.561 -100.0448
3.870000 80.660 -100.3094
3.950000 80.816 -100.7104
4.000000 80.913 -100.9712
4.060000 81.028 -101.2835
4.120000 81.143 -101.5828
4.180000 81.256 -101.8783
4.250000 81.387 -102.2464
4.310000 81.498 -102.5492
4.370000 81.608 -102.8466
4.440000 81.735 -103.2192
4.500000 81.843 -103.5307
4.550000 81.932 -103.7837
4.620000 82.056 -104.1603
4.680000 82.161 -104.4830
4.750000 82.282 -104.8511
4.820000 82.402 -105.2414
4.870000 82.487 -105.5219
4.940000 82.605 -105.9076
5.000000 82.704 -106.2496
5.080000 82.835 -106.7121
5.150000 82.947 -107.1098
5.220000 83.057 -107.5272
5.300000 83.181 -108.0071
5.380000 83.302 -108.4822
5.450000 83.405 -108.9157
5.520000 83.506 -109.3388
5.600000 83.619 -109.8314
5.700000 83.755 -110.4619
5.800000 83.887 -111.0819
5.900000 84.014 -111.7035
6.000000 84.135 -112.3188
6.080000 84.229 -112.8183
6.150000 84.310 -113.2377
6.220000 84.388 -113.6616
6.300000 84.474 -114.1332
6.400000 84.579 -114.7117
6.500000 84.680 -115.2855
6.600000 84.779 -115.8345
6.700000 84.875 -116.3730
6.800000 84.969 -116.8930
6.900000 85.061 -117.4057
7.000000 85.152 -117.8981
7.100000 85.242 -118.3837
7.200000 85.332 -118.8541
7.300000 85.420 -119.3222
7.400000 85.508 -119.7789
7.500000 85.595 -120.2359
7.620000 85.698 -120.7771
7.750000 85.809 -121.3611
7.880000 85.918 -121.9566
8.000000 86.016 -122.4978
8.120000 86.111 -123.0404
8.250000 86.210 -123.6293
8.380000 86.306 -124.2101
8.500000 86.391 -124.7451
8.620000 86.474 -125.2735
8.750000 86.559 -125.8343
8.850000 86.622 -126.2573
9.000000 86.712 -126.8694
9.120000 86.781 -127.3438
9.250000 86.854 -127.8355
9.380000 86.926 -128.3027
9.500000 86.991 -128.7242
9.620000 87.056 -129.1271
9.750000 87.125 -129.5493
9.880000 87.190 -129.9614
10.000000 87.244 -130.3251
10.150000 87.305 -130.8118
10.300000 87.361 -131.2788
10.440000 87.410 -131.6992
10.600000 87.463 -132.1641
10.750000 87.512 -132.5882
10.900000 87.559 -133.0013
11.060000 87.610 -133.4611
11.200000 87.654 -133.8988
11.380000 87.710 -134.4477
11.500000 87.745 -134.8049
11.720000 87.807 -135.4425
11.800000 87.828 -135.6688
12.060000 87.894 -136.4117
12.200000 87.929 -136.8465
12.410000 87.982 -137.4860
12.500000 88.006 -137.7552
12.650000 88.049 -138.1973
12.800000 88.092 -138.6287
13.150000 88.186 -139.6368
13.200000 88.199 -139.7833
13.400000 88.247 -140.3469
13.600000 88.291 -140.8702
13.800000 88.334 -141.3509
14.000000 88.378 -141.7967
14.300000 88.448 -142.4784
14.500000 88.498 -142.9117
14.750000 88.565 -143.4479
15.000000 88.635 -143.9986
15.250000 88.706 -144.6333
15.500000 88.773 -145.2933
15.750000 88.834 -145.9650
16.000000 88.889 -146.6320
16.250000 88.938 -147.3159
16.500000 88.982 -147.9618
16.750000 89.024 -148.5609
17.000000 89.065 -149.1191
17.250000 89.107 -149.6739
17.500000 89.150 -150.2077
17.750000 89.195 -150.7282
18.000000 89.240 -151.2457
18.250000 89.285 -151.7893
18.500000 89.327 -152.3310
18.750000 89.367 -152.8630
19.000000 89.404 -153.3815
19.250000 89.439 -153.9062
19.500000 89.472 -154.4125
19.750000 89.503 -154.9000
20.000000 89.533 -155.3701
20.299999 89.568 -155.9452
20.600000 89.603 -156.5004
20.900000 89.637 -157.0383
21.200001 89.669 -157.5813
21.400000 89.690 -157.9433
21.799999 89.731 -158.6538
22.000000 89.750 -159.0040
22.400000 89.787 -159.7158
22.700001 89.812 -160.2357
23.000000 89.837 -160.7438
23.299999 89.861 -161.2572
23.600000 89.884 -161.7634
24.000000 89.916 -162.4329
24.299999 89.939 -162.9510
24.700001 89.967 -163.6387
25.000000 89.985 -164.1444
25.400000 90.007 -164.8123
25.799999 90.028 -165.4488
26.200001 90.049 -166.0725
26.500000 90.066 -166.5408
26.900000 90.089 -167.1598
27.200001 90.104 -167.6254
27.600000 90.123 -168.2365
28.000000 90.139 -168.8225
28.500000 90.160 -169.5344
29.000000 90.183 -170.2271
29.500000 90.207 -170.9415
30.000000 90.227 -171.6715
30.400000 90.238 -172.2621
30.700001 90.243 -172.6939
31.100000 90.247 -173.2508
31.500000 90.248 -173.7919
32.000000 90.249 -174.4329
32.500000 90.250 -175.0549
33.000000 90.251 -175.6535
33.500000 90.253 -176.2441
34.000000 90.255 -176.8308
34.500000 90.256 -177.4272
35.000000 90.256 -178.0194
35.500000 90.255 -178.6075
36.000000 90.253 -179.1879
36.500000 90.251 -179.7725
37.000000 90.248 179.6450
37.500000 90.242 179.0670
38.200001 90.232 178.2813
38.700001 90.225 177.7315
39.500000 90.214 176.8618
40.000000 90.206 176.3228
40.599998 90.196 175.6838
41.200001 90.184 175.0630
41.799999 90.173 174.4517
42.500000 90.159 173.7350
43.099998 90.144 173.1277
43.700001 90.127 172.5364
44.400002 90.106 171.8631
45.000000 90.087 171.2983
45.500000 90.071 170.8326
46.200001 90.047 170.1945
46.799999 90.027 169.6539
47.500000 90.002 169.0242
48.200001 89.975 168.4037
48.700001 89.956 167.9691
49.400002 89.930 167.3686
50.000000 89.908 166.8561
50.799999 89.878 166.1768
51.500000 89.851 165.5914
52.200001 89.822 165.0135
53.000000 89.787 164.3645
53.799999 89.751 163.7335
54.500000 89.719 163.1946
55.200001 89.686 162.6633
56.000000 89.650 162.0586
57.000000 89.603 161.2948
58.000000 89.554 160.5492
59.000000 89.503 159.8146
60.000000 89.450 159.0963
60.799999 89.406 158.5538
61.500000 89.368 158.1007
62.200001 89.333 157.6590
63.000000 89.294 157.1508
64.000000 89.243 156.4703
65.000000 89.180 155.8047
66.000000 89.109 155.2061
67.000000 89.045 154.6834
68.000000 88.991 154.1405
69.000000 88.939 153.5486
70.000000 88.884 152.9263
71.000000 88.824 152.2902
72.000000 88.759 151.6959
73.000000 88.695 151.1601
74.000000 88.635 150.6506
75.000000 88.576 150.1455
76.199997 88.502 149.5237
77.500000 88.416 148.8652
78.800003 88.326 148.2195
80.000000 88.242 147.6348
81.199997 88.161 147.0728
82.500000 88.077 146.4586
83.800003 87.992 145.8841
85.000000 87.916 145.3555
86.199997 87.833 144.8453
87.500000 87.744 144.3154
88.500000 87.671 143.9183
90.000000 87.568 143.3494
91.199997 87.481 142.9085
92.500000 87.398 142.5024
93.800003 87.311 142.0149
95.000000 87.219 141.6504
96.199997 87.151 141.3657
97.500000 87.094 140.7079
98.800003 86.971 139.9196
100.000000 86.841 139.7160
101.500000 86.757 139.6609
103.000000 86.687 139.2091
104.400002 86.571 138.6365
106.000000 86.400 138.0552
107.500000 86.250 137.5748
109.000000 86.143 137.0613
110.599998 86.058 136.4450
112.000000 85.987 136.1042
113.800003 85.904 135.9527
115.000000 85.840 135.8546
117.199997 85.676 135.4761
118.000000 85.601 135.2861
120.599998 85.387 134.8335
122.000000 85.300 134.5458
124.099998 85.164 134.1838
125.000000 85.096 134.0566
126.500000 84.970 133.9154
128.000000 84.846 133.8172
131.500000 84.631 133.5040
132.000000 84.606 133.4415
134.000000 84.491 133.2233
136.000000 84.338 133.0952
138.000000 84.169 133.0039
140.000000 84.017 132.8812
143.000000 83.812 132.5259
145.000000 83.711 132.4696
147.500000 83.502 132.1409
150.000000 83.291 132.8091
152.500000 83.260 133.4522
155.000000 83.239 133.4713
157.500000 83.108 133.6584
160.000000 82.924 133.5484
162.500000 82.705 133.0005
165.000000 82.515 132.5736
167.500000 82.368 132.4628
170.000000 82.211 132.4815
172.500000 82.034 132.5981
175.000000 81.856 132.7460
177.500000 81.703 132.9553
180.000000 81.531 133.0325
182.500000 81.356 133.3068
185.000000 81.193 133.5861
187.500000 81.039 133.9324
190.000000 80.898 134.2076
192.500000 80.768 134.4625
195.000000 80.643 134.8022
197.500000 80.507 135.2762
200.000000 80.359 135.7400
203.000000 80.186 136.1669
206.000000 80.040 136.5862
209.000000 79.911 137.1234
212.000000 79.779 137.7176
214.000000 79.691 138.0797
218.000000 79.524 138.8314
220.000000 79.445 139.2284
224.000000 79.293 140.0161
227.000000 79.182 140.6278
230.000000 79.074 141.2645
233.000000 78.972 141.8946
236.000000 78.875 142.5146
240.000000 78.753 143.3685
243.000000 78.664 143.9984
247.000000 78.549 144.8443
250.000000 78.466 145.4945
254.000000 78.357 146.3701
258.000000 78.254 147.2417
262.000000 78.157 148.1428
265.000000 78.090 148.8433
269.000000 78.007 149.7634
272.000000 77.947 150.4321
276.000000 77.871 151.3101
280.000000 77.800 152.1723
285.000000 77.722 153.2324
290.000000 77.653 154.2686
295.000000 77.589 155.3029
300.000000 77.529 156.3571
304.000000 77.485 157.1986
307.000000 77.455 157.8279
311.000000 77.420 158.6553
315.000000 77.390 159.4708
