* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 9, 25 11:20:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: am16 bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.571 -73.1033
1.015000 68.873 -73.9752
1.030000 69.169 -74.8191
1.044000 69.440 -75.5838
1.060000 69.742 -76.4327
1.075000 70.017 -77.2062
1.090000 70.282 -77.9590
1.106000 70.558 -78.7341
1.120000 70.797 -79.3788
1.138000 71.106 -80.1572
1.150000 71.313 -80.6461
1.172000 71.693 -81.4869
1.180000 71.830 -81.7770
1.206000 72.277 -82.6642
1.220000 72.515 -83.1099
1.241000 72.870 -83.7413
1.250000 73.020 -83.9994
1.265000 73.267 -84.4145
1.280000 73.511 -84.8122
1.315000 74.063 -85.6815
1.320000 74.139 -85.7998
1.340000 74.438 -86.2598
1.360000 74.726 -86.7015
1.380000 75.001 -87.1166
1.400000 75.262 -87.5136
1.430000 75.625 -88.0873
1.450000 75.845 -88.4566
1.475000 76.094 -88.8966
1.500000 76.311 -89.2925
1.525000 76.498 -89.6408
1.550000 76.658 -89.9493
1.575000 76.795 -90.2212
1.600000 76.912 -90.4594
1.625000 77.013 -90.6795
1.650000 77.102 -90.8867
1.675000 77.182 -91.0858
1.700000 77.256 -91.2807
1.725000 77.329 -91.4748
1.750000 77.403 -91.6709
1.775000 77.483 -91.8757
1.800000 77.571 -92.0947
1.825000 77.671 -92.3187
1.850000 77.779 -92.5379
1.875000 77.889 -92.7394
1.900000 77.998 -92.9213
1.925000 78.107 -93.0864
1.950000 78.215 -93.2381
1.975000 78.323 -93.3831
2.000000 78.430 -93.5279
2.030000 78.558 -93.6951
2.060000 78.685 -93.8593
2.090000 78.812 -94.0240
2.120000 78.938 -94.1923
2.140000 79.021 -94.3078
2.180000 79.187 -94.5558
2.200000 79.270 -94.6892
2.240000 79.434 -94.9433
2.270000 79.557 -95.1156
2.300000 79.679 -95.2743
2.330000 79.800 -95.4230
2.360000 79.920 -95.5652
2.400000 80.080 -95.7715
2.430000 80.199 -95.9294
2.470000 80.356 -96.1448
2.500000 80.473 -96.3132
2.540000 80.628 -96.5495
2.580000 80.782 -96.8076
2.620000 80.934 -97.0841
2.650000 81.048 -97.2823
2.690000 81.199 -97.5371
2.720000 81.312 -97.7235
2.760000 81.460 -97.9681
2.800000 81.607 -98.2420
2.850000 81.787 -98.5958
2.900000 81.965 -98.9635
2.950000 82.139 -99.3450
3.000000 82.309 -99.7532
3.040000 82.444 -100.0846
3.070000 82.543 -100.3304
3.110000 82.674 -100.6552
3.150000 82.803 -100.9780
3.200000 82.961 -101.4046
3.250000 83.116 -101.8454
3.300000 83.268 -102.2926
3.350000 83.416 -102.7448
3.400000 83.561 -103.2225
3.450000 83.702 -103.7076
3.500000 83.841 -104.1871
3.550000 83.976 -104.6589
3.600000 84.107 -105.1505
3.650000 84.235 -105.6482
3.700000 84.359 -106.1459
3.750000 84.480 -106.6472
3.820000 84.643 -107.3854
3.870000 84.755 -107.9125
3.950000 84.928 -108.7294
4.000000 85.032 -109.2446
4.060000 85.152 -109.8614
4.120000 85.267 -110.4751
4.180000 85.377 -111.0919
4.250000 85.500 -111.8304
4.310000 85.601 -112.4367
4.370000 85.697 -113.0180
4.440000 85.805 -113.7037
4.500000 85.893 -114.2803
4.550000 85.963 -114.7510
4.620000 86.056 -115.4190
4.680000 86.133 -115.9708
4.750000 86.220 -116.5743
4.820000 86.304 -117.1706
4.870000 86.361 -117.5870
4.940000 86.438 -118.1478
5.000000 86.502 -118.6228
5.080000 86.585 -119.2323
5.150000 86.657 -119.7263
5.220000 86.727 -120.2128
5.300000 86.805 -120.7455
5.380000 86.882 -121.2509
5.450000 86.949 -121.6950
5.520000 87.016 -122.1125
5.600000 87.093 -122.5759
5.700000 87.189 -123.1454
5.800000 87.285 -123.6965
5.900000 87.382 -124.2511
6.000000 87.480 -124.7930
6.080000 87.559 -125.2340
6.150000 87.627 -125.6105
6.220000 87.695 -126.0038
6.300000 87.772 -126.4546
6.400000 87.868 -127.0223
6.500000 87.962 -127.6049
6.600000 88.053 -128.1885
6.700000 88.141 -128.7899
6.800000 88.226 -129.3949
6.900000 88.308 -130.0071
7.000000 88.386 -130.6118
7.100000 88.460 -131.2254
7.200000 88.529 -131.8318
7.300000 88.596 -132.4317
7.400000 88.658 -133.0133
7.500000 88.716 -133.5914
7.620000 88.782 -134.2634
7.750000 88.850 -134.9576
7.880000 88.914 -135.6328
8.000000 88.971 -136.2228
8.120000 89.027 -136.7873
8.250000 89.086 -137.3708
8.380000 89.145 -137.9289
8.500000 89.201 -138.4332
8.620000 89.258 -138.9221
8.750000 89.320 -139.4435
8.850000 89.368 -139.8454
9.000000 89.440 -140.4397
9.120000 89.497 -140.9179
9.250000 89.558 -141.4383
9.380000 89.619 -141.9572
9.500000 89.674 -142.4445
9.620000 89.727 -142.9307
9.750000 89.781 -143.4597
9.880000 89.829 -143.9875
10.000000 89.864 -144.4627
10.150000 89.899 -145.0912
10.300000 89.927 -145.6918
10.440000 89.947 -146.2263
10.600000 89.965 -146.8063
10.750000 89.980 -147.3192
10.900000 89.994 -147.8042
11.060000 90.009 -148.3238
11.200000 90.024 -148.8005
11.380000 90.043 -149.3862
11.500000 90.056 -149.7612
11.720000 90.077 -150.4206
11.800000 90.084 -150.6525
12.060000 90.108 -151.4056
12.200000 90.122 -151.8422
12.410000 90.145 -152.4811
12.500000 90.157 -152.7496
12.650000 90.182 -153.1906
12.800000 90.208 -153.6235
13.150000 90.267 -154.6557
13.200000 90.275 -154.8094
13.400000 90.304 -155.4120
13.600000 90.331 -155.9919
13.800000 90.353 -156.5451
14.000000 90.373 -157.0723
14.300000 90.402 -157.8755
14.500000 90.421 -158.3746
14.750000 90.445 -158.9625
15.000000 90.472 -159.5256
15.250000 90.502 -160.1374
15.500000 90.533 -160.7539
15.750000 90.563 -161.3788
16.000000 90.591 -162.0125
16.250000 90.615 -162.6859
16.500000 90.634 -163.3441
16.750000 90.647 -163.9698
17.000000 90.656 -164.5546
17.250000 90.663 -165.1224
17.500000 90.671 -165.6462
17.750000 90.681 -166.1317
18.000000 90.695 -166.5958
18.250000 90.713 -167.0792
18.500000 90.734 -167.5669
18.750000 90.755 -168.0616
19.000000 90.775 -168.5650
19.250000 90.793 -169.0956
19.500000 90.807 -169.6226
19.750000 90.818 -170.1373
20.000000 90.826 -170.6324
20.299999 90.834 -171.2263
20.600000 90.841 -171.7852
20.900000 90.849 -172.3152
21.200001 90.858 -172.8459
21.400000 90.865 -173.2005
21.799999 90.877 -173.9021
22.000000 90.883 -174.2502
22.400000 90.890 -174.9566
22.700001 90.893 -175.4655
23.000000 90.895 -175.9530
23.299999 90.897 -176.4359
23.600000 90.900 -176.9043
24.000000 90.906 -177.5187
24.299999 90.911 -177.9977
24.700001 90.916 -178.6417
25.000000 90.917 -179.1225
25.400000 90.916 -179.7662
25.799999 90.911 179.6165
26.200001 90.905 179.0137
26.500000 90.901 178.5641
26.900000 90.896 177.9727
27.200001 90.892 177.5258
27.600000 90.885 176.9307
28.000000 90.875 176.3480
28.500000 90.861 175.6294
29.000000 90.845 174.9380
29.500000 90.830 174.2522
30.000000 90.812 173.5845
30.400000 90.797 173.0626
30.700001 90.786 172.6863
31.100000 90.773 172.1965
31.500000 90.763 171.7002
32.000000 90.750 171.0711
32.500000 90.734 170.4240
33.000000 90.712 169.7994
33.500000 90.688 169.2128
34.000000 90.668 168.6581
34.500000 90.652 168.0934
35.000000 90.636 167.5087
35.500000 90.617 166.9056
36.000000 90.592 166.3115
36.500000 90.564 165.7406
37.000000 90.535 165.2068
37.500000 90.509 164.6941
38.200001 90.476 163.9716
38.700001 90.452 163.4360
39.500000 90.404 162.6016
40.000000 90.374 162.1147
40.599998 90.341 161.5337
41.200001 90.309 160.9376
41.799999 90.271 160.3475
42.500000 90.227 159.6896
43.099998 90.193 159.1257
43.700001 90.157 158.5436
44.400002 90.108 157.8815
45.000000 90.067 157.3560
45.500000 90.037 156.9240
46.200001 89.997 156.3017
46.799999 89.962 155.7581
47.500000 89.919 155.1253
48.200001 89.873 154.4959
48.700001 89.839 154.0543
49.400002 89.790 153.4537
50.000000 89.748 152.9476
50.799999 89.689 152.2932
51.500000 89.636 151.7692
52.200001 89.588 151.2690
53.000000 89.537 150.6690
53.799999 89.480 150.0578
54.500000 89.428 149.5448
55.200001 89.375 149.0423
56.000000 89.314 148.4764
57.000000 89.237 147.7880
58.000000 89.162 147.1152
59.000000 89.089 146.4364
60.000000 89.013 145.7281
60.799999 88.943 145.1993
61.500000 88.884 144.8077
62.200001 88.836 144.4213
63.000000 88.781 143.9095
64.000000 88.693 143.2692
65.000000 88.609 142.7701
66.000000 88.543 142.1846
67.000000 88.469 141.4763
68.000000 88.382 140.7760
69.000000 88.291 140.1639
70.000000 88.207 139.6294
71.000000 88.128 139.1560
72.000000 88.060 138.7007
73.000000 87.988 138.1663
74.000000 87.899 137.6302
75.000000 87.806 137.1316
76.199997 87.698 136.5828
77.500000 87.604 135.9185
78.800003 87.496 135.3070
80.000000 87.420 134.7705
81.199997 87.294 134.1873
82.500000 87.180 134.0180
83.800003 87.105 133.0775
85.000000 86.913 132.0700
86.199997 86.731 132.0059
87.500000 86.699 132.3284
88.500000 86.738 132.2926
90.000000 86.747 131.9186
91.199997 86.664 131.6716
92.500000 86.495 131.4749
93.800003 86.277 131.1410
95.000000 86.071 130.5675
96.199997 85.894 129.7643
97.500000 85.760 128.8262
98.800003 85.677 128.0455
100.000000 85.621 127.6147
101.500000 85.540 127.4277
103.000000 85.424 127.3123
104.400002 85.283 126.9916
106.000000 85.117 126.4269
107.500000 84.997 125.8450
109.000000 84.902 125.4214
110.599998 84.801 125.2319
112.000000 84.694 125.1431
113.800003 84.519 124.8954
115.000000 84.393 124.6484
117.199997 84.190 124.1187
118.000000 84.125 123.9592
120.599998 83.920 123.6046
122.000000 83.796 123.4702
124.099998 83.609 123.2174
125.000000 83.534 123.0712
126.500000 83.414 122.8254
128.000000 83.297 122.6470
131.500000 83.027 122.4944
132.000000 82.988 122.4605
134.000000 82.826 122.2947
136.000000 82.661 122.1962
138.000000 82.499 122.1545
140.000000 82.338 122.1017
143.000000 82.100 121.9872
145.000000 81.947 121.9528
147.500000 81.759 121.9802
150.000000 81.568 122.0263
152.500000 81.372 122.1480
155.000000 81.182 122.3257
157.500000 80.996 122.4971
160.000000 80.810 122.7190
162.500000 80.626 123.0444
165.000000 80.444 123.3602
167.500000 80.268 123.7194
170.000000 80.110 124.0338
172.500000 79.947 124.3029
175.000000 79.776 124.5519
177.500000 79.595 124.7548
180.000000 79.416 125.0128
182.500000 79.250 125.3428
185.000000 79.087 125.7239
187.500000 78.922 126.1506
190.000000 78.756 126.6057
192.500000 78.594 127.0944
195.000000 78.441 127.5341
197.500000 78.289 127.9747
200.000000 78.142 128.4905
203.000000 77.973 129.1789
206.000000 77.809 129.8571
209.000000 77.655 130.5329
212.000000 77.510 131.2497
214.000000 77.416 131.7305
218.000000 77.237 132.7402
220.000000 77.151 133.2556
224.000000 76.982 134.2939
227.000000 76.858 135.0801
230.000000 76.742 135.8752
233.000000 76.632 136.6850
236.000000 76.527 137.5093
240.000000 76.395 138.6160
243.000000 76.302 139.4493
247.000000 76.185 140.5737
250.000000 76.103 141.4176
254.000000 76.000 142.5595
258.000000 75.903 143.6579
262.000000 75.813 144.7404
265.000000 75.752 145.5748
269.000000 75.679 146.6917
272.000000 75.629 147.4844
276.000000 75.567 148.5590
280.000000 75.515 149.6420
285.000000 75.459 150.9274
290.000000 75.404 152.2075
295.000000 75.358 153.4378
300.000000 75.322 154.6169
304.000000 75.301 155.5168
307.000000 75.286 156.1801
311.000000 75.268 157.0820
315.000000 75.257 157.9644
320.000000 75.243 159.0668
