* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 9, 25 11:18:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: am16 bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.994 -79.2335
1.015000 72.338 -79.8935
1.030000 72.675 -80.5457
1.044000 72.983 -81.1491
1.060000 73.325 -81.8343
1.075000 73.637 -82.4737
1.090000 73.939 -83.1102
1.106000 74.252 -83.7773
1.120000 74.521 -84.3356
1.138000 74.865 -85.0098
1.150000 75.093 -85.4333
1.172000 75.507 -86.1624
1.180000 75.656 -86.4146
1.206000 76.133 -87.1888
1.220000 76.386 -87.5800
1.241000 76.758 -88.1385
1.250000 76.915 -88.3687
1.265000 77.173 -88.7415
1.280000 77.426 -89.1025
1.315000 77.993 -89.9078
1.320000 78.071 -90.0194
1.340000 78.378 -90.4593
1.360000 78.671 -90.8912
1.380000 78.952 -91.3068
1.400000 79.219 -91.7150
1.430000 79.590 -92.3249
1.450000 79.818 -92.7316
1.475000 80.077 -93.2315
1.500000 80.304 -93.6971
1.525000 80.499 -94.1217
1.550000 80.666 -94.5116
1.575000 80.808 -94.8691
1.600000 80.929 -95.1968
1.625000 81.033 -95.5097
1.650000 81.124 -95.8131
1.675000 81.204 -96.1115
1.700000 81.278 -96.4089
1.725000 81.350 -96.7088
1.750000 81.423 -97.0143
1.775000 81.501 -97.3322
1.800000 81.587 -97.6687
1.825000 81.684 -98.0149
1.850000 81.788 -98.3624
1.875000 81.894 -98.6988
1.900000 81.999 -99.0209
1.925000 82.102 -99.3294
1.950000 82.204 -99.6260
1.975000 82.305 -99.9163
2.000000 82.404 -100.2056
2.030000 82.522 -100.5438
2.060000 82.638 -100.8756
2.090000 82.753 -101.2037
2.120000 82.867 -101.5309
2.140000 82.942 -101.7498
2.180000 83.090 -102.1991
2.200000 83.163 -102.4320
2.240000 83.308 -102.8903
2.270000 83.415 -103.2220
2.300000 83.520 -103.5429
2.330000 83.624 -103.8540
2.360000 83.727 -104.1566
2.400000 83.862 -104.5704
2.430000 83.961 -104.8772
2.470000 84.092 -105.2802
2.500000 84.189 -105.5798
2.540000 84.317 -105.9784
2.580000 84.443 -106.3886
2.620000 84.568 -106.8182
2.650000 84.660 -107.1336
2.690000 84.781 -107.5447
2.720000 84.870 -107.8461
2.760000 84.988 -108.2381
2.800000 85.103 -108.6498
2.850000 85.245 -109.1581
2.900000 85.383 -109.6574
2.950000 85.518 -110.1508
3.000000 85.650 -110.6643
3.040000 85.753 -111.0784
3.070000 85.829 -111.3843
3.110000 85.928 -111.7851
3.150000 86.026 -112.1774
3.200000 86.145 -112.6789
3.250000 86.262 -113.1786
3.300000 86.377 -113.6678
3.350000 86.489 -114.1500
3.400000 86.599 -114.6512
3.450000 86.706 -115.1544
3.500000 86.810 -115.6463
3.550000 86.912 -116.1240
3.600000 87.011 -116.6141
3.650000 87.109 -117.1017
3.700000 87.204 -117.5802
3.750000 87.297 -118.0547
3.820000 87.423 -118.7466
3.870000 87.511 -119.2373
3.950000 87.646 -119.9937
4.000000 87.728 -120.4705
4.060000 87.824 -121.0391
4.120000 87.917 -121.5987
4.180000 88.007 -122.1578
4.250000 88.108 -122.8295
4.310000 88.191 -123.3831
4.370000 88.273 -123.9186
4.440000 88.364 -124.5578
4.500000 88.439 -125.0961
4.550000 88.500 -125.5364
4.620000 88.582 -126.1669
4.680000 88.650 -126.6940
4.750000 88.727 -127.2806
4.820000 88.801 -127.8723
4.870000 88.852 -128.2910
4.940000 88.921 -128.8616
5.000000 88.978 -129.3512
5.080000 89.052 -129.9893
5.150000 89.114 -130.5186
5.220000 89.174 -131.0512
5.300000 89.240 -131.6474
5.380000 89.304 -132.2220
5.450000 89.358 -132.7274
5.520000 89.411 -133.2072
5.600000 89.470 -133.7469
5.700000 89.540 -134.4160
5.800000 89.608 -135.0578
5.900000 89.675 -135.6865
6.000000 89.739 -136.2920
6.080000 89.790 -136.7753
6.150000 89.833 -137.1785
6.220000 89.876 -137.5862
6.300000 89.924 -138.0382
6.400000 89.983 -138.5891
6.500000 90.041 -139.1366
6.600000 90.099 -139.6661
6.700000 90.155 -140.1920
6.800000 90.211 -140.7042
6.900000 90.266 -141.2153
7.000000 90.320 -141.7139
7.100000 90.374 -142.2131
7.200000 90.428 -142.7025
7.300000 90.481 -143.1930
7.400000 90.533 -143.6753
7.500000 90.584 -144.1612
7.620000 90.644 -144.7387
7.750000 90.708 -145.3604
7.880000 90.770 -145.9923
8.000000 90.825 -146.5661
8.120000 90.878 -147.1391
8.250000 90.933 -147.7587
8.380000 90.985 -148.3711
8.500000 91.032 -148.9375
8.620000 91.076 -149.4993
8.750000 91.122 -150.1015
8.850000 91.155 -150.5615
9.000000 91.200 -151.2372
9.120000 91.234 -151.7691
9.250000 91.269 -152.3306
9.380000 91.302 -152.8741
9.500000 91.331 -153.3691
9.620000 91.359 -153.8470
9.750000 91.386 -154.3512
9.880000 91.409 -154.8422
10.000000 91.424 -155.2742
10.150000 91.435 -155.8395
10.300000 91.443 -156.3757
10.440000 91.446 -156.8514
10.600000 91.449 -157.3719
10.750000 91.451 -157.8419
10.900000 91.454 -158.2972
11.060000 91.458 -158.8025
11.200000 91.463 -159.2812
11.380000 91.469 -159.8853
11.500000 91.470 -160.2814
11.720000 91.470 -160.9881
11.800000 91.468 -161.2376
12.060000 91.458 -162.0399
12.200000 91.451 -162.4902
12.410000 91.442 -163.1275
12.500000 91.440 -163.3851
12.650000 91.442 -163.7940
12.800000 91.446 -164.1788
13.150000 91.463 -165.0490
13.200000 91.466 -165.1763
13.400000 91.481 -165.6726
13.600000 91.497 -166.1556
13.800000 91.514 -166.6326
14.000000 91.532 -167.1129
14.300000 91.556 -167.9057
14.500000 91.570 -168.4334
14.750000 91.582 -169.0797
15.000000 91.588 -169.7048
15.250000 91.592 -170.3568
15.500000 91.593 -170.9739
15.750000 91.592 -171.5525
16.000000 91.591 -172.0960
16.250000 91.592 -172.6495
16.500000 91.595 -173.1757
16.750000 91.598 -173.6765
17.000000 91.601 -174.1587
17.250000 91.605 -174.6546
17.500000 91.611 -175.1392
17.750000 91.616 -175.6138
18.000000 91.622 -176.0864
18.250000 91.629 -176.5866
18.500000 91.634 -177.0883
18.750000 91.636 -177.5853
19.000000 91.636 -178.0732
19.250000 91.633 -178.5685
19.500000 91.628 -179.0434
19.750000 91.621 -179.4945
20.000000 91.615 -179.9229
20.299999 91.608 179.5555
20.600000 91.604 179.0509
20.900000 91.600 178.5537
21.200001 91.596 178.0388
21.400000 91.593 177.6897
21.799999 91.584 177.0007
22.000000 91.577 176.6636
22.400000 91.561 175.9910
22.700001 91.548 175.5134
23.000000 91.535 175.0565
23.299999 91.523 174.5999
23.600000 91.513 174.1529
24.000000 91.500 173.5637
24.299999 91.490 173.1060
24.700001 91.476 172.4990
25.000000 91.463 172.0536
25.400000 91.443 171.4669
25.799999 91.423 170.9149
26.200001 91.405 170.3814
26.500000 91.393 169.9825
26.900000 91.380 169.4501
27.200001 91.370 169.0378
27.600000 91.354 168.4755
28.000000 91.334 167.9170
28.500000 91.303 167.2374
29.000000 91.271 166.6136
29.500000 91.244 166.0146
30.000000 91.221 165.4123
30.400000 91.203 164.9025
30.700001 91.188 164.5121
31.100000 91.163 163.9919
31.500000 91.134 163.4829
32.000000 91.097 162.8953
32.500000 91.064 162.3361
33.000000 91.034 161.7856
33.500000 91.005 161.2193
34.000000 90.974 160.6509
34.500000 90.941 160.0876
35.000000 90.907 159.5442
35.500000 90.874 159.0094
36.000000 90.840 158.4858
36.500000 90.806 157.9695
37.000000 90.774 157.4641
37.500000 90.741 156.9542
38.200001 90.692 156.2353
38.700001 90.653 155.7392
39.500000 90.594 154.9944
40.000000 90.561 154.5190
40.599998 90.517 153.9123
41.200001 90.463 153.3279
41.799999 90.407 152.8188
42.500000 90.354 152.2611
43.099998 90.315 151.7343
43.700001 90.271 151.1681
44.400002 90.211 150.5271
45.000000 90.160 150.0070
45.500000 90.119 149.5719
46.200001 90.057 148.9731
46.799999 90.003 148.4973
47.500000 89.947 147.9702
48.200001 89.895 147.4184
48.700001 89.857 147.0024
49.400002 89.797 146.4238
50.000000 89.741 145.9597
50.799999 89.668 145.3934
51.500000 89.608 144.9222
52.200001 89.551 144.4362
53.000000 89.480 143.8595
53.799999 89.402 143.3183
54.500000 89.338 142.8869
55.200001 89.280 142.4453
56.000000 89.213 141.9011
57.000000 89.124 141.2213
58.000000 89.037 140.5780
59.000000 88.949 139.9402
60.000000 88.860 139.3238
60.799999 88.790 138.8389
61.500000 88.728 138.4138
62.200001 88.666 137.9875
63.000000 88.593 137.5023
64.000000 88.499 136.9000
65.000000 88.409 136.3378
66.000000 88.325 135.7435
67.000000 88.233 135.1175
68.000000 88.131 134.5722
69.000000 88.035 134.1311
70.000000 87.945 133.6966
71.000000 87.853 133.2490
72.000000 87.757 132.8136
73.000000 87.662 132.3961
74.000000 87.569 131.9630
75.000000 87.478 131.5070
76.199997 87.368 130.9517
77.500000 87.249 130.3699
78.800003 87.125 129.8411
80.000000 87.014 129.4249
81.199997 86.905 129.0154
82.500000 86.786 128.5296
83.800003 86.659 128.0044
85.000000 86.534 127.5504
86.199997 86.415 127.1389
87.500000 86.298 126.7133
88.500000 86.213 126.3576
90.000000 86.078 125.8450
91.199997 85.970 125.4822
92.500000 85.850 125.1110
93.800003 85.725 124.7856
95.000000 85.610 124.4982
96.199997 85.495 124.2038
97.500000 85.371 123.8788
98.800003 85.247 123.5375
100.000000 85.133 123.2303
101.500000 84.994 122.8767
103.000000 84.853 122.5761
104.400002 84.726 122.3613
106.000000 84.583 122.1133
107.500000 84.450 121.9020
109.000000 84.325 121.6780
110.599998 84.189 121.4111
112.000000 84.059 121.1940
113.800003 83.883 121.0643
115.000000 83.775 120.9589
117.199997 83.564 120.5099
118.000000 83.483 120.3449
120.599998 83.237 119.9941
122.000000 83.129 119.9127
124.099998 82.964 119.7784
125.000000 82.886 119.7544
126.500000 82.753 119.7450
128.000000 82.623 119.7215
131.500000 82.326 119.5346
132.000000 82.284 119.5177
134.000000 82.113 119.5161
136.000000 81.946 119.5540
138.000000 81.781 119.5857
140.000000 81.623 119.6120
143.000000 81.387 119.6742
145.000000 81.225 119.7652
147.500000 81.021 119.9376
150.000000 80.825 120.1211
152.500000 80.631 120.3175
155.000000 80.444 120.6143
157.500000 80.262 120.9596
160.000000 80.072 121.3675
162.500000 79.865 121.7784
165.000000 79.653 122.2404
167.500000 79.459 122.7247
170.000000 79.289 123.2707
172.500000 79.135 123.8038
175.000000 78.984 124.2751
177.500000 78.833 124.6221
180.000000 78.672 124.9211
182.500000 78.503 125.3273
185.000000 78.337 125.8044
187.500000 78.176 126.2801
190.000000 78.024 126.7917
192.500000 77.876 127.3479
195.000000 77.720 127.9780
197.500000 77.563 128.6281
200.000000 77.409 129.2302
203.000000 77.246 130.0884
206.000000 77.112 130.9843
209.000000 76.978 131.8437
212.000000 76.836 132.6846
214.000000 76.743 133.2065
218.000000 76.581 134.2823
220.000000 76.510 134.8649
224.000000 76.370 136.0905
227.000000 76.271 136.9951
230.000000 76.181 137.8882
233.000000 76.093 138.7921
236.000000 76.006 139.7029
240.000000 75.902 140.9113
243.000000 75.830 141.8080
247.000000 75.740 143.0092
250.000000 75.680 143.9055
254.000000 75.605 145.0793
258.000000 75.536 146.2186
262.000000 75.474 147.3447
265.000000 75.433 148.1764
269.000000 75.382 149.2830
272.000000 75.349 150.0878
276.000000 75.315 151.1280
280.000000 75.287 152.1572
285.000000 75.257 153.3909
290.000000 75.234 154.5827
295.000000 75.218 155.7198
300.000000 75.208 156.7922
304.000000 75.199 157.6295
307.000000 75.194 158.2682
311.000000 75.190 159.0997
315.000000 75.189 159.8902
320.000000 75.191 160.8484
325.000000 75.196 161.7930
330.000000 75.206 162.7044
