* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:36:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ap52 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.519 -92.5945
1.015000 77.769 -93.1537
1.030000 78.014 -93.7047
1.044000 78.239 -94.2129
1.060000 78.492 -94.7882
1.075000 78.724 -95.3237
1.090000 78.950 -95.8559
1.106000 79.188 -96.4166
1.120000 79.394 -96.8938
1.138000 79.659 -97.4842
1.150000 79.834 -97.8635
1.172000 80.154 -98.5325
1.180000 80.270 -98.7685
1.206000 80.642 -99.5072
1.220000 80.839 -99.8882
1.241000 81.130 -100.4398
1.250000 81.252 -100.6695
1.265000 81.453 -101.0438
1.280000 81.650 -101.4084
1.315000 82.092 -102.2256
1.320000 82.153 -102.3389
1.340000 82.390 -102.7847
1.360000 82.616 -103.2200
1.380000 82.831 -103.6353
1.400000 83.033 -104.0387
1.430000 83.310 -104.6315
1.450000 83.476 -105.0196
1.475000 83.660 -105.4923
1.500000 83.814 -105.9375
1.525000 83.940 -106.3515
1.550000 84.041 -106.7385
1.575000 84.119 -107.0981
1.600000 84.179 -107.4307
1.625000 84.224 -107.7494
1.650000 84.257 -108.0581
1.675000 84.282 -108.3601
1.700000 84.303 -108.6584
1.725000 84.322 -108.9559
1.750000 84.344 -109.2550
1.775000 84.371 -109.5623
1.800000 84.408 -109.8836
1.825000 84.455 -110.2108
1.850000 84.512 -110.5391
1.875000 84.571 -110.8602
1.900000 84.631 -111.1716
1.925000 84.691 -111.4732
1.950000 84.751 -111.7657
1.975000 84.811 -112.0537
2.000000 84.871 -112.3415
2.030000 84.943 -112.6782
2.060000 85.015 -113.0074
2.090000 85.086 -113.3310
2.120000 85.157 -113.6509
2.140000 85.204 -113.8629
2.180000 85.298 -114.2931
2.200000 85.344 -114.5145
2.240000 85.437 -114.9510
2.270000 85.505 -115.2695
2.300000 85.574 -115.5798
2.330000 85.642 -115.8820
2.360000 85.710 -116.1767
2.400000 85.800 -116.5801
2.430000 85.867 -116.8786
2.470000 85.956 -117.2686
2.500000 86.022 -117.5564
2.540000 86.109 -117.9357
2.580000 86.195 -118.3237
2.620000 86.281 -118.7318
2.650000 86.344 -119.0324
2.690000 86.429 -119.4255
2.720000 86.492 -119.7144
2.760000 86.574 -120.0900
2.800000 86.656 -120.4852
2.850000 86.757 -120.9715
2.900000 86.855 -121.4460
2.950000 86.952 -121.9120
3.000000 87.046 -122.3987
3.040000 87.119 -122.7927
3.070000 87.174 -123.0842
3.110000 87.246 -123.4663
3.150000 87.316 -123.8402
3.200000 87.403 -124.3184
3.250000 87.488 -124.7935
3.300000 87.571 -125.2562
3.350000 87.653 -125.7108
3.400000 87.733 -126.1847
3.450000 87.811 -126.6611
3.500000 87.888 -127.1270
3.550000 87.963 -127.5793
3.600000 88.037 -128.0444
3.650000 88.109 -128.5069
3.700000 88.180 -128.9601
3.750000 88.249 -129.4092
3.820000 88.343 -130.0666
3.870000 88.408 -130.5336
3.950000 88.510 -131.2541
4.000000 88.571 -131.7097
4.060000 88.643 -132.2533
4.120000 88.713 -132.7882
4.180000 88.781 -133.3232
4.250000 88.858 -133.9686
4.310000 88.921 -134.5018
4.370000 88.983 -135.0193
4.440000 89.052 -135.6394
4.500000 89.109 -136.1624
4.550000 89.156 -136.5907
4.620000 89.218 -137.2068
4.680000 89.270 -137.7241
4.750000 89.329 -138.3029
4.820000 89.386 -138.8895
4.870000 89.425 -139.3056
4.940000 89.479 -139.8748
5.000000 89.523 -140.3658
5.080000 89.580 -141.0107
5.150000 89.629 -141.5509
5.220000 89.676 -142.0976
5.300000 89.728 -142.7136
5.380000 89.778 -143.3137
5.450000 89.821 -143.8473
5.520000 89.863 -144.3611
5.600000 89.909 -144.9457
5.700000 89.965 -145.6795
5.800000 90.020 -146.3981
5.900000 90.072 -147.1176
6.000000 90.122 -147.8276
6.080000 90.161 -148.4034
6.150000 90.194 -148.8936
6.220000 90.225 -149.3944
6.300000 90.259 -149.9618
6.400000 90.299 -150.6697
6.500000 90.336 -151.3826
6.600000 90.369 -152.0820
6.700000 90.398 -152.7864
6.800000 90.423 -153.4836
6.900000 90.443 -154.1741
7.000000 90.458 -154.8410
7.100000 90.468 -155.5034
7.200000 90.474 -156.1436
7.300000 90.475 -156.7576
7.400000 90.470 -157.3322
7.500000 90.461 -157.8834
7.620000 90.446 -158.4916
7.750000 90.426 -159.0683
7.880000 90.401 -159.5748
8.000000 90.379 -159.9633
8.120000 90.359 -160.2768
8.250000 90.341 -160.5318
8.380000 90.331 -160.7167
8.500000 90.332 -160.8423
8.620000 90.343 -160.9211
8.750000 90.367 -160.9904
8.850000 90.393 -161.0516
9.000000 90.447 -161.1480
9.120000 90.500 -161.2655
9.250000 90.566 -161.4531
9.380000 90.638 -161.6980
9.500000 90.706 -161.9945
9.620000 90.773 -162.3575
9.750000 90.842 -162.8212
9.880000 90.899 -163.3432
10.000000 90.937 -163.8638
10.150000 90.966 -164.6018
10.300000 90.975 -165.3351
10.440000 90.965 -166.0046
10.600000 90.936 -166.7197
10.750000 90.896 -167.3125
10.900000 90.847 -167.8256
11.060000 90.791 -168.2972
11.200000 90.743 -168.6638
11.380000 90.685 -169.0288
11.500000 90.650 -169.2107
11.720000 90.600 -169.4590
11.800000 90.586 -169.5338
12.060000 90.558 -169.7816
12.200000 90.552 -169.9750
12.410000 90.554 -170.2997
12.500000 90.558 -170.4548
12.650000 90.569 -170.7347
12.800000 90.581 -171.0338
13.150000 90.602 -171.8263
13.200000 90.604 -171.9501
13.400000 90.608 -172.4393
13.600000 90.609 -172.9144
13.800000 90.606 -173.3730
14.000000 90.601 -173.8243
14.300000 90.588 -174.5531
14.500000 90.573 -175.0220
14.750000 90.545 -175.5586
15.000000 90.508 -176.0082
15.250000 90.468 -176.3880
15.500000 90.435 -176.6295
15.750000 90.419 -176.7560
16.000000 90.429 -176.8364
16.250000 90.467 -177.0077
16.500000 90.524 -177.3069
16.750000 90.581 -177.7769
17.000000 90.621 -178.3973
17.250000 90.631 -179.1201
17.500000 90.605 -179.8034
17.750000 90.550 179.6772
18.000000 90.481 179.3974
18.250000 90.420 179.3521
18.500000 90.388 179.5040
18.750000 90.396 179.7288
19.000000 90.442 179.8785
19.250000 90.511 179.8055
19.500000 90.583 179.4885
19.750000 90.635 178.9545
20.000000 90.654 178.2914
20.299999 90.626 177.4562
20.600000 90.554 176.7785
20.900000 90.461 176.3582
21.200001 90.375 176.1666
21.400000 90.329 176.1228
21.799999 90.271 176.0973
22.000000 90.255 176.0636
22.400000 90.232 175.9067
22.700001 90.221 175.7730
23.000000 90.223 175.6470
23.299999 90.252 175.4656
23.600000 90.311 175.1323
24.000000 90.418 174.2412
24.299999 90.485 173.1653
24.700001 90.503 171.3828
25.000000 90.446 170.0475
25.400000 90.297 168.6773
25.799999 90.144 168.0308
26.200001 90.080 167.8528
26.500000 90.106 167.6434
26.900000 90.182 166.8587
27.200001 90.206 165.8801
27.600000 90.128 164.4850
28.000000 89.931 163.6923
28.500000 89.689 164.2118
29.000000 89.682 165.6556
29.500000 89.881 166.1902
30.000000 90.008 165.3879
30.400000 89.943 164.6674
30.700001 89.828 164.6573
31.100000 89.712 165.5589
31.500000 89.767 166.9122
32.000000 90.056 167.5764
32.500000 90.309 166.3454
33.000000 90.299 164.3578
33.500000 90.078 163.2823
34.000000 89.906 163.5949
34.500000 89.952 164.0265
35.000000 90.081 163.2506
35.500000 90.063 161.5368
36.000000 89.844 160.2209
36.500000 89.589 160.2136
37.000000 89.500 161.0608
37.500000 89.588 161.4751
38.200001 89.710 160.5148
38.700001 89.676 159.5375
39.500000 89.552 158.7415
40.000000 89.509 158.5004
40.599998 89.471 158.1708
41.200001 89.443 157.9167
41.799999 89.467 157.5560
42.500000 89.506 156.3817
43.099998 89.422 154.9940
43.700001 89.226 154.1508
44.400002 89.032 154.2897
45.000000 88.992 154.6631
45.500000 89.007 154.7133
46.200001 89.024 154.5242
46.799999 89.045 154.3525
47.500000 89.096 153.9303
48.200001 89.108 153.1228
48.700001 89.060 152.5558
49.400002 88.950 152.1680
50.000000 88.875 152.2018
50.799999 88.839 152.2535
51.500000 88.826 151.9890
52.200001 88.790 151.5148
53.000000 88.720 150.9816
53.799999 88.651 150.5291
54.500000 88.601 150.1332
55.200001 88.554 149.7577
56.000000 88.517 149.3741
57.000000 88.490 148.7887
58.000000 88.436 148.2199
59.000000 88.379 147.8832
60.000000 88.332 147.5837
60.799999 88.295 147.3558
61.500000 88.270 147.0812
62.200001 88.235 146.6853
63.000000 88.170 146.2495
64.000000 88.099 145.8557
65.000000 88.056 145.3269
66.000000 87.991 144.6613
67.000000 87.912 144.2238
68.000000 87.861 143.9294
69.000000 87.819 143.5538
70.000000 87.762 143.2268
71.000000 87.708 142.9744
72.000000 87.656 142.7245
73.000000 87.610 142.4432
74.000000 87.557 142.0802
75.000000 87.499 141.7745
76.199997 87.449 141.3550
77.500000 87.381 140.7365
78.800003 87.281 140.2360
80.000000 87.200 139.9842
81.199997 87.131 139.6676
82.500000 87.053 139.3983
83.800003 86.989 139.0381
85.000000 86.912 138.7060
86.199997 86.841 138.4542
87.500000 86.773 138.1470
88.500000 86.721 137.8710
90.000000 86.651 137.5042
91.199997 86.613 137.0717
92.500000 86.547 136.5271
93.800003 86.476 136.2195
95.000000 86.430 135.9532
96.199997 86.373 135.6728
97.500000 86.309 135.4734
98.800003 86.244 135.2209
100.000000 86.173 134.9967
101.500000 86.093 134.7859
103.000000 86.031 134.4712
104.400002 85.969 134.0643
106.000000 85.885 133.6307
107.500000 85.808 133.4120
109.000000 85.756 133.2052
110.599998 85.689 132.8685
112.000000 85.616 132.6661
113.800003 85.534 132.4969
115.000000 85.489 132.3224
117.199997 85.402 131.8493
118.000000 85.369 131.6819
120.599998 85.264 131.1914
122.000000 85.206 130.9819
124.099998 85.122 130.7275
125.000000 85.088 130.6275
126.500000 85.033 130.4470
128.000000 84.979 130.2625
131.500000 84.859 129.8848
132.000000 84.841 129.8243
134.000000 84.763 129.5500
136.000000 84.680 129.2366
138.000000 84.606 128.9339
140.000000 84.545 128.6728
143.000000 84.455 128.3996
145.000000 84.388 128.2544
147.500000 84.305 128.0446
150.000000 84.234 127.7997
152.500000 84.168 127.5750
155.000000 84.102 127.3457
157.500000 84.033 127.0752
160.000000 83.966 126.7751
162.500000 83.891 126.4554
165.000000 83.806 126.1995
167.500000 83.725 126.0274
170.000000 83.649 125.8110
172.500000 83.563 125.5195
175.000000 83.472 125.2714
177.500000 83.388 125.0615
180.000000 83.312 124.8879
182.500000 83.237 124.7059
185.000000 83.159 124.4999
187.500000 83.080 124.2916
190.000000 83.006 124.1179
192.500000 82.937 123.9615
195.000000 82.869 123.7777
197.500000 82.801 123.5941
200.000000 82.736 123.4161
203.000000 82.665 123.2090
206.000000 82.601 122.9774
209.000000 82.543 122.8429
212.000000 82.479 122.7747
214.000000 82.429 122.6979
218.000000 82.334 122.4722
220.000000 82.297 122.3295
224.000000 82.228 122.0340
227.000000 82.184 121.8706
230.000000 82.139 121.7260
233.000000 82.079 121.6223
236.000000 82.023 121.5811
240.000000 81.961 121.5311
243.000000 81.903 121.4635
247.000000 81.828 121.3724
250.000000 81.778 121.2997
254.000000 81.714 121.2421
258.000000 81.657 121.1557
262.000000 81.602 121.1245
265.000000 81.559 121.1512
269.000000 81.508 121.2137
272.000000 81.481 121.2831
276.000000 81.469 121.3781
280.000000 81.490 121.4192
285.000000 81.530 121.2908
290.000000 81.539 120.8089
295.000000 81.540 120.2753
300.000000 81.517 119.7056
304.000000 81.487 119.2593
307.000000 81.460 118.9697
311.000000 81.419 118.5812
315.000000 81.381 118.2293
320.000000 81.338 117.8576
325.000000 81.294 117.5048
330.000000 81.252 117.1884
