* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ap52 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.563 -96.8216
1.015000 72.143 -97.6276
1.030000 72.703 -98.4064
1.044000 73.206 -99.1129
1.060000 73.752 -99.9005
1.075000 74.232 -100.6229
1.090000 74.680 -101.3302
1.106000 75.125 -102.0561
1.120000 75.499 -102.6456
1.138000 75.967 -103.3315
1.150000 76.271 -103.7474
1.172000 76.813 -104.4376
1.180000 77.006 -104.6692
1.206000 77.613 -105.3588
1.220000 77.929 -105.6964
1.241000 78.389 -106.1676
1.250000 78.580 -106.3588
1.265000 78.892 -106.6657
1.280000 79.195 -106.9603
1.315000 79.869 -107.6141
1.320000 79.962 -107.7049
1.340000 80.322 -108.0642
1.360000 80.667 -108.4208
1.380000 80.996 -108.7672
1.400000 81.311 -109.1129
1.430000 81.756 -109.6432
1.450000 82.033 -110.0062
1.475000 82.355 -110.4593
1.500000 82.641 -110.8791
1.525000 82.890 -111.2561
1.550000 83.104 -111.5978
1.575000 83.289 -111.9077
1.600000 83.448 -112.1895
1.625000 83.586 -112.4589
1.650000 83.707 -112.7219
1.675000 83.815 -112.9836
1.700000 83.914 -113.2486
1.725000 84.009 -113.5209
1.750000 84.104 -113.8037
1.775000 84.203 -114.1044
1.800000 84.310 -114.4291
1.825000 84.428 -114.7694
1.850000 84.553 -115.1164
1.875000 84.678 -115.4564
1.900000 84.799 -115.7851
1.925000 84.917 -116.1027
1.950000 85.031 -116.4102
1.975000 85.143 -116.7128
2.000000 85.252 -117.0157
2.030000 85.379 -117.3715
2.060000 85.503 -117.7222
2.090000 85.624 -118.0706
2.120000 85.742 -118.4196
2.140000 85.820 -118.6540
2.180000 85.973 -119.1373
2.200000 86.048 -119.3896
2.240000 86.195 -119.8951
2.270000 86.302 -120.2698
2.300000 86.405 -120.6382
2.330000 86.506 -120.9997
2.360000 86.604 -121.3540
2.400000 86.731 -121.8368
2.430000 86.823 -122.1942
2.470000 86.944 -122.6618
2.500000 87.032 -123.0073
2.540000 87.147 -123.4634
2.580000 87.259 -123.9305
2.620000 87.367 -124.4247
2.650000 87.446 -124.7943
2.690000 87.548 -125.2825
2.720000 87.622 -125.6432
2.760000 87.718 -126.1132
2.800000 87.811 -126.5991
2.850000 87.923 -127.1911
2.900000 88.030 -127.7609
2.950000 88.132 -128.3150
3.000000 88.229 -128.8930
3.040000 88.303 -129.3634
3.070000 88.357 -129.7127
3.110000 88.426 -130.1704
3.150000 88.492 -130.6160
3.200000 88.571 -131.1752
3.250000 88.647 -131.7186
3.300000 88.721 -132.2366
3.350000 88.790 -132.7409
3.400000 88.857 -133.2644
3.450000 88.919 -133.7888
3.500000 88.978 -134.2976
3.550000 89.035 -134.7846
3.600000 89.089 -135.2727
3.650000 89.142 -135.7449
3.700000 89.192 -136.1962
3.750000 89.240 -136.6370
3.820000 89.303 -137.2743
3.870000 89.346 -137.7203
3.950000 89.410 -138.3928
4.000000 89.449 -138.8073
4.060000 89.495 -139.2893
4.120000 89.538 -139.7507
4.180000 89.579 -140.2034
4.250000 89.626 -140.7448
4.310000 89.664 -141.1835
4.370000 89.701 -141.6022
4.440000 89.744 -142.0993
4.500000 89.780 -142.5085
4.550000 89.809 -142.8378
4.620000 89.848 -143.3123
4.680000 89.882 -143.7093
4.750000 89.920 -144.1513
4.820000 89.958 -144.6031
4.870000 89.985 -144.9221
4.940000 90.022 -145.3549
5.000000 90.053 -145.7314
5.080000 90.093 -146.2310
5.150000 90.128 -146.6529
5.220000 90.162 -147.0880
5.300000 90.199 -147.5821
5.380000 90.235 -148.0655
5.450000 90.265 -148.5014
5.520000 90.294 -148.9227
5.600000 90.325 -149.4088
5.700000 90.362 -150.0258
5.800000 90.395 -150.6259
5.900000 90.424 -151.2200
6.000000 90.451 -151.8015
6.080000 90.469 -152.2695
6.150000 90.484 -152.6575
6.220000 90.498 -153.0455
6.300000 90.511 -153.4704
6.400000 90.526 -153.9827
6.500000 90.539 -154.4819
6.600000 90.552 -154.9465
6.700000 90.564 -155.3893
6.800000 90.575 -155.8032
6.900000 90.588 -156.2021
7.000000 90.602 -156.5730
7.100000 90.619 -156.9276
7.200000 90.637 -157.2605
7.300000 90.658 -157.5896
7.400000 90.681 -157.9060
7.500000 90.708 -158.2203
7.620000 90.742 -158.5941
7.750000 90.783 -159.0096
7.880000 90.828 -159.4477
8.000000 90.871 -159.8590
8.120000 90.913 -160.2925
8.250000 90.959 -160.7845
8.380000 91.004 -161.2918
8.500000 91.042 -161.7826
8.620000 91.078 -162.2875
8.750000 91.114 -162.8426
8.850000 91.137 -163.2741
9.000000 91.165 -163.9187
9.120000 91.184 -164.4285
9.250000 91.199 -164.9632
9.380000 91.210 -165.4764
9.500000 91.217 -165.9351
9.620000 91.222 -166.3654
9.750000 91.224 -166.8057
9.880000 91.220 -167.2179
10.000000 91.210 -167.5622
10.150000 91.191 -167.9995
10.300000 91.169 -168.3894
10.440000 91.148 -168.7127
10.600000 91.124 -169.0465
10.750000 91.104 -169.3340
10.900000 91.088 -169.6036
11.060000 91.076 -169.9157
11.200000 91.069 -170.2323
11.380000 91.062 -170.6450
11.500000 91.056 -170.9268
11.720000 91.043 -171.4542
11.800000 91.037 -171.6490
12.060000 91.010 -172.3083
12.200000 90.992 -172.6998
12.410000 90.961 -173.2643
12.500000 90.949 -173.4925
12.650000 90.930 -173.8524
12.800000 90.912 -174.1826
13.150000 90.872 -174.8811
13.200000 90.867 -174.9779
13.400000 90.848 -175.3361
13.600000 90.835 -175.6625
13.800000 90.826 -175.9724
14.000000 90.822 -176.2896
14.300000 90.823 -176.8678
14.500000 90.823 -177.2849
14.750000 90.818 -177.8304
15.000000 90.806 -178.3869
15.250000 90.786 -178.9811
15.500000 90.758 -179.5274
15.750000 90.727 179.9961
16.000000 90.697 179.5945
16.250000 90.676 179.2153
16.500000 90.664 178.8785
16.750000 90.660 178.5582
17.000000 90.664 178.2267
17.250000 90.672 177.8414
17.500000 90.679 177.4283
17.750000 90.684 177.0009
18.000000 90.684 176.5715
18.250000 90.680 176.1314
18.500000 90.673 175.7211
18.750000 90.665 175.3503
19.000000 90.657 175.0165
19.250000 90.652 174.6862
19.500000 90.650 174.3688
19.750000 90.650 174.0523
20.000000 90.650 173.7281
20.299999 90.648 173.2966
20.600000 90.641 172.8648
20.900000 90.628 172.4516
21.200001 90.609 172.0552
21.400000 90.595 171.8088
21.799999 90.568 171.3708
22.000000 90.555 171.1706
22.400000 90.534 170.7630
22.700001 90.519 170.4614
23.000000 90.505 170.1597
23.299999 90.490 169.8444
23.600000 90.475 169.5327
24.000000 90.457 169.1161
24.299999 90.445 168.7753
24.700001 90.427 168.2979
25.000000 90.410 167.9335
25.400000 90.379 167.4550
25.799999 90.345 167.0390
26.200001 90.316 166.6740
26.500000 90.301 166.4060
26.900000 90.288 166.0238
27.200001 90.279 165.6967
27.600000 90.260 165.2280
28.000000 90.230 164.7808
28.500000 90.188 164.3080
29.000000 90.156 163.9297
29.500000 90.140 163.5211
30.000000 90.125 163.0199
30.400000 90.103 162.5696
30.700001 90.079 162.2437
31.100000 90.040 161.8568
31.500000 90.000 161.5285
32.000000 89.958 161.1886
32.500000 89.928 160.8523
33.000000 89.905 160.4787
33.500000 89.882 160.0437
34.000000 89.852 159.5721
34.500000 89.813 159.1001
35.000000 89.768 158.6838
35.500000 89.726 158.3278
36.000000 89.693 158.0031
36.500000 89.667 157.6545
37.000000 89.642 157.2668
37.500000 89.613 156.8502
38.200001 89.563 156.2803
38.700001 89.523 155.9055
39.500000 89.459 155.3716
40.000000 89.420 155.0699
40.599998 89.376 154.7229
41.200001 89.337 154.3767
41.799999 89.298 154.0107
42.500000 89.249 153.5707
43.099998 89.205 153.2212
43.700001 89.167 152.8864
44.400002 89.129 152.4399
45.000000 89.092 151.9989
45.500000 89.053 151.6322
46.200001 88.995 151.1933
46.799999 88.953 150.8640
47.500000 88.913 150.4479
48.200001 88.870 149.9846
48.700001 88.835 149.6580
49.400002 88.783 149.2378
50.000000 88.738 148.9136
50.799999 88.682 148.5294
51.500000 88.639 148.2102
52.200001 88.600 147.8496
53.000000 88.543 147.4119
53.799999 88.482 147.0416
54.500000 88.435 146.7333
55.200001 88.388 146.3773
56.000000 88.325 145.9899
57.000000 88.255 145.5936
58.000000 88.197 145.1379
59.000000 88.131 144.6451
60.000000 88.061 144.1741
60.799999 88.002 143.8158
61.500000 87.949 143.5375
62.200001 87.900 143.2842
63.000000 87.850 143.0031
64.000000 87.793 142.6143
65.000000 87.737 142.1915
66.000000 87.677 141.7762
67.000000 87.620 141.4038
68.000000 87.564 141.0379
69.000000 87.507 140.7016
70.000000 87.450 140.3783
71.000000 87.388 140.0451
72.000000 87.322 139.7249
73.000000 87.254 139.4236
74.000000 87.189 139.1017
75.000000 87.123 138.7621
76.199997 87.043 138.3842
77.500000 86.965 138.0181
78.800003 86.892 137.6420
80.000000 86.823 137.3075
81.199997 86.752 137.0035
82.500000 86.679 136.6726
83.800003 86.604 136.3021
85.000000 86.533 135.9721
86.199997 86.465 135.6225
87.500000 86.388 135.2711
88.500000 86.332 135.0364
90.000000 86.249 134.6790
91.199997 86.184 134.4400
92.500000 86.119 134.1718
93.800003 86.055 133.9067
95.000000 85.999 133.6454
96.199997 85.941 133.3658
97.500000 85.879 133.0913
98.800003 85.821 132.8022
100.000000 85.763 132.5029
101.500000 85.684 132.1845
103.000000 85.606 131.9361
104.400002 85.539 131.7164
106.000000 85.464 131.4272
107.500000 85.392 131.1449
109.000000 85.320 130.8882
110.599998 85.246 130.6091
112.000000 85.180 130.3661
113.800003 85.095 130.0869
115.000000 85.038 129.8939
117.199997 84.934 129.5408
118.000000 84.898 129.4031
120.599998 84.779 128.9762
122.000000 84.719 128.7924
124.099998 84.634 128.5115
125.000000 84.599 128.3935
126.500000 84.543 128.1874
128.000000 84.489 127.9686
131.500000 84.350 127.4764
132.000000 84.328 127.4315
134.000000 84.247 127.3292
136.000000 84.184 127.1648
138.000000 84.119 126.8676
140.000000 84.042 126.5786
143.000000 83.944 126.3159
145.000000 83.885 126.0730
147.500000 83.804 125.7946
150.000000 83.722 125.5850
152.500000 83.642 125.4506
155.000000 83.558 125.2773
157.500000 83.478 125.0519
160.000000 83.398 124.7922
162.500000 83.309 124.6266
165.000000 83.219 124.4789
167.500000 83.129 124.2616
170.000000 83.040 124.0265
172.500000 82.950 123.8574
175.000000 82.863 123.7177
177.500000 82.775 123.5642
180.000000 82.687 123.4368
182.500000 82.599 123.3555
185.000000 82.517 123.3264
187.500000 82.436 123.3138
190.000000 82.354 123.3442
192.500000 82.281 123.4141
195.000000 82.224 123.4979
197.500000 82.177 123.6698
200.000000 82.133 123.9445
203.000000 82.102 124.2192
206.000000 82.110 124.1688
209.000000 82.131 123.9003
212.000000 82.143 123.4882
214.000000 82.135 123.0916
218.000000 82.087 122.3083
220.000000 82.057 122.0118
224.000000 81.987 121.5175
227.000000 81.929 121.1960
230.000000 81.874 120.9305
233.000000 81.821 120.6843
236.000000 81.774 120.4576
240.000000 81.714 120.1403
243.000000 81.662 119.9893
247.000000 81.599 119.7982
250.000000 81.556 119.6267
254.000000 81.498 119.3739
258.000000 81.437 119.0930
262.000000 81.377 118.8542
265.000000 81.334 118.6894
269.000000 81.278 118.4720
272.000000 81.238 118.3112
276.000000 81.186 118.1096
280.000000 81.135 117.9010
285.000000 81.074 117.6500
290.000000 81.015 117.4349
295.000000 80.960 117.2246
300.000000 80.911 116.9949
304.000000 80.872 116.7886
307.000000 80.846 116.6467
311.000000 80.811 116.4532
315.000000 80.778 116.2694
320.000000 80.738 116.0425
325.000000 80.700 115.8090
330.000000 80.664 115.5711
335.000000 80.631 115.3297
