* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:07:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: astral L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.067 169.9741
1.015000 56.202 167.8950
1.030000 56.342 165.8152
1.044000 56.476 163.8691
1.060000 56.634 161.6329
1.075000 56.789 159.5189
1.090000 56.949 157.3809
1.106000 57.127 155.0647
1.120000 57.287 153.0029
1.138000 57.499 150.3118
1.150000 57.643 148.5012
1.172000 57.914 145.1682
1.180000 58.014 143.9568
1.206000 58.346 140.0437
1.220000 58.529 137.9619
1.241000 58.806 134.8865
1.250000 58.927 133.5886
1.265000 59.129 131.4556
1.280000 59.333 129.3627
1.315000 59.813 124.6446
1.320000 59.882 123.9899
1.340000 60.160 121.4191
1.360000 60.437 118.9236
1.380000 60.715 116.4999
1.400000 60.993 114.1434
1.430000 61.406 110.7227
1.450000 61.679 108.5092
1.475000 62.018 105.8076
1.500000 62.360 103.1768
1.525000 62.706 100.6212
1.550000 63.055 98.1435
1.575000 63.406 95.7433
1.600000 63.759 93.4181
1.625000 64.111 91.1639
1.650000 64.464 88.9754
1.675000 64.815 86.8465
1.700000 65.163 84.7708
1.725000 65.508 82.7415
1.750000 65.848 80.7521
1.775000 66.183 78.7957
1.800000 66.512 76.8660
1.825000 66.834 74.9577
1.850000 67.150 73.0701
1.875000 67.461 71.2089
1.900000 67.769 69.3800
1.925000 68.073 67.5873
1.950000 68.373 65.8327
1.975000 68.669 64.1172
2.000000 68.962 62.4404
2.030000 69.308 60.4779
2.060000 69.649 58.5667
2.090000 69.985 56.7026
2.120000 70.315 54.8806
2.140000 70.532 53.6869
2.180000 70.958 51.3416
2.200000 71.168 50.1869
2.240000 71.579 47.9088
2.270000 71.880 46.2301
2.300000 72.175 44.5800
2.330000 72.465 42.9600
2.360000 72.749 41.3707
2.400000 73.120 39.2988
2.430000 73.393 37.7789
2.470000 73.750 35.7945
2.500000 74.013 34.3347
2.540000 74.358 32.4215
2.580000 74.695 30.5383
2.620000 75.025 28.6786
2.650000 75.267 27.2999
2.690000 75.582 25.4867
2.720000 75.813 24.1472
2.760000 76.115 22.3895
2.800000 76.411 20.6646
2.850000 76.772 18.5532
2.900000 77.124 16.4875
2.950000 77.468 14.4576
3.000000 77.802 12.4508
3.040000 78.062 10.8624
3.070000 78.253 9.6833
3.110000 78.502 8.1296
3.150000 78.747 6.5988
3.200000 79.045 4.7184
3.250000 79.336 2.8745
3.300000 79.619 1.0621
3.350000 79.896 -0.7321
3.400000 80.164 -2.5134
3.450000 80.425 -4.2766
3.500000 80.678 -6.0154
3.550000 80.925 -7.7254
3.600000 81.165 -9.4041
3.650000 81.400 -11.0522
3.700000 81.629 -12.6798
3.750000 81.850 -14.2972
3.820000 82.150 -16.5404
3.870000 82.357 -18.1196
3.950000 82.676 -20.5923
4.000000 82.869 -22.1003
4.060000 83.094 -23.8790
4.120000 83.311 -25.6412
4.180000 83.520 -27.3875
4.250000 83.754 -29.3929
4.310000 83.949 -31.0746
4.370000 84.137 -32.7165
4.440000 84.349 -34.5903
4.500000 84.524 -36.1758
4.550000 84.664 -37.4830
4.620000 84.855 -39.2839
4.680000 85.013 -40.7933
4.750000 85.192 -42.5088
4.820000 85.364 -44.1829
4.870000 85.484 -45.3613
4.940000 85.645 -46.9868
5.000000 85.779 -48.3542
5.080000 85.953 -50.1339
5.150000 86.101 -51.6490
5.220000 86.245 -53.1320
5.300000 86.404 -54.7943
5.380000 86.558 -56.4216
5.450000 86.689 -57.8159
5.520000 86.819 -59.1828
5.600000 86.963 -60.7158
5.700000 87.138 -62.5946
5.800000 87.308 -64.4361
5.900000 87.474 -66.2450
6.000000 87.635 -68.0267
6.080000 87.760 -69.4340
6.150000 87.866 -70.6526
6.220000 87.970 -71.8608
6.300000 88.085 -73.2327
6.400000 88.224 -74.9360
6.500000 88.356 -76.6199
6.600000 88.481 -78.2801
6.700000 88.599 -79.9252
6.800000 88.709 -81.5551
6.900000 88.811 -83.1552
7.000000 88.906 -84.7195
7.100000 88.992 -86.2576
7.200000 89.071 -87.7643
7.300000 89.143 -89.2240
7.400000 89.209 -90.6337
7.500000 89.268 -92.0007
7.620000 89.333 -93.5779
7.750000 89.398 -95.1945
7.880000 89.457 -96.7208
8.000000 89.511 -98.0581
8.120000 89.565 -99.3269
8.250000 89.624 -100.6272
8.380000 89.687 -101.8720
8.500000 89.748 -102.9837
8.620000 89.814 -104.0617
8.750000 89.888 -105.2113
8.850000 89.947 -106.0939
9.000000 90.038 -107.4152
9.120000 90.110 -108.4767
9.250000 90.187 -109.6402
9.380000 90.262 -110.8152
9.500000 90.327 -111.9023
9.620000 90.386 -112.9913
9.750000 90.444 -114.1689
9.880000 90.490 -115.3276
10.000000 90.520 -116.3745
10.150000 90.542 -117.6479
10.300000 90.553 -118.8623
10.440000 90.554 -119.9379
10.600000 90.552 -121.0978
10.750000 90.549 -122.1133
10.900000 90.547 -123.0673
11.060000 90.549 -124.0297
11.200000 90.555 -124.8311
11.380000 90.569 -125.8298
11.500000 90.581 -126.4841
11.720000 90.610 -127.6775
11.800000 90.622 -128.1149
12.060000 90.660 -129.5532
12.200000 90.680 -130.3400
12.410000 90.708 -131.5311
12.500000 90.722 -132.0422
12.650000 90.746 -132.8931
12.800000 90.770 -133.7369
13.150000 90.815 -135.6580
13.200000 90.821 -135.9257
13.400000 90.840 -136.9790
13.600000 90.856 -138.0056
13.800000 90.869 -139.0076
14.000000 90.880 -139.9886
14.300000 90.890 -141.4241
14.500000 90.894 -142.3568
14.750000 90.894 -143.4913
15.000000 90.889 -144.5864
15.250000 90.882 -145.6375
15.500000 90.872 -146.6434
15.750000 90.864 -147.6065
16.000000 90.858 -148.5313
16.250000 90.856 -149.4249
16.500000 90.859 -150.2954
16.750000 90.866 -151.1539
17.000000 90.877 -152.0139
17.250000 90.892 -152.8894
17.500000 90.909 -153.7933
17.750000 90.924 -154.7317
18.000000 90.934 -155.6989
18.250000 90.935 -156.6774
18.500000 90.925 -157.6375
18.750000 90.905 -158.5456
19.000000 90.880 -159.3730
19.250000 90.853 -160.1045
19.500000 90.834 -160.7485
19.750000 90.825 -161.3327
20.000000 90.830 -161.9004
20.299999 90.850 -162.6182
20.600000 90.875 -163.4156
20.900000 90.895 -164.2878
21.200001 90.902 -165.1871
21.400000 90.898 -165.7695
21.799999 90.880 -166.8353
22.000000 90.872 -167.3162
22.400000 90.866 -168.2344
22.700001 90.870 -168.9588
23.000000 90.870 -169.7551
23.299999 90.853 -170.6010
23.600000 90.813 -171.4171
24.000000 90.728 -172.2808
24.299999 90.663 -172.6785
24.700001 90.618 -172.9422
25.000000 90.631 -173.1181
25.400000 90.701 -173.6396
25.799999 90.774 -174.6655
26.200001 90.789 -176.0677
26.500000 90.744 -177.1428
26.900000 90.623 -178.2878
27.200001 90.519 -178.8062
27.600000 90.414 -179.0988
28.000000 90.380 -179.2397
28.500000 90.410 -179.7228
29.000000 90.430 179.3129
29.500000 90.388 178.2472
30.000000 90.314 177.4843
30.400000 90.277 177.0942
30.700001 90.273 176.8130
31.100000 90.290 176.3016
31.500000 90.305 175.5755
32.000000 90.286 174.5076
32.500000 90.225 173.5416
33.000000 90.160 172.8096
33.500000 90.123 172.1632
34.000000 90.104 171.3796
34.500000 90.069 170.4251
35.000000 89.999 169.4878
35.500000 89.909 168.7727
36.000000 89.840 168.2941
36.500000 89.811 167.8566
37.000000 89.808 167.2509
37.500000 89.797 166.4460
38.200001 89.729 165.2888
38.700001 89.662 164.6535
39.500000 89.580 163.9070
40.000000 89.543 163.4399
40.599998 89.492 162.8611
41.200001 89.433 162.3820
41.799999 89.388 161.9978
42.500000 89.361 161.4572
43.099998 89.334 160.8339
43.700001 89.291 160.1462
44.400002 89.226 159.3494
45.000000 89.164 158.6777
45.500000 89.108 158.1419
46.200001 89.031 157.4534
46.799999 88.972 156.8904
47.500000 88.905 156.2393
48.200001 88.839 155.6381
48.700001 88.797 155.2365
49.400002 88.741 154.6624
50.000000 88.686 154.1704
50.799999 88.601 153.6281
51.500000 88.532 153.2774
52.200001 88.475 152.9553
53.000000 88.418 152.5337
53.799999 88.364 152.0143
54.500000 88.310 151.4674
55.200001 88.243 150.8718
56.000000 88.153 150.2368
57.000000 88.044 149.5687
58.000000 87.949 148.9327
59.000000 87.860 148.3338
60.000000 87.778 147.7501
60.799999 87.712 147.2813
61.500000 87.651 146.8647
62.200001 87.585 146.4415
63.000000 87.501 146.0034
64.000000 87.403 145.4825
65.000000 87.296 144.9219
66.000000 87.186 144.5533
67.000000 87.119 144.2537
68.000000 87.072 143.6959
69.000000 86.989 142.9149
70.000000 86.852 142.3528
71.000000 86.733 142.1318
72.000000 86.644 141.7461
73.000000 86.524 141.3082
74.000000 86.419 141.1160
75.000000 86.354 140.8367
76.199997 86.279 140.3856
77.500000 86.198 139.8896
78.800003 86.086 139.5687
80.000000 85.989 139.5464
81.199997 85.910 139.4542
82.500000 85.811 139.1138
83.800003 85.693 138.6097
85.000000 85.566 138.1621
86.199997 85.468 137.8265
87.500000 85.368 137.3301
88.500000 85.281 137.1285
90.000000 85.177 136.9525
91.199997 85.077 136.7313
92.500000 84.944 136.5919
93.800003 84.804 136.5067
95.000000 84.688 136.5260
96.199997 84.597 136.3936
97.500000 84.486 136.1661
98.800003 84.385 136.1019
100.000000 84.313 135.9487
101.500000 84.200 135.6475
103.000000 84.065 135.4940
104.400002 83.944 135.5842
106.000000 83.843 135.7891
107.500000 83.757 135.8139
109.000000 83.653 135.8353
110.599998 83.542 135.8439
112.000000 83.454 135.7642
113.800003 83.340 135.4441
115.000000 83.248 135.1975
117.199997 83.061 135.2823
118.000000 83.009 135.4872
120.599998 82.879 135.9429
122.000000 82.793 136.1742
124.099998 82.685 136.3326
125.000000 82.631 136.2695
126.500000 82.528 136.2069
128.000000 82.434 136.3278
131.500000 82.299 136.6387
132.000000 82.277 136.6860
134.000000 82.190 136.9910
136.000000 82.104 137.2601
138.000000 82.012 137.6023
140.000000 81.949 137.8655
143.000000 81.828 138.0015
145.000000 81.729 138.2637
147.500000 81.616 138.7416
150.000000 81.530 139.1224
152.500000 81.435 139.4638
155.000000 81.323 139.9935
157.500000 81.216 140.5493
160.000000 81.118 140.9572
162.500000 81.035 141.5080
165.000000 80.968 142.4251
167.500000 80.930 143.4694
170.000000 80.917 144.2335
172.500000 80.899 144.4547
175.000000 80.854 144.5128
177.500000 80.826 144.6857
180.000000 80.816 144.7219
182.500000 80.768 144.6948
185.000000 80.693 144.8170
187.500000 80.643 145.0970
190.000000 80.625 145.5081
192.500000 80.600 145.9922
195.000000 80.536 146.3817
197.500000 80.462 146.7852
200.000000 80.427 147.2604
203.000000 80.418 147.7805
206.000000 80.389 148.0724
209.000000 80.358 148.2718
212.000000 80.345 148.6230
214.000000 80.342 148.8845
218.000000 80.327 149.2419
220.000000 80.323 149.4518
224.000000 80.333 149.8208
227.000000 80.319 150.0842
230.000000 80.303 150.4189
233.000000 80.295 150.7393
236.000000 80.300 150.9909
240.000000 80.315 151.3339
243.000000 80.320 151.6594
247.000000 80.332 151.9867
250.000000 80.346 152.1330
254.000000 80.357 152.3259
258.000000 80.358 152.6659
262.000000 80.351 152.9883
265.000000 80.339 153.0881
269.000000 80.339 153.2466
272.000000 80.348 153.4716
276.000000 80.356 153.8017
280.000000 80.362 153.9893
285.000000 80.382 154.1422
290.000000 80.398 154.4024
295.000000 80.417 154.5555
300.000000 80.437 154.6346
304.000000 80.457 154.7103
307.000000 80.474 154.8164
311.000000 80.486 154.9775
315.000000 80.486 155.0654
320.000000 80.490 155.1705
325.000000 80.492 155.2850
330.000000 80.497 155.3563
335.000000 80.508 155.4147
340.000000 80.519 155.4742
345.000000 80.530 155.5351
350.000000 80.541 155.5763
