* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:02:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: astral R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.280 161.0206
1.015000 53.538 158.9553
1.030000 53.797 156.8961
1.044000 54.038 154.9739
1.060000 54.314 152.7709
1.075000 54.573 150.6939
1.090000 54.831 148.6020
1.106000 55.107 146.3598
1.120000 55.351 144.4066
1.138000 55.668 141.9292
1.150000 55.882 140.3051
1.172000 56.278 137.3948
1.180000 56.423 136.3600
1.206000 56.898 133.0876
1.220000 57.155 131.3842
1.241000 57.542 128.9052
1.250000 57.709 127.8701
1.265000 57.986 126.1797
1.280000 58.264 124.5312
1.315000 58.910 120.8326
1.320000 59.002 120.3197
1.340000 59.368 118.3023
1.360000 59.731 116.3345
1.380000 60.090 114.4093
1.400000 60.445 112.5199
1.430000 60.968 109.7390
1.450000 61.309 107.9127
1.475000 61.727 105.6658
1.500000 62.138 103.4906
1.525000 62.545 101.4006
1.550000 62.948 99.3907
1.575000 63.346 97.4524
1.600000 63.740 95.5760
1.625000 64.129 93.7520
1.650000 64.513 91.9707
1.675000 64.893 90.2228
1.700000 65.267 88.4994
1.725000 65.636 86.7923
1.750000 66.000 85.0938
1.775000 66.359 83.3967
1.800000 66.713 81.6949
1.825000 67.061 79.9857
1.850000 67.404 78.2786
1.875000 67.740 76.5927
1.900000 68.071 74.9368
1.925000 68.397 73.3132
1.950000 68.717 71.7220
1.975000 69.033 70.1621
2.000000 69.343 68.6313
2.030000 69.709 66.8288
2.060000 70.069 65.0587
2.090000 70.423 63.3146
2.120000 70.770 61.5898
2.140000 70.999 60.4471
2.180000 71.449 58.1705
2.200000 71.671 57.0345
2.240000 72.105 54.7747
2.270000 72.423 53.1003
2.300000 72.735 51.4485
2.330000 73.040 49.8215
2.360000 73.340 48.2198
2.400000 73.731 46.1223
2.430000 74.017 44.5754
2.470000 74.392 42.5431
2.500000 74.668 41.0371
2.540000 75.028 39.0463
2.580000 75.381 37.0656
2.620000 75.725 35.0902
2.650000 75.976 33.6162
2.690000 76.304 31.6686
2.720000 76.544 30.2247
2.760000 76.856 28.3257
2.800000 77.161 26.4583
2.850000 77.532 24.1677
2.900000 77.893 21.9210
2.950000 78.243 19.7019
3.000000 78.582 17.4883
3.040000 78.845 15.7238
3.070000 79.037 14.4094
3.110000 79.287 12.6747
3.150000 79.530 10.9650
3.200000 79.826 8.8684
3.250000 80.113 6.8197
3.300000 80.392 4.8122
3.350000 80.661 2.8211
3.400000 80.921 0.8345
3.450000 81.171 -1.1373
3.500000 81.413 -3.0815
3.550000 81.646 -4.9874
3.600000 81.873 -6.8477
3.650000 82.093 -8.6608
3.700000 82.305 -10.4423
3.750000 82.510 -12.2120
3.820000 82.784 -14.6665
3.870000 82.971 -16.3900
3.950000 83.258 -19.0717
4.000000 83.431 -20.6907
4.060000 83.632 -22.5832
4.120000 83.824 -24.4459
4.180000 84.007 -26.2837
4.250000 84.212 -28.3838
4.310000 84.381 -30.1337
4.370000 84.545 -31.8292
4.440000 84.729 -33.7451
4.500000 84.881 -35.3516
4.550000 85.004 -36.6681
4.620000 85.169 -38.4725
4.680000 85.307 -39.9779
4.750000 85.463 -41.6810
4.820000 85.616 -43.3320
4.870000 85.721 -44.4859
4.940000 85.866 -46.0693
5.000000 85.986 -47.3966
5.080000 86.143 -49.1224
5.150000 86.278 -50.5914
5.220000 86.410 -52.0264
5.300000 86.558 -53.6299
5.380000 86.702 -55.1981
5.450000 86.825 -56.5433
5.520000 86.946 -57.8655
5.600000 87.082 -59.3513
5.700000 87.248 -61.1735
5.800000 87.409 -62.9589
5.900000 87.564 -64.7121
6.000000 87.714 -66.4402
6.080000 87.830 -67.8035
6.150000 87.928 -68.9799
6.220000 88.023 -70.1407
6.300000 88.129 -71.4520
6.400000 88.254 -73.0719
6.500000 88.374 -74.6631
6.600000 88.488 -76.2184
6.700000 88.595 -77.7432
6.800000 88.697 -79.2405
6.900000 88.793 -80.7032
7.000000 88.885 -82.1266
7.100000 88.972 -83.5164
7.200000 89.054 -84.8739
7.300000 89.133 -86.1962
7.400000 89.209 -87.4828
7.500000 89.282 -88.7374
7.620000 89.367 -90.2045
7.750000 89.455 -91.7484
7.880000 89.541 -93.2489
8.000000 89.617 -94.6007
8.120000 89.692 -95.9251
8.250000 89.770 -97.3312
8.380000 89.845 -98.7093
8.500000 89.912 -99.9592
8.620000 89.976 -101.1893
8.750000 90.042 -102.4969
8.850000 90.090 -103.4844
9.000000 90.158 -104.9374
9.120000 90.210 -106.0723
9.250000 90.263 -107.2719
9.380000 90.314 -108.4421
9.500000 90.359 -109.4961
9.620000 90.404 -110.5244
9.750000 90.451 -111.6119
9.880000 90.492 -112.6762
10.000000 90.523 -113.6396
10.150000 90.555 -114.8218
10.300000 90.583 -115.9863
10.440000 90.604 -117.0602
10.600000 90.626 -118.2731
10.750000 90.644 -119.3982
10.900000 90.659 -120.5090
11.060000 90.671 -121.6708
11.200000 90.678 -122.6655
11.380000 90.682 -123.9012
11.500000 90.682 -124.6937
11.720000 90.678 -126.0743
11.800000 90.677 -126.5505
12.060000 90.673 -128.0089
12.200000 90.675 -128.7426
12.410000 90.687 -129.7916
12.500000 90.698 -130.2297
12.650000 90.725 -130.9496
12.800000 90.759 -131.6686
13.150000 90.852 -133.3916
13.200000 90.866 -133.6459
13.400000 90.921 -134.6870
13.600000 90.970 -135.7609
13.800000 91.013 -136.8601
14.000000 91.046 -137.9681
14.300000 91.078 -139.6164
14.500000 91.087 -140.6850
14.750000 91.087 -141.9694
15.000000 91.076 -143.1837
15.250000 91.055 -144.3172
15.500000 91.027 -145.3593
15.750000 90.995 -146.3003
16.000000 90.963 -147.1342
16.250000 90.939 -147.8679
16.500000 90.927 -148.5255
16.750000 90.930 -149.1499
17.000000 90.948 -149.7971
17.250000 90.976 -150.5159
17.500000 91.007 -151.3373
17.750000 91.029 -152.2577
18.000000 91.034 -153.2386
18.250000 91.018 -154.2180
18.500000 90.982 -155.1234
18.750000 90.936 -155.9001
19.000000 90.889 -156.5245
19.250000 90.857 -157.0205
19.500000 90.847 -157.4538
19.750000 90.860 -157.9066
20.000000 90.891 -158.4547
20.299999 90.932 -159.2863
20.600000 90.959 -160.2781
20.900000 90.957 -161.3252
21.200001 90.927 -162.2933
21.400000 90.898 -162.8434
21.799999 90.851 -163.6946
22.000000 90.843 -164.0381
22.400000 90.866 -164.7548
22.700001 90.905 -165.4608
23.000000 90.936 -166.3566
23.299999 90.940 -167.3766
23.600000 90.906 -168.3853
24.000000 90.814 -169.4600
24.299999 90.740 -169.9601
24.700001 90.681 -170.2955
25.000000 90.686 -170.4896
25.400000 90.744 -170.9905
25.799999 90.810 -171.9328
26.200001 90.827 -173.1953
26.500000 90.794 -174.1594
26.900000 90.705 -175.2167
27.200001 90.630 -175.7595
27.600000 90.557 -176.2224
28.000000 90.530 -176.6176
28.500000 90.530 -177.3226
29.000000 90.511 -178.2387
29.500000 90.461 -179.0608
30.000000 90.423 -179.6639
30.400000 90.424 179.8563
30.700001 90.434 179.3904
31.100000 90.438 178.6032
31.500000 90.405 177.7454
32.000000 90.315 176.8842
32.500000 90.224 176.4390
33.000000 90.183 176.2234
33.500000 90.189 175.8873
34.000000 90.199 175.3044
34.500000 90.188 174.6002
35.000000 90.163 173.9047
35.500000 90.136 173.2089
36.000000 90.103 172.4677
36.500000 90.054 171.7279
37.000000 89.994 171.0803
37.500000 89.942 170.5289
38.200001 89.893 169.7272
38.700001 89.855 169.0608
39.500000 89.760 168.0650
40.000000 89.696 167.6311
40.599998 89.646 167.2493
41.200001 89.625 166.8254
41.799999 89.609 166.2537
42.500000 89.568 165.5106
43.099998 89.517 164.9635
43.700001 89.472 164.5129
44.400002 89.437 163.9500
45.000000 89.403 163.3312
45.500000 89.358 162.7602
46.200001 89.264 162.0615
46.799999 89.181 161.6541
47.500000 89.110 161.2838
48.200001 89.063 160.8008
48.700001 89.026 160.3638
49.400002 88.958 159.7433
50.000000 88.894 159.2927
50.799999 88.824 158.7765
51.500000 88.776 158.2825
52.200001 88.720 157.7319
53.000000 88.637 157.2262
53.799999 88.569 156.9783
54.500000 88.546 156.8022
55.200001 88.542 156.4492
56.000000 88.516 155.8289
57.000000 88.427 155.0995
58.000000 88.323 154.6721
59.000000 88.239 154.2515
60.000000 88.144 153.6500
60.799999 88.050 153.1621
61.500000 87.967 152.7535
62.200001 87.886 152.3190
63.000000 87.787 151.8509
64.000000 87.684 151.3828
65.000000 87.606 150.8446
66.000000 87.531 150.3508
67.000000 87.475 149.7838
68.000000 87.380 149.1779
69.000000 87.281 148.9460
70.000000 87.222 148.6547
71.000000 87.139 148.1360
72.000000 87.023 147.7238
73.000000 86.910 147.4896
74.000000 86.816 147.3217
75.000000 86.744 147.1525
76.199997 86.675 146.7629
77.500000 86.567 146.2657
78.800003 86.456 145.9611
80.000000 86.350 145.6891
81.199997 86.254 145.5533
82.500000 86.170 145.1599
83.800003 86.035 144.6876
85.000000 85.907 144.5339
86.199997 85.804 144.4088
87.500000 85.701 144.2400
88.500000 85.631 144.1312
90.000000 85.539 143.8842
91.199997 85.460 143.6686
92.500000 85.371 143.4821
93.800003 85.272 143.3033
95.000000 85.167 143.1872
96.199997 85.058 143.1494
97.500000 84.946 143.0930
98.800003 84.836 143.0302
100.000000 84.747 142.9526
101.500000 84.627 142.8184
103.000000 84.522 142.8926
104.400002 84.429 142.8476
106.000000 84.304 142.9376
107.500000 84.202 142.9760
109.000000 84.083 142.9473
110.599998 83.963 143.1713
112.000000 83.898 143.3327
113.800003 83.814 143.3771
115.000000 83.757 143.4084
117.199997 83.631 143.3164
118.000000 83.568 143.3104
120.599998 83.355 143.5911
122.000000 83.251 143.7155
124.099998 83.120 143.7595
125.000000 83.076 143.7112
126.500000 83.006 143.6630
128.000000 82.941 143.8369
131.500000 82.796 144.8256
132.000000 82.765 144.9268
134.000000 82.607 145.2900
136.000000 82.479 145.8047
138.000000 82.428 146.0718
140.000000 82.386 146.3524
143.000000 82.275 146.8875
145.000000 82.159 147.1843
147.500000 82.040 147.3848
150.000000 81.979 147.5532
152.500000 81.922 147.8842
155.000000 81.841 148.4909
157.500000 81.733 149.2697
160.000000 81.636 150.0646
162.500000 81.542 150.5626
165.000000 81.424 150.9574
167.500000 81.317 151.5781
170.000000 81.260 152.3710
172.500000 81.249 153.3198
175.000000 81.285 154.1738
177.500000 81.304 154.6674
180.000000 81.273 154.9905
182.500000 81.202 155.1785
185.000000 81.122 155.3759
187.500000 81.063 155.6687
190.000000 81.029 156.0608
192.500000 80.999 156.4317
195.000000 80.964 156.7947
197.500000 80.929 157.1384
200.000000 80.893 157.4757
203.000000 80.864 157.9575
206.000000 80.845 158.2976
209.000000 80.815 158.7115
212.000000 80.795 159.2241
214.000000 80.788 159.5369
218.000000 80.773 160.1454
220.000000 80.760 160.4531
224.000000 80.725 161.0072
227.000000 80.718 161.3742
230.000000 80.722 161.7245
233.000000 80.722 162.1122
236.000000 80.718 162.4999
240.000000 80.722 162.9829
243.000000 80.729 163.3254
247.000000 80.736 163.7600
250.000000 80.739 164.0720
254.000000 80.741 164.4612
258.000000 80.744 164.8574
262.000000 80.749 165.2106
265.000000 80.752 165.4413
269.000000 80.753 165.7628
272.000000 80.752 166.0236
276.000000 80.754 166.3574
280.000000 80.759 166.6396
285.000000 80.769 166.9893
290.000000 80.775 167.3577
295.000000 80.779 167.7128
300.000000 80.786 168.0485
304.000000 80.793 168.2930
307.000000 80.800 168.4671
311.000000 80.810 168.6986
315.000000 80.817 168.9344
320.000000 80.825 169.2092
325.000000 80.833 169.4432
330.000000 80.843 169.6809
335.000000 80.853 169.9304
340.000000 80.859 170.1774
345.000000 80.865 170.3807
350.000000 80.875 170.5762
