* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:24:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: aurora ultra L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.695 -74.8080
1.015000 66.166 -74.3561
1.030000 66.623 -73.9823
1.044000 67.037 -73.6999
1.060000 67.490 -73.4516
1.075000 67.894 -73.2863
1.090000 68.276 -73.1796
1.106000 68.662 -73.1091
1.120000 68.990 -73.0535
1.138000 69.406 -72.9728
1.150000 69.680 -72.9144
1.172000 70.174 -72.8056
1.180000 70.351 -72.7678
1.206000 70.917 -72.6537
1.220000 71.215 -72.6007
1.241000 71.653 -72.5364
1.250000 71.836 -72.5153
1.265000 72.138 -72.4898
1.280000 72.433 -72.4772
1.315000 73.094 -72.5032
1.320000 73.186 -72.5136
1.340000 73.543 -72.5727
1.360000 73.886 -72.6608
1.380000 74.215 -72.7679
1.400000 74.528 -72.9008
1.430000 74.969 -73.1568
1.450000 75.243 -73.3636
1.475000 75.558 -73.6445
1.500000 75.838 -73.9069
1.525000 76.083 -74.1374
1.550000 76.297 -74.3446
1.575000 76.484 -74.5330
1.600000 76.648 -74.7070
1.625000 76.792 -74.8831
1.650000 76.920 -75.0675
1.675000 77.037 -75.2653
1.700000 77.147 -75.4810
1.725000 77.253 -75.7184
1.750000 77.360 -75.9805
1.775000 77.471 -76.2741
1.800000 77.590 -76.6049
1.825000 77.720 -76.9626
1.850000 77.857 -77.3327
1.875000 77.994 -77.6955
1.900000 78.130 -78.0455
1.925000 78.262 -78.3838
1.950000 78.393 -78.7128
1.975000 78.521 -79.0388
2.000000 78.647 -79.3678
2.030000 78.796 -79.7600
2.060000 78.942 -80.1536
2.090000 79.086 -80.5524
2.120000 79.227 -80.9601
2.140000 79.320 -81.2386
2.180000 79.504 -81.8220
2.200000 79.595 -82.1290
2.240000 79.773 -82.7442
2.270000 79.904 -83.1973
2.300000 80.033 -83.6414
2.330000 80.159 -84.0767
2.360000 80.283 -84.5044
2.400000 80.444 -85.0862
2.430000 80.563 -85.5199
2.470000 80.719 -86.0943
2.500000 80.833 -86.5245
2.540000 80.983 -87.1010
2.580000 81.130 -87.6955
2.620000 81.274 -88.3171
2.650000 81.380 -88.7799
2.690000 81.517 -89.3897
2.720000 81.618 -89.8398
2.760000 81.750 -90.4278
2.800000 81.879 -91.0313
2.850000 82.035 -91.7720
2.900000 82.186 -92.4950
2.950000 82.332 -93.2076
3.000000 82.472 -93.9453
3.040000 82.581 -94.5419
3.070000 82.660 -94.9844
3.110000 82.763 -95.5643
3.150000 82.862 -96.1298
3.200000 82.984 -96.8362
3.250000 83.101 -97.5247
3.300000 83.214 -98.1874
3.350000 83.324 -98.8369
3.400000 83.429 -99.5052
3.450000 83.529 -100.1718
3.500000 83.626 -100.8185
3.550000 83.720 -101.4379
3.600000 83.811 -102.0522
3.650000 83.899 -102.6445
3.700000 83.985 -103.2119
3.750000 84.067 -103.7663
3.820000 84.177 -104.5572
3.870000 84.252 -105.1066
3.950000 84.368 -105.9294
4.000000 84.439 -106.4268
4.060000 84.522 -106.9973
4.120000 84.602 -107.5384
4.180000 84.680 -108.0627
4.250000 84.768 -108.6761
4.310000 84.842 -109.1657
4.370000 84.916 -109.6236
4.440000 85.002 -110.1508
4.500000 85.074 -110.5728
4.550000 85.134 -110.9049
4.620000 85.217 -111.3744
4.680000 85.289 -111.7605
4.750000 85.374 -112.1829
4.820000 85.461 -112.6040
4.870000 85.523 -112.8927
4.940000 85.611 -113.2754
5.000000 85.687 -113.6063
5.080000 85.790 -114.0490
5.150000 85.881 -114.4258
5.220000 85.973 -114.8134
5.300000 86.080 -115.2506
5.380000 86.187 -115.6841
5.450000 86.281 -116.0902
5.520000 86.374 -116.4971
5.600000 86.481 -116.9785
5.700000 86.614 -117.6054
5.800000 86.743 -118.2428
5.900000 86.868 -118.9122
6.000000 86.989 -119.6030
6.080000 87.082 -120.1775
6.150000 87.160 -120.6714
6.220000 87.234 -121.1782
6.300000 87.314 -121.7580
6.400000 87.408 -122.4903
6.500000 87.495 -123.2240
6.600000 87.575 -123.9268
6.700000 87.647 -124.6183
6.800000 87.711 -125.2892
6.900000 87.770 -125.9327
7.000000 87.824 -126.5243
7.100000 87.874 -127.0836
7.200000 87.919 -127.6002
7.300000 87.963 -128.0759
7.400000 88.007 -128.4955
7.500000 88.049 -128.8756
7.620000 88.102 -129.2796
7.750000 88.165 -129.6605
7.880000 88.234 -129.9960
8.000000 88.303 -130.2723
8.120000 88.379 -130.5425
8.250000 88.469 -130.8262
8.380000 88.565 -131.1207
8.500000 88.659 -131.4289
8.620000 88.758 -131.7632
8.750000 88.865 -132.1633
8.850000 88.946 -132.5072
9.000000 89.066 -133.0670
9.120000 89.157 -133.5495
9.250000 89.250 -134.0995
9.380000 89.338 -134.6696
9.500000 89.412 -135.2080
9.620000 89.480 -135.7411
9.750000 89.546 -136.3156
9.880000 89.601 -136.8732
10.000000 89.643 -137.3567
10.150000 89.684 -137.9734
10.300000 89.719 -138.5403
10.440000 89.748 -139.0249
10.600000 89.780 -139.5426
10.750000 89.811 -140.0038
10.900000 89.845 -140.4517
11.060000 89.885 -140.9658
11.200000 89.921 -141.4699
11.380000 89.966 -142.1363
11.500000 89.992 -142.5947
11.720000 90.028 -143.4456
11.800000 90.037 -143.7539
12.060000 90.052 -144.7494
12.200000 90.051 -145.2867
12.410000 90.043 -146.0157
12.500000 90.041 -146.2919
12.650000 90.040 -146.7022
12.800000 90.043 -147.0544
13.150000 90.071 -147.7397
13.200000 90.078 -147.8350
13.400000 90.114 -148.2039
13.600000 90.161 -148.5889
13.800000 90.214 -149.0207
14.000000 90.269 -149.5207
14.300000 90.342 -150.4564
14.500000 90.376 -151.1294
14.750000 90.399 -151.9644
15.000000 90.401 -152.7393
15.250000 90.390 -153.4586
15.500000 90.375 -154.0471
15.750000 90.363 -154.5115
16.000000 90.362 -154.8872
16.250000 90.375 -155.2609
16.500000 90.399 -155.6277
16.750000 90.428 -156.0100
17.000000 90.459 -156.4157
17.250000 90.490 -156.8686
17.500000 90.520 -157.3314
17.750000 90.549 -157.7971
18.000000 90.577 -158.2725
18.250000 90.604 -158.7896
18.500000 90.628 -159.3240
18.750000 90.646 -159.8641
19.000000 90.655 -160.3930
19.250000 90.657 -160.9081
19.500000 90.654 -161.3640
19.750000 90.650 -161.7495
20.000000 90.651 -162.0712
20.299999 90.666 -162.4417
20.600000 90.695 -162.8195
20.900000 90.733 -163.2597
21.200001 90.769 -163.8028
21.400000 90.788 -164.2066
21.799999 90.803 -165.0211
22.000000 90.799 -165.3917
22.400000 90.782 -166.0054
22.700001 90.773 -166.3225
23.000000 90.777 -166.5594
23.299999 90.798 -166.7993
23.600000 90.831 -167.0899
24.000000 90.876 -167.6018
24.299999 90.898 -168.0688
24.700001 90.903 -168.6724
25.000000 90.894 -169.0354
25.400000 90.882 -169.3771
25.799999 90.891 -169.6132
26.200001 90.925 -169.9195
26.500000 90.954 -170.2744
26.900000 90.976 -170.8984
27.200001 90.967 -171.4113
27.600000 90.926 -171.9982
28.000000 90.871 -172.3586
28.500000 90.833 -172.5773
29.000000 90.846 -172.8581
29.500000 90.868 -173.4726
30.000000 90.848 -174.2771
30.400000 90.798 -174.8344
30.700001 90.755 -175.1167
31.100000 90.715 -175.3416
31.500000 90.705 -175.5326
32.000000 90.725 -175.9327
32.500000 90.739 -176.5888
33.000000 90.715 -177.3174
33.500000 90.661 -177.8812
34.000000 90.606 -178.1548
34.500000 90.588 -178.2346
35.000000 90.617 -178.3554
35.500000 90.670 -178.7436
36.000000 90.703 -179.4085
36.500000 90.691 179.8542
37.000000 90.645 179.2942
37.500000 90.601 178.9713
38.200001 90.581 178.6599
38.700001 90.581 178.3806
39.500000 90.584 177.9049
40.000000 90.597 177.5865
40.599998 90.615 177.0827
41.200001 90.608 176.5296
41.799999 90.582 176.1305
42.500000 90.570 175.8539
43.099998 90.581 175.5583
43.700001 90.585 175.1270
44.400002 90.561 174.5581
45.000000 90.513 174.1320
45.500000 90.459 173.9024
46.200001 90.396 173.8487
46.799999 90.388 173.8715
47.500000 90.416 173.5934
48.200001 90.423 172.9868
48.700001 90.406 172.5355
49.400002 90.375 171.9943
50.000000 90.352 171.5656
50.799999 90.315 171.0457
51.500000 90.286 170.7075
52.200001 90.270 170.4064
53.000000 90.248 170.0251
53.799999 90.213 169.7217
54.500000 90.190 169.5625
55.200001 90.184 169.3502
56.000000 90.173 168.8896
57.000000 90.110 168.2264
58.000000 90.031 167.8324
59.000000 89.982 167.5073
60.000000 89.947 167.1176
60.799999 89.922 166.7966
61.500000 89.901 166.5057
62.200001 89.877 166.2297
63.000000 89.849 165.9739
64.000000 89.822 165.6385
65.000000 89.781 165.2376
66.000000 89.723 164.9803
67.000000 89.691 164.7851
68.000000 89.663 164.4509
69.000000 89.629 164.0868
70.000000 89.589 163.7023
71.000000 89.540 163.4175
72.000000 89.507 163.2234
73.000000 89.483 162.9483
74.000000 89.447 162.6345
75.000000 89.407 162.3743
76.199997 89.366 162.0418
77.500000 89.312 161.6331
78.800003 89.257 161.2692
80.000000 89.207 160.9175
81.199997 89.155 160.5961
82.500000 89.099 160.3124
83.800003 89.057 160.0495
85.000000 89.013 159.7410
86.199997 88.968 159.4651
87.500000 88.916 159.1432
88.500000 88.869 158.9494
90.000000 88.815 158.7330
91.199997 88.776 158.4738
92.500000 88.721 158.1839
93.800003 88.659 157.9559
95.000000 88.607 157.8041
96.199997 88.564 157.6456
97.500000 88.522 157.4228
98.800003 88.477 157.1639
100.000000 88.432 156.9249
101.500000 88.372 156.6598
103.000000 88.310 156.4285
104.400002 88.251 156.2200
106.000000 88.184 156.0418
107.500000 88.138 155.8681
109.000000 88.087 155.6139
110.599998 88.027 155.3825
112.000000 87.973 155.2476
113.800003 87.909 155.0246
115.000000 87.852 154.8671
117.199997 87.759 154.8175
118.000000 87.737 154.7610
120.599998 87.654 154.4511
122.000000 87.599 154.2739
124.099998 87.519 154.1375
125.000000 87.497 154.0676
126.500000 87.463 153.8168
128.000000 87.413 153.5410
131.500000 87.294 153.5002
132.000000 87.280 153.5138
134.000000 87.218 153.5178
136.000000 87.149 153.4208
138.000000 87.084 153.2025
140.000000 87.026 152.9837
143.000000 86.947 152.8121
145.000000 86.883 152.7624
147.500000 86.804 152.7180
150.000000 86.741 152.6015
152.500000 86.678 152.4612
155.000000 86.608 152.4439
157.500000 86.534 152.3573
160.000000 86.454 152.2525
162.500000 86.376 152.1802
165.000000 86.297 152.1695
167.500000 86.214 152.1889
170.000000 86.124 152.1648
172.500000 86.033 152.1219
175.000000 85.948 152.0905
177.500000 85.863 152.0878
180.000000 85.770 152.1742
182.500000 85.682 152.2990
185.000000 85.608 152.3860
187.500000 85.542 152.4435
190.000000 85.477 152.5378
192.500000 85.411 152.6161
195.000000 85.340 152.7097
197.500000 85.278 152.8165
200.000000 85.224 152.8505
203.000000 85.164 152.8749
206.000000 85.099 152.9692
209.000000 85.034 153.0276
212.000000 84.968 153.0222
214.000000 84.927 153.0318
218.000000 84.846 153.1731
220.000000 84.801 153.2353
224.000000 84.710 153.3055
227.000000 84.652 153.4156
230.000000 84.597 153.5483
233.000000 84.533 153.6663
236.000000 84.469 153.7503
240.000000 84.391 153.9016
243.000000 84.333 154.0438
247.000000 84.254 154.2500
250.000000 84.196 154.4175
254.000000 84.117 154.6241
258.000000 84.038 154.8319
262.000000 83.966 155.0776
265.000000 83.915 155.2804
269.000000 83.851 155.5483
272.000000 83.804 155.7123
276.000000 83.737 155.9273
280.000000 83.669 156.1476
285.000000 83.590 156.4489
290.000000 83.511 156.7937
295.000000 83.441 157.1037
300.000000 83.372 157.3303
304.000000 83.303 157.5755
307.000000 83.260 157.8567
311.000000 83.220 158.1993
