* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:21:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: aurora ultra R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.061 -59.5531
1.015000 70.308 -60.0894
1.030000 70.551 -60.6259
1.044000 70.775 -61.1281
1.060000 71.027 -61.7047
1.075000 71.259 -62.2490
1.090000 71.486 -62.7964
1.106000 71.725 -63.3770
1.120000 71.934 -63.8697
1.138000 72.203 -64.4747
1.150000 72.382 -64.8609
1.172000 72.711 -65.5376
1.180000 72.831 -65.7754
1.206000 73.216 -66.5178
1.220000 73.421 -66.9004
1.241000 73.726 -67.4551
1.250000 73.855 -67.6867
1.265000 74.067 -68.0655
1.280000 74.275 -68.4364
1.315000 74.746 -69.2779
1.320000 74.811 -69.3959
1.340000 75.065 -69.8641
1.360000 75.309 -70.3279
1.380000 75.542 -70.7784
1.400000 75.762 -71.2238
1.430000 76.066 -71.8932
1.450000 76.251 -72.3411
1.475000 76.457 -72.8947
1.500000 76.634 -73.4172
1.525000 76.784 -73.9017
1.550000 76.909 -74.3539
1.575000 77.014 -74.7754
1.600000 77.100 -75.1684
1.625000 77.172 -75.5476
1.650000 77.233 -75.9179
1.675000 77.286 -76.2840
1.700000 77.334 -76.6497
1.725000 77.382 -77.0186
1.750000 77.432 -77.3938
1.775000 77.487 -77.7822
1.800000 77.551 -78.1901
1.825000 77.627 -78.6087
1.850000 77.710 -79.0295
1.875000 77.797 -79.4401
1.900000 77.884 -79.8367
1.925000 77.972 -80.2197
1.950000 78.060 -80.5906
1.975000 78.147 -80.9546
2.000000 78.235 -81.3169
2.030000 78.340 -81.7416
2.060000 78.445 -82.1583
2.090000 78.549 -82.5700
2.120000 78.653 -82.9791
2.140000 78.721 -83.2518
2.180000 78.857 -83.8066
2.200000 78.925 -84.0914
2.240000 79.058 -84.6531
2.270000 79.158 -85.0617
2.300000 79.257 -85.4587
2.330000 79.356 -85.8443
2.360000 79.454 -86.2195
2.400000 79.584 -86.7263
2.430000 79.681 -87.0997
2.470000 79.808 -87.5868
2.500000 79.903 -87.9458
2.540000 80.028 -88.4181
2.580000 80.152 -88.8969
2.620000 80.275 -89.3918
2.650000 80.366 -89.7544
2.690000 80.486 -90.2257
2.720000 80.576 -90.5696
2.760000 80.694 -91.0143
2.800000 80.810 -91.4733
2.850000 80.954 -92.0320
2.900000 81.096 -92.5711
2.950000 81.234 -93.0932
3.000000 81.370 -93.6264
3.040000 81.477 -94.0509
3.070000 81.556 -94.3616
3.110000 81.661 -94.7649
3.150000 81.764 -95.1552
3.200000 81.891 -95.6475
3.250000 82.017 -96.1299
3.300000 82.142 -96.5925
3.350000 82.266 -97.0369
3.400000 82.387 -97.4896
3.450000 82.507 -97.9363
3.500000 82.626 -98.3661
3.550000 82.743 -98.7781
3.600000 82.860 -99.2001
3.650000 82.976 -99.6171
3.700000 83.091 -100.0188
3.750000 83.206 -100.4064
3.820000 83.364 -100.9644
3.870000 83.476 -101.3561
3.950000 83.654 -101.9582
4.000000 83.765 -102.3445
4.060000 83.897 -102.8074
4.120000 84.028 -103.2552
4.180000 84.158 -103.6973
4.250000 84.309 -104.2349
4.310000 84.437 -104.6835
4.370000 84.563 -105.1285
4.440000 84.709 -105.6763
4.500000 84.833 -106.1394
4.550000 84.935 -106.5191
4.620000 85.077 -107.0733
4.680000 85.196 -107.5481
4.750000 85.333 -108.0944
4.820000 85.467 -108.6656
4.870000 85.562 -109.0773
4.940000 85.692 -109.6475
5.000000 85.801 -110.1465
5.080000 85.943 -110.8144
5.150000 86.063 -111.3889
5.220000 86.180 -111.9836
5.300000 86.309 -112.6665
5.380000 86.434 -113.3396
5.450000 86.539 -113.9386
5.520000 86.640 -114.5201
5.600000 86.750 -115.1897
5.700000 86.881 -116.0348
5.800000 87.005 -116.8538
5.900000 87.122 -117.6542
6.000000 87.231 -118.4344
6.080000 87.313 -119.0562
6.150000 87.382 -119.5729
6.220000 87.448 -120.0837
6.300000 87.521 -120.6429
6.400000 87.606 -121.3166
6.500000 87.688 -121.9697
6.600000 87.766 -122.5803
6.700000 87.842 -123.1631
6.800000 87.915 -123.7126
6.900000 87.986 -124.2419
7.000000 88.058 -124.7386
7.100000 88.129 -125.2160
7.200000 88.199 -125.6685
7.300000 88.270 -126.1119
7.400000 88.341 -126.5378
7.500000 88.413 -126.9577
7.620000 88.499 -127.4510
7.750000 88.592 -127.9837
7.880000 88.686 -128.5278
8.000000 88.772 -129.0265
8.120000 88.856 -129.5357
8.250000 88.944 -130.0978
8.380000 89.030 -130.6655
8.500000 89.106 -131.2041
8.620000 89.180 -131.7504
8.750000 89.255 -132.3467
8.850000 89.309 -132.8095
9.000000 89.383 -133.5007
9.120000 89.438 -134.0498
9.250000 89.492 -134.6320
9.380000 89.542 -135.1975
9.500000 89.583 -135.7081
9.620000 89.622 -136.1946
9.750000 89.659 -136.6994
9.880000 89.689 -137.1770
10.000000 89.710 -137.5814
10.150000 89.728 -138.0925
10.300000 89.743 -138.5509
10.440000 89.755 -138.9325
10.600000 89.771 -139.3275
10.750000 89.789 -139.6672
10.900000 89.813 -139.9870
11.060000 89.845 -140.3564
11.200000 89.879 -140.7280
11.380000 89.927 -141.2256
11.500000 89.959 -141.5753
11.720000 90.017 -142.2520
11.800000 90.036 -142.5100
12.060000 90.092 -143.4032
12.200000 90.116 -143.9355
12.410000 90.148 -144.7245
12.500000 90.161 -145.0513
12.650000 90.184 -145.5770
12.800000 90.205 -146.0727
13.150000 90.253 -147.1458
13.200000 90.259 -147.2946
13.400000 90.289 -147.8580
13.600000 90.321 -148.3861
13.800000 90.357 -148.8952
14.000000 90.395 -149.4078
14.300000 90.452 -150.2635
14.500000 90.484 -150.8454
14.750000 90.515 -151.5598
15.000000 90.534 -152.2330
15.250000 90.544 -152.8861
15.500000 90.550 -153.4403
15.750000 90.558 -153.8902
16.000000 90.574 -154.2558
16.250000 90.604 -154.6161
16.500000 90.646 -154.9708
16.750000 90.698 -155.3569
17.000000 90.752 -155.8009
17.250000 90.804 -156.3364
17.500000 90.849 -156.9241
17.750000 90.883 -157.5368
18.000000 90.905 -158.1503
18.250000 90.915 -158.7627
18.500000 90.917 -159.3237
18.750000 90.913 -159.8158
19.000000 90.908 -160.2360
19.250000 90.906 -160.6171
19.500000 90.910 -160.9574
19.750000 90.921 -161.2839
20.000000 90.938 -161.6253
20.299999 90.962 -162.1127
20.600000 90.982 -162.6530
20.900000 90.990 -163.2156
21.200001 90.983 -163.7638
21.400000 90.972 -164.0869
21.799999 90.947 -164.5682
22.000000 90.940 -164.7299
22.400000 90.952 -164.9906
22.700001 90.984 -165.2020
23.000000 91.030 -165.5042
23.299999 91.077 -165.9409
23.600000 91.114 -166.4764
24.000000 91.139 -167.2457
24.299999 91.139 -167.8032
24.700001 91.128 -168.4301
25.000000 91.120 -168.8137
25.400000 91.117 -169.2794
25.799999 91.120 -169.7361
26.200001 91.122 -170.2220
26.500000 91.120 -170.5948
26.900000 91.112 -171.0636
27.200001 91.104 -171.3910
27.600000 91.095 -171.7990
28.000000 91.089 -172.1920
28.500000 91.084 -172.7095
29.000000 91.077 -173.2485
29.500000 91.064 -173.8031
30.000000 91.045 -174.3198
30.400000 91.029 -174.6885
30.700001 91.021 -174.9342
31.100000 91.019 -175.2518
31.500000 91.027 -175.6143
32.000000 91.040 -176.1664
32.500000 91.037 -176.8045
33.000000 91.011 -177.3901
33.500000 90.978 -177.8314
34.000000 90.955 -178.1447
34.500000 90.948 -178.4360
35.000000 90.950 -178.7585
35.500000 90.952 -179.1168
36.000000 90.952 -179.4932
36.500000 90.950 -179.8986
37.000000 90.941 179.6829
37.500000 90.924 179.2869
38.200001 90.897 178.8186
38.700001 90.885 178.4982
39.500000 90.869 177.9215
40.000000 90.853 177.5555
40.599998 90.833 177.1615
41.200001 90.824 176.7824
41.799999 90.820 176.3316
42.500000 90.798 175.7339
43.099998 90.761 175.3243
43.700001 90.730 175.0887
44.400002 90.731 174.8436
45.000000 90.743 174.4605
45.500000 90.738 174.0443
46.200001 90.704 173.5329
46.799999 90.677 173.2076
47.500000 90.655 172.8188
48.200001 90.626 172.4089
48.700001 90.604 172.1460
49.400002 90.579 171.7728
50.000000 90.554 171.4330
50.799999 90.515 171.1001
51.500000 90.507 170.8323
52.200001 90.502 170.3504
53.000000 90.445 169.8134
53.799999 90.396 169.6239
54.500000 90.401 169.3867
55.200001 90.397 168.8643
56.000000 90.350 168.2698
57.000000 90.293 167.7792
58.000000 90.259 167.3058
59.000000 90.230 166.8044
60.000000 90.192 166.3693
60.799999 90.169 166.1642
61.500000 90.164 165.9823
62.200001 90.157 165.7269
63.000000 90.132 165.4321
64.000000 90.086 165.1269
65.000000 90.028 164.9093
66.000000 89.981 164.7491
67.000000 89.949 164.4413
68.000000 89.904 163.9665
69.000000 89.844 163.4982
70.000000 89.786 163.1450
71.000000 89.746 162.8322
72.000000 89.713 162.5154
73.000000 89.688 162.2214
74.000000 89.659 161.8742
75.000000 89.619 161.5879
76.199997 89.576 161.2181
77.500000 89.510 160.8922
78.800003 89.470 160.5578
80.000000 89.411 160.1395
81.199997 89.354 159.9586
82.500000 89.323 159.7115
83.800003 89.282 159.3015
85.000000 89.223 158.9504
86.199997 89.161 158.6800
87.500000 89.103 158.4012
88.500000 89.061 158.1712
90.000000 89.003 157.8121
91.199997 88.956 157.5381
92.500000 88.906 157.2938
93.800003 88.856 157.0850
95.000000 88.809 156.8968
96.199997 88.762 156.6966
97.500000 88.710 156.4567
98.800003 88.656 156.1945
100.000000 88.608 155.9529
101.500000 88.553 155.6865
103.000000 88.501 155.4409
104.400002 88.452 155.2162
106.000000 88.387 154.9739
107.500000 88.321 154.7841
109.000000 88.258 154.6116
110.599998 88.191 154.4213
112.000000 88.135 154.2714
113.800003 88.072 154.0530
115.000000 88.032 153.8593
117.199997 87.949 153.5087
118.000000 87.918 153.4012
120.599998 87.813 153.1088
122.000000 87.754 153.0065
124.099998 87.675 152.8350
125.000000 87.646 152.7373
126.500000 87.602 152.5511
128.000000 87.562 152.3878
131.500000 87.465 152.1744
132.000000 87.448 152.1539
134.000000 87.378 152.0612
136.000000 87.303 151.9156
138.000000 87.241 151.8002
140.000000 87.185 151.6177
143.000000 87.088 151.5134
145.000000 87.040 151.4937
147.500000 86.983 151.3437
150.000000 86.906 151.2000
152.500000 86.818 151.0682
155.000000 86.729 150.9220
157.500000 86.649 150.8405
160.000000 86.574 150.7604
162.500000 86.482 150.6606
165.000000 86.390 150.6296
167.500000 86.312 150.5981
170.000000 86.228 150.5218
172.500000 86.131 150.4631
175.000000 86.036 150.4471
177.500000 85.948 150.4201
180.000000 85.862 150.4021
182.500000 85.776 150.4166
185.000000 85.694 150.4653
187.500000 85.612 150.4920
190.000000 85.524 150.5050
192.500000 85.431 150.5535
195.000000 85.336 150.6102
197.500000 85.234 150.7078
200.000000 85.128 150.9246
203.000000 85.016 151.4338
206.000000 84.953 152.2046
209.000000 84.965 152.8780
212.000000 85.012 153.0836
214.000000 85.030 152.9215
218.000000 84.987 152.4501
220.000000 84.943 152.3278
224.000000 84.845 152.2574
227.000000 84.770 152.2146
230.000000 84.696 152.2093
233.000000 84.631 152.2935
236.000000 84.572 152.4244
240.000000 84.496 152.5383
243.000000 84.437 152.5609
247.000000 84.353 152.6597
250.000000 84.288 152.7819
254.000000 84.203 152.9738
258.000000 84.121 153.1634
262.000000 84.041 153.3507
265.000000 83.984 153.4821
269.000000 83.910 153.6662
272.000000 83.853 153.8019
276.000000 83.778 153.9804
280.000000 83.706 154.1948
285.000000 83.618 154.5249
290.000000 83.534 154.8045
295.000000 83.450 155.0654
300.000000 83.371 155.3441
304.000000 83.310 155.5696
307.000000 83.266 155.7463
311.000000 83.206 155.9739
