* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 7:47:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bq10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.717 -109.8256
1.015000 69.811 -109.9436
1.030000 69.901 -110.0485
1.044000 69.984 -110.1340
1.060000 70.077 -110.2168
1.075000 70.161 -110.2795
1.090000 70.244 -110.3282
1.106000 70.330 -110.3700
1.120000 70.405 -110.4067
1.138000 70.498 -110.4597
1.150000 70.559 -110.4983
1.172000 70.668 -110.5743
1.180000 70.706 -110.6039
1.206000 70.826 -110.6988
1.220000 70.887 -110.7474
1.241000 70.974 -110.8142
1.250000 71.009 -110.8396
1.265000 71.065 -110.8768
1.280000 71.118 -110.9063
1.315000 71.225 -110.9371
1.320000 71.239 -110.9364
1.340000 71.288 -110.9190
1.360000 71.329 -110.8760
1.380000 71.361 -110.7935
1.400000 71.384 -110.6748
1.430000 71.400 -110.4304
1.450000 71.397 -110.2195
1.475000 71.375 -109.9041
1.500000 71.327 -109.5455
1.525000 71.252 -109.1531
1.550000 71.154 -108.7293
1.575000 71.037 -108.2707
1.600000 70.905 -107.7746
1.625000 70.762 -107.2514
1.650000 70.613 -106.7025
1.675000 70.461 -106.1290
1.700000 70.311 -105.5322
1.725000 70.167 -104.9135
1.750000 70.033 -104.2741
1.775000 69.913 -103.6197
1.800000 69.812 -102.9556
1.825000 69.732 -102.2730
1.850000 69.671 -101.5648
1.875000 69.621 -100.8232
1.900000 69.580 -100.0508
1.925000 69.548 -99.2545
1.950000 69.523 -98.4419
1.975000 69.505 -97.6237
2.000000 69.495 -96.8103
2.030000 69.492 -95.8398
2.060000 69.498 -94.8856
2.090000 69.514 -93.9572
2.120000 69.538 -93.0632
2.140000 69.558 -92.4901
2.180000 69.609 -91.4114
2.200000 69.640 -90.9044
2.240000 69.718 -89.9002
2.270000 69.791 -89.1423
2.300000 69.874 -88.3889
2.330000 69.968 -87.6509
2.360000 70.069 -86.9385
2.400000 70.215 -86.0645
2.430000 70.329 -85.4622
2.470000 70.487 -84.7378
2.500000 70.606 -84.2595
2.540000 70.765 -83.7132
2.580000 70.924 -83.2690
2.620000 71.088 -82.8943
2.650000 71.216 -82.6300
2.690000 71.392 -82.3042
2.720000 71.527 -82.0840
2.760000 71.709 -81.8271
2.800000 71.892 -81.6478
2.850000 72.117 -81.5050
2.900000 72.336 -81.4548
2.950000 72.548 -81.4922
3.000000 72.755 -81.6122
3.040000 72.919 -81.7442
3.070000 73.040 -81.8561
3.110000 73.201 -82.0208
3.150000 73.358 -82.2025
3.200000 73.551 -82.4761
3.250000 73.737 -82.7874
3.300000 73.917 -83.1278
3.350000 74.091 -83.4983
3.400000 74.259 -83.9173
3.450000 74.421 -84.3596
3.500000 74.578 -84.8049
3.550000 74.729 -85.2450
3.600000 74.876 -85.7025
3.650000 75.018 -86.1612
3.700000 75.154 -86.6183
3.750000 75.284 -87.0833
3.820000 75.458 -87.7750
3.870000 75.577 -88.2662
3.950000 75.759 -89.0088
4.000000 75.868 -89.4613
4.060000 75.995 -89.9846
4.120000 76.116 -90.4898
4.180000 76.231 -90.9873
4.250000 76.360 -91.5739
4.310000 76.468 -92.0384
4.370000 76.574 -92.4653
4.440000 76.695 -92.9497
4.500000 76.796 -93.3333
4.550000 76.878 -93.6327
4.620000 76.991 -94.0530
4.680000 77.088 -94.3915
4.750000 77.202 -94.7492
4.820000 77.318 -95.0949
4.870000 77.400 -95.3242
4.940000 77.516 -95.6184
5.000000 77.616 -95.8702
5.080000 77.751 -96.2046
5.150000 77.872 -96.4836
5.220000 77.995 -96.7679
5.300000 78.137 -97.0818
5.380000 78.280 -97.3923
5.450000 78.406 -97.6953
5.520000 78.532 -98.0040
5.600000 78.677 -98.3756
5.700000 78.858 -98.8680
5.800000 79.036 -99.3798
5.900000 79.208 -99.9364
6.000000 79.376 -100.5240
6.080000 79.506 -101.0202
6.150000 79.616 -101.4479
6.220000 79.722 -101.8909
6.300000 79.837 -102.4012
6.400000 79.972 -103.0499
6.500000 80.100 -103.6992
6.600000 80.218 -104.3132
6.700000 80.327 -104.9115
6.800000 80.428 -105.4850
6.900000 80.523 -106.0249
7.000000 80.613 -106.5049
7.100000 80.698 -106.9443
7.200000 80.779 -107.3359
7.300000 80.861 -107.6846
7.400000 80.943 -107.9754
7.500000 81.026 -108.2248
7.620000 81.129 -108.4789
7.750000 81.248 -108.7148
7.880000 81.376 -108.9232
8.000000 81.501 -109.1043
8.120000 81.632 -109.3074
8.250000 81.781 -109.5480
8.380000 81.935 -109.8272
8.500000 82.078 -110.1460
8.620000 82.222 -110.5120
8.750000 82.375 -110.9609
8.850000 82.488 -111.3490
9.000000 82.649 -111.9843
9.120000 82.770 -112.5265
9.250000 82.891 -113.1350
9.380000 83.001 -113.7572
9.500000 83.094 -114.3335
9.620000 83.179 -114.8925
9.750000 83.260 -115.4824
9.880000 83.329 -116.0405
10.000000 83.382 -116.5107
10.150000 83.435 -117.0927
10.300000 83.481 -117.6029
10.440000 83.518 -118.0147
10.600000 83.560 -118.4236
10.750000 83.601 -118.7559
10.900000 83.645 -119.0495
11.060000 83.698 -119.3704
11.200000 83.749 -119.6826
11.380000 83.818 -120.0804
11.500000 83.864 -120.3488
11.720000 83.948 -120.8495
11.800000 83.977 -121.0354
12.060000 84.070 -121.6722
12.200000 84.117 -122.0590
12.410000 84.186 -122.6290
12.500000 84.217 -122.8655
12.650000 84.270 -123.2474
12.800000 84.323 -123.6106
13.150000 84.447 -124.4275
13.200000 84.465 -124.5451
13.400000 84.537 -124.9940
13.600000 84.611 -125.4176
13.800000 84.688 -125.8259
14.000000 84.767 -126.2388
14.300000 84.891 -126.9548
14.500000 84.972 -127.4642
14.750000 85.069 -128.1351
15.000000 85.156 -128.8358
15.250000 85.232 -129.5972
15.500000 85.294 -130.3267
15.750000 85.345 -130.9885
16.000000 85.391 -131.5585
16.250000 85.438 -132.0726
16.500000 85.493 -132.5044
16.750000 85.558 -132.8841
17.000000 85.633 -133.2565
17.250000 85.715 -133.6843
17.500000 85.801 -134.1597
17.750000 85.883 -134.6792
18.000000 85.959 -135.2302
18.250000 86.026 -135.8154
18.500000 86.086 -136.3842
18.750000 86.139 -136.9198
19.000000 86.189 -137.4203
19.250000 86.237 -137.9170
19.500000 86.283 -138.3971
19.750000 86.326 -138.8645
20.000000 86.363 -139.3133
20.299999 86.399 -139.8337
20.600000 86.427 -140.2652
20.900000 86.455 -140.5857
21.200001 86.493 -140.8280
21.400000 86.527 -140.9677
21.799999 86.618 -141.2751
22.000000 86.671 -141.4834
22.400000 86.775 -142.0739
22.700001 86.839 -142.6173
23.000000 86.884 -143.1819
23.299999 86.914 -143.7184
23.600000 86.935 -144.1714
24.000000 86.967 -144.6539
24.299999 87.002 -144.9955
24.700001 87.058 -145.4897
25.000000 87.100 -145.9114
25.400000 87.144 -146.5240
25.799999 87.175 -147.0989
26.200001 87.205 -147.6060
26.500000 87.233 -147.9641
26.900000 87.280 -148.4612
27.200001 87.316 -148.8827
27.600000 87.355 -149.4917
28.000000 87.380 -150.0810
28.500000 87.401 -150.7083
29.000000 87.436 -151.2189
29.500000 87.486 -151.7654
30.000000 87.534 -152.4055
30.400000 87.557 -152.9370
30.700001 87.567 -153.2928
31.100000 87.578 -153.6853
31.500000 87.596 -154.0134
32.000000 87.633 -154.4083
32.500000 87.676 -154.8762
33.000000 87.711 -155.3906
33.500000 87.734 -155.8921
34.000000 87.754 -156.3449
34.500000 87.776 -156.7785
35.000000 87.799 -157.2076
35.500000 87.820 -157.6378
36.000000 87.840 -158.0539
36.500000 87.862 -158.4650
37.000000 87.886 -158.8775
37.500000 87.909 -159.3050
38.200001 87.936 -159.9119
38.700001 87.951 -160.3281
39.500000 87.974 -160.9241
40.000000 87.993 -161.2773
40.599998 88.019 -161.7372
41.200001 88.037 -162.2295
41.799999 88.044 -162.6908
42.500000 88.049 -163.1393
43.099998 88.062 -163.4955
43.700001 88.079 -163.8876
44.400002 88.091 -164.3783
45.000000 88.097 -164.7786
45.500000 88.102 -165.0991
46.200001 88.110 -165.5381
46.799999 88.117 -165.9040
47.500000 88.129 -166.3298
48.200001 88.141 -166.7812
48.700001 88.145 -167.1069
49.400002 88.148 -167.5285
50.000000 88.151 -167.8640
50.799999 88.155 -168.3139
51.500000 88.155 -168.6809
52.200001 88.159 -169.0204
53.000000 88.165 -169.4588
53.799999 88.160 -169.9077
54.500000 88.156 -170.2195
55.200001 88.165 -170.5281
56.000000 88.179 -170.9947
57.000000 88.173 -171.6067
58.000000 88.160 -172.0558
59.000000 88.156 -172.4176
60.000000 88.161 -172.7489
60.799999 88.169 -173.0554
61.500000 88.171 -173.3447
62.200001 88.170 -173.6149
63.000000 88.172 -173.9192
64.000000 88.174 -174.3630
65.000000 88.169 -174.7980
66.000000 88.166 -175.1764
67.000000 88.181 -175.5522
68.000000 88.192 -176.0805
69.000000 88.171 -176.5500
70.000000 88.154 -176.7906
71.000000 88.159 -177.0496
72.000000 88.160 -177.3954
73.000000 88.156 -177.7364
74.000000 88.151 -178.1057
75.000000 88.142 -178.4804
76.199997 88.134 -178.8990
77.500000 88.127 -179.3574
78.800003 88.115 -179.7556
80.000000 88.109 179.9245
81.199997 88.105 179.5663
82.500000 88.091 179.1488
83.800003 88.073 178.7509
85.000000 88.056 178.3983
86.199997 88.042 178.0512
87.500000 88.028 177.6820
88.500000 88.017 177.4081
90.000000 88.000 177.0219
91.199997 87.986 176.7049
92.500000 87.968 176.3620
93.800003 87.949 176.0242
95.000000 87.933 175.7177
96.199997 87.919 175.4163
97.500000 87.905 175.0993
98.800003 87.889 174.7906
100.000000 87.874 174.5259
101.500000 87.859 174.2054
103.000000 87.843 173.8551
104.400002 87.825 173.5361
106.000000 87.807 173.1722
107.500000 87.787 172.8347
109.000000 87.762 172.5125
110.599998 87.733 172.2160
112.000000 87.711 171.9678
113.800003 87.684 171.6175
115.000000 87.665 171.3901
117.199997 87.633 170.9990
118.000000 87.622 170.8521
120.599998 87.581 170.3282
122.000000 87.555 170.0659
124.099998 87.519 169.7012
125.000000 87.506 169.5531
126.500000 87.485 169.3159
128.000000 87.465 169.0854
131.500000 87.416 168.5554
132.000000 87.410 168.4758
134.000000 87.389 168.1433
136.000000 87.372 167.7950
138.000000 87.350 167.4510
140.000000 87.324 167.1392
143.000000 87.274 166.7413
145.000000 87.245 166.5572
147.500000 87.212 166.2835
150.000000 87.172 165.9178
152.500000 87.132 165.5343
155.000000 87.099 165.2092
157.500000 87.064 164.9604
160.000000 87.017 164.7036
162.500000 86.960 164.4561
165.000000 86.908 164.2194
167.500000 86.857 163.9774
170.000000 86.802 163.7451
172.500000 86.745 163.4942
175.000000 86.692 163.2509
177.500000 86.641 162.9886
180.000000 86.588 162.7401
182.500000 86.536 162.5073
185.000000 86.486 162.2882
187.500000 86.433 162.0762
190.000000 86.379 161.8810
192.500000 86.324 161.6751
195.000000 86.269 161.4667
197.500000 86.218 161.2750
200.000000 86.166 161.0900
203.000000 86.108 160.8823
206.000000 86.058 160.6748
209.000000 86.010 160.4789
212.000000 85.956 160.3137
214.000000 85.918 160.2018
218.000000 85.852 159.9861
220.000000 85.820 159.8608
224.000000 85.746 159.7338
227.000000 85.691 159.7183
230.000000 85.641 159.6278
233.000000 85.597 159.4523
236.000000 85.558 159.2652
240.000000 85.506 159.0623
243.000000 85.470 158.9221
247.000000 85.416 158.7744
250.000000 85.368 158.6926
254.000000 85.301 158.5374
258.000000 85.232 158.4014
262.000000 85.158 158.3382
265.000000 85.103 158.2924
269.000000 85.030 158.2127
272.000000 84.977 158.1198
276.000000 84.906 158.0272
280.000000 84.834 158.0124
285.000000 84.745 157.9865
290.000000 84.660 157.9477
295.000000 84.575 157.9001
300.000000 84.487 157.9014
