* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 7:50:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bq10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.251 -113.8968
1.015000 58.430 -115.5615
1.030000 58.603 -117.0309
1.044000 58.758 -118.2329
1.060000 58.926 -119.4144
1.075000 59.073 -120.3442
1.090000 59.208 -121.1136
1.106000 59.342 -121.7939
1.120000 59.455 -122.3251
1.138000 59.600 -122.9592
1.150000 59.696 -123.3547
1.172000 59.871 -124.0220
1.180000 59.934 -124.2459
1.206000 60.139 -124.8931
1.220000 60.248 -125.1865
1.241000 60.411 -125.5460
1.250000 60.480 -125.6682
1.265000 60.594 -125.8262
1.280000 60.706 -125.9234
1.315000 60.963 -125.8907
1.320000 60.999 -125.8541
1.340000 61.141 -125.6223
1.360000 61.280 -125.2480
1.380000 61.415 -124.7132
1.400000 61.546 -124.0189
1.430000 61.735 -122.6790
1.450000 61.855 -121.5880
1.475000 61.996 -120.0242
1.500000 62.119 -118.2927
1.525000 62.223 -116.4290
1.550000 62.314 -114.4528
1.575000 62.393 -112.3792
1.600000 62.465 -110.2270
1.625000 62.534 -108.0315
1.650000 62.604 -105.8210
1.675000 62.679 -103.6248
1.700000 62.762 -101.4721
1.725000 62.858 -99.3906
1.750000 62.970 -97.4050
1.775000 63.103 -95.5401
1.800000 63.260 -93.8143
1.825000 63.446 -92.2157
1.850000 63.660 -90.6911
1.875000 63.903 -89.1782
1.900000 64.171 -87.6805
1.925000 64.460 -86.2250
1.950000 64.767 -84.8366
1.975000 65.087 -83.5384
2.000000 65.419 -82.3479
2.030000 65.825 -81.0656
2.060000 66.235 -79.9534
2.090000 66.643 -79.0167
2.120000 67.042 -78.2565
2.140000 67.300 -77.8467
2.180000 67.792 -77.2534
2.200000 68.024 -77.0519
2.240000 68.475 -76.7108
2.270000 68.806 -76.4653
2.300000 69.133 -76.2346
2.330000 69.455 -76.0307
2.360000 69.772 -75.8642
2.400000 70.186 -75.7356
2.430000 70.489 -75.7044
2.470000 70.882 -75.7551
2.500000 71.168 -75.8672
2.540000 71.536 -76.1177
2.580000 71.890 -76.4764
2.620000 72.229 -76.8979
2.650000 72.474 -77.2187
2.690000 72.789 -77.6511
2.720000 73.017 -77.9803
2.760000 73.311 -78.4284
2.800000 73.594 -78.9218
2.850000 73.934 -79.5756
2.900000 74.260 -80.2768
2.950000 74.572 -81.0316
3.000000 74.867 -81.8497
3.040000 75.092 -82.5244
3.070000 75.254 -83.0306
3.110000 75.461 -83.7012
3.150000 75.660 -84.3637
3.200000 75.898 -85.2017
3.250000 76.125 -86.0372
3.300000 76.342 -86.8683
3.350000 76.548 -87.7135
3.400000 76.741 -88.5998
3.450000 76.922 -89.4958
3.500000 77.093 -90.3740
3.550000 77.254 -91.2210
3.600000 77.406 -92.0559
3.650000 77.551 -92.8632
3.700000 77.687 -93.6516
3.750000 77.813 -94.4438
3.820000 77.974 -95.5847
3.870000 78.080 -96.3821
3.950000 78.234 -97.5732
4.000000 78.323 -98.2746
4.060000 78.422 -99.0706
4.120000 78.511 -99.8391
4.180000 78.590 -100.5926
4.250000 78.671 -101.4569
4.310000 78.735 -102.1300
4.370000 78.794 -102.7304
4.440000 78.857 -103.3776
4.500000 78.904 -103.8814
4.550000 78.939 -104.2685
4.620000 78.984 -104.7851
4.680000 79.020 -105.1739
4.750000 79.063 -105.5442
4.820000 79.107 -105.8548
4.870000 79.136 -106.0358
4.940000 79.177 -106.2325
5.000000 79.213 -106.3725
5.080000 79.267 -106.5144
5.150000 79.319 -106.5809
5.220000 79.376 -106.6109
5.300000 79.447 -106.5916
5.380000 79.524 -106.5370
5.450000 79.597 -106.5036
5.520000 79.677 -106.4606
5.600000 79.776 -106.4039
5.700000 79.911 -106.3360
5.800000 80.053 -106.2959
5.900000 80.201 -106.3278
6.000000 80.356 -106.4008
6.080000 80.484 -106.5010
6.150000 80.596 -106.6075
6.220000 80.706 -106.7599
6.300000 80.831 -106.9707
6.400000 80.985 -107.2823
6.500000 81.135 -107.6455
6.600000 81.279 -108.0383
6.700000 81.414 -108.4781
6.800000 81.542 -108.9453
6.900000 81.664 -109.4289
7.000000 81.777 -109.9056
7.100000 81.882 -110.3944
7.200000 81.980 -110.8761
7.300000 82.073 -111.3431
7.400000 82.160 -111.7798
7.500000 82.242 -112.2033
7.620000 82.336 -112.6793
7.750000 82.435 -113.1470
7.880000 82.531 -113.5808
8.000000 82.620 -113.9444
8.120000 82.710 -114.2856
8.250000 82.810 -114.6299
8.380000 82.911 -114.9613
8.500000 83.008 -115.2750
8.620000 83.108 -115.5896
8.750000 83.216 -115.9431
8.850000 83.299 -116.2326
9.000000 83.422 -116.6835
9.120000 83.519 -117.0635
9.250000 83.620 -117.4917
9.380000 83.719 -117.9307
9.500000 83.806 -118.3476
9.620000 83.889 -118.7632
9.750000 83.974 -119.2143
9.880000 84.050 -119.6570
10.000000 84.110 -120.0444
10.150000 84.176 -120.5518
10.300000 84.235 -121.0185
10.440000 84.285 -121.4166
10.600000 84.340 -121.8348
10.750000 84.391 -122.1955
10.900000 84.444 -122.5325
11.060000 84.504 -122.9092
11.200000 84.560 -123.2760
11.380000 84.631 -123.7463
11.500000 84.678 -124.0624
11.720000 84.761 -124.6448
11.800000 84.789 -124.8572
12.060000 84.876 -125.5658
12.200000 84.919 -125.9796
12.410000 84.983 -126.5751
12.500000 85.011 -126.8174
12.650000 85.062 -127.2029
12.800000 85.114 -127.5665
13.150000 85.241 -128.3938
13.200000 85.259 -128.5169
13.400000 85.336 -129.0038
13.600000 85.413 -129.4950
13.800000 85.489 -130.0014
14.000000 85.562 -130.5311
14.300000 85.659 -131.4190
14.500000 85.711 -132.0034
14.750000 85.763 -132.6795
15.000000 85.804 -133.2601
15.250000 85.842 -133.7725
15.500000 85.886 -134.1654
15.750000 85.945 -134.4716
16.000000 86.024 -134.7560
16.250000 86.123 -135.1323
16.500000 86.233 -135.6117
16.750000 86.341 -136.2172
17.000000 86.436 -136.9324
17.250000 86.511 -137.7363
17.500000 86.562 -138.5323
17.750000 86.593 -139.2490
18.000000 86.613 -139.8472
18.250000 86.631 -140.3406
18.500000 86.658 -140.7287
18.750000 86.698 -141.0598
19.000000 86.751 -141.3928
19.250000 86.811 -141.7996
19.500000 86.870 -142.2730
19.750000 86.921 -142.7997
20.000000 86.958 -143.3421
20.299999 86.985 -143.9794
20.600000 86.999 -144.5090
20.900000 87.012 -144.9111
21.200001 87.034 -145.2378
21.400000 87.057 -145.4417
21.799999 87.117 -145.8814
22.000000 87.149 -146.1396
22.400000 87.206 -146.7475
22.700001 87.238 -147.2184
23.000000 87.263 -147.6617
23.299999 87.286 -148.0791
23.600000 87.312 -148.4693
24.000000 87.355 -149.0000
24.299999 87.387 -149.4505
24.700001 87.421 -150.0809
25.000000 87.436 -150.5276
25.400000 87.451 -151.0363
25.799999 87.477 -151.4200
26.200001 87.529 -151.7839
26.500000 87.583 -152.1274
26.900000 87.659 -152.7318
27.200001 87.706 -153.2891
27.600000 87.744 -154.0785
28.000000 87.756 -154.7943
28.500000 87.755 -155.4829
29.000000 87.764 -155.9509
29.500000 87.792 -156.3386
30.000000 87.831 -156.7251
30.400000 87.865 -157.0569
30.700001 87.890 -157.3142
31.100000 87.923 -157.6777
31.500000 87.952 -158.0773
32.000000 87.977 -158.5947
32.500000 87.985 -159.0943
33.000000 87.985 -159.5131
33.500000 87.985 -159.8562
34.000000 87.994 -160.1667
34.500000 88.011 -160.5125
35.000000 88.030 -160.9098
35.500000 88.046 -161.3518
36.000000 88.058 -161.8037
36.500000 88.069 -162.2522
37.000000 88.079 -162.6899
37.500000 88.091 -163.1257
38.200001 88.104 -163.7116
38.700001 88.113 -164.0950
39.500000 88.136 -164.6535
40.000000 88.154 -165.0017
40.599998 88.175 -165.4394
41.200001 88.191 -165.8792
41.799999 88.202 -166.3091
42.500000 88.207 -166.7928
43.099998 88.209 -167.1775
43.700001 88.211 -167.5409
44.400002 88.215 -167.9764
45.000000 88.216 -168.3638
45.500000 88.215 -168.6824
46.200001 88.215 -169.1009
46.799999 88.219 -169.4576
47.500000 88.225 -169.8971
48.200001 88.227 -170.3278
48.700001 88.228 -170.6104
49.400002 88.235 -170.9909
50.000000 88.242 -171.3328
50.799999 88.245 -171.7934
51.500000 88.242 -172.1467
52.200001 88.242 -172.4634
53.000000 88.244 -172.8470
53.799999 88.240 -173.2469
54.500000 88.233 -173.5717
55.200001 88.227 -173.8850
56.000000 88.222 -174.2558
57.000000 88.215 -174.7380
58.000000 88.205 -175.2347
59.000000 88.185 -175.6759
60.000000 88.176 -176.0386
60.799999 88.174 -176.3651
61.500000 88.165 -176.6551
62.200001 88.153 -176.8824
63.000000 88.149 -177.0677
64.000000 88.159 -177.3425
65.000000 88.169 -177.7042
66.000000 88.168 -178.1183
67.000000 88.151 -178.5066
68.000000 88.134 -178.7514
69.000000 88.146 -179.0274
70.000000 88.152 -179.5206
71.000000 88.135 -179.9932
72.000000 88.119 179.6175
73.000000 88.106 179.2407
74.000000 88.092 178.8913
75.000000 88.081 178.5633
76.199997 88.068 178.1823
77.500000 88.055 177.7711
78.800003 88.037 177.3552
80.000000 88.020 176.9920
81.199997 88.005 176.6416
82.500000 87.990 176.2478
83.800003 87.973 175.8663
85.000000 87.957 175.5302
86.199997 87.942 175.2003
87.500000 87.924 174.8467
88.500000 87.909 174.5789
90.000000 87.885 174.1960
91.199997 87.866 173.8934
92.500000 87.843 173.5685
93.800003 87.819 173.2522
95.000000 87.798 172.9735
96.199997 87.779 172.6805
97.500000 87.758 172.3560
98.800003 87.737 172.0437
100.000000 87.717 171.7724
101.500000 87.693 171.4530
103.000000 87.664 171.1377
104.400002 87.636 170.8455
106.000000 87.604 170.4865
107.500000 87.573 170.1594
109.000000 87.542 169.8748
110.599998 87.510 169.6309
112.000000 87.484 169.3949
113.800003 87.442 169.0460
115.000000 87.418 168.8412
117.199997 87.387 168.4008
118.000000 87.373 168.2668
120.599998 87.328 168.0471
122.000000 87.304 167.9433
124.099998 87.261 167.5426
125.000000 87.236 167.2981
126.500000 87.191 166.9098
128.000000 87.154 166.6481
131.500000 87.114 166.4713
132.000000 87.109 166.4557
134.000000 87.086 166.2998
136.000000 87.057 165.9850
138.000000 87.033 165.6040
140.000000 87.012 165.2703
143.000000 86.973 164.9189
145.000000 86.938 164.6716
147.500000 86.891 164.3101
150.000000 86.845 163.9624
152.500000 86.798 163.7154
155.000000 86.743 163.4822
157.500000 86.687 163.2604
160.000000 86.637 163.0216
162.500000 86.584 162.7730
165.000000 86.523 162.5624
167.500000 86.456 162.4025
170.000000 86.387 162.2961
172.500000 86.320 162.2032
175.000000 86.255 162.0926
177.500000 86.198 161.9727
180.000000 86.150 161.8971
182.500000 86.108 161.8328
185.000000 86.066 161.7440
187.500000 86.025 161.6133
190.000000 85.988 161.4722
192.500000 85.952 161.3323
195.000000 85.912 161.1465
197.500000 85.867 160.9522
200.000000 85.822 160.7444
203.000000 85.771 160.5300
206.000000 85.721 160.3267
209.000000 85.671 160.1247
212.000000 85.623 159.9257
214.000000 85.587 159.7843
218.000000 85.511 159.5758
220.000000 85.474 159.4900
224.000000 85.401 159.3185
227.000000 85.348 159.2083
230.000000 85.299 159.1022
233.000000 85.246 159.0028
236.000000 85.188 158.9260
240.000000 85.108 158.8174
243.000000 85.055 158.7565
247.000000 84.995 158.7163
250.000000 84.960 158.6046
254.000000 84.914 158.4102
258.000000 84.835 158.3692
262.000000 84.735 158.3157
265.000000 84.676 158.2601
269.000000 84.608 158.2589
272.000000 84.553 158.2564
276.000000 84.478 158.2630
280.000000 84.404 158.2792
285.000000 84.312 158.3049
290.000000 84.222 158.3697
295.000000 84.131 158.4269
300.000000 84.049 158.4989
