* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:44:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.644 68.2591
1.015000 54.597 66.9979
1.030000 55.444 65.7799
1.044000 56.162 64.7048
1.060000 56.906 63.5457
1.075000 57.536 62.5179
1.090000 58.105 61.5389
1.106000 58.651 60.5402
1.120000 59.081 59.6986
1.138000 59.578 58.6526
1.150000 59.877 57.9737
1.172000 60.370 56.7580
1.180000 60.533 56.3231
1.206000 61.021 54.9272
1.220000 61.262 54.1824
1.241000 61.608 53.0675
1.250000 61.753 52.5891
1.265000 61.996 51.7891
1.280000 62.243 50.9840
1.315000 62.868 49.0755
1.320000 62.965 48.7987
1.340000 63.379 47.6830
1.360000 63.817 46.5724
1.380000 64.250 45.4976
1.400000 64.669 44.4628
1.430000 65.271 42.9722
1.450000 65.656 42.0093
1.475000 66.122 40.8298
1.500000 66.571 39.6670
1.525000 67.006 38.5116
1.550000 67.428 37.3555
1.575000 67.840 36.1919
1.600000 68.244 35.0144
1.625000 68.641 33.8178
1.650000 69.034 32.5978
1.675000 69.423 31.3533
1.700000 69.807 30.0968
1.725000 70.182 28.8507
1.750000 70.546 27.6230
1.775000 70.899 26.4143
1.800000 71.244 25.2235
1.825000 71.580 24.0488
1.850000 71.907 22.8880
1.875000 72.228 21.7385
1.900000 72.542 20.5974
1.925000 72.850 19.4619
1.950000 73.153 18.3290
1.975000 73.451 17.1954
2.000000 73.746 16.0588
2.030000 74.094 14.6903
2.060000 74.433 13.3250
2.090000 74.764 11.9700
2.120000 75.085 10.6287
2.140000 75.294 9.7426
2.180000 75.703 7.9904
2.200000 75.902 7.1239
2.240000 76.293 5.4083
2.270000 76.578 4.1345
2.300000 76.859 2.8694
2.330000 77.134 1.6100
2.360000 77.405 0.3533
2.400000 77.757 -1.3212
2.430000 78.014 -2.5740
2.470000 78.346 -4.2343
2.500000 78.588 -5.4686
2.540000 78.903 -7.0970
2.580000 79.209 -8.7036
2.620000 79.507 -10.2881
2.650000 79.727 -11.4628
2.690000 80.013 -13.0142
2.720000 80.223 -14.1724
2.760000 80.495 -15.7149
2.800000 80.759 -17.2516
2.850000 81.078 -19.1556
2.900000 81.386 -21.0319
2.950000 81.684 -22.8746
3.000000 81.974 -24.6815
3.040000 82.199 -26.1058
3.070000 82.365 -27.1689
3.110000 82.579 -28.5831
3.150000 82.787 -29.9906
3.200000 83.039 -31.7332
3.250000 83.283 -33.4493
3.300000 83.520 -35.1327
3.350000 83.750 -36.7810
3.400000 83.974 -38.4033
3.450000 84.190 -40.0140
3.500000 84.398 -41.6122
3.550000 84.600 -43.1917
3.600000 84.796 -44.7461
3.650000 84.986 -46.2706
3.700000 85.172 -47.7644
3.750000 85.353 -49.2364
3.820000 85.597 -51.2745
3.870000 85.764 -52.7117
3.950000 86.024 -54.9689
4.000000 86.181 -56.3481
4.060000 86.365 -57.9722
4.120000 86.544 -59.5728
4.180000 86.716 -61.1543
4.250000 86.912 -62.9721
4.310000 87.074 -64.5034
4.370000 87.233 -66.0089
4.440000 87.414 -67.7383
4.500000 87.565 -69.2034
4.550000 87.687 -70.4122
4.620000 87.854 -72.0844
4.680000 87.994 -73.4985
4.750000 88.153 -75.1286
4.820000 88.308 -76.7433
4.870000 88.415 -77.8878
4.940000 88.562 -79.4763
5.000000 88.685 -80.8240
5.080000 88.844 -82.6039
5.150000 88.979 -84.1515
5.220000 89.109 -85.6899
5.300000 89.252 -87.4324
5.380000 89.390 -89.1556
5.450000 89.506 -90.6532
5.520000 89.617 -92.1453
5.600000 89.739 -93.8385
5.700000 89.883 -95.9270
5.800000 90.018 -97.9891
5.900000 90.143 -100.0350
6.000000 90.260 -102.0506
6.080000 90.347 -103.6349
6.150000 90.418 -105.0068
6.220000 90.485 -106.3671
6.300000 90.557 -107.9017
6.400000 90.640 -109.7805
6.500000 90.716 -111.6216
6.600000 90.785 -113.4303
6.700000 90.848 -115.1982
6.800000 90.905 -116.9232
6.900000 90.956 -118.6123
7.000000 91.003 -120.2651
7.100000 91.046 -121.8793
7.200000 91.086 -123.4584
7.300000 91.121 -125.0057
7.400000 91.154 -126.5219
7.500000 91.183 -128.0087
7.620000 91.215 -129.7583
7.750000 91.244 -131.6134
7.880000 91.269 -133.4309
8.000000 91.287 -135.0767
8.120000 91.301 -136.6914
8.250000 91.310 -138.4091
8.380000 91.314 -140.0906
8.500000 91.312 -141.6083
8.620000 91.305 -143.0948
8.750000 91.293 -144.6644
8.850000 91.280 -145.8419
9.000000 91.256 -147.5609
9.120000 91.232 -148.8929
9.250000 91.204 -150.2927
9.380000 91.173 -151.6511
9.500000 91.142 -152.8694
9.620000 91.110 -154.0557
9.750000 91.074 -155.3101
9.880000 91.036 -156.5361
10.000000 91.001 -157.6448
10.150000 90.954 -159.0054
10.300000 90.904 -160.3404
10.440000 90.853 -161.5631
10.600000 90.791 -162.9338
10.750000 90.728 -164.1879
10.900000 90.659 -165.4071
11.060000 90.581 -166.6647
11.200000 90.508 -167.7222
11.380000 90.411 -169.0215
11.500000 90.344 -169.8494
11.720000 90.222 -171.2932
11.800000 90.178 -171.7991
12.060000 90.040 -173.3926
12.200000 89.967 -174.2380
12.410000 89.860 -175.5119
12.500000 89.813 -176.0671
12.650000 89.733 -177.0085
12.800000 89.648 -177.9686
13.150000 89.411 179.7488
13.200000 89.372 179.4261
13.400000 89.200 178.1692
13.600000 89.003 177.0173
13.800000 88.784 176.0259
14.000000 88.549 175.2533
14.300000 88.191 174.5755
14.500000 87.969 174.4471
14.750000 87.730 174.5852
15.000000 87.552 174.9048
15.250000 87.437 175.2178
15.500000 87.371 175.3597
15.750000 87.333 175.2287
16.000000 87.297 174.8159
16.250000 87.241 174.1866
16.500000 87.156 173.4461
16.750000 87.037 172.7142
17.000000 86.892 172.0917
17.250000 86.733 171.6389
17.500000 86.573 171.3718
17.750000 86.424 171.2623
18.000000 86.290 171.2574
18.250000 86.173 171.3036
18.500000 86.068 171.3640
18.750000 85.970 171.4266
19.000000 85.875 171.5012
19.250000 85.785 171.6022
19.500000 85.699 171.7371
19.750000 85.621 171.9000
20.000000 85.552 172.0739
20.299999 85.476 172.2774
20.600000 85.404 172.4786
20.900000 85.333 172.7150
21.200001 85.267 173.0328
21.400000 85.232 173.2961
21.799999 85.203 173.8619
22.000000 85.212 174.0873
22.400000 85.260 174.2277
22.700001 85.290 174.0066
23.000000 85.285 173.5989
23.299999 85.230 173.2050
23.600000 85.137 173.0515
24.000000 85.016 173.4217
24.299999 84.980 174.0200
24.700001 85.034 174.7307
25.000000 85.117 174.8822
25.400000 85.193 174.5495
25.799999 85.164 174.1327
26.200001 85.069 174.3441
26.500000 85.035 175.0580
26.900000 85.137 176.2060
27.200001 85.318 176.5834
27.600000 85.578 175.8578
28.000000 85.684 173.9337
28.500000 85.440 171.3651
29.000000 84.873 170.8422
29.500000 84.372 173.4251
30.000000 84.309 177.2653
30.400000 84.519 179.2751
30.700001 84.705 179.8210
31.100000 84.889 179.6124
31.500000 84.970 178.9500
32.000000 84.979 178.0854
32.500000 84.956 177.2647
33.000000 84.916 176.3354
33.500000 84.847 175.3315
34.000000 84.760 174.4095
34.500000 84.680 173.6211
35.000000 84.617 172.9254
35.500000 84.572 172.3199
36.000000 84.547 171.8260
36.500000 84.549 171.4014
37.000000 84.565 170.9853
37.500000 84.576 170.6088
38.200001 84.577 170.3295
38.700001 84.581 170.3234
39.500000 84.596 170.4146
40.000000 84.591 170.4745
40.599998 84.563 170.6146
41.200001 84.524 170.8661
41.799999 84.490 171.1493
42.500000 84.458 171.3409
43.099998 84.421 171.3518
43.700001 84.369 171.3438
44.400002 84.320 171.4050
45.000000 84.306 171.4031
45.500000 84.303 171.2889
46.200001 84.290 171.0466
46.799999 84.273 170.8909
47.500000 84.256 170.8111
48.200001 84.244 170.8357
48.700001 84.242 170.9169
49.400002 84.252 171.0491
50.000000 84.265 171.1062
50.799999 84.277 171.1161
51.500000 84.284 171.0712
52.200001 84.284 170.9352
53.000000 84.264 170.8013
53.799999 84.257 170.8113
54.500000 84.278 170.7452
55.200001 84.295 170.5179
56.000000 84.291 170.3021
57.000000 84.302 170.2256
58.000000 84.330 169.9991
59.000000 84.339 169.6558
60.000000 84.330 169.2097
60.799999 84.300 168.8761
61.500000 84.276 168.6898
62.200001 84.267 168.5094
63.000000 84.264 168.2374
64.000000 84.263 167.8890
65.000000 84.264 167.5214
66.000000 84.260 167.2269
67.000000 84.264 166.9057
68.000000 84.242 166.4746
69.000000 84.194 166.1127
70.000000 84.134 165.8266
71.000000 84.080 165.6156
72.000000 84.039 165.2908
73.000000 83.981 164.9171
74.000000 83.931 164.6726
75.000000 83.901 164.3705
76.199997 83.856 163.9110
77.500000 83.789 163.4836
78.800003 83.717 163.1861
80.000000 83.653 162.9471
81.199997 83.587 162.7396
82.500000 83.518 162.5439
83.800003 83.456 162.3793
85.000000 83.409 162.1455
86.199997 83.340 161.8085
87.500000 83.242 161.6869
88.500000 83.186 161.7078
90.000000 83.113 161.5531
91.199997 83.034 161.4372
92.500000 82.959 161.4331
93.800003 82.902 161.3861
95.000000 82.854 161.2126
96.199997 82.788 161.0226
97.500000 82.715 160.9510
98.800003 82.650 160.8829
100.000000 82.587 160.8483
101.500000 82.515 160.8787
103.000000 82.459 160.8911
104.400002 82.404 160.7600
106.000000 82.316 160.6144
107.500000 82.224 160.6135
109.000000 82.148 160.7178
110.599998 82.087 160.7592
112.000000 82.037 160.7167
113.800003 81.963 160.6376
115.000000 81.911 160.6175
117.199997 81.817 160.6271
118.000000 81.783 160.6278
120.599998 81.675 160.5624
122.000000 81.611 160.4630
124.099998 81.511 160.3277
125.000000 81.470 160.2847
126.500000 81.409 160.2106
128.000000 81.352 160.1301
131.500000 81.205 160.0223
132.000000 81.183 160.0226
134.000000 81.094 159.9956
136.000000 80.998 159.9526
138.000000 80.904 159.9347
140.000000 80.810 159.9062
143.000000 80.659 159.9027
145.000000 80.553 159.9357
147.500000 80.422 160.0500
150.000000 80.300 160.1002
152.500000 80.180 160.0449
155.000000 80.057 160.0566
157.500000 79.933 160.2136
160.000000 79.799 160.4849
162.500000 79.667 160.7632
165.000000 79.542 160.9014
167.500000 79.413 161.0903
170.000000 79.292 161.3856
172.500000 79.176 161.6533
175.000000 79.065 161.8616
177.500000 78.952 162.1426
180.000000 78.833 162.5581
182.500000 78.708 162.9766
185.000000 78.578 163.3001
187.500000 78.456 163.6469
190.000000 78.342 164.0906
192.500000 78.235 164.6505
195.000000 78.136 165.2286
197.500000 78.045 165.6631
200.000000 77.960 166.0459
203.000000 77.867 166.5817
206.000000 77.768 167.2003
209.000000 77.662 167.7859
212.000000 77.549 168.3265
214.000000 77.473 168.7475
218.000000 77.343 169.6175
220.000000 77.287 169.9551
224.000000 77.172 170.6815
227.000000 77.080 171.4172
230.000000 76.987 172.1328
233.000000 76.893 172.7825
236.000000 76.804 173.4384
240.000000 76.703 174.3382
243.000000 76.631 174.9186
247.000000 76.530 175.6407
250.000000 76.452 176.2423
254.000000 76.363 177.0947
258.000000 76.290 177.9248
262.000000 76.212 178.7078
265.000000 76.143 179.3202
269.000000 76.047 -179.7678
272.000000 75.975 -179.1338
276.000000 75.886 -178.3407
280.000000 75.814 -177.4576
285.000000 75.725 -176.3823
290.000000 75.645 -175.2435
295.000000 75.572 -173.8910
300.000000 75.516 -172.5392
304.000000 75.495 -171.6050
307.000000 75.496 -171.0199
311.000000 75.497 -170.3843
315.000000 75.475 -169.7525
320.000000 75.424 -168.9403
325.000000 75.369 -168.1176
330.000000 75.329 -167.3427
335.000000 75.281 -166.5272
340.000000 75.231 -165.5341
345.000000 75.201 -164.5713
350.000000 75.187 -163.8232
355.000000 75.164 -163.2190
