* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:54:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.031 86.9150
1.015000 51.827 85.4353
1.030000 52.541 83.9759
1.044000 53.156 82.6581
1.060000 53.805 81.2086
1.075000 54.363 79.9025
1.090000 54.878 78.6443
1.106000 55.384 77.3510
1.120000 55.792 76.2567
1.138000 56.274 74.8954
1.150000 56.573 74.0130
1.172000 57.078 72.4402
1.180000 57.250 71.8807
1.206000 57.775 70.0989
1.220000 58.041 69.1581
1.241000 58.426 67.7643
1.250000 58.587 67.1715
1.265000 58.856 66.1874
1.280000 59.125 65.2059
1.315000 59.780 62.9113
1.320000 59.879 62.5819
1.340000 60.286 61.2599
1.360000 60.707 59.9443
1.380000 61.119 58.6582
1.400000 61.517 57.4072
1.430000 62.088 55.5887
1.450000 62.453 54.4087
1.475000 62.893 52.9624
1.500000 63.318 51.5404
1.525000 63.728 50.1348
1.550000 64.126 48.7386
1.575000 64.515 47.3451
1.600000 64.895 45.9481
1.625000 65.270 44.5418
1.650000 65.641 43.1212
1.675000 66.009 41.6832
1.700000 66.372 40.2344
1.725000 66.727 38.7903
1.750000 67.071 37.3598
1.775000 67.406 35.9467
1.800000 67.732 34.5527
1.825000 68.050 33.1784
1.850000 68.360 31.8236
1.875000 68.664 30.4872
1.900000 68.961 29.1673
1.925000 69.253 27.8618
1.950000 69.540 26.5684
1.975000 69.823 25.2839
2.000000 70.102 24.0056
2.030000 70.432 22.4760
2.060000 70.754 20.9510
2.090000 71.068 19.4353
2.120000 71.373 17.9338
2.140000 71.572 16.9424
2.180000 71.960 14.9860
2.200000 72.149 14.0215
2.240000 72.520 12.1208
2.270000 72.792 10.7192
2.300000 73.058 9.3365
2.330000 73.321 7.9706
2.360000 73.579 6.6172
2.400000 73.915 4.8219
2.430000 74.159 3.4813
2.470000 74.476 1.7079
2.500000 74.708 0.3927
2.540000 75.009 -1.3365
2.580000 75.302 -3.0339
2.620000 75.589 -4.6974
2.650000 75.799 -5.9221
2.690000 76.075 -7.5278
2.720000 76.278 -8.7183
2.760000 76.541 -10.2955
2.800000 76.797 -11.8595
2.850000 77.106 -13.7880
2.900000 77.407 -15.6789
2.950000 77.699 -17.5255
3.000000 77.984 -19.3241
3.040000 78.207 -20.7314
3.070000 78.372 -21.7747
3.110000 78.586 -23.1534
3.150000 78.795 -24.5174
3.200000 79.049 -26.1976
3.250000 79.297 -27.8458
3.300000 79.540 -29.4580
3.350000 79.778 -31.0323
3.400000 80.012 -32.5731
3.450000 80.240 -34.0887
3.500000 80.463 -35.5817
3.550000 80.680 -37.0515
3.600000 80.894 -38.4975
3.650000 81.105 -39.9192
3.700000 81.312 -41.3170
3.750000 81.517 -42.6925
3.820000 81.797 -44.5859
3.870000 81.993 -45.9180
3.950000 82.301 -48.0195
4.000000 82.490 -49.3169
4.060000 82.713 -50.8598
4.120000 82.934 -52.3871
4.180000 83.150 -53.8997
4.250000 83.398 -55.6495
4.310000 83.606 -57.1409
4.370000 83.810 -58.6284
4.440000 84.043 -60.3620
4.500000 84.239 -61.8451
4.550000 84.399 -63.0781
4.620000 84.618 -64.7994
4.680000 84.800 -66.2723
4.750000 85.007 -67.9940
4.820000 85.207 -69.7239
4.870000 85.346 -70.9614
4.940000 85.534 -72.6902
5.000000 85.689 -74.1647
5.080000 85.886 -76.1257
5.150000 86.050 -77.8497
5.220000 86.206 -79.5766
5.300000 86.374 -81.5356
5.380000 86.531 -83.4678
5.450000 86.659 -85.1477
5.520000 86.778 -86.8271
5.600000 86.903 -88.7311
5.700000 87.045 -91.0557
5.800000 87.170 -93.3229
5.900000 87.278 -95.5559
6.000000 87.371 -97.7241
6.080000 87.436 -99.3939
6.150000 87.485 -100.8172
6.220000 87.528 -102.2102
6.300000 87.570 -103.7575
6.400000 87.616 -105.6072
6.500000 87.654 -107.3649
6.600000 87.685 -109.0441
6.700000 87.712 -110.6449
6.800000 87.738 -112.1626
6.900000 87.763 -113.6031
7.000000 87.787 -114.9843
7.100000 87.815 -116.3169
7.200000 87.845 -117.5993
7.300000 87.878 -118.8454
7.400000 87.914 -120.0775
7.500000 87.953 -121.3014
7.620000 88.003 -122.7615
7.750000 88.059 -124.3596
7.880000 88.114 -125.9892
8.000000 88.163 -127.5169
8.120000 88.205 -129.0706
8.250000 88.243 -130.7867
8.380000 88.271 -132.5158
8.500000 88.285 -134.1135
8.620000 88.289 -135.7108
8.750000 88.281 -137.4117
8.850000 88.267 -138.6912
9.000000 88.233 -140.5593
9.120000 88.197 -141.9886
9.250000 88.152 -143.4658
9.380000 88.103 -144.8714
9.500000 88.057 -146.1006
9.620000 88.012 -147.2681
9.750000 87.966 -148.4797
9.880000 87.925 -149.6443
10.000000 87.892 -150.6880
10.150000 87.858 -151.9806
10.300000 87.829 -153.2719
10.440000 87.806 -154.4937
10.600000 87.780 -155.9247
10.750000 87.752 -157.2953
10.900000 87.717 -158.6932
11.060000 87.669 -160.1961
11.200000 87.616 -161.5000
11.380000 87.532 -163.1387
11.500000 87.466 -164.1829
11.720000 87.328 -165.9686
11.800000 87.275 -166.5665
12.060000 87.094 -168.3024
12.200000 86.999 -169.1089
12.410000 86.865 -170.1707
12.500000 86.813 -170.5851
12.650000 86.734 -171.2350
12.800000 86.664 -171.8595
13.150000 86.528 -173.3307
13.200000 86.511 -173.5506
13.400000 86.438 -174.4590
13.600000 86.358 -175.4053
13.800000 86.264 -176.3608
14.000000 86.154 -177.2836
14.300000 85.961 -178.5128
14.500000 85.820 -179.1841
14.750000 85.644 -179.8360
15.000000 85.478 179.6871
15.250000 85.331 179.3111
15.500000 85.202 178.9501
15.750000 85.084 178.5321
16.000000 84.964 178.0323
16.250000 84.829 177.4784
16.500000 84.675 176.9345
16.750000 84.500 176.4833
17.000000 84.313 176.1926
17.250000 84.130 176.0880
17.500000 83.965 176.1434
17.750000 83.827 176.2797
18.000000 83.720 176.3954
18.250000 83.633 176.4039
18.500000 83.554 176.2634
18.750000 83.465 175.9940
19.000000 83.355 175.6741
19.250000 83.222 175.4117
19.500000 83.070 175.3179
19.750000 82.916 175.4733
20.000000 82.780 175.8975
20.299999 82.669 176.6773
20.600000 82.635 177.5473
20.900000 82.671 178.2592
21.200001 82.750 178.6395
21.400000 82.809 178.6851
21.799999 82.903 178.3834
22.000000 82.928 178.1256
22.400000 82.932 177.6246
22.700001 82.909 177.3861
23.000000 82.880 177.3040
23.299999 82.858 177.3458
23.600000 82.845 177.4523
24.000000 82.838 177.6211
24.299999 82.834 177.7593
24.700001 82.828 177.9916
25.000000 82.829 178.2094
25.400000 82.846 178.5045
25.799999 82.880 178.6958
26.200001 82.915 178.7097
26.500000 82.930 178.6235
26.900000 82.930 178.4728
27.200001 82.921 178.3875
27.600000 82.913 178.3179
28.000000 82.918 178.2159
28.500000 82.934 177.8945
29.000000 82.926 177.3810
29.500000 82.886 176.9002
30.000000 82.843 176.6033
30.400000 82.829 176.4264
30.700001 82.829 176.2505
31.100000 82.832 175.9108
31.500000 82.819 175.4917
32.000000 82.772 175.0321
32.500000 82.710 174.8058
33.000000 82.663 174.8048
33.500000 82.643 174.8900
34.000000 82.644 174.9304
34.500000 82.652 174.8578
35.000000 82.654 174.6596
35.500000 82.634 174.3897
36.000000 82.589 174.1578
36.500000 82.535 174.0502
37.000000 82.489 174.0429
37.500000 82.457 174.0317
38.200001 82.419 173.9203
38.700001 82.390 173.8333
39.500000 82.362 173.7303
40.000000 82.360 173.5950
40.599998 82.354 173.3354
41.200001 82.337 173.0945
41.799999 82.324 172.9391
42.500000 82.324 172.7531
43.099998 82.317 172.5522
43.700001 82.295 172.4337
44.400002 82.274 172.4813
45.000000 82.273 172.5710
45.500000 82.280 172.5998
46.200001 82.283 172.5651
46.799999 82.275 172.5106
47.500000 82.256 172.4772
48.200001 82.239 172.4997
48.700001 82.233 172.5068
49.400002 82.230 172.4377
50.000000 82.222 172.3425
50.799999 82.215 172.2285
51.500000 82.216 172.0783
52.200001 82.210 171.9291
53.000000 82.216 171.8639
53.799999 82.248 171.6768
54.500000 82.257 171.3834
55.200001 82.250 171.2375
56.000000 82.274 171.1586
57.000000 82.304 170.6640
58.000000 82.262 170.3710
59.000000 82.279 170.5328
60.000000 82.365 170.3155
60.799999 82.418 169.8096
61.500000 82.437 169.3068
62.200001 82.436 168.8672
63.000000 82.428 168.4830
64.000000 82.416 168.0757
65.000000 82.393 167.7075
66.000000 82.363 167.4060
67.000000 82.335 167.0901
68.000000 82.301 166.6942
69.000000 82.258 166.2898
70.000000 82.222 165.8770
71.000000 82.189 165.4019
72.000000 82.154 164.9233
73.000000 82.121 164.5117
74.000000 82.101 164.1371
75.000000 82.083 163.6919
76.199997 82.045 163.1938
77.500000 81.994 162.6644
78.800003 81.918 162.2471
80.000000 81.856 161.9718
81.199997 81.793 161.6635
82.500000 81.728 161.4230
83.800003 81.690 161.0871
85.000000 81.634 160.5421
86.199997 81.542 160.1602
87.500000 81.456 160.0099
88.500000 81.407 159.9075
90.000000 81.338 159.6981
91.199997 81.278 159.5149
92.500000 81.212 159.4041
93.800003 81.163 159.2560
95.000000 81.115 159.0297
96.199997 81.057 158.7903
97.500000 80.993 158.6357
98.800003 80.941 158.4637
100.000000 80.888 158.3408
101.500000 80.843 158.2144
103.000000 80.785 157.9123
104.400002 80.713 157.7914
106.000000 80.656 157.7760
107.500000 80.619 157.5472
109.000000 80.570 157.2727
110.599998 80.518 157.0120
112.000000 80.463 156.9076
113.800003 80.403 156.8747
115.000000 80.346 156.8367
117.199997 80.258 156.7422
118.000000 80.223 156.5746
120.599998 80.117 156.1072
122.000000 80.074 155.8289
124.099998 79.979 155.5848
125.000000 79.931 155.6077
126.500000 79.856 155.6907
128.000000 79.790 155.6420
131.500000 79.661 155.0803
132.000000 79.646 155.0087
134.000000 79.589 154.8216
136.000000 79.518 154.7939
138.000000 79.441 154.8348
140.000000 79.358 154.6910
143.000000 79.224 154.3605
145.000000 79.141 154.2352
147.500000 79.036 154.1783
150.000000 78.923 154.1797
152.500000 78.806 154.1697
155.000000 78.691 154.1624
157.500000 78.582 154.1530
160.000000 78.472 154.1605
162.500000 78.363 154.1870
165.000000 78.253 154.2014
167.500000 78.155 154.2812
170.000000 78.065 154.3578
172.500000 77.972 154.4933
175.000000 77.873 154.6077
177.500000 77.769 154.7369
180.000000 77.672 154.9553
182.500000 77.577 155.1467
185.000000 77.461 155.4532
187.500000 77.363 155.9531
190.000000 77.297 156.3706
192.500000 77.228 156.6356
195.000000 77.139 156.8926
197.500000 77.047 157.1313
200.000000 76.959 157.2921
203.000000 76.853 157.5707
206.000000 76.754 158.0448
209.000000 76.667 158.4924
212.000000 76.578 158.9118
214.000000 76.521 159.1993
218.000000 76.435 159.7537
220.000000 76.401 160.0119
224.000000 76.328 160.4818
227.000000 76.263 160.8803
230.000000 76.194 161.3785
233.000000 76.119 161.8518
236.000000 76.052 162.2800
240.000000 75.984 162.8506
243.000000 75.936 163.2520
247.000000 75.876 163.7923
250.000000 75.841 164.2266
254.000000 75.790 164.6971
258.000000 75.729 165.1330
262.000000 75.673 165.6783
265.000000 75.635 166.1037
269.000000 75.579 166.6605
272.000000 75.539 167.0586
276.000000 75.493 167.5601
280.000000 75.449 168.0024
285.000000 75.392 168.5847
290.000000 75.322 169.2803
295.000000 75.265 169.9279
300.000000 75.224 170.5742
304.000000 75.190 171.1257
307.000000 75.167 171.5640
311.000000 75.144 172.2008
315.000000 75.139 172.8370
320.000000 75.149 173.4597
325.000000 75.140 173.7648
330.000000 75.126 173.9966
335.000000 75.104 174.3065
340.000000 75.069 174.8259
345.000000 75.023 175.4711
350.000000 74.992 175.9623
355.000000 74.973 176.4106
360.000000 74.956 176.8678
