* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:46:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.736 121.4315
1.015000 50.882 114.6545
1.030000 51.096 107.9088
1.044000 51.353 101.8293
1.060000 51.710 95.3110
1.075000 52.101 89.7168
1.090000 52.540 84.6617
1.106000 53.055 79.8540
1.120000 53.540 76.1080
1.138000 54.205 71.8549
1.150000 54.670 69.3283
1.172000 55.556 65.2385
1.180000 55.886 63.9013
1.206000 56.976 60.0073
1.220000 57.567 58.1508
1.241000 58.447 55.6176
1.250000 58.818 54.6105
1.265000 59.426 53.0204
1.280000 60.015 51.5265
1.315000 61.285 48.3364
1.320000 61.453 47.9084
1.340000 62.082 46.2567
1.360000 62.659 44.7124
1.380000 63.211 43.2954
1.400000 63.747 41.9965
1.430000 64.522 40.2268
1.450000 65.022 39.1410
1.475000 65.627 37.8645
1.500000 66.214 36.6570
1.525000 66.782 35.5004
1.550000 67.334 34.3798
1.575000 67.870 33.2834
1.600000 68.392 32.2015
1.625000 68.902 31.1264
1.650000 69.400 30.0521
1.675000 69.887 28.9767
1.700000 70.360 27.9139
1.725000 70.816 26.8853
1.750000 71.253 25.8944
1.775000 71.673 24.9366
1.800000 72.078 24.0068
1.825000 72.469 23.0999
1.850000 72.847 22.2112
1.875000 73.215 21.3365
1.900000 73.573 20.4719
1.925000 73.923 19.6136
1.950000 74.267 18.7583
1.975000 74.606 17.9031
2.000000 74.941 17.0457
2.030000 75.338 16.0167
2.060000 75.725 14.9999
2.090000 76.098 14.0017
2.120000 76.460 13.0212
2.140000 76.695 12.3762
2.180000 77.150 11.1038
2.200000 77.372 10.4747
2.240000 77.804 9.2269
2.270000 78.120 8.2969
2.300000 78.430 7.3691
2.330000 78.735 6.4410
2.360000 79.036 5.5121
2.400000 79.425 4.2780
2.430000 79.708 3.3597
2.470000 80.074 2.1466
2.500000 80.340 1.2452
2.540000 80.685 0.0535
2.580000 81.021 -1.1281
2.620000 81.348 -2.3017
2.650000 81.588 -3.1783
2.690000 81.902 -4.3444
2.720000 82.132 -5.2177
2.760000 82.431 -6.3787
2.800000 82.720 -7.5341
2.850000 83.070 -8.9684
2.900000 83.408 -10.3903
2.950000 83.734 -11.8003
3.000000 84.052 -13.2003
3.040000 84.300 -14.3156
3.070000 84.482 -15.1514
3.110000 84.718 -16.2646
3.150000 84.947 -17.3752
3.200000 85.224 -18.7570
3.250000 85.493 -20.1295
3.300000 85.754 -21.4919
3.350000 86.008 -22.8450
3.400000 86.254 -24.1935
3.450000 86.492 -25.5420
3.500000 86.722 -26.8890
3.550000 86.944 -28.2313
3.600000 87.160 -29.5665
3.650000 87.369 -30.8934
3.700000 87.573 -32.2131
3.750000 87.771 -33.5311
3.820000 88.037 -35.3789
3.870000 88.219 -36.6978
3.950000 88.499 -38.7986
4.000000 88.667 -40.1035
4.060000 88.863 -41.6639
4.120000 89.051 -43.2273
4.180000 89.232 -44.7944
4.250000 89.434 -46.6212
4.310000 89.600 -48.1812
4.370000 89.760 -49.7347
4.440000 89.939 -51.5489
4.500000 90.085 -53.1108
4.550000 90.202 -54.4148
4.620000 90.360 -56.2379
4.680000 90.489 -57.7953
4.750000 90.633 -59.6107
4.820000 90.770 -61.4354
4.870000 90.864 -62.7437
4.940000 90.988 -64.5762
5.000000 91.090 -66.1429
5.080000 91.219 -68.2285
5.150000 91.325 -70.0621
5.220000 91.424 -71.9047
5.300000 91.531 -74.0106
5.380000 91.631 -76.1097
5.450000 91.712 -77.9481
5.520000 91.789 -79.7960
5.600000 91.869 -81.9130
5.700000 91.962 -84.5514
5.800000 92.046 -87.1865
5.900000 92.120 -89.8340
6.000000 92.188 -92.4787
6.080000 92.236 -94.5850
6.150000 92.275 -96.4289
6.220000 92.311 -98.2765
6.300000 92.348 -100.3861
6.400000 92.391 -103.0095
6.500000 92.429 -105.6265
6.600000 92.462 -108.2430
6.700000 92.492 -110.8470
6.800000 92.519 -113.4363
6.900000 92.544 -116.0202
7.000000 92.566 -118.5925
7.100000 92.587 -121.1462
7.200000 92.607 -123.6880
7.300000 92.626 -126.2171
7.400000 92.644 -128.7256
7.500000 92.662 -131.2152
7.620000 92.682 -134.1813
7.750000 92.704 -137.3550
7.880000 92.725 -140.4893
8.000000 92.743 -143.3451
8.120000 92.760 -146.1537
8.250000 92.778 -149.1481
8.380000 92.793 -152.0818
8.500000 92.805 -154.7281
8.620000 92.815 -157.3179
8.750000 92.823 -160.0463
8.850000 92.827 -162.0876
9.000000 92.829 -165.0569
9.120000 92.829 -167.3414
9.250000 92.826 -169.7250
9.380000 92.820 -172.0123
9.500000 92.813 -174.0337
9.620000 92.804 -175.9715
9.750000 92.794 -177.9786
9.880000 92.783 -179.8905
10.000000 92.772 178.4240
10.150000 92.759 176.4157
10.300000 92.745 174.5108
10.440000 92.731 172.8137
10.600000 92.714 170.9600
10.750000 92.696 169.2954
10.900000 92.673 167.6918
11.060000 92.644 166.0443
11.200000 92.611 164.6518
11.380000 92.559 162.9286
11.500000 92.516 161.8243
11.720000 92.421 159.8969
11.800000 92.380 159.2310
12.060000 92.227 157.2060
12.200000 92.132 156.2124
12.410000 91.975 154.8557
12.500000 91.902 154.3247
12.650000 91.777 153.5067
12.800000 91.646 152.7683
13.150000 91.327 151.3277
13.200000 91.280 151.1497
13.400000 91.091 150.4965
13.600000 90.898 149.9205
13.800000 90.701 149.4084
14.000000 90.499 148.9496
14.300000 90.182 148.3616
14.500000 89.962 148.0449
14.750000 89.677 147.7509
15.000000 89.387 147.5872
15.250000 89.097 147.5584
15.500000 88.815 147.6498
15.750000 88.549 147.8240
16.000000 88.301 148.0262
16.250000 88.072 148.1998
16.500000 87.857 148.3010
16.750000 87.647 148.3105
17.000000 87.436 148.2420
17.250000 87.217 148.1365
17.500000 86.989 148.0509
17.750000 86.756 148.0442
18.000000 86.526 148.1569
18.250000 86.309 148.3999
18.500000 86.114 148.7513
18.750000 85.946 149.1627
19.000000 85.805 149.5770
19.250000 85.686 149.9530
19.500000 85.582 150.2745
19.750000 85.484 150.5547
20.000000 85.390 150.8258
20.299999 85.282 151.1847
20.600000 85.184 151.6059
20.900000 85.101 152.0725
21.200001 85.034 152.5383
21.400000 84.995 152.8276
21.799999 84.916 153.3535
22.000000 84.871 153.6146
22.400000 84.771 154.2289
22.700001 84.697 154.8207
23.000000 84.638 155.5086
23.299999 84.604 156.2111
23.600000 84.595 156.8170
24.000000 84.597 157.3372
24.299999 84.590 157.4988
24.700001 84.544 157.5251
25.000000 84.482 157.5175
25.400000 84.373 157.6041
25.799999 84.258 157.8499
26.200001 84.157 158.2161
26.500000 84.096 158.5255
26.900000 84.037 158.9338
27.200001 84.009 159.2104
27.600000 83.992 159.5035
28.000000 83.993 159.6759
28.500000 84.002 159.7157
29.000000 84.005 159.6372
29.500000 83.998 159.5461
30.000000 83.984 159.4930
30.400000 83.968 159.4830
30.700001 83.951 159.5018
31.100000 83.923 159.5815
31.500000 83.889 159.7435
32.000000 83.850 160.0543
32.500000 83.822 160.4206
33.000000 83.805 160.7451
33.500000 83.793 160.9384
34.000000 83.771 160.9586
34.500000 83.721 160.8640
35.000000 83.640 160.8068
35.500000 83.550 160.9171
36.000000 83.480 161.1582
36.500000 83.442 161.3485
37.000000 83.416 161.3575
37.500000 83.378 161.2372
38.200001 83.295 161.1290
38.700001 83.233 161.1851
39.500000 83.147 161.4609
40.000000 83.103 161.7462
40.599998 83.074 162.1608
41.200001 83.070 162.4913
41.799999 83.066 162.6445
42.500000 83.032 162.7676
43.099998 82.994 162.9791
43.700001 82.972 163.2249
44.400002 82.957 163.3929
45.000000 82.935 163.4623
45.500000 82.910 163.5487
46.200001 82.879 163.7587
46.799999 82.866 163.9761
47.500000 82.863 164.2041
48.200001 82.864 164.3890
48.700001 82.863 164.5118
49.400002 82.863 164.6875
50.000000 82.865 164.8272
50.799999 82.866 164.9791
51.500000 82.865 165.1047
52.200001 82.871 165.2085
53.000000 82.882 165.2167
53.799999 82.883 165.1262
54.500000 82.874 165.0668
55.200001 82.867 165.0579
56.000000 82.867 165.0692
57.000000 82.877 165.0641
58.000000 82.891 165.0006
59.000000 82.898 164.8949
60.000000 82.903 164.7833
60.799999 82.906 164.6247
61.500000 82.897 164.4591
62.200001 82.881 164.3369
63.000000 82.868 164.2328
64.000000 82.852 164.0609
65.000000 82.832 163.9191
66.000000 82.824 163.7587
67.000000 82.810 163.4761
68.000000 82.779 163.2059
69.000000 82.749 162.9897
70.000000 82.722 162.7668
71.000000 82.696 162.5359
72.000000 82.670 162.3038
73.000000 82.642 162.0679
74.000000 82.607 161.8132
75.000000 82.559 161.6163
76.199997 82.501 161.4856
77.500000 82.439 161.3581
78.800003 82.378 161.2377
80.000000 82.317 161.0916
81.199997 82.256 160.9802
82.500000 82.200 160.8627
83.800003 82.148 160.6907
85.000000 82.097 160.5282
86.199997 82.043 160.3940
87.500000 81.981 160.3029
88.500000 81.932 160.2634
90.000000 81.854 160.2480
91.199997 81.793 160.3051
92.500000 81.737 160.3418
93.800003 81.678 160.3286
95.000000 81.627 160.3247
96.199997 81.579 160.2806
97.500000 81.525 160.2375
98.800003 81.477 160.2312
100.000000 81.436 160.2120
101.500000 81.384 160.2031
103.000000 81.330 160.2174
104.400002 81.279 160.2383
106.000000 81.219 160.2874
107.500000 81.168 160.3475
109.000000 81.121 160.3812
110.599998 81.075 160.3937
112.000000 81.035 160.3776
113.800003 80.980 160.3776
115.000000 80.943 160.4045
117.199997 80.875 160.4854
118.000000 80.851 160.5120
120.599998 80.777 160.5125
122.000000 80.738 160.4536
124.099998 80.671 160.3566
125.000000 80.640 160.3566
126.500000 80.589 160.4120
128.000000 80.543 160.4780
131.500000 80.432 160.4247
132.000000 80.415 160.4028
134.000000 80.347 160.3474
136.000000 80.283 160.3635
138.000000 80.220 160.3984
140.000000 80.155 160.3941
143.000000 80.055 160.3260
145.000000 79.989 160.3146
147.500000 79.903 160.3610
150.000000 79.809 160.4431
152.500000 79.707 160.5269
155.000000 79.598 160.6668
157.500000 79.497 160.7941
160.000000 79.406 160.8546
162.500000 79.321 160.9343
165.000000 79.236 161.0748
167.500000 79.148 161.2334
170.000000 79.062 161.3858
172.500000 78.982 161.5456
175.000000 78.900 161.7442
177.500000 78.817 161.9769
180.000000 78.731 162.2195
182.500000 78.643 162.4872
185.000000 78.556 162.8011
187.500000 78.472 163.1187
190.000000 78.391 163.4204
192.500000 78.313 163.7155
195.000000 78.238 164.0308
197.500000 78.167 164.3693
200.000000 78.099 164.7123
203.000000 78.020 165.1019
206.000000 77.942 165.4974
209.000000 77.868 165.9506
212.000000 77.793 166.4039
214.000000 77.743 166.6895
218.000000 77.651 167.2549
220.000000 77.612 167.5466
224.000000 77.535 168.1140
227.000000 77.478 168.5364
230.000000 77.424 168.9803
233.000000 77.370 169.4370
236.000000 77.316 169.8771
240.000000 77.246 170.4323
243.000000 77.198 170.8701
247.000000 77.139 171.4684
250.000000 77.097 171.8606
254.000000 77.041 172.3562
258.000000 76.992 172.8947
262.000000 76.951 173.4271
265.000000 76.920 173.7946
269.000000 76.870 174.3004
272.000000 76.830 174.7026
276.000000 76.782 175.2341
280.000000 76.733 175.6828
285.000000 76.672 176.2480
290.000000 76.598 176.9058
295.000000 76.533 177.6981
300.000000 76.570 178.0009
304.000000 76.536 177.5367
307.000000 76.434 177.0758
311.000000 76.249 177.4957
315.000000 76.200 178.9470
320.000000 76.273 -179.5902
325.000000 76.325 -178.5229
330.000000 76.305 -178.0198
335.000000 76.259 -177.5109
340.000000 76.225 -176.9376
345.000000 76.205 -176.4000
350.000000 76.194 -175.7488
355.000000 76.169 -175.2410
360.000000 76.141 -174.8061
365.000000 76.145 -174.4092
