* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 8:01:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.406 56.6387
1.015000 59.656 55.4227
1.030000 59.904 54.2275
1.044000 60.134 53.1346
1.060000 60.397 51.9136
1.075000 60.643 50.7961
1.090000 60.887 49.7046
1.106000 61.147 48.5686
1.120000 61.374 47.5980
1.138000 61.663 46.3812
1.150000 61.855 45.5887
1.172000 62.204 44.1732
1.180000 62.331 43.6699
1.206000 62.737 42.0741
1.220000 62.954 41.2385
1.241000 63.275 40.0141
1.250000 63.412 39.4994
1.265000 63.637 38.6539
1.280000 63.860 37.8232
1.315000 64.371 35.9362
1.320000 64.443 35.6720
1.340000 64.727 34.6278
1.360000 65.006 33.6058
1.380000 65.280 32.6098
1.400000 65.550 31.6398
1.430000 65.947 30.2292
1.450000 66.207 29.3152
1.475000 66.526 28.1990
1.500000 66.840 27.1083
1.525000 67.148 26.0398
1.550000 67.450 24.9902
1.575000 67.748 23.9563
1.600000 68.041 22.9353
1.625000 68.329 21.9246
1.650000 68.613 20.9217
1.675000 68.893 19.9248
1.700000 69.168 18.9338
1.725000 69.438 17.9514
1.750000 69.702 16.9800
1.775000 69.961 16.0214
1.800000 70.214 15.0766
1.825000 70.463 14.1465
1.850000 70.708 13.2319
1.875000 70.948 12.3331
1.900000 71.185 11.4501
1.925000 71.418 10.5829
1.950000 71.647 9.7315
1.975000 71.874 8.8953
2.000000 72.098 8.0739
2.030000 72.363 7.1055
2.060000 72.623 6.1524
2.090000 72.877 5.2134
2.120000 73.125 4.2890
2.140000 73.287 3.6813
2.180000 73.606 2.4871
2.200000 73.763 1.9009
2.240000 74.071 0.7510
2.270000 74.298 -0.0915
2.300000 74.522 -0.9168
2.330000 74.744 -1.7249
2.360000 74.964 -2.5162
2.400000 75.251 -3.5473
2.430000 75.463 -4.3043
2.470000 75.739 -5.2939
2.500000 75.942 -6.0221
2.540000 76.208 -6.9757
2.580000 76.471 -7.9107
2.620000 76.730 -8.8281
2.650000 76.923 -9.5052
2.690000 77.178 -10.3930
2.720000 77.368 -11.0456
2.760000 77.617 -11.8964
2.800000 77.863 -12.7280
2.850000 78.166 -13.7468
2.900000 78.464 -14.7501
2.950000 78.759 -15.7445
3.000000 79.051 -16.7350
3.040000 79.284 -17.5232
3.070000 79.457 -18.1072
3.110000 79.686 -18.8738
3.150000 79.913 -19.6298
3.200000 80.194 -20.5675
3.250000 80.472 -21.5059
3.300000 80.748 -22.4532
3.350000 81.020 -23.4149
3.400000 81.290 -24.3857
3.450000 81.557 -25.3537
3.500000 81.822 -26.3192
3.550000 82.083 -27.2881
3.600000 82.341 -28.2667
3.650000 82.596 -29.2609
3.700000 82.846 -30.2738
3.750000 83.092 -31.3012
3.820000 83.431 -32.7515
3.870000 83.669 -33.7950
3.950000 84.040 -35.4817
4.000000 84.266 -36.5501
4.060000 84.531 -37.8504
4.120000 84.788 -39.1698
4.180000 85.039 -40.5020
4.250000 85.323 -42.0647
4.310000 85.559 -43.4073
4.370000 85.787 -44.7529
4.440000 86.044 -46.3350
4.500000 86.255 -47.7032
4.550000 86.426 -48.8459
4.620000 86.658 -50.4396
4.680000 86.848 -51.7941
4.750000 87.062 -53.3652
4.820000 87.265 -54.9387
4.870000 87.405 -56.0617
4.940000 87.593 -57.6220
5.000000 87.748 -58.9405
5.080000 87.946 -60.6698
5.150000 88.111 -62.1691
5.220000 88.267 -63.6566
5.300000 88.438 -65.3308
5.380000 88.602 -66.9669
5.450000 88.739 -68.3709
5.520000 88.871 -69.7568
5.600000 89.015 -71.3172
5.700000 89.188 -73.2247
5.800000 89.355 -75.0837
5.900000 89.515 -76.9051
6.000000 89.670 -78.6941
6.080000 89.792 -80.1030
6.150000 89.896 -81.3206
6.220000 89.999 -82.5265
6.300000 90.114 -83.8945
6.400000 90.256 -85.5950
6.500000 90.396 -87.2868
6.600000 90.533 -88.9730
6.700000 90.668 -90.6605
6.800000 90.800 -92.3546
6.900000 90.929 -94.0559
7.000000 91.055 -95.7656
7.100000 91.177 -97.4868
7.200000 91.295 -99.2226
7.300000 91.410 -100.9711
7.400000 91.520 -102.7307
7.500000 91.626 -104.5043
7.620000 91.747 -106.6514
7.750000 91.870 -108.9933
7.880000 91.985 -111.3555
8.000000 92.084 -113.5524
8.120000 92.176 -115.7594
8.250000 92.268 -118.1677
8.380000 92.351 -120.5869
8.500000 92.419 -122.8277
8.620000 92.480 -125.0791
8.750000 92.538 -127.5182
8.850000 92.575 -129.3951
9.000000 92.620 -132.2101
9.120000 92.647 -134.4474
9.250000 92.666 -136.8591
9.380000 92.675 -139.2474
9.500000 92.675 -141.4201
9.620000 92.667 -143.5647
9.750000 92.650 -145.8434
9.880000 92.625 -148.0685
10.000000 92.596 -150.0762
10.150000 92.554 -152.5122
10.300000 92.506 -154.8670
10.440000 92.458 -156.9943
10.600000 92.401 -159.3433
10.750000 92.347 -161.4763
10.900000 92.292 -163.5506
11.060000 92.233 -165.7081
11.200000 92.180 -167.5591
11.380000 92.108 -169.8936
11.500000 92.056 -171.4240
11.720000 91.951 -174.1732
11.800000 91.909 -175.1502
12.060000 91.751 -178.2238
12.200000 91.654 -179.7932
12.410000 91.492 177.9900
12.500000 91.417 177.0999
12.650000 91.288 175.7023
12.800000 91.154 174.4157
13.150000 90.839 171.8453
13.200000 90.796 171.5226
13.400000 90.626 170.3242
13.600000 90.466 169.2366
13.800000 90.315 168.2205
14.000000 90.170 167.2374
14.300000 89.950 165.7893
14.500000 89.794 164.8452
14.750000 89.582 163.7234
15.000000 89.349 162.7251
15.250000 89.099 161.9048
15.500000 88.843 161.2937
15.750000 88.592 160.8872
16.000000 88.355 160.6417
16.250000 88.135 160.4936
16.500000 87.934 160.3798
16.750000 87.744 160.2546
17.000000 87.560 160.1027
17.250000 87.376 159.9338
17.500000 87.190 159.7717
17.750000 87.003 159.6418
18.000000 86.817 159.5605
18.250000 86.636 159.5325
18.500000 86.463 159.5538
18.750000 86.298 159.6171
19.000000 86.144 159.7172
19.250000 86.000 159.8519
19.500000 85.867 160.0193
19.750000 85.748 160.2133
20.000000 85.643 160.4205
20.299999 85.538 160.6586
20.600000 85.450 160.8542
20.900000 85.373 160.9925
21.200001 85.299 161.0882
21.400000 85.248 161.1483
21.799999 85.145 161.3251
22.000000 85.095 161.4632
22.400000 85.009 161.8386
22.700001 84.963 162.1597
23.000000 84.932 162.4504
23.299999 84.907 162.6682
23.600000 84.878 162.8110
24.000000 84.821 162.9636
24.299999 84.764 163.1335
24.700001 84.687 163.5105
25.000000 84.642 163.8797
25.400000 84.614 164.3409
25.799999 84.607 164.5894
26.200001 84.592 164.5723
26.500000 84.558 164.4634
26.900000 84.483 164.3689
27.200001 84.420 164.4181
27.600000 84.356 164.6220
28.000000 84.334 164.8004
28.500000 84.341 164.6817
29.000000 84.323 164.1857
29.500000 84.251 163.6851
30.000000 84.166 163.4770
30.400000 84.126 163.4496
30.700001 84.112 163.3980
31.100000 84.098 163.2174
31.500000 84.066 162.9757
32.000000 84.000 162.8333
32.500000 83.949 162.9766
33.000000 83.947 163.1334
33.500000 83.963 162.9725
34.000000 83.932 162.5640
34.500000 83.840 162.3157
35.000000 83.742 162.4754
35.500000 83.696 162.8298
36.000000 83.697 162.9731
36.500000 83.690 162.7800
37.000000 83.642 162.4733
37.500000 83.569 162.2991
38.200001 83.481 162.2740
38.700001 83.431 162.2598
39.500000 83.347 162.2392
40.000000 83.297 162.3027
40.599998 83.248 162.4068
41.200001 83.200 162.5064
41.799999 83.147 162.6928
42.500000 83.106 163.0512
43.099998 83.099 163.3096
43.700001 83.095 163.4117
44.400002 83.072 163.4664
45.000000 83.047 163.5825
45.500000 83.036 163.7053
46.200001 83.033 163.8174
46.799999 83.033 163.8423
47.500000 83.033 163.8079
48.200001 83.026 163.7032
48.700001 83.011 163.6234
49.400002 82.982 163.6023
50.000000 82.966 163.6644
50.799999 82.962 163.7013
51.500000 82.957 163.6502
52.200001 82.946 163.6243
53.000000 82.949 163.6426
53.799999 82.971 163.5458
54.500000 82.982 163.3304
55.200001 82.975 163.1514
56.000000 82.972 163.0918
57.000000 82.990 162.9725
58.000000 82.994 162.7997
59.000000 83.006 162.6134
60.000000 82.994 162.2361
60.799999 82.963 162.0583
61.500000 82.955 161.9541
62.200001 82.959 161.7256
63.000000 82.952 161.3446
64.000000 82.930 160.9143
65.000000 82.913 160.5831
66.000000 82.911 160.2867
67.000000 82.910 159.8961
68.000000 82.883 159.5258
69.000000 82.847 159.3129
70.000000 82.822 159.1208
71.000000 82.797 158.8146
72.000000 82.760 158.4102
73.000000 82.708 158.0071
74.000000 82.653 157.6512
75.000000 82.599 157.3687
76.199997 82.549 157.1078
77.500000 82.501 156.8266
78.800003 82.454 156.5993
80.000000 82.411 156.3372
81.199997 82.355 156.0531
82.500000 82.294 155.7478
83.800003 82.229 155.3998
85.000000 82.167 155.1308
86.199997 82.109 154.9279
87.500000 82.049 154.7607
88.500000 82.001 154.6824
90.000000 81.931 154.6321
91.199997 81.878 154.5594
92.500000 81.816 154.3878
93.800003 81.745 154.1645
95.000000 81.677 153.9968
96.199997 81.616 153.8911
97.500000 81.560 153.8239
98.800003 81.512 153.7901
100.000000 81.469 153.7626
101.500000 81.413 153.7185
103.000000 81.356 153.6501
104.400002 81.306 153.5525
106.000000 81.253 153.3833
107.500000 81.201 153.2128
109.000000 81.151 153.0914
110.599998 81.100 153.0005
112.000000 81.058 152.9568
113.800003 81.005 152.9039
115.000000 80.969 152.8504
117.199997 80.893 152.7144
118.000000 80.863 152.6620
120.599998 80.771 152.4908
122.000000 80.728 152.3984
124.099998 80.667 152.2524
125.000000 80.641 152.1948
126.500000 80.595 152.1069
128.000000 80.549 152.0028
131.500000 80.437 151.7135
132.000000 80.423 151.6718
134.000000 80.366 151.4928
136.000000 80.306 151.3063
138.000000 80.237 151.1546
140.000000 80.163 151.0513
143.000000 80.057 150.9168
145.000000 79.985 150.8201
147.500000 79.890 150.7116
150.000000 79.788 150.6155
152.500000 79.686 150.5318
155.000000 79.591 150.4637
157.500000 79.495 150.4375
160.000000 79.398 150.4549
162.500000 79.302 150.4409
165.000000 79.207 150.4242
167.500000 79.116 150.4300
170.000000 79.024 150.4632
172.500000 78.930 150.5272
175.000000 78.836 150.6317
177.500000 78.742 150.7687
180.000000 78.650 150.9205
182.500000 78.560 151.0637
185.000000 78.472 151.2094
187.500000 78.386 151.3736
190.000000 78.303 151.5589
192.500000 78.222 151.7648
195.000000 78.145 151.9867
197.500000 78.069 152.2126
200.000000 77.996 152.4358
203.000000 77.912 152.7029
206.000000 77.833 152.9824
209.000000 77.757 153.2778
212.000000 77.682 153.5750
214.000000 77.634 153.7751
218.000000 77.541 154.1936
220.000000 77.496 154.4121
224.000000 77.410 154.8532
227.000000 77.348 155.1586
230.000000 77.286 155.4466
233.000000 77.221 155.7509
236.000000 77.156 156.0873
240.000000 77.074 156.5750
243.000000 77.013 156.9429
247.000000 76.935 157.3958
250.000000 76.881 157.7052
254.000000 76.818 158.0915
258.000000 76.759 158.5048
262.000000 76.704 158.9301
265.000000 76.663 159.2086
269.000000 76.603 159.5847
272.000000 76.559 159.8964
276.000000 76.506 160.3268
280.000000 76.457 160.7131
285.000000 76.394 161.1774
290.000000 76.330 161.6712
295.000000 76.265 162.1316
300.000000 76.205 162.5775
304.000000 76.158 162.9272
307.000000 76.125 163.2296
311.000000 76.084 163.6578
315.000000 76.045 164.1017
320.000000 75.999 164.6403
325.000000 75.961 165.1987
330.000000 75.938 165.7504
335.000000 75.928 166.2274
340.000000 75.895 166.6595
345.000000 75.853 166.9891
350.000000 75.810 167.3014
355.000000 75.765 167.7503
360.000000 75.730 168.1962
