* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:50:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi trans L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.282 36.3868
1.015000 53.966 36.0252
1.030000 54.600 35.6848
1.044000 55.158 35.4011
1.060000 55.761 35.1095
1.075000 56.295 34.8577
1.090000 56.801 34.6187
1.106000 57.312 34.3702
1.120000 57.737 34.1533
1.138000 58.255 33.8693
1.150000 58.584 33.6740
1.172000 59.160 33.2981
1.180000 59.361 33.1547
1.206000 59.990 32.6590
1.220000 60.315 32.3718
1.241000 60.790 31.9119
1.250000 60.991 31.7037
1.265000 61.322 31.3415
1.280000 61.651 30.9599
1.315000 62.425 29.9924
1.320000 62.537 29.8456
1.340000 62.991 29.2403
1.360000 63.447 28.6290
1.380000 63.892 28.0438
1.400000 64.322 27.4882
1.430000 64.942 26.6928
1.450000 65.340 26.1765
1.475000 65.821 25.5353
1.500000 66.286 24.8892
1.525000 66.737 24.2298
1.550000 67.176 23.5500
1.575000 67.604 22.8446
1.600000 68.024 22.1091
1.625000 68.438 21.3403
1.650000 68.847 20.5358
1.675000 69.252 19.6976
1.700000 69.652 18.8441
1.725000 70.042 18.0023
1.750000 70.422 17.1781
1.775000 70.791 16.3678
1.800000 71.152 15.5670
1.825000 71.503 14.7716
1.850000 71.847 13.9776
1.875000 72.183 13.1815
1.900000 72.513 12.3799
1.925000 72.837 11.5697
1.950000 73.155 10.7482
1.975000 73.470 9.9129
2.000000 73.780 9.0623
2.030000 74.147 8.0267
2.060000 74.506 6.9926
2.090000 74.856 5.9694
2.120000 75.196 4.9567
2.140000 75.418 4.2861
2.180000 75.852 2.9524
2.200000 76.065 2.2875
2.240000 76.480 0.9573
2.270000 76.785 -0.0442
2.300000 77.085 -1.0522
2.330000 77.379 -2.0694
2.360000 77.669 -3.0959
2.400000 78.047 -4.4692
2.430000 78.322 -5.4963
2.470000 78.680 -6.8590
2.500000 78.941 -7.8758
2.540000 79.282 -9.2253
2.580000 79.613 -10.5695
2.620000 79.936 -11.9112
2.650000 80.174 -12.9179
2.690000 80.485 -14.2634
2.720000 80.713 -15.2757
2.760000 81.010 -16.6274
2.800000 81.299 -17.9773
2.850000 81.648 -19.6571
2.900000 81.986 -21.3255
2.950000 82.313 -22.9815
3.000000 82.631 -24.6271
3.040000 82.879 -25.9401
3.070000 83.061 -26.9263
3.110000 83.297 -28.2435
3.150000 83.527 -29.5598
3.200000 83.806 -31.1979
3.250000 84.075 -32.8228
3.300000 84.337 -34.4312
3.350000 84.591 -36.0232
3.400000 84.837 -37.6074
3.450000 85.074 -39.1935
3.500000 85.304 -40.7780
3.550000 85.525 -42.3534
3.600000 85.740 -43.9135
3.650000 85.948 -45.4541
3.700000 86.150 -46.9757
3.750000 86.345 -48.4885
3.820000 86.607 -50.6045
3.870000 86.786 -52.1083
3.950000 87.060 -54.4837
4.000000 87.225 -55.9422
4.060000 87.416 -57.6683
4.120000 87.599 -59.3842
4.180000 87.774 -61.0929
4.250000 87.969 -63.0663
4.310000 88.130 -64.7308
4.370000 88.285 -66.3663
4.440000 88.458 -68.2503
4.500000 88.599 -69.8545
4.550000 88.712 -71.1812
4.620000 88.864 -73.0147
4.680000 88.989 -74.5584
4.750000 89.130 -76.3297
4.820000 89.263 -78.0828
4.870000 89.355 -79.3244
4.940000 89.478 -81.0425
5.000000 89.579 -82.4913
5.080000 89.708 -84.3887
5.150000 89.816 -86.0274
5.220000 89.919 -87.6486
5.300000 90.030 -89.4736
5.380000 90.137 -91.2633
5.450000 90.225 -92.8048
5.520000 90.310 -94.3297
5.600000 90.402 -96.0496
5.700000 90.510 -98.1576
5.800000 90.612 -100.2219
5.900000 90.707 -102.2528
6.000000 90.796 -104.2448
6.080000 90.863 -105.8070
6.150000 90.919 -107.1553
6.220000 90.972 -108.4881
6.300000 91.030 -109.9900
6.400000 91.097 -111.8311
6.500000 91.160 -113.6365
6.600000 91.219 -115.4103
6.700000 91.273 -117.1487
6.800000 91.324 -118.8514
6.900000 91.372 -120.5234
7.000000 91.416 -122.1645
7.100000 91.457 -123.7735
7.200000 91.495 -125.3535
7.300000 91.531 -126.9065
7.400000 91.564 -128.4325
7.500000 91.595 -129.9332
7.620000 91.628 -131.7036
7.750000 91.661 -133.5852
7.880000 91.689 -135.4324
8.000000 91.711 -137.1085
8.120000 91.730 -138.7561
8.250000 91.744 -140.5123
8.380000 91.754 -142.2356
8.500000 91.757 -143.7956
8.620000 91.756 -145.3275
8.750000 91.749 -146.9490
8.850000 91.740 -148.1683
9.000000 91.719 -149.9514
9.120000 91.698 -151.3326
9.250000 91.671 -152.7829
9.380000 91.639 -154.1852
9.500000 91.607 -155.4349
9.620000 91.573 -156.6432
9.750000 91.533 -157.9090
9.880000 91.493 -159.1311
10.000000 91.455 -160.2245
10.150000 91.407 -161.5531
10.300000 91.359 -162.8443
10.440000 91.313 -164.0250
10.600000 91.260 -165.3531
10.750000 91.207 -166.5824
10.900000 91.152 -167.8017
11.060000 91.087 -169.0903
11.200000 91.026 -170.2061
11.380000 90.939 -171.6199
11.500000 90.875 -172.5429
11.720000 90.746 -174.1847
11.800000 90.695 -174.7606
12.060000 90.518 -176.5422
12.200000 90.417 -177.4369
12.410000 90.261 -178.6899
12.500000 90.192 -179.1945
12.650000 90.078 -179.9933
12.800000 89.964 179.2551
13.150000 89.704 177.6553
13.200000 89.668 177.4407
13.400000 89.524 176.6101
13.600000 89.383 175.8150
13.800000 89.243 175.0507
14.000000 89.104 174.3158
14.300000 88.896 173.2748
14.500000 88.758 172.6268
14.750000 88.588 171.8718
15.000000 88.421 171.1743
15.250000 88.260 170.5236
15.500000 88.103 169.9077
15.750000 87.948 169.3173
16.000000 87.794 168.7544
16.250000 87.635 168.2346
16.500000 87.472 167.7850
16.750000 87.305 167.4393
17.000000 87.138 167.2284
17.250000 86.977 167.1684
17.500000 86.830 167.2545
17.750000 86.704 167.4555
18.000000 86.602 167.7200
18.250000 86.525 167.9884
18.500000 86.467 168.2086
18.750000 86.420 168.3494
19.000000 86.375 168.4100
19.250000 86.326 168.4152
19.500000 86.267 168.4063
19.750000 86.200 168.4277
20.000000 86.128 168.5114
20.299999 86.045 168.7067
20.600000 85.972 168.9781
20.900000 85.914 169.2686
21.200001 85.866 169.5251
21.400000 85.835 169.6659
21.799999 85.770 169.9012
22.000000 85.733 170.0229
22.400000 85.657 170.3351
22.700001 85.609 170.6364
23.000000 85.576 170.9554
23.299999 85.560 171.2301
23.600000 85.556 171.4083
24.000000 85.552 171.4783
24.299999 85.541 171.4456
24.700001 85.515 171.3803
25.000000 85.494 171.3527
25.400000 85.474 171.3314
25.799999 85.467 171.2649
26.200001 85.463 171.1132
26.500000 85.455 170.9622
26.900000 85.438 170.7747
27.200001 85.425 170.6768
27.600000 85.415 170.6024
28.000000 85.422 170.5385
28.500000 85.449 170.3713
29.000000 85.480 170.0515
29.500000 85.500 169.5909
30.000000 85.494 169.0446
30.400000 85.465 168.6248
30.700001 85.428 168.3810
31.100000 85.371 168.2110
31.500000 85.323 168.2225
32.000000 85.301 168.3355
32.500000 85.315 168.2955
33.000000 85.326 167.9908
33.500000 85.303 167.5699
34.000000 85.253 167.2448
34.500000 85.204 167.0714
35.000000 85.172 166.9494
35.500000 85.152 166.7777
36.000000 85.133 166.5380
36.500000 85.109 166.2484
37.000000 85.077 165.9307
37.500000 85.030 165.6451
38.200001 84.955 165.4546
38.700001 84.917 165.4565
39.500000 84.892 165.3800
40.000000 84.871 165.2189
40.599998 84.826 165.0667
41.200001 84.779 165.0695
41.799999 84.751 165.1485
42.500000 84.738 165.1610
43.099998 84.727 165.0519
43.700001 84.704 164.8867
44.400002 84.662 164.7856
45.000000 84.638 164.8214
45.500000 84.639 164.8232
46.200001 84.647 164.6274
46.799999 84.631 164.4085
47.500000 84.608 164.3173
48.200001 84.612 164.2327
48.700001 84.612 164.0566
49.400002 84.578 163.8577
50.000000 84.547 163.9609
50.799999 84.569 164.2009
51.500000 84.618 164.0702
52.200001 84.638 163.7189
53.000000 84.640 163.3200
53.799999 84.635 162.8496
54.500000 84.609 162.4277
55.200001 84.576 162.1647
56.000000 84.567 161.9706
57.000000 84.575 161.5892
58.000000 84.568 161.2714
59.000000 84.579 161.1703
60.000000 84.623 160.9712
60.799999 84.648 160.5876
61.500000 84.640 160.2016
62.200001 84.613 159.9092
63.000000 84.587 159.6806
64.000000 84.572 159.3270
65.000000 84.561 158.8613
66.000000 84.556 158.2798
67.000000 84.535 157.6217
68.000000 84.508 157.1158
69.000000 84.493 156.6286
70.000000 84.460 156.1212
71.000000 84.413 155.6985
72.000000 84.354 155.2971
73.000000 84.282 154.9675
74.000000 84.219 154.7233
75.000000 84.180 154.4343
76.199997 84.145 153.8549
77.500000 84.090 153.1902
78.800003 84.034 152.5852
80.000000 83.964 152.1045
81.199997 83.889 151.8458
82.500000 83.826 151.5836
83.800003 83.751 151.1129
85.000000 83.650 150.6626
86.199997 83.545 150.3209
87.500000 83.440 149.9579
88.500000 83.365 149.7356
90.000000 83.290 149.4244
91.199997 83.234 149.0423
92.500000 83.160 148.7662
93.800003 83.100 148.6920
95.000000 83.069 148.6682
96.199997 83.048 148.4988
97.500000 83.005 148.1676
98.800003 82.938 147.8669
100.000000 82.867 147.6361
101.500000 82.771 147.4592
103.000000 82.689 147.3287
104.400002 82.605 147.1063
106.000000 82.507 146.9705
107.500000 82.433 146.7283
109.000000 82.358 146.4690
110.599998 82.299 146.2525
112.000000 82.255 145.9966
113.800003 82.180 145.7103
115.000000 82.127 145.5593
117.199997 82.028 145.1792
118.000000 81.991 145.0197
120.599998 81.873 144.5310
122.000000 81.815 144.3999
124.099998 81.740 144.2797
125.000000 81.705 144.2064
126.500000 81.640 144.0619
128.000000 81.570 143.8862
131.500000 81.390 143.4130
132.000000 81.363 143.3550
134.000000 81.252 143.1635
136.000000 81.149 142.9758
138.000000 81.058 142.7042
140.000000 80.968 142.4122
143.000000 80.826 142.1300
145.000000 80.718 142.0487
147.500000 80.574 141.9751
150.000000 80.433 141.8135
152.500000 80.299 141.6798
155.000000 80.169 141.5503
157.500000 80.032 141.4149
160.000000 79.903 141.3118
162.500000 79.784 141.2422
165.000000 79.662 141.2693
167.500000 79.538 141.3462
170.000000 79.419 141.3963
172.500000 79.296 141.4403
175.000000 79.160 141.5997
177.500000 79.028 141.7339
180.000000 78.907 141.8128
182.500000 78.797 141.9293
185.000000 78.683 142.1296
187.500000 78.565 142.3373
190.000000 78.466 142.5312
192.500000 78.389 142.6963
195.000000 78.302 142.8660
197.500000 78.190 143.1038
200.000000 78.076 143.3125
203.000000 77.933 143.5987
206.000000 77.810 144.1693
209.000000 77.705 144.6679
212.000000 77.591 145.1371
214.000000 77.510 145.4030
218.000000 77.354 145.7512
220.000000 77.305 145.9608
224.000000 77.242 146.4491
227.000000 77.160 146.6582
230.000000 77.064 146.9088
233.000000 76.975 147.4435
236.000000 76.872 148.1039
240.000000 76.732 148.5463
243.000000 76.653 148.9174
247.000000 76.559 149.5204
250.000000 76.488 149.8652
254.000000 76.405 150.3157
258.000000 76.324 150.8706
262.000000 76.235 151.4496
265.000000 76.164 151.8694
269.000000 76.070 152.4099
272.000000 76.004 152.8090
276.000000 75.921 153.3472
280.000000 75.839 153.8647
285.000000 75.734 154.5285
290.000000 75.641 155.2418
295.000000 75.582 156.1618
300.000000 75.514 157.0510
304.000000 75.459 157.7573
307.000000 75.445 158.2769
311.000000 75.459 158.8682
315.000000 75.456 159.3035
320.000000 75.416 159.5647
325.000000 75.372 160.0196
330.000000 75.304 160.4719
335.000000 75.250 160.9650
340.000000 75.208 161.5497
345.000000 75.172 162.0533
350.000000 75.146 162.4795
355.000000 75.121 162.8421
360.000000 75.085 163.1774
