* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:49:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x hifi wn L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.556 63.3528
1.015000 54.257 62.5385
1.030000 54.902 61.7468
1.044000 55.468 61.0515
1.060000 56.079 60.3035
1.075000 56.618 59.6386
1.090000 57.128 59.0006
1.106000 57.641 58.3424
1.120000 58.066 57.7798
1.138000 58.584 57.0682
1.150000 58.912 56.5978
1.172000 59.484 55.7371
1.180000 59.684 55.4232
1.206000 60.306 54.3929
1.220000 60.627 53.8291
1.241000 61.096 52.9676
1.250000 61.294 52.5916
1.265000 61.620 51.9550
1.280000 61.946 51.3048
1.315000 62.711 49.7300
1.320000 62.822 49.4981
1.340000 63.273 48.5570
1.360000 63.727 47.6163
1.380000 64.170 46.7104
1.400000 64.598 45.8433
1.430000 65.214 44.5979
1.450000 65.609 43.7926
1.475000 66.086 42.8017
1.500000 66.547 41.8174
1.525000 66.993 40.8299
1.550000 67.428 39.8312
1.575000 67.852 38.8143
1.600000 68.268 37.7737
1.625000 68.677 36.7046
1.650000 69.083 35.6037
1.675000 69.485 34.4717
1.700000 69.882 33.3262
1.725000 70.269 32.1951
1.750000 70.646 31.0859
1.775000 71.013 29.9965
1.800000 71.371 28.9235
1.825000 71.720 27.8631
1.850000 72.062 26.8117
1.875000 72.396 25.7656
1.900000 72.724 24.7212
1.925000 73.046 23.6749
1.950000 73.363 22.6235
1.975000 73.676 21.5637
2.000000 73.985 20.4935
2.030000 74.350 19.1989
2.060000 74.707 17.9090
2.090000 75.055 16.6337
2.120000 75.395 15.3737
2.140000 75.616 14.5415
2.180000 76.049 12.8931
2.200000 76.261 12.0754
2.240000 76.675 10.4485
2.270000 76.980 9.2320
2.300000 77.278 8.0149
2.330000 77.573 6.7941
2.360000 77.862 5.5683
2.400000 78.239 3.9326
2.430000 78.515 2.7111
2.470000 78.873 1.0937
2.500000 79.134 -0.1098
2.540000 79.475 -1.7017
2.580000 79.806 -3.2803
2.620000 80.130 -4.8484
2.650000 80.369 -6.0197
2.690000 80.680 -7.5791
2.720000 80.909 -8.7492
2.760000 81.207 -10.3092
2.800000 81.496 -11.8645
2.850000 81.847 -13.7951
2.900000 82.186 -15.7060
2.950000 82.515 -17.5955
3.000000 82.835 -19.4655
3.040000 83.084 -20.9528
3.070000 83.267 -22.0684
3.110000 83.505 -23.5569
3.150000 83.736 -25.0424
3.200000 84.016 -26.8877
3.250000 84.288 -28.7135
3.300000 84.551 -30.5157
3.350000 84.807 -32.2943
3.400000 85.054 -34.0606
3.450000 85.294 -35.8271
3.500000 85.524 -37.5898
3.550000 85.747 -39.3396
3.600000 85.963 -41.0689
3.650000 86.172 -42.7725
3.700000 86.375 -44.4513
3.750000 86.571 -46.1183
3.820000 86.833 -48.4481
3.870000 87.013 -50.1018
3.950000 87.287 -52.7081
4.000000 87.451 -54.3035
4.060000 87.641 -56.1872
4.120000 87.823 -58.0576
4.180000 87.996 -59.9187
4.250000 88.189 -62.0638
4.310000 88.346 -63.8676
4.370000 88.497 -65.6339
4.440000 88.666 -67.6632
4.500000 88.802 -69.3886
4.550000 88.911 -70.8131
4.620000 89.057 -72.7757
4.680000 89.176 -74.4208
4.750000 89.309 -76.3000
4.820000 89.434 -78.1535
4.870000 89.519 -79.4628
4.940000 89.632 -81.2679
5.000000 89.725 -82.7826
5.080000 89.843 -84.7538
5.150000 89.940 -86.4465
5.220000 90.031 -88.1130
5.300000 90.130 -89.9786
5.380000 90.224 -91.7953
5.450000 90.302 -93.3487
5.520000 90.376 -94.8755
5.600000 90.456 -96.5875
5.700000 90.550 -98.6723
5.800000 90.639 -100.6968
5.900000 90.723 -102.6718
6.000000 90.802 -104.5986
6.080000 90.862 -106.1048
6.150000 90.913 -107.3995
6.220000 90.962 -108.6749
6.300000 91.016 -110.1099
6.400000 91.081 -111.8711
6.500000 91.143 -113.5996
6.600000 91.201 -115.2990
6.700000 91.257 -116.9711
6.800000 91.310 -118.6191
6.900000 91.359 -120.2461
7.000000 91.406 -121.8518
7.100000 91.448 -123.4371
7.200000 91.487 -125.0057
7.300000 91.522 -126.5567
7.400000 91.553 -128.0869
7.500000 91.580 -129.5986
7.620000 91.606 -131.3895
7.750000 91.628 -133.2915
7.880000 91.642 -135.1548
8.000000 91.648 -136.8388
8.120000 91.648 -138.4797
8.250000 91.642 -140.2112
8.380000 91.630 -141.8911
8.500000 91.614 -143.3911
8.620000 91.595 -144.8449
8.750000 91.571 -146.3676
8.850000 91.552 -147.5012
9.000000 91.520 -149.1453
9.120000 91.494 -150.4170
9.250000 91.466 -151.7531
9.380000 91.439 -153.0542
9.500000 91.414 -154.2306
9.620000 91.390 -155.3859
9.750000 91.364 -156.6214
9.880000 91.339 -157.8462
10.000000 91.314 -158.9688
10.150000 91.282 -160.3667
10.300000 91.247 -161.7612
10.440000 91.210 -163.0572
10.600000 91.162 -164.5316
10.750000 91.111 -165.9010
10.900000 91.052 -167.2520
11.060000 90.982 -168.6665
11.200000 90.914 -169.8734
11.380000 90.818 -171.3774
11.500000 90.750 -172.3445
11.720000 90.615 -174.0381
11.800000 90.564 -174.6270
12.060000 90.390 -176.4380
12.200000 90.294 -177.3487
12.410000 90.147 -178.6320
12.500000 90.083 -179.1530
12.650000 89.977 -179.9835
12.800000 89.871 179.2302
13.150000 89.625 177.5543
13.200000 89.590 177.3314
13.400000 89.453 176.4771
13.600000 89.318 175.6756
13.800000 89.186 174.9196
14.000000 89.056 174.2016
14.300000 88.862 173.1858
14.500000 88.733 172.5482
14.750000 88.570 171.8012
15.000000 88.405 171.1233
15.250000 88.237 170.5296
15.500000 88.071 170.0298
15.750000 87.910 169.6225
16.000000 87.756 169.2915
16.250000 87.612 169.0117
16.500000 87.475 168.7589
16.750000 87.342 168.5180
17.000000 87.209 168.2940
17.250000 87.073 168.1093
17.500000 86.934 167.9957
17.750000 86.795 167.9821
18.000000 86.664 168.0779
18.250000 86.547 168.2657
18.500000 86.449 168.5037
18.750000 86.371 168.7363
19.000000 86.307 168.9155
19.250000 86.250 169.0189
19.500000 86.192 169.0547
19.750000 86.126 169.0592
20.000000 86.052 169.0820
20.299999 85.956 169.1948
20.600000 85.865 169.4322
20.900000 85.792 169.7689
21.200001 85.742 170.1330
21.400000 85.722 170.3491
21.799999 85.701 170.6426
22.000000 85.692 170.7119
22.400000 85.666 170.7391
22.700001 85.635 170.7236
23.000000 85.595 170.7299
23.299999 85.552 170.7856
23.600000 85.510 170.8974
24.000000 85.463 171.1207
24.299999 85.436 171.3269
24.700001 85.418 171.6198
25.000000 85.417 171.8211
25.400000 85.433 172.0069
25.799999 85.459 172.0458
26.200001 85.481 171.9304
26.500000 85.487 171.7739
26.900000 85.480 171.5429
27.200001 85.465 171.3943
27.600000 85.442 171.2548
28.000000 85.424 171.1635
28.500000 85.413 171.0413
29.000000 85.410 170.8397
29.500000 85.402 170.5540
30.000000 85.384 170.2358
30.400000 85.363 169.9990
30.700001 85.346 169.8446
31.100000 85.325 169.6691
31.500000 85.308 169.5112
32.000000 85.294 169.3010
32.500000 85.281 169.0540
33.000000 85.264 168.7841
33.500000 85.243 168.5133
34.000000 85.218 168.2438
34.500000 85.186 167.9768
35.000000 85.145 167.7458
35.500000 85.099 167.5958
36.000000 85.059 167.5219
36.500000 85.029 167.4576
37.000000 85.004 167.3434
37.500000 84.972 167.1912
38.200001 84.911 167.0379
38.700001 84.867 167.0274
39.500000 84.817 167.1470
40.000000 84.807 167.2319
40.599998 84.812 167.2294
41.200001 84.815 167.0532
41.799999 84.796 166.8000
42.500000 84.751 166.6273
43.099998 84.721 166.5895
43.700001 84.702 166.5081
44.400002 84.669 166.3358
45.000000 84.629 166.2548
45.500000 84.599 166.2670
46.200001 84.577 166.3173
46.799999 84.571 166.3276
47.500000 84.574 166.2589
48.200001 84.573 166.0860
48.700001 84.559 165.9803
49.400002 84.538 166.0142
50.000000 84.548 166.1381
50.799999 84.589 166.0955
51.500000 84.605 165.8707
52.200001 84.600 165.6595
53.000000 84.580 165.4429
53.799999 84.540 165.3313
54.500000 84.518 165.3764
55.200001 84.522 165.3610
56.000000 84.531 165.2072
57.000000 84.567 164.9374
58.000000 84.608 164.2079
59.000000 84.576 163.5937
60.000000 84.591 163.4265
60.799999 84.634 163.0140
61.500000 84.634 162.5236
62.200001 84.604 162.1812
63.000000 84.572 161.9887
64.000000 84.544 161.7503
65.000000 84.510 161.4572
66.000000 84.482 161.1335
67.000000 84.457 160.6489
68.000000 84.419 160.0651
69.000000 84.370 159.5280
70.000000 84.325 159.1031
71.000000 84.295 158.7083
72.000000 84.267 158.2620
73.000000 84.228 157.8083
74.000000 84.179 157.3794
75.000000 84.125 157.0026
76.199997 84.065 156.6022
77.500000 84.015 156.1441
78.800003 83.958 155.5631
80.000000 83.885 155.1575
81.199997 83.826 154.9164
82.500000 83.772 154.5565
83.800003 83.688 154.1581
85.000000 83.607 153.9086
86.199997 83.532 153.6014
87.500000 83.450 153.1666
88.500000 83.372 152.7687
90.000000 83.239 152.4938
91.199997 83.182 152.5477
92.500000 83.168 152.4303
93.800003 83.159 152.0832
95.000000 83.117 151.6664
96.199997 83.047 151.4566
97.500000 82.981 151.3879
98.800003 82.917 151.2216
100.000000 82.837 151.0033
101.500000 82.728 150.9167
103.000000 82.653 150.8048
104.400002 82.588 150.5240
106.000000 82.488 150.2391
107.500000 82.405 150.2650
109.000000 82.358 150.3052
110.599998 82.324 150.0953
112.000000 82.264 149.7451
113.800003 82.164 149.4717
115.000000 82.103 149.3511
117.199997 82.002 149.0881
118.000000 81.965 148.9820
120.599998 81.850 148.6460
122.000000 81.786 148.4713
124.099998 81.690 148.3195
125.000000 81.652 148.2793
126.500000 81.591 148.1440
128.000000 81.516 147.9159
131.500000 81.338 147.6091
132.000000 81.318 147.5628
134.000000 81.239 147.3279
136.000000 81.146 147.1523
138.000000 81.051 147.0390
140.000000 80.949 146.8888
143.000000 80.790 146.6886
145.000000 80.688 146.5487
147.500000 80.559 146.3667
150.000000 80.429 146.2231
152.500000 80.293 146.1657
155.000000 80.155 146.1724
157.500000 80.018 146.1310
160.000000 79.877 146.1056
162.500000 79.746 146.1379
165.000000 79.626 146.1221
167.500000 79.506 146.1727
170.000000 79.388 146.3444
172.500000 79.267 146.4962
175.000000 79.141 146.5724
177.500000 79.024 146.6915
180.000000 78.913 146.9038
182.500000 78.793 147.2109
185.000000 78.672 147.4697
187.500000 78.556 147.6801
190.000000 78.449 147.8931
192.500000 78.338 148.1679
195.000000 78.224 148.5285
197.500000 78.113 148.8609
200.000000 78.001 149.0974
203.000000 77.874 149.4573
206.000000 77.778 149.8862
209.000000 77.677 150.2797
212.000000 77.567 150.7006
214.000000 77.492 150.9873
218.000000 77.351 151.6144
220.000000 77.288 151.9005
224.000000 77.179 152.4297
227.000000 77.102 152.8775
230.000000 77.013 153.3708
233.000000 76.918 153.8605
236.000000 76.835 154.2906
240.000000 76.742 154.8138
243.000000 76.673 155.2490
247.000000 76.584 155.8445
250.000000 76.517 156.2920
254.000000 76.422 156.9338
258.000000 76.327 157.5803
262.000000 76.237 158.1173
265.000000 76.172 158.5233
269.000000 76.078 159.0920
272.000000 76.007 159.5438
276.000000 75.921 160.2198
280.000000 75.841 160.8768
285.000000 75.742 161.6316
290.000000 75.656 162.4281
295.000000 75.583 163.4005
300.000000 75.522 164.4152
304.000000 75.494 165.2287
307.000000 75.477 165.7339
311.000000 75.454 166.2905
315.000000 75.444 166.7437
320.000000 75.439 167.2194
325.000000 75.391 167.6503
330.000000 75.326 168.1610
335.000000 75.275 168.8607
340.000000 75.218 169.4601
345.000000 75.168 169.9808
350.000000 75.139 170.4757
355.000000 75.122 171.0098
360.000000 75.098 171.4835
