* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:43:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x pop L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.737 32.8585
1.015000 52.015 33.0321
1.030000 52.293 33.1898
1.044000 52.553 33.3306
1.060000 52.851 33.4829
1.075000 53.133 33.6151
1.090000 53.415 33.7349
1.106000 53.716 33.8469
1.120000 53.980 33.9302
1.138000 54.320 34.0157
1.150000 54.546 34.0584
1.172000 54.959 34.1054
1.180000 55.109 34.1122
1.206000 55.593 34.0953
1.220000 55.851 34.0612
1.241000 56.236 33.9769
1.250000 56.399 33.9285
1.265000 56.669 33.8315
1.280000 56.936 33.7142
1.315000 57.547 33.3621
1.320000 57.632 33.3030
1.340000 57.970 33.0476
1.360000 58.302 32.7746
1.380000 58.628 32.5036
1.400000 58.950 32.2378
1.430000 59.425 31.8410
1.450000 59.736 31.5724
1.475000 60.120 31.2265
1.500000 60.497 30.8646
1.525000 60.868 30.4823
1.550000 61.234 30.0762
1.575000 61.594 29.6435
1.600000 61.949 29.1819
1.625000 62.298 28.6898
1.650000 62.643 28.1662
1.675000 62.983 27.6125
1.700000 63.317 27.0414
1.725000 63.646 26.4708
1.750000 63.968 25.9048
1.775000 64.284 25.3416
1.800000 64.595 24.7786
1.825000 64.901 24.2134
1.850000 65.201 23.6440
1.875000 65.497 23.0684
1.900000 65.789 22.4847
1.925000 66.076 21.8913
1.950000 66.359 21.2867
1.975000 66.639 20.6697
2.000000 66.915 20.0396
2.030000 67.242 19.2706
2.060000 67.563 18.5007
2.090000 67.877 17.7362
2.120000 68.185 16.9764
2.140000 68.387 16.4715
2.180000 68.783 15.4630
2.200000 68.978 14.9581
2.240000 69.360 13.9443
2.270000 69.642 13.1782
2.300000 69.919 12.4051
2.330000 70.193 11.6238
2.360000 70.462 10.8349
2.400000 70.814 9.7807
2.430000 71.073 8.9931
2.470000 71.410 7.9478
2.500000 71.657 7.1667
2.540000 71.980 6.1277
2.580000 72.297 5.0893
2.620000 72.607 4.0495
2.650000 72.835 3.2672
2.690000 73.135 2.2197
2.720000 73.356 1.4323
2.760000 73.645 0.3835
2.800000 73.927 -0.6619
2.850000 74.270 -1.9628
2.900000 74.604 -3.2576
2.950000 74.929 -4.5474
3.000000 75.247 -5.8344
3.040000 75.496 -6.8637
3.070000 75.679 -7.6358
3.110000 75.919 -8.6645
3.150000 76.153 -9.6908
3.200000 76.438 -10.9677
3.250000 76.716 -12.2368
3.300000 76.986 -13.4972
3.350000 77.251 -14.7497
3.400000 77.509 -15.9983
3.450000 77.759 -17.2459
3.500000 78.003 -18.4900
3.550000 78.240 -19.7268
3.600000 78.471 -20.9532
3.650000 78.696 -22.1675
3.700000 78.915 -23.3702
3.750000 79.129 -24.5667
3.820000 79.418 -26.2370
3.870000 79.618 -27.4222
3.950000 79.926 -29.2947
4.000000 80.113 -30.4459
4.060000 80.331 -31.8096
4.120000 80.541 -33.1635
4.180000 80.745 -34.5084
4.250000 80.974 -36.0586
4.310000 81.164 -37.3645
4.370000 81.349 -38.6467
4.440000 81.558 -40.1198
4.500000 81.731 -41.3694
4.550000 81.870 -42.3995
4.620000 82.061 -43.8196
4.680000 82.220 -45.0124
4.750000 82.400 -46.3764
4.820000 82.575 -47.7185
4.870000 82.696 -48.6647
4.940000 82.862 -49.9700
5.000000 83.002 -51.0689
5.080000 83.184 -52.5047
5.150000 83.339 -53.7372
5.220000 83.491 -54.9508
5.300000 83.661 -56.3163
5.380000 83.828 -57.6596
5.450000 83.973 -58.8172
5.520000 84.115 -59.9598
5.600000 84.274 -61.2513
5.700000 84.471 -62.8507
5.800000 84.664 -64.4366
5.900000 84.854 -66.0098
6.000000 85.041 -67.5772
6.080000 85.187 -68.8319
6.150000 85.312 -69.9311
6.220000 85.436 -71.0311
6.300000 85.574 -72.2888
6.400000 85.742 -73.8639
6.500000 85.903 -75.4473
6.600000 86.059 -77.0357
6.700000 86.206 -78.6206
6.800000 86.346 -80.2037
6.900000 86.478 -81.7885
7.000000 86.602 -83.3615
7.100000 86.717 -84.9137
7.200000 86.823 -86.4519
7.300000 86.921 -87.9692
7.400000 87.011 -89.4498
7.500000 87.093 -90.8938
7.620000 87.182 -92.5810
7.750000 87.269 -94.3317
7.880000 87.347 -95.9974
8.000000 87.413 -97.4630
8.120000 87.476 -98.8523
8.250000 87.541 -100.2734
8.380000 87.607 -101.6189
8.500000 87.669 -102.7976
8.620000 87.734 -103.9215
8.750000 87.808 -105.0968
8.850000 87.869 -105.9767
9.000000 87.964 -107.2669
9.120000 88.043 -108.2918
9.250000 88.132 -109.4010
9.380000 88.223 -110.5155
9.500000 88.306 -111.5573
9.620000 88.388 -112.6112
9.750000 88.474 -113.7640
9.880000 88.555 -114.9285
10.000000 88.625 -116.0092
10.150000 88.706 -117.3556
10.300000 88.778 -118.6925
10.440000 88.837 -119.9179
10.600000 88.896 -121.2829
10.750000 88.944 -122.5206
10.900000 88.987 -123.7098
11.060000 89.028 -124.9253
11.200000 89.062 -125.9433
11.380000 89.105 -127.1955
11.500000 89.133 -128.0008
11.720000 89.187 -129.4277
11.800000 89.208 -129.9362
12.060000 89.276 -131.5661
12.200000 89.314 -132.4404
12.410000 89.370 -133.7569
12.500000 89.393 -134.3251
12.650000 89.430 -135.2781
12.800000 89.463 -136.2370
13.150000 89.526 -138.4835
13.200000 89.532 -138.8029
13.400000 89.554 -140.0695
13.600000 89.567 -141.3061
13.800000 89.572 -142.5003
14.000000 89.570 -143.6397
14.300000 89.563 -145.2325
14.500000 89.558 -146.2176
14.750000 89.558 -147.3770
15.000000 89.568 -148.4893
15.250000 89.589 -149.5982
15.500000 89.618 -150.7457
15.750000 89.651 -151.9638
16.000000 89.679 -153.2616
16.250000 89.695 -154.6222
16.500000 89.694 -156.0093
16.750000 89.673 -157.3725
17.000000 89.635 -158.6615
17.250000 89.584 -159.8388
17.500000 89.529 -160.8872
17.750000 89.477 -161.8135
18.000000 89.433 -162.6452
18.250000 89.400 -163.4189
18.500000 89.376 -164.1697
18.750000 89.359 -164.9221
19.000000 89.345 -165.6856
19.250000 89.332 -166.4591
19.500000 89.318 -167.2369
19.750000 89.304 -168.0151
20.000000 89.288 -168.7946
20.299999 89.268 -169.7383
20.600000 89.243 -170.6949
20.900000 89.209 -171.6541
21.200001 89.165 -172.5876
21.400000 89.130 -173.1768
21.799999 89.053 -174.2385
22.000000 89.017 -174.7090
22.400000 88.959 -175.5772
22.700001 88.931 -176.2345
23.000000 88.911 -176.9613
23.299999 88.891 -177.7856
23.600000 88.859 -178.6928
24.000000 88.787 -179.9386
24.299999 88.712 179.1859
24.700001 88.595 178.1915
25.000000 88.508 177.5882
25.400000 88.407 176.9151
25.799999 88.328 176.2807
26.200001 88.262 175.5897
26.500000 88.211 175.0204
26.900000 88.130 174.2357
27.200001 88.059 173.6770
27.600000 87.953 173.0386
28.000000 87.847 172.5568
28.500000 87.737 172.1205
29.000000 87.662 171.6893
29.500000 87.604 171.0855
30.000000 87.529 170.2908
30.400000 87.443 169.6220
30.700001 87.363 169.1747
31.100000 87.247 168.7093
31.500000 87.135 168.3942
32.000000 87.021 168.0945
32.500000 86.931 167.7188
33.000000 86.838 167.1844
33.500000 86.722 166.5809
34.000000 86.579 166.0730
34.500000 86.430 165.7601
35.000000 86.296 165.6112
35.500000 86.185 165.5168
36.000000 86.092 165.3853
36.500000 86.003 165.1875
37.000000 85.910 164.9485
37.500000 85.810 164.7236
38.200001 85.662 164.5341
38.700001 85.564 164.4937
39.500000 85.428 164.4398
40.000000 85.343 164.3729
40.599998 85.234 164.3420
41.200001 85.131 164.4044
41.799999 85.043 164.4614
42.500000 84.933 164.4712
43.099998 84.825 164.5865
43.700001 84.729 164.8748
44.400002 84.651 165.2345
45.000000 84.592 165.4768
45.500000 84.543 165.7040
46.200001 84.495 166.0562
46.799999 84.470 166.2183
47.500000 84.417 166.2450
48.200001 84.329 166.4450
48.700001 84.278 166.7772
49.400002 84.251 167.2592
50.000000 84.251 167.4557
50.799999 84.233 167.4069
51.500000 84.179 167.2649
52.200001 84.091 167.2479
53.000000 83.984 167.6227
53.799999 83.940 168.3018
54.500000 83.963 168.7064
55.200001 83.989 168.7505
56.000000 83.973 168.6908
57.000000 83.934 169.0155
58.000000 83.951 169.5223
59.000000 83.996 169.8515
60.000000 84.040 170.0647
60.799999 84.072 170.1788
61.500000 84.094 170.2638
62.200001 84.115 170.3491
63.000000 84.140 170.4121
64.000000 84.167 170.4264
65.000000 84.195 170.4230
66.000000 84.228 170.2777
67.000000 84.238 170.0871
68.000000 84.258 169.9941
69.000000 84.285 169.7569
70.000000 84.292 169.5622
71.000000 84.320 169.4875
72.000000 84.361 169.2458
73.000000 84.384 168.9321
74.000000 84.400 168.6483
75.000000 84.412 168.3454
76.199997 84.416 167.9691
77.500000 84.413 167.5700
78.800003 84.410 167.2143
80.000000 84.416 166.8532
81.199997 84.415 166.4639
82.500000 84.416 166.0930
83.800003 84.414 165.6462
85.000000 84.401 165.2446
86.199997 84.385 164.8279
87.500000 84.365 164.3583
88.500000 84.353 163.9841
90.000000 84.333 163.3813
91.199997 84.312 162.9382
92.500000 84.296 162.5479
93.800003 84.293 162.1028
95.000000 84.283 161.5847
96.199997 84.263 161.0391
97.500000 84.229 160.3848
98.800003 84.177 159.8358
100.000000 84.137 159.4398
101.500000 84.082 158.9655
103.000000 84.029 158.6124
104.400002 83.980 158.2079
106.000000 83.913 157.6738
107.500000 83.847 157.1512
109.000000 83.782 156.6060
110.599998 83.704 156.0923
112.000000 83.639 155.7296
113.800003 83.553 155.2034
115.000000 83.487 154.8416
117.199997 83.365 154.2197
118.000000 83.323 154.0043
120.599998 83.185 153.3787
122.000000 83.105 153.0784
124.099998 82.978 152.6344
125.000000 82.921 152.4220
126.500000 82.822 152.0940
128.000000 82.729 151.8380
131.500000 82.526 151.3701
132.000000 82.497 151.3024
134.000000 82.367 150.9952
136.000000 82.228 150.7336
138.000000 82.096 150.5042
140.000000 81.972 150.3099
143.000000 81.781 150.0894
145.000000 81.646 149.9888
147.500000 81.482 149.9100
150.000000 81.329 149.8090
152.500000 81.177 149.7456
155.000000 81.026 149.7652
157.500000 80.883 149.8245
160.000000 80.747 149.9233
162.500000 80.603 150.0754
165.000000 80.450 150.3016
167.500000 80.309 150.5207
170.000000 80.185 150.6973
172.500000 80.062 150.9483
175.000000 79.930 151.2939
177.500000 79.800 151.6449
180.000000 79.669 151.9992
182.500000 79.548 152.4428
185.000000 79.440 152.8081
187.500000 79.337 153.1047
190.000000 79.241 153.4662
192.500000 79.145 153.9269
195.000000 79.045 154.3828
197.500000 78.953 154.7035
200.000000 78.874 154.9520
203.000000 78.791 155.3826
206.000000 78.698 156.0112
209.000000 78.597 156.5688
212.000000 78.496 157.0591
214.000000 78.435 157.3943
218.000000 78.329 158.1038
220.000000 78.275 158.4541
224.000000 78.165 159.1632
227.000000 78.100 159.6579
230.000000 78.050 160.1093
233.000000 77.997 160.5244
236.000000 77.938 160.9376
240.000000 77.868 161.4847
243.000000 77.818 161.9013
247.000000 77.752 162.4401
250.000000 77.705 162.8126
254.000000 77.634 163.2897
258.000000 77.558 163.8206
262.000000 77.485 164.3206
265.000000 77.432 164.6341
269.000000 77.367 165.0308
272.000000 77.322 165.3268
276.000000 77.256 165.7528
280.000000 77.180 166.2631
285.000000 77.082 166.9161
290.000000 76.999 167.5981
295.000000 76.922 168.2903
300.000000 76.867 169.1354
304.000000 76.839 169.7031
307.000000 76.828 169.9862
311.000000 76.816 170.3145
315.000000 76.795 170.6731
320.000000 76.738 171.0825
325.000000 76.652 171.5580
330.000000 76.580 171.9322
335.000000 76.518 172.3139
340.000000 76.455 172.8451
345.000000 76.395 173.2829
350.000000 76.345 173.6503
