* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:55:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x pop R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.264 31.0601
1.015000 51.403 31.4929
1.030000 51.545 31.9229
1.044000 51.680 32.3234
1.060000 51.838 32.7786
1.075000 51.989 33.2012
1.090000 52.142 33.6181
1.106000 52.309 34.0546
1.120000 52.457 34.4283
1.138000 52.651 34.8955
1.150000 52.782 35.1975
1.172000 53.024 35.7293
1.180000 53.113 35.9151
1.206000 53.407 36.4883
1.220000 53.566 36.7763
1.241000 53.807 37.1795
1.250000 53.911 37.3413
1.265000 54.085 37.5956
1.280000 54.260 37.8305
1.315000 54.670 38.3004
1.320000 54.729 38.3586
1.340000 54.964 38.5708
1.360000 55.201 38.7632
1.380000 55.442 38.9546
1.400000 55.686 39.1467
1.430000 56.058 39.4243
1.450000 56.309 39.5942
1.475000 56.626 39.7811
1.500000 56.946 39.9319
1.525000 57.267 40.0397
1.550000 57.588 40.0986
1.575000 57.909 40.1039
1.600000 58.229 40.0518
1.625000 58.546 39.9394
1.650000 58.860 39.7653
1.675000 59.171 39.5324
1.700000 59.479 39.2627
1.725000 59.786 38.9868
1.750000 60.093 38.7090
1.775000 60.400 38.4235
1.800000 60.706 38.1239
1.825000 61.011 37.8044
1.850000 61.314 37.4602
1.875000 61.615 37.0871
1.900000 61.913 36.6815
1.925000 62.209 36.2403
1.950000 62.502 35.7611
1.975000 62.791 35.2419
2.000000 63.076 34.6824
2.030000 63.414 33.9687
2.060000 63.746 33.2379
2.090000 64.075 32.5040
2.120000 64.400 31.7649
2.140000 64.614 31.2671
2.180000 65.036 30.2541
2.200000 65.245 29.7363
2.240000 65.656 28.6724
2.270000 65.959 27.8456
2.300000 66.257 26.9905
2.330000 66.551 26.1046
2.360000 66.839 25.1899
2.400000 67.216 23.9453
2.430000 67.493 23.0045
2.470000 67.856 21.7445
2.500000 68.122 20.7952
2.540000 68.471 19.5228
2.580000 68.811 18.2403
2.620000 69.144 16.9443
2.650000 69.389 15.9611
2.690000 69.708 14.6320
2.720000 69.943 13.6218
2.760000 70.248 12.2622
2.800000 70.546 10.8954
2.850000 70.907 9.1859
2.900000 71.257 7.4823
2.950000 71.596 5.7882
3.000000 71.925 4.1030
3.040000 72.180 2.7557
3.070000 72.367 1.7401
3.110000 72.610 0.3784
3.150000 72.846 -0.9857
3.200000 73.131 -2.6831
3.250000 73.407 -4.3612
3.300000 73.673 -6.0117
3.350000 73.931 -7.6324
3.400000 74.180 -9.2366
3.450000 74.418 -10.8420
3.500000 74.648 -12.4430
3.550000 74.869 -14.0265
3.600000 75.081 -15.5802
3.650000 75.287 -17.0943
3.700000 75.486 -18.5666
3.750000 75.678 -20.0124
3.820000 75.933 -22.0149
3.870000 76.107 -23.4220
3.950000 76.372 -25.6060
4.000000 76.532 -26.9156
4.060000 76.719 -28.4290
4.120000 76.897 -29.8982
4.180000 77.068 -31.3316
4.250000 77.260 -32.9509
4.310000 77.420 -34.2838
4.370000 77.578 -35.5588
4.440000 77.758 -36.9772
4.500000 77.909 -38.1442
4.550000 78.032 -39.0862
4.620000 78.203 -40.3614
4.680000 78.350 -41.4146
4.750000 78.523 -42.5937
4.820000 78.696 -43.7183
4.870000 78.819 -44.4947
4.940000 78.993 -45.5563
5.000000 79.144 -46.4519
5.080000 79.348 -47.6285
5.150000 79.529 -48.6322
5.220000 79.713 -49.6178
5.300000 79.924 -50.7430
5.380000 80.136 -51.8858
5.450000 80.323 -52.8987
5.520000 80.511 -53.9164
5.600000 80.726 -55.0919
5.700000 80.991 -56.5989
5.800000 81.250 -58.1581
5.900000 81.504 -59.7570
6.000000 81.750 -61.3861
6.080000 81.938 -62.7134
6.150000 82.097 -63.8968
6.220000 82.250 -65.0959
6.300000 82.417 -66.4722
6.400000 82.613 -68.1876
6.500000 82.795 -69.9089
6.600000 82.962 -71.6300
6.700000 83.115 -73.3175
6.800000 83.254 -74.9634
6.900000 83.379 -76.5794
7.000000 83.493 -78.1450
7.100000 83.596 -79.6390
7.200000 83.690 -81.0688
7.300000 83.775 -82.4359
7.400000 83.856 -83.7280
7.500000 83.932 -84.9413
7.620000 84.020 -86.3064
7.750000 84.117 -87.6858
7.880000 84.217 -88.9633
8.000000 84.313 -90.0745
8.120000 84.415 -91.1478
8.250000 84.534 -92.2727
8.380000 84.659 -93.3885
8.500000 84.779 -94.4342
8.620000 84.902 -95.4966
8.750000 85.037 -96.6826
8.850000 85.139 -97.6272
9.000000 85.289 -99.0891
9.120000 85.402 -100.2935
9.250000 85.516 -101.6333
9.380000 85.621 -102.9915
9.500000 85.707 -104.2496
9.620000 85.783 -105.5085
9.750000 85.855 -106.8528
9.880000 85.917 -108.1653
10.000000 85.965 -109.3452
10.150000 86.017 -110.7587
10.300000 86.060 -112.1010
10.440000 86.096 -113.2885
10.600000 86.135 -114.5674
10.750000 86.172 -115.7024
10.900000 86.211 -116.7852
11.060000 86.256 -117.8969
11.200000 86.298 -118.8483
11.380000 86.357 -120.0544
11.500000 86.397 -120.8578
11.720000 86.472 -122.3376
11.800000 86.499 -122.8794
12.060000 86.582 -124.6523
12.200000 86.622 -125.6079
12.410000 86.677 -127.0325
12.500000 86.698 -127.6352
12.650000 86.731 -128.6263
12.800000 86.760 -129.5966
13.150000 86.823 -131.7686
13.200000 86.832 -132.0687
13.400000 86.867 -133.2475
13.600000 86.904 -134.4006
13.800000 86.942 -135.5396
14.000000 86.982 -136.6768
14.300000 87.040 -138.3977
14.500000 87.075 -139.5599
14.750000 87.112 -141.0255
15.000000 87.137 -142.4885
15.250000 87.151 -143.9244
15.500000 87.152 -145.3071
15.750000 87.144 -146.6126
16.000000 87.131 -147.8277
16.250000 87.117 -148.9542
16.500000 87.108 -150.0080
16.750000 87.105 -151.0175
17.000000 87.108 -152.0162
17.250000 87.115 -153.0314
17.500000 87.121 -154.0768
17.750000 87.120 -155.1476
18.000000 87.108 -156.2199
18.250000 87.084 -157.2588
18.500000 87.051 -158.2287
18.750000 87.013 -159.1031
19.000000 86.977 -159.8773
19.250000 86.950 -160.5705
19.500000 86.937 -161.2219
19.750000 86.937 -161.8813
20.000000 86.949 -162.5931
20.299999 86.967 -163.5528
20.600000 86.979 -164.6276
20.900000 86.974 -165.7762
21.200001 86.949 -166.9352
21.400000 86.921 -167.6827
21.799999 86.849 -169.0636
22.000000 86.809 -169.6878
22.400000 86.727 -170.8159
22.700001 86.668 -171.5797
23.000000 86.611 -172.2917
23.299999 86.558 -172.9622
23.600000 86.507 -173.5983
24.000000 86.445 -174.4142
24.299999 86.404 -175.0260
24.700001 86.350 -175.8754
25.000000 86.305 -176.5427
25.400000 86.231 -177.4410
25.799999 86.141 -178.2832
26.200001 86.042 -179.0111
26.500000 85.970 -179.4782
26.900000 85.883 179.9621
27.200001 85.827 179.5485
27.600000 85.760 178.9596
28.000000 85.692 178.3143
28.500000 85.601 177.4595
29.000000 85.500 176.6006
29.500000 85.391 175.7657
30.000000 85.274 174.9789
30.400000 85.176 174.4086
30.700001 85.102 174.0245
31.100000 85.005 173.5667
31.500000 84.914 173.1517
32.000000 84.804 172.6658
32.500000 84.694 172.2214
33.000000 84.582 171.8521
33.500000 84.474 171.5642
34.000000 84.375 171.3177
34.500000 84.280 171.0737
35.000000 84.184 170.8349
35.500000 84.086 170.6173
36.000000 83.989 170.4085
36.500000 83.891 170.1914
37.000000 83.784 169.9995
37.500000 83.674 169.8990
38.200001 83.544 169.8906
38.700001 83.474 169.8391
39.500000 83.357 169.5701
40.000000 83.268 169.4395
40.599998 83.168 169.4183
41.200001 83.087 169.4028
41.799999 82.997 169.3241
42.500000 82.862 169.4487
43.099998 82.768 169.9080
43.700001 82.736 170.3945
44.400002 82.729 170.5155
45.000000 82.679 170.3426
45.500000 82.599 170.2935
46.200001 82.481 170.5705
46.799999 82.409 170.9571
47.500000 82.349 171.3490
48.200001 82.296 171.7223
48.700001 82.269 171.9964
49.400002 82.248 172.2650
50.000000 82.218 172.3818
50.799999 82.154 172.7069
51.500000 82.127 173.2392
52.200001 82.147 173.6371
53.000000 82.158 173.7239
53.799999 82.117 173.8739
54.500000 82.089 174.3065
55.200001 82.105 174.7505
56.000000 82.136 174.9457
57.000000 82.119 175.1292
58.000000 82.116 175.6943
59.000000 82.157 176.1487
60.000000 82.196 176.5312
60.799999 82.249 176.7487
61.500000 82.288 176.7033
62.200001 82.295 176.5720
63.000000 82.284 176.5511
64.000000 82.285 176.5797
65.000000 82.289 176.5327
66.000000 82.306 176.4801
67.000000 82.338 176.3152
68.000000 82.371 176.0845
69.000000 82.401 175.8060
70.000000 82.420 175.6105
71.000000 82.453 175.5212
72.000000 82.495 175.3554
73.000000 82.531 175.1546
74.000000 82.560 174.9117
75.000000 82.579 174.6898
76.199997 82.604 174.4187
77.500000 82.616 174.0693
78.800003 82.626 173.8257
80.000000 82.650 173.5463
81.199997 82.678 173.1972
82.500000 82.714 172.6500
83.800003 82.720 172.0146
85.000000 82.718 171.5811
86.199997 82.714 171.1819
87.500000 82.704 170.8311
88.500000 82.694 170.5673
90.000000 82.668 170.1700
91.199997 82.646 169.8438
92.500000 82.621 169.4356
93.800003 82.598 169.0137
95.000000 82.586 168.6064
96.199997 82.579 168.1404
97.500000 82.564 167.6009
98.800003 82.540 167.1021
100.000000 82.507 166.6612
101.500000 82.447 166.2015
103.000000 82.387 165.8212
104.400002 82.326 165.4128
106.000000 82.258 164.9904
107.500000 82.204 164.5659
109.000000 82.154 164.1359
110.599998 82.095 163.7074
112.000000 82.034 163.3803
113.800003 81.945 163.0192
115.000000 81.886 162.7653
117.199997 81.780 162.1942
118.000000 81.741 161.9639
120.599998 81.609 161.3525
122.000000 81.542 161.1562
124.099998 81.447 160.8493
125.000000 81.404 160.6980
126.500000 81.329 160.4302
128.000000 81.250 160.2274
131.500000 81.061 159.8647
132.000000 81.032 159.8287
134.000000 80.913 159.6313
136.000000 80.794 159.4320
138.000000 80.685 159.2142
140.000000 80.569 159.0048
143.000000 80.375 158.8174
145.000000 80.252 158.7626
147.500000 80.118 158.8182
150.000000 79.987 159.0258
152.500000 79.847 159.2915
155.000000 79.702 159.4500
157.500000 79.569 159.5926
160.000000 79.447 159.8113
162.500000 79.320 160.0891
165.000000 79.194 160.4000
167.500000 79.073 160.6777
170.000000 78.956 161.0196
172.500000 78.838 161.3889
175.000000 78.720 161.7979
177.500000 78.614 162.2234
180.000000 78.513 162.6754
182.500000 78.406 163.1682
185.000000 78.303 163.6413
187.500000 78.217 164.0953
190.000000 78.148 164.5471
192.500000 78.079 164.9932
195.000000 78.006 165.4842
197.500000 77.935 166.0129
200.000000 77.867 166.5744
203.000000 77.784 167.2381
206.000000 77.703 167.8552
209.000000 77.632 168.4796
212.000000 77.566 169.1400
214.000000 77.526 169.5652
218.000000 77.455 170.3325
220.000000 77.425 170.7242
224.000000 77.372 171.4979
227.000000 77.334 172.0495
230.000000 77.294 172.5533
233.000000 77.250 173.0083
236.000000 77.206 173.4907
240.000000 77.154 174.2678
243.000000 77.107 174.8822
247.000000 77.046 175.5672
250.000000 77.015 175.9837
254.000000 76.986 176.6293
258.000000 76.959 177.2589
262.000000 76.939 177.7637
265.000000 76.920 178.1210
269.000000 76.883 178.6379
272.000000 76.850 179.0685
276.000000 76.802 179.6323
280.000000 76.759 -179.8563
285.000000 76.707 -179.2622
290.000000 76.662 -178.6499
295.000000 76.612 -177.9784
300.000000 76.562 -177.2961
304.000000 76.520 -176.7341
307.000000 76.490 -176.2889
311.000000 76.455 -175.6493
315.000000 76.434 -174.9988
320.000000 76.427 -174.2679
325.000000 76.423 -173.7840
330.000000 76.396 -173.4280
335.000000 76.333 -173.0320
340.000000 76.264 -172.4868
345.000000 76.226 -171.9461
