* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:47:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x pop anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.303 165.0562
1.015000 50.381 162.4576
1.030000 50.471 159.7164
1.044000 50.565 157.0369
1.060000 50.680 153.8485
1.075000 50.798 150.7565
1.090000 50.924 147.5857
1.106000 51.067 144.1412
1.120000 51.200 141.0949
1.138000 51.381 137.1634
1.150000 51.507 134.5492
1.172000 51.752 129.8056
1.180000 51.844 128.1046
1.206000 52.159 122.6961
1.220000 52.337 119.8731
1.241000 52.614 115.7703
1.250000 52.737 114.0627
1.265000 52.946 111.2859
1.280000 53.161 108.5954
1.315000 53.684 102.6435
1.320000 53.761 101.8290
1.340000 54.077 98.6573
1.360000 54.408 95.6343
1.380000 54.760 92.7806
1.400000 55.135 90.0969
1.430000 55.733 86.3659
1.450000 56.152 84.0550
1.475000 56.691 81.3404
1.500000 57.244 78.7940
1.525000 57.804 76.3913
1.550000 58.366 74.1099
1.575000 58.923 71.9299
1.600000 59.471 69.8340
1.625000 60.003 67.8073
1.650000 60.513 65.8371
1.675000 60.999 63.9159
1.700000 61.462 62.0520
1.725000 61.913 60.2651
1.750000 62.354 58.5589
1.775000 62.786 56.9283
1.800000 63.210 55.3670
1.825000 63.626 53.8683
1.850000 64.033 52.4256
1.875000 64.433 51.0321
1.900000 64.825 49.6815
1.925000 65.210 48.3680
1.950000 65.587 47.0858
1.975000 65.957 45.8299
2.000000 66.321 44.5959
2.030000 66.748 43.1428
2.060000 67.162 41.7273
2.090000 67.564 40.3540
2.120000 67.954 39.0215
2.140000 68.208 38.1547
2.180000 68.703 36.4687
2.200000 68.944 35.6476
2.240000 69.416 34.0443
2.270000 69.761 32.8720
2.300000 70.100 31.7218
2.330000 70.434 30.5908
2.360000 70.762 29.4766
2.400000 71.188 28.0178
2.430000 71.498 26.9455
2.470000 71.899 25.5458
2.500000 72.192 24.5185
2.540000 72.572 23.1781
2.580000 72.943 21.8699
2.620000 73.305 20.5923
2.650000 73.572 19.6528
2.690000 73.922 18.4232
2.720000 74.179 17.5167
2.760000 74.514 16.3280
2.800000 74.839 15.1620
2.850000 75.234 13.7364
2.900000 75.618 12.3456
2.950000 75.992 10.9886
3.000000 76.359 9.6643
3.040000 76.648 8.6276
3.070000 76.860 7.8633
3.110000 77.139 6.8611
3.150000 77.411 5.8766
3.200000 77.743 4.6686
3.250000 78.069 3.4825
3.300000 78.390 2.3160
3.350000 78.706 1.1677
3.400000 79.017 0.0408
3.450000 79.323 -1.0609
3.500000 79.623 -2.1416
3.550000 79.918 -3.2077
3.600000 80.209 -4.2656
3.650000 80.496 -5.3199
3.700000 80.781 -6.3721
3.750000 81.063 -7.4147
3.820000 81.451 -8.8499
3.870000 81.724 -9.8654
3.950000 82.155 -11.4939
4.000000 82.420 -12.5236
4.060000 82.736 -13.7717
4.120000 83.047 -15.0193
4.180000 83.354 -16.2637
4.250000 83.707 -17.7239
4.310000 84.004 -18.9941
4.370000 84.297 -20.2886
4.440000 84.633 -21.8217
4.500000 84.915 -23.1451
4.550000 85.147 -24.2556
4.620000 85.466 -25.8271
4.680000 85.733 -27.1959
4.750000 86.037 -28.8212
4.820000 86.333 -30.4703
4.870000 86.541 -31.6586
4.940000 86.824 -33.3345
5.000000 87.059 -34.7831
5.080000 87.363 -36.7372
5.150000 87.620 -38.4714
5.220000 87.868 -40.2211
5.300000 88.142 -42.2281
5.380000 88.403 -44.2385
5.450000 88.622 -46.0090
5.520000 88.833 -47.7935
5.600000 89.063 -49.8371
5.700000 89.336 -52.3774
5.800000 89.591 -54.9105
5.900000 89.830 -57.4502
6.000000 90.054 -59.9703
6.080000 90.223 -61.9623
6.150000 90.364 -63.6982
6.220000 90.497 -65.4299
6.300000 90.642 -67.3943
6.400000 90.813 -69.8145
6.500000 90.973 -72.2070
6.600000 91.121 -74.5797
6.700000 91.261 -76.9198
6.800000 91.392 -79.2266
6.900000 91.515 -81.5125
7.000000 91.630 -83.7733
7.100000 91.738 -86.0054
7.200000 91.839 -88.2179
7.300000 91.934 -90.4121
7.400000 92.022 -92.5836
7.500000 92.105 -94.7375
7.620000 92.195 -97.3043
7.750000 92.283 -100.0520
7.880000 92.360 -102.7732
8.000000 92.421 -105.2593
8.120000 92.472 -107.7084
8.250000 92.517 -110.3291
8.380000 92.551 -112.9024
8.500000 92.572 -115.2258
8.620000 92.584 -117.5045
8.750000 92.589 -119.9062
8.850000 92.587 -121.7023
9.000000 92.575 -124.3167
9.120000 92.559 -126.3288
9.250000 92.538 -128.4285
9.380000 92.514 -130.4482
9.500000 92.490 -132.2399
9.620000 92.465 -133.9650
9.750000 92.439 -135.7660
9.880000 92.413 -137.5002
10.000000 92.391 -139.0466
10.150000 92.365 -140.9177
10.300000 92.341 -142.7250
10.440000 92.319 -144.3615
10.600000 92.294 -146.1777
10.750000 92.269 -147.8286
10.900000 92.243 -149.4297
11.060000 92.213 -151.0799
11.200000 92.184 -152.4707
11.380000 92.143 -154.1836
11.500000 92.114 -155.2756
11.720000 92.059 -157.1740
11.800000 92.039 -157.8322
12.060000 91.973 -159.8599
12.200000 91.939 -160.8904
12.410000 91.887 -162.3677
12.500000 91.865 -162.9800
12.650000 91.827 -163.9756
12.800000 91.788 -164.9419
13.150000 91.685 -167.0831
13.200000 91.669 -167.3741
13.400000 91.600 -168.4956
13.600000 91.524 -169.5374
13.800000 91.444 -170.4919
14.000000 91.362 -171.3562
14.300000 91.245 -172.5049
14.500000 91.173 -173.1998
14.750000 91.093 -174.0330
15.000000 91.020 -174.8733
15.250000 90.948 -175.7505
15.500000 90.871 -176.6696
15.750000 90.783 -177.6094
16.000000 90.681 -178.5309
16.250000 90.569 -179.3949
16.500000 90.451 179.8249
16.750000 90.336 179.1318
17.000000 90.231 178.5022
17.250000 90.138 177.8944
17.500000 90.057 177.2635
17.750000 89.983 176.5751
18.000000 89.911 175.8190
18.250000 89.834 175.0105
18.500000 89.747 174.1829
18.750000 89.651 173.3792
19.000000 89.549 172.6368
19.250000 89.445 171.9762
19.500000 89.346 171.3980
19.750000 89.257 170.8829
20.000000 89.179 170.4005
20.299999 89.098 169.8215
20.600000 89.025 169.2121
20.900000 88.952 168.5714
21.200001 88.874 167.9249
21.400000 88.818 167.5085
21.799999 88.699 166.7470
22.000000 88.638 166.4080
22.400000 88.519 165.8002
22.700001 88.433 165.3846
23.000000 88.348 164.9883
23.299999 88.263 164.6072
23.600000 88.179 164.2419
24.000000 88.070 163.7670
24.299999 87.993 163.3929
24.700001 87.892 162.8198
25.000000 87.810 162.3206
25.400000 87.682 161.6064
25.799999 87.530 160.9500
26.200001 87.367 160.4612
26.500000 87.253 160.2114
26.900000 87.126 159.9418
27.200001 87.049 159.7028
27.600000 86.953 159.2741
28.000000 86.844 158.7832
28.500000 86.687 158.3197
29.000000 86.552 158.1461
29.500000 86.478 157.9946
30.000000 86.431 157.4803
30.400000 86.361 156.8041
30.700001 86.270 156.2863
31.100000 86.106 155.7988
31.500000 85.923 155.7030
32.000000 85.731 156.0507
32.500000 85.612 156.5156
33.000000 85.533 156.7424
33.500000 85.449 156.7096
34.000000 85.343 156.5792
34.500000 85.224 156.4632
35.000000 85.102 156.3743
35.500000 84.981 156.3046
36.000000 84.862 156.2614
36.500000 84.750 156.2386
37.000000 84.645 156.2137
37.500000 84.542 156.1876
38.200001 84.395 156.2233
38.700001 84.294 156.3367
39.500000 84.149 156.6091
40.000000 84.063 156.7911
40.599998 83.954 157.0435
41.200001 83.842 157.3871
41.799999 83.739 157.8106
42.500000 83.635 158.2846
43.099998 83.548 158.6106
43.700001 83.452 158.9164
44.400002 83.339 159.3441
45.000000 83.253 159.7559
45.500000 83.190 160.0897
46.200001 83.109 160.5457
46.799999 83.047 160.9640
47.500000 82.990 161.4584
48.200001 82.942 161.8901
48.700001 82.903 162.1927
49.400002 82.848 162.7139
50.000000 82.818 163.2208
50.799999 82.797 163.7635
51.500000 82.764 164.1423
52.200001 82.723 164.6389
53.000000 82.706 165.2693
53.799999 82.702 165.7169
54.500000 82.684 166.0653
55.200001 82.667 166.5009
56.000000 82.665 167.0066
57.000000 82.674 167.5314
58.000000 82.687 167.9596
59.000000 82.692 168.3053
60.000000 82.695 168.7169
60.799999 82.714 169.0302
61.500000 82.735 169.2317
62.200001 82.755 169.3822
63.000000 82.773 169.5310
64.000000 82.792 169.7456
65.000000 82.818 169.9929
66.000000 82.851 170.1808
67.000000 82.881 170.3065
68.000000 82.908 170.3964
69.000000 82.934 170.4490
70.000000 82.959 170.4665
71.000000 82.985 170.4478
72.000000 83.010 170.4157
73.000000 83.038 170.3582
74.000000 83.063 170.2595
75.000000 83.081 170.1688
76.199997 83.102 170.0733
77.500000 83.122 169.9413
78.800003 83.136 169.7640
80.000000 83.142 169.5990
81.199997 83.152 169.4045
82.500000 83.157 169.1461
83.800003 83.163 168.8934
85.000000 83.171 168.6572
86.199997 83.183 168.3963
87.500000 83.190 168.0554
88.500000 83.186 167.7965
90.000000 83.171 167.4425
91.199997 83.159 167.1998
92.500000 83.148 166.8860
93.800003 83.127 166.5660
95.000000 83.107 166.3291
96.199997 83.092 166.0952
97.500000 83.077 165.8016
98.800003 83.053 165.4481
100.000000 83.018 165.1449
101.500000 82.973 164.8359
103.000000 82.932 164.5320
104.400002 82.892 164.2064
106.000000 82.839 163.8435
107.500000 82.785 163.5254
109.000000 82.732 163.2243
110.599998 82.677 162.9161
112.000000 82.629 162.6490
113.800003 82.563 162.3289
115.000000 82.517 162.1284
117.199997 82.429 161.7596
118.000000 82.395 161.6253
120.599998 82.282 161.2163
122.000000 82.221 161.0153
124.099998 82.129 160.7629
125.000000 82.089 160.6616
126.500000 82.022 160.4897
128.000000 81.953 160.3146
131.500000 81.783 159.9896
132.000000 81.759 159.9544
134.000000 81.662 159.8338
136.000000 81.563 159.7394
138.000000 81.461 159.6575
140.000000 81.359 159.5836
143.000000 81.210 159.5303
145.000000 81.114 159.5302
147.500000 80.996 159.5399
150.000000 80.878 159.5774
152.500000 80.762 159.6624
155.000000 80.646 159.7930
157.500000 80.529 159.9411
160.000000 80.412 160.1353
162.500000 80.300 160.3796
165.000000 80.190 160.6390
167.500000 80.084 160.9016
170.000000 79.985 161.1648
172.500000 79.890 161.4662
175.000000 79.798 161.8204
177.500000 79.709 162.1619
180.000000 79.619 162.4844
182.500000 79.528 162.8536
185.000000 79.440 163.2809
187.500000 79.358 163.7311
190.000000 79.282 164.1414
192.500000 79.209 164.5144
195.000000 79.139 164.8942
197.500000 79.072 165.3239
200.000000 79.009 165.7814
203.000000 78.939 166.2929
206.000000 78.876 166.7653
209.000000 78.824 167.2350
212.000000 78.778 167.7097
214.000000 78.748 168.0286
218.000000 78.697 168.6384
220.000000 78.670 168.9088
224.000000 78.608 169.5016
227.000000 78.564 169.9924
230.000000 78.521 170.4378
233.000000 78.481 170.8182
236.000000 78.451 171.1691
240.000000 78.418 171.6389
243.000000 78.387 171.9858
247.000000 78.346 172.4457
250.000000 78.315 172.7898
254.000000 78.276 173.2036
258.000000 78.243 173.5670
262.000000 78.214 173.9192
265.000000 78.191 174.1782
269.000000 78.159 174.5111
272.000000 78.136 174.7365
276.000000 78.107 174.9948
280.000000 78.069 175.2562
285.000000 78.010 175.6219
290.000000 77.943 175.9572
295.000000 77.878 176.3450
300.000000 77.821 176.7843
304.000000 77.776 177.1725
307.000000 77.742 177.4981
311.000000 77.698 177.9131
315.000000 77.661 178.2742
320.000000 77.632 178.6201
325.000000 77.597 178.8959
330.000000 77.553 179.2037
335.000000 77.506 179.6053
340.000000 77.456 179.9402
345.000000 77.409 -179.7073
350.000000 77.367 -179.2827
355.000000 77.333 -178.8698
360.000000 77.309 -178.5178
